ONGC IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,-1.07113644253147,0.3332994633310752,-0.20797398672048822,0.19529294991507387,0.1726315137223,-0.5681849761465162,0.17881196915508965,0.146712458192135,0.810166680827953,0.32496002921127587,-0.13830101553155918,-0.3838172734136916,-0.2494499158824191,-0.4375520758038141,0.14319587357517422
2006-03-31,1.22392868041544,0.45566474254720535,0.281915173637707,0.3432679438483924,0.38175850097595765,-0.558240971601798,-0.24589943340546158,-0.5909516564341734,0.5549708534904878,1.5209109620473082,1.1853347974836026,0.00014724907301691273,0.19339177350779793,-0.44449902549000014,-0.002748953693158716
2006-04-30,-0.21166816836388852,-0.03177907613880542,0.9574482582668958,0.3621972274897587,-0.21675973315179592,2.397540625810147,0.7681369423385309,-0.695591462678504,0.4391960776645432,0.8728805949241208,0.47368898857611064,1.1274038924202883,0.8302939179896596,2.55145598852441,-0.1583459195053663
2006-05-31,-1.7575145075699388,-0.6287136713315428,-0.581316475468835,0.934477279274554,0.4908189435762744,1.5009105360653618,0.60843268215509,1.0444546636763763,-1.4933151127600968,-0.906222685851643,-1.4835475945309229,-0.7984063404484408,-0.5228256272535027,0.7550105278371301,-0.007363982296614329
2006-06-30,-0.371955440997009,-2.059428756628442,-1.2702322149798855,-0.048678784736787585,0.26332925426506687,0.7197542688011578,0.5736110699497804,1.1007706085419335,-1.6712760681559409,-1.1569229035946038,-1.6907542937275435,-1.21833750192184,-1.2336743307356748,-0.03636837221946638,0.05706365084888685
2006-07-31,0.39460325854841544,-1.807518542969119,-0.27547559693104345,0.4422248750045793,0.33044833725397743,-0.22297750884471468,-0.6261792868459021,0.34624692687182423,-0.969712710780463,-0.6301507502345908,-0.9881524337830894,-0.5131790854254661,-0.26398729227616713,-0.17322208138308984,0.03719748223575817
2006-08-31,0.2025091245863187,0.20242152250963347,-0.2684662533512174,-1.1428984949320478,0.2558019463357103,-1.3031425544828443,-1.2245979686772914,-0.10634638992538396,-0.5210998572733981,-0.3213709092292668,-0.6284783027620596,-0.4720513601268049,-0.30509775393929517,-0.8880491338121219,-0.04004003014906609
2006-09-30,-0.7588436971245454,-0.13343229261456446,-1.0581207854826573,-0.669676825911273,-0.30015915555583134,-1.2386633022573148,-1.083220796386837,0.297434863951265,-1.1299140475032416,-1.0906248589698586,-0.9415352218729601,-0.945724123385449,-1.0381124703814713,-0.46779431805410265,0.04498013236171268
2006-10-31,0.3183471336851296,-0.2184267705966213,0.16541828648970422,-0.744885346455342,-0.1033735017562839,-0.8024817592426322,-0.5241398893170752,-0.32259587850926985,-0.5018954281261491,-0.5963601418507122,-0.08371876428269791,0.11805291846787984,0.1034791317316437,-0.715801872598839,0.0555758147352251
2006-11-30,0.45009489361914984,0.015169724443409636,-0.1668655981128902,-0.6503978742035623,-1.371046752679387,-0.6608389883825747,0.1982533320026529,-1.059811156709081,0.24021241245583447,-0.0048433443279890164,0.4187223706592012,1.149914619996049,-0.2899460413964292,-0.5085479721120526,0.010313294388960254
2006-12-31,-0.108223190428928,0.6305075168018851,-0.9371323210108693,-1.3989437268547125,-1.4148489819785477,-1.0838938286872277,-0.09991687913422646,-1.235633460284593,0.29169839240728845,-0.10350395611432545,0.1788375794527323,-0.27336136782997456,-0.99153850674418,-0.4878953051739762,0.04497257564962649
2007-01-31,0.3073941472748111,0.6175062752118939,-1.027821712441894,-1.4027119421275713,-1.4290387700461855,-1.0382375840781963,-0.35048203258848154,-1.737300477614149,0.7947748726087701,0.33388619430066274,0.4759841865597282,-0.3680182774178829,-1.0974921623744316,-0.4343149773974725,-0.14543302883890066
2007-02-28,-2.0078206443113538,-1.7139651468279729,-1.3895579570310197,0.4228666046579994,-0.128473022235238,-1.2797165390551521,-0.889154311386188,-0.060525534368780734,-1.2462244877597421,-2.312798549953245,-1.5766347684076392,-1.3874287964177727,-1.374302317117269,-0.30479316626422587,0.1112817354175886
2007-03-31,1.0898148530440914,-0.46948180008601215,-1.488104364785801,1.1540971722457853,0.1417232107857855,-0.9146023104464527,-0.268178188887869,0.2035116521241247,-1.8290894920218443,-0.4300510597558206,-0.2121792026744773,-1.5295069903230565,-1.4840832953295322,-0.16051428454035155,0.03684680144699743
2007-04-30,0.21987414644584097,-0.5256013237658597,-1.2386368098056748,1.044917517168121,0.03258496967016136,-0.9406810273238384,-0.5390765156441062,-0.19128513283149295,-1.4101961362691027,0.1487309161847408,0.06167986097617906,-1.2109358583546492,-1.2365965096391396,-0.24794786398529212,0.009214848069230553
2007-05-31,-0.1420120460520808,1.132923484218822,-0.24066522076090227,-1.041742775263522,-0.11414170069392579,-0.8221732351494357,0.2609821701066866,-0.1704412835079615,-1.345972099782993,0.059702985258060025,-0.012660440157558748,-0.2503569221847505,-0.29216520249272565,-0.6860707609588642,-0.018382870600533535
2007-06-30,-0.4095006631898979,-0.29140990620890367,-0.2679968182642362,-1.5906631981765404,-0.10521539419126855,-0.9986075828063583,-0.307230455980448,0.33456639896014767,-1.4813070992438193,-0.5449786131152263,-0.350152204018783,-0.2754071139622205,-0.2808010290030656,-0.7522736905740918,0.009889973141861599
2007-07-31,-0.020691657795673935,-0.5326489910398857,-0.5445368707872487,-1.713847441070985,-0.20616204334286367,-0.824234343526356,0.0820889342717012,0.27061094946086467,-1.2709437254003912,-0.4271558731193246,-0.14432293872231697,-0.5335287133957919,-0.5787989819749889,-0.4847269733871912,-0.061839110485514964
2007-08-31,-0.9551601607421525,-1.2539811368161602,-1.1943114319331445,-1.0839075158289468,-1.3242888416655316,-0.5316463787266149,0.17706799852083438,2.129957229605759,-1.9186921260558378,-1.9117967992614444,-1.247646542210911,-1.056586467069143,-1.2224551070753993,-0.11460826462267006,0.10837105481069763
2007-09-30,1.1752447520015543,0.1868813673667012,-0.05370660223588484,0.10651820244082531,-1.2583113055731614,0.16514578315756326,0.8041724375314484,-0.679824909462298,-0.41688515770129275,0.40594405674244616,0.20812706639536444,0.6747241541399548,-0.10874297138872778,-0.07109155965845103,0.26306734698343937
2007-10-31,2.9866218923315957,2.860291428382704,1.8908444742781123,1.842887140871372,1.3201918319762327,2.9101360360565645,2.3863746218951705,-5.248189878980478,2.6001483836764456,4.771408353228414,3.755583626605249,0.9523772056209867,1.1090899678247457,3.5256086214641167,-0.06534437857652868
2007-11-30,-1.021565299334174,2.331897314003348,0.6517286829706979,1.7341232679942131,1.6419661052726295,1.2163693000939895,1.336952525211659,-2.2992975236009303,1.2051177304874217,1.7280897081132582,1.3257189656672572,-0.0519408450200152,0.29882303123477383,0.7714792445504556,0.057757785374045176
2007-12-31,0.3829782584468985,1.5949542455737862,1.0109623477482919,1.6665703517998982,1.4132080803815148,0.8933844017179984,0.7929921629910507,-2.0993090842163817,1.4755156213183054,1.547691756062605,1.2812809578516855,0.2750126254368467,0.5240235339960514,0.640722387665926,-0.22313142488404866
2008-01-31,-2.6776598336475375,-2.386085418189926,-0.9509872768683496,1.1081879226002338,3.0140567010826262,1.5164885498884102,-0.13149331175156945,0.29869749105604815,-0.41525399397748936,-1.0660145675307167,-1.5399148799315585,-1.3091666459873588,-1.019236988602092,0.1160221593687132,0.027508760849800768
