TPW IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2011-08-31,-0.7344300218215768,-0.667551478797096,-0.9901497604800706,-0.7059013900625414,-0.8583408461522385,0.6470528456691518,1.9287931853600038,1.3358380104422714,-1.5346894502752997,-2.488515769459826,-0.6373421279831722,-1.3237106342469982,-1.2474681820942273,0.4394612630414137,-0.00267797526702754
2011-09-30,-0.02077773437393071,-0.43637401042577617,-0.9119150317791027,-0.588210198610514,-1.2591690830182374,0.9375031483836288,1.364406990593298,1.09050701227778,-1.3082246791818752,-2.0008140698698473,-0.49379231075532537,-1.5618331374937835,-1.1095215117615247,0.42751256206687943,0.04926890031517491
2011-10-31,0.9093441284410938,-0.07715405583138374,-0.7594715941830568,-0.21219889689175722,-0.9255478397381947,2.1067656737035017,1.0481445397552416,0.693328500233274,-1.0406448161562354,-1.4134018985271322,0.005893070199059068,-0.9638937363752447,-0.812832340106801,0.5539930920166862,-0.1609810158804519
2011-11-30,-2.2403382391772033,-0.6793487178182214,-0.7719902703005804,0.8907399102758293,-0.159977551082293,1.3363224594687089,0.06197281658459915,1.2049524319886646,-1.208618434344695,-2.0647103684009345,-1.0812925368849566,-0.8328875666401975,-0.9974433951927866,0.6070028530470382,-0.015359737948674975
2011-12-31,0.06302503142125127,-0.7705647452866977,-0.7107052235360581,1.2496602248366449,-0.07268804683730798,-1.5738012690271967,-1.2230519721734867,1.0537449423891134,-1.0907789482614478,-1.7403251232718349,-0.9207902874605111,-0.7512294620511453,-0.9091624323891203,0.8252450087783494,0.04877808111048452
2012-01-31,1.0020960566222858,-0.7176941277657275,-0.47777673769164825,1.2732639140390805,0.20115220865414088,4.784448135979196,0.5754035492530095,0.6243981155048303,-0.829565783183651,-1.2064834708088321,0.031053466368546806,-0.4545136637478195,-0.41447659760921984,0.3097970993830865,0.06479525473257199
2012-02-29,1.1589152671989937,1.3790663331436308,-0.3734718033778373,-0.46958280118904355,0.47994019190765175,7.318204833534698,2.877035105958411,0.12635881486541048,-0.5328606427476072,-0.7083360323452178,0.9217946636463716,-0.35741706766277237,-0.27121993904395303,0.20293421789413332,-0.0900015323340112
2012-03-31,-1.1182856980614673,0.6124057330575353,-0.4870126671968443,0.7120175108896827,1.1155740646106036,0.3847499232515886,1.4054766825155003,1.622514878870119,-1.0209084481598132,-1.0038547072165442,-0.056655662165802374,-0.4427998439498935,-0.6261880042435544,0.3289589729061004,0.010355122115204132
2012-04-30,0.3536973573112618,0.22844221395235217,-0.42341869691824785,0.5026406586285358,0.9082258876147712,0.3719474334240388,-0.2066136416030198,1.0575877949805954,-0.7845002791374106,-0.776238900343654,0.387081812258168,-0.365140770355728,-0.5650936645807432,0.23376847086705424,-0.024582243405335793
2012-05-31,-0.1132668610727872,-0.5353215948433507,-0.4366938115758587,-0.28471951873897683,-0.4359945127191479,0.5634569591028212,-1.6165774302075306,0.8780616749283205,-0.6584683549534406,-0.7498942021182635,0.09375178444526769,-0.4750558221293087,-0.7042737932738583,0.0025766162980036234,-0.0887954987831312
2012-06-30,-1.0025122960325985,-0.4652395723166621,-0.5101278149122811,-0.31087751372793565,0.031280091254528755,-0.07284838119192694,-0.2239332833474881,1.1421369712839833,-0.6829616093025757,-1.068020000195048,-0.803378958246257,-0.4170735281245357,-1.0850831912097378,0.3837933600121929,-0.13447375173305418
2012-07-31,-1.5862187025919674,-1.813322339283149,-0.9339462095498189,-0.2208606920005474,0.3394833834885588,0.8832919872405779,0.991966164381135,1.6407102829106477,-0.8227061663155663,-1.5984981744209217,-1.8853254394537298,-0.5031420824769901,-2.41211074274336,-0.9174218792010869,-0.07029568619985471
2012-08-31,-0.5356861837968369,-2.136622719902993,-0.9961482262934857,-0.9081841928660453,-0.7380657931443257,0.12014033602870168,-0.17155600443967767,1.562809389305182,-0.8543775166357829,-1.6710852373119942,-1.8414046635543009,-0.9478766002134569,-2.5644793181641687,0.18178107345138428,0.17039410977610503
2012-09-30,2.866028256664604,0.5381219665498848,-0.12272218234925142,2.7695487147840954,1.8095082499685984,3.648494982573481,4.127236132230204,-0.13162014540174352,-0.2617551963070125,-0.4408925862708974,0.8330180909486554,0.5253192825424683,-0.6302911810890934,-5.456899591532295,-0.1346287083754413
2012-10-31,-1.3193873272202339,0.5413110328751776,-1.4184150793511512,2.3123041946664884,1.96334971776425,0.18895610505048321,0.19607302816152186,0.6350139429703201,-0.5739937925090509,-1.1187500712172274,-0.3503279387860919,0.16403844515744972,-2.423667604289915,-0.2804008583694773,0.04391415096811116
2012-11-30,0.8388557271028498,1.5722365137821959,0.3363339723078719,1.8239104903260805,1.9931403511015053,-0.03215819581418676,0.3761205053731965,-0.16265348608631972,-0.2121779999318525,-0.5714644005857663,0.7681981064206478,0.8449501283592843,-0.39721088850157577,-0.1384851602272752,0.18636071095717532
2012-12-31,2.463120800528057,1.5715236595026751,2.5728479511294986,1.7975762061890805,2.796416800957689,1.257370458363357,-0.5678802830054871,-2.4516499710894015,1.3751145996249314,1.187277197411867,3.4222629759028553,1.4895596954883517,1.6743595034182785,-0.5349208744191377,-0.1395294112730761
2013-01-31,-1.3056629733772636,1.3804046817514088,0.4130599488370351,1.662453317792712,2.3926848151602074,0.844760327831353,1.166542570535602,-1.1312188079651186,0.679754220669547,0.10531139108538785,0.7557911616176927,0.8948522656641125,-0.1409817157580911,-1.1590611500987122,-0.02862934721236746
2013-02-28,-0.1821153609821211,0.6295982758460305,-0.3965097699723354,1.5740838475527832,1.9382878900199438,-0.3365947245748331,-0.03971305530836466,-0.9921465197120365,0.804255706419316,0.07257978858634435,0.13520072829872168,0.6290274563910462,-0.9380363008022328,0.2678678336431206,-0.16877870261496739
2013-03-31,-1.7098483591228133,-2.8191250150876455,-0.9864786442903835,-0.2770728399499931,1.5366869659058948,-0.380933422687816,-1.7982628248410601,-8.663726852648516,-1.2153278908710798,-1.2723563383867498,-1.5583197765035506,0.4092120728890472,0.6576357085919448,0.4447517443502972,0.023252702093046848
2013-04-30,0.5169838915959468,-1.0186516249594086,-0.8104595407737184,0.2794400162117105,1.23185555608383,-0.4749266374389802,-1.7052568767358618,-3.954025094535099,-0.2767250856592319,-0.614429945392232,-1.0144843442091505,0.4099613434900794,0.7516605487280255,0.5496154435472455,-0.10977066613537899
2013-05-31,-0.924706765968276,-1.6200430525240435,-1.364297427637757,0.22216302957424855,1.1978073243519967,0.0034107369114547317,0.7690096458576429,-2.6834316677798675,-0.8761222834528128,-1.3398023659705471,-1.7491645313799538,0.2518532948653045,0.3748828669382366,-0.3066347593037898,-0.15185129964653696
2013-06-30,-1.3037300545904822,-1.3346620036015102,-1.6640882115981308,0.04631120045482091,-0.38699806262021724,-0.6259508580274754,-0.19855558854124075,-1.9703556766463817,-1.5651031558811899,-2.0952412811863215,-2.1215461426887074,-0.7770471704725815,-0.0695462216096052,1.029219098552004,-0.3811871147743924
2013-07-31,-3.544990822840113,-4.443478091033476,-2.824008237467471,1.1365982417001648,1.3948275961922054,-0.7205429063451735,-0.29703620185357993,-1.0385895816869795,-3.1520010131103464,-3.3817797409161234,-3.894658425794312,-0.12487623540044199,-1.960882286755185,1.6637595479229241,0.00937088517330697
2013-08-31,0.48234110019960463,-2.4493682595879234,-2.037039925646798,2.1339415596825266,1.462814650838914,0.6044849790082586,0.5142773374185222,-0.9931711648959721,-1.7292491913520007,-1.6191957444622256,-2.159424956838976,-0.007679647703043726,-1.4449531068443329,-2.050741340107471,-0.061832879780647984
2013-09-30,-0.13357279087678028,-1.621581332691899,-2.6824852506057315,2.135746595723114,1.3602668686824955,1.4568182506953231,1.6493352543342281,-0.7914706479196398,-1.2320089840218769,-1.1023259981994071,-1.6317385833155424,-0.3800528335275761,-2.2670307931235723,-4.816700357348171,0.17687324294945803
2013-10-31,1.8589905144507761,1.3462037045644346,-1.2396506882030074,0.23016627462537204,2.32724390667106,1.175099957518583,1.835291936168812,-1.1208038763341808,-0.06437595717695489,0.08630493362165555,0.30041664652398076,0.31197203879055824,-0.5887157325937137,-2.213977737157517,0.3943184958832509
