TTAN IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2022-02-28,0.4778397310224769,-0.12453400574018764,1.1548063448166987,-0.12404136318996217,-0.6974927702217019,-0.17552251846039746,0.4275828002303439,0.6972687519054468,0.7517487753839576,0.43869273996832614,-0.08606863324628486,1.0419420677345015,1.4066144250469965,-0.018453798708368753,-0.004092318851841096
2022-03-31,-0.3379424718175047,-0.51466735503323,0.6380237305975194,-0.3077995742399914,-0.8886047204593528,0.5595335302321537,1.0552580983143764,0.7181890242533397,0.1722575134866133,0.2941910537761648,-0.3566325045758688,0.7242973457346948,0.8287958684934316,1.368729412069124,-0.03121780829203079
2022-04-30,-1.0114084717933405,-0.397386987699411,0.6249458358984343,-0.5917955645964076,-1.0599867017114697,-0.5912857643123333,-0.6495204764926374,1.0947261916468467,-0.06522532782943215,0.026235936614999553,-0.8404644550298451,0.9493525536182027,0.861767888260852,-0.5661075400116392,-0.10372560591370594
2022-05-31,-1.9369560135568191,-1.845170733460989,-0.09330147291387138,-0.6673686918600621,-0.45885263310821484,1.0671625676416463,1.0107765358334468,2.27386176147224,-0.5971479521732752,-0.4709971082147879,-1.8523881555277668,-0.16427622516653498,0.22031710038505367,1.3764450314928762,-0.13237167340427758
2022-06-30,-2.2739707725406184,-3.53746517233785,-0.9068226442589884,-0.6106231808147211,-0.24026474019428662,1.7664722092381253,0.8842166814055086,4.02405205389848,-1.363394088881998,-1.328421785305524,-2.9155191716631195,-0.8822368883605279,-0.5490021095566187,1.1282393667060255,0.19195519283306336
2022-07-31,1.9704436483762777,-1.1305123242851174,-0.2896282045124593,3.6124870900015336,1.5247750749406774,1.159434710360202,1.928007897760827,1.9111437049454456,-1.5832988367484782,-0.6629674785875511,-0.8678051009044119,-0.6801645040216163,0.3931165900041242,1.1253441251886138,0.10201102085903802
2022-08-31,0.7754210543862926,0.43851529138919504,-0.4028813843256344,2.516253599129614,1.8972855820400318,-0.37881761348281123,-0.8912094092254348,1.2667577309571236,-1.8334546083650907,-0.3003546344536615,0.16773630026911274,-0.7604275126572013,0.08225309565940413,0.08115264692706388,0.0008826464614784235
2022-09-30,-0.3938811811399497,1.4438143051875378,-0.956783014172421,0.4086422015711023,2.1809865159908814,-0.3803649990830389,-1.28745061034737,1.25862948768704,-0.7550535256723662,-0.5636881239943967,0.12882473729206426,-1.0209541258300159,-0.624117422893791,0.3524137990105228,0.05759305472476578
2022-10-31,0.28613722018516125,0.4222575227571136,-1.2098596125277081,-0.8107811583445308,1.9100574424087502,0.012551015047563846,-0.6544345529287837,0.9056442675113766,-0.40645139156548743,-0.28026574562994366,0.5670587885868282,-1.1391326544146059,-1.019971429319863,0.5578513669841526,-0.040082935203502625
2022-11-30,-0.8679562822957694,-0.6171415951011243,-1.506032868271077,-0.8361980205242401,1.2805851650397404,-0.5271502287243962,0.18250085262838298,0.8878050073416306,-0.7909885941654129,-0.935102369885112,-0.2186948117748925,-1.253869069016688,-1.3676188345289364,0.5212712129639036,-0.021141631164357196
