CCLP IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2008-02-29,-0.4806272431720076,-1.0061955969891747,-0.9222766372583444,0.8530639373086281,1.5395413841288212,-0.03455737339977172,-0.2347923353956236,1.2523468337764168,-0.7772290010126525,-1.1711284303971834,-1.2132681605074975,-0.5434348073969587,-1.4913234980824916,0.7347872717813421,-0.2902077818947556
2008-03-31,-1.9872572281484189,-3.2671972214721077,-0.9470335959551797,-0.09917067544723086,0.805129909781349,0.7682209612940671,0.7817039046349743,1.5829083914201143,-0.9914562143214559,-1.4420692378997555,-2.213502052487596,-0.5667646092397235,-1.9800900291136818,-0.18477935725847927,0.09504740224401624
2008-04-30,1.052187620124297,-0.8575579246654624,-0.7890457050302541,1.0578970976648028,1.0252769037441896,-0.38113798037475094,-0.6391825465950415,0.8815695474281308,-0.6859330764314026,-0.9423445021026977,-1.038824898921416,-0.4422949136560762,-1.4067218522862546,0.9115832770415082,0.20484308036715665
2008-05-31,1.7919303768448283,0.7132369513526222,-0.445882033990699,1.8578192235693192,1.5516099440914117,3.26734384145285,2.0574738572034157,0.11805848514073929,-0.3124166733446599,-0.37040943314101143,0.6981480248368668,-0.24992037545811227,-0.5220037918850859,-2.199235721051388,-0.14863416081027916
2008-06-30,-0.7597856664475621,1.4000795234962153,-0.6219999224316268,0.6698303709904254,1.2898673071821958,-0.44836452240087804,-0.7700043043935951,0.40364090168328265,-0.2774027911760743,-0.5106948037634313,0.27980925181554206,-0.2506465648247508,-0.9995086740977707,0.7601270281771751,-0.05423976893699673
2008-07-31,-0.11792264286667793,0.5731833671111016,-0.01352642096928376,0.6422610316499145,0.8539684930457602,-0.6926675277061823,-0.7572177348653737,0.40083807530667537,-0.1561482951032245,-0.44864937136964333,0.23639930533337947,0.14903649075323297,-0.284072884765259,0.6632877978465208,-0.015196856717432025
2008-08-31,0.1491374098155173,-0.5152316350747363,-0.1554437303737637,-0.8712759696481894,0.7608637725298463,-0.7543669071845296,-3.8219326053250233,0.28670031134298435,-0.028097220130306057,-0.3278501017917867,0.3673128167443146,0.17444378309098502,-0.5350990522283363,0.7753703655026531,-0.07032531672073
2008-09-30,-0.1706994759968618,-0.09216894395322181,-0.9283159009720086,-1.3149172125851416,-0.20432436493213718,-0.41239491864365335,-0.29526486768748356,0.3492525321959622,0.07630802594853267,-0.3127255663869795,-0.09987551406820776,-0.943865488517032,-1.6815259301295178,0.657777401878528,-0.5596157879354228
2008-10-31,-3.659608916390939,-2.567183710880935,-1.6534820813699376,2.08594114819977,2.16554858288925,-0.2688571882843192,0.7885500286358796,1.9735884264764303,-0.19531505284964013,-1.193912504655654,-2.793764788877136,-0.026392953797986774,-5.377535986710795,0.5816825334791464,0.1188935299404106
2008-11-30,1.112219680823055,-1.623662864959784,-1.4394817413149759,2.4004236521482034,1.5436837930397982,-0.26028609246852313,1.4552209583005693,0.835621116550586,0.04192450054689558,-0.6516299480720579,-1.2950312168670872,0.03602771509416251,-2.797477012014291,0.5582780526566776,-0.10770634054984618
