GUJS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2011-02-28,-1.246592542573965,-1.7378875982847188,-0.7390534139291285,0.09305243914695258,-0.6007051385559384,-0.7332534801682891,-0.24817164271926356,0.7719242797956336,-1.3769316826759235,-0.7245257513611579,-1.7721125866479261,-0.8787642001933427,-0.6209965494886526,0.3829563704547895,0.09642190865701523
2011-03-31,0.3686864463091399,-1.5164021340721905,-0.7023283634235473,0.17351237877188813,-0.3260570799903186,-0.9772381795934663,-0.5159727459088447,1.1397771500528557,-2.3704636024850756,-0.6112388078816071,-1.079577140387005,-0.8203557780879738,-0.43653390737208425,0.25667312217737764,-0.00557104504945536
2011-04-30,-0.30964367945924975,-0.7634283581248618,-0.866397124799675,-0.059326459884732174,-0.29202768500643905,-0.8239830097141765,-0.7747307357750124,0.9488171276835907,-2.3520643833267627,-1.00068092439823,-0.9080788193293291,-0.9951103833112158,-0.782148403067433,0.4302973050939892,0.026066638764495484
2011-05-31,-0.08034742081360395,-0.011394550499382056,-0.867691146443081,-0.7135158797790054,-0.2721556474346158,-0.6249231391865355,-0.40192098375899543,0.7230355089038727,-1.987432655000477,-1.2504160654406453,-0.6382059505628185,-1.0088824395538707,-0.7195926301378305,0.3516283604079827,-0.128103301329771
2011-06-30,-1.225638512603965,-1.0551774585620062,-1.1472160250846684,-0.34442271019096654,-0.2763617479808695,0.16710393173075483,1.1113799629964691,0.8657206462973277,-2.1074211897710677,-3.707588947835639,-1.0715040259342796,-1.3456749583291396,-1.4314171070911696,0.46072002894388575,0.1399086524030521
2011-07-31,0.9888500002359405,-0.23789782581303429,-1.0264049137279618,0.36295069792786333,-0.05206220334389532,2.4463556007555356,3.403651582539636,0.36987317875633957,-1.404343604576779,-0.978078791342627,-0.1275536059840073,-1.17886106796102,-1.0516582290349883,0.32543022822809964,-0.020751732811083782
2011-08-31,-0.4035929477562185,-0.4266306692234606,-1.1165039429735508,0.6286915439467222,-0.2420741229007437,0.7014834769699281,1.717143586197961,0.2985033914295907,-1.2404553567257193,-1.4549171871108213,-0.3149677692236943,-1.3216377445019853,-1.310998003958142,0.4263262059804697,0.052515712182502186
2011-09-30,0.5198567448252165,0.7794622905403885,-0.9537799369201404,-0.1500613487446385,-0.2639750162124127,0.4418640785631406,0.36142733516057746,0.041723184083537854,-0.9194268441524344,-0.40468654739310284,0.16982692836909916,-1.1309124143849367,-0.9713901548489677,0.47920163450867853,-0.05651771852435674
2011-10-31,-0.7787109123306092,-0.48084464211288236,-0.9863169130129122,-0.6835761910849177,-0.09344462616117655,-0.6386130274708216,-2.5808892726149892,0.07712267037654201,-0.9234938260106335,-1.7469912318398535,-0.34689222165578953,-1.204079623920052,-1.1602836594331074,0.6532739869099438,-0.1084284304891632
2011-11-30,-1.3632465776169103,-1.1720437269906163,-0.9904501512489312,0.014295223918923627,0.28312440168866704,-0.5889555207733466,-1.5130290854288126,0.32604291487337994,-1.0896705458777376,-3.822014384787751,-1.238812094081658,-1.1919826721389035,-1.310586347111146,0.7619092279689655,-0.1413833679072079
2011-12-31,-1.743297108535997,-2.7555384470267477,-1.2084653351168053,-0.9571705124276012,0.6490792950989868,-0.04221348916760691,-0.6714095500711532,0.8177260914887344,-1.3562138544278233,-4.730213518036397,-2.682849406211619,-1.3203587550581617,-1.8890345068077463,0.9729944312362887,0.07019335182320115
2012-01-31,0.9503877387102899,-1.345183062326768,-0.906038284656711,0.9903009864451325,0.05520565708738282,0.5496192755235545,0.9781908416890603,0.3593208420754796,-1.041853109014163,-2.3815883845161654,-1.2226863095450542,-1.0497540592414065,-1.1042754130167776,0.6141121016278693,-0.0747080321777279
2012-02-29,-0.8422305237138663,-0.975478561644002,-0.8132934087424027,0.9099350935064157,0.13877664385543456,2.6136613777364,2.4345670287292607,0.9437920149945498,-1.1724253249110157,-2.6028902050764993,-1.4725683513935917,-0.9205040171906111,-0.9157406725361725,0.20535458412783422,-0.011049836186584935
2012-03-31,-0.0819359055689794,0.01001355982365561,-0.9707626092735754,-0.1803215348456233,-0.3263001408505004,0.8015691588854071,1.0390079926309512,0.6682881936772727,-1.5372746282829255,-2.101961013711315,-0.9183470765442262,-1.099711939248508,-1.143749782134303,0.3876889929662276,-0.1483938616691665
