SUMICHEM IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2024-02-29,-1.5337406886971208,-0.9461257640717871,-1.161215485448978,0.04010147666489675,0.6726963514334696,-0.36763763354837276,0.6601315441855482,0.6479846511162602,-0.5432743687082796,-2.3446927683268783,-1.028073271438485,-1.0062006000064907,-1.2836987976070793,0.5220967222744249,-0.07317295572281521
2024-03-31,-0.9953840951536769,-1.552540292707754,-1.1577907927969966,0.015831757005009404,0.7198632566861187,0.2547776091305487,0.5293947934296941,-1.1011284501982304,-0.6902686881304244,-2.4324917925372045,-1.534805122077554,-0.9960134275015149,-1.0703218437413962,-0.04899290086574421,0.142726941972455
2024-04-30,2.37912905606893,-0.27500207236684115,-0.23786308713278476,2.249909119205245,1.3489201698398794,0.2887258615919442,-1.272729796320935,-1.8506038488596457,-0.041652372009796636,-0.7666649206214362,0.46256872689239614,-0.2239931351355181,-0.11261726779034563,-0.08012468654518642,0.14491918447022775
2024-05-31,2.0760452848746307,2.3590572708476025,0.7284778635655389,1.855764368351864,1.8658986104758633,3.4531308909711242,3.614081218405572,-2.25692139813129,0.6237292015949697,0.6366347767607597,2.586440908810409,0.3812121780290058,0.6691421999761246,2.9780907388329823,0.034656146655701624
2024-06-30,0.4574720040251973,3.4457483921297967,0.49735228865253284,-0.17122068474783084,1.6623465381465503,0.9130057985532367,1.3844822629852291,-1.9976354109678678,0.8366150420874826,0.943232332766711,2.472554887667305,0.24782418131070638,0.4909368470921431,0.3159129915667508,0.07763596764297151
2024-07-31,0.9848266603569359,2.1498222679735806,1.4136485311293254,-0.37734831039825595,1.6901066365574418,1.3955457494950565,1.8182890434572523,-1.887250111881052,1.214232380404737,1.5029597087739366,2.6999901969037476,0.7722021466818161,1.1004641016535124,2.0119038492283154,-0.01436778429288626
2024-08-31,-0.27155255488948393,0.6730336628885322,0.7750911173415236,-0.6363698351507538,0.7503269940911713,0.2526189340461521,-1.223394364827703,-1.592267607791502,1.161192830916186,1.2874394795912685,1.3990096456947885,0.5376494508591345,0.677004643654184,-0.001802866905412378,0.08515182176818797
2024-09-30,1.1503426842826177,1.0426126022766413,1.6567121781952852,-0.2789343689656766,-0.3762981396185032,1.360373842474232,0.7700528750227702,-1.5922431307167888,1.7739089626860043,1.8335085972177834,1.491463592450394,1.705045654476941,1.213502802166555,2.44544399347283,0.02920303089412723
2024-10-31,0.33593821914280825,0.6832609291283187,2.7994669867626163,-0.5068042135193874,-0.659374106382728,-0.16670215180902045,-1.0277916142937211,-1.4558465235731173,2.027531097132466,1.7584963105909397,1.0823881146784087,3.1924821344118923,1.9652283467447798,-0.524856546151934,-0.03849535270802191
2024-11-30,-0.6033275420096115,0.49071102528649885,1.581764548703128,-0.10848854444162233,-0.9173223950785309,-0.7007127917073845,-0.9457224670123628,-1.2236847321471538,1.7308466677241574,1.2844351531466631,0.2586670735285484,1.9675389600562527,1.3034729457012448,-1.53012411979318,-0.03495537328336147
2024-12-31,-0.5571162754752442,-0.4720707223643686,1.3483597255859876,-0.9530179468298989,-0.5953503056581639,-0.7719428431664739,-2.0817495201968965,-1.045676859337684,1.5143038982246104,0.9690420578035719,-0.3200148431068175,1.4063257340037743,1.2135507978883058,-1.4871331525143674,-0.04021989811190744
2025-01-31,-0.5886920658225904,-1.0008408340564352,0.903944641115278,-2.1519313679292664,-0.8433884558107283,-0.20146304736422788,-0.039835875099280466,-0.8908585430554904,1.2761663080281835,0.6743316185585261,-0.7055904977694903,1.0765118946788714,0.9254059029170274,-0.43275310259969973,-0.10520852842446123
2025-02-28,-1.5007413750758942,-1.4893503510620727,0.8810275192540454,-0.7808463068092887,-0.12820824815624687,-0.9357347595913703,-0.21227981284625455,-0.634584355321802,0.637952241113986,0.04801094430577943,-1.5913007007939146,0.7383459304719923,1.0196873661526042,-1.3615084143977212,0.1942454079063547
2025-03-31,2.5171663519170093,0.28603116663518663,2.6358332741405777,2.8771332056578003,1.5853435950578212,-1.0593966593946298,-0.46394331243310916,-0.34245778648165626,0.7312001672701987,1.0546045712957155,0.43188572380688006,1.418734393391881,2.993690970354949,-3.531400417257285,-0.09511354230492018
2025-04-30,-1.2471349259169782,-0.17718013926542267,0.8066154952162777,2.738568541579621,1.7247096916848175,-0.7555406866366449,-0.691201099424263,-0.030721799154464966,0.07522432801830452,0.4251202287635419,-0.42338671062506494,0.37188164947971236,1.1282939290114533,-0.8775881937837654,-0.0036440676559099027
