NARH IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2020-08-31,0.9390505346910849,0.8810277804634472,0.9288481827782452,-0.5725454438875531,1.2212313201915663,-0.2832375737556815,1.1434110942961735,-0.019110856594324106,0.5234816710409351,1.180146206283783,1.1242401512700186,0.648824933761113,0.985709732244622,-0.38535207086887346,0.10133387245974511
2020-09-30,0.8017367453723098,1.5214606102268788,1.5011923477501021,-1.42936037181345,-0.9804791883561421,-0.7828571764557565,-0.6028867296756922,-0.13341808518859827,3.248506016009358,1.3201322933691042,1.385702602756464,2.2924521835841114,1.7171936983914602,-1.0488933762813384,-0.045868458856595296
2020-10-31,-0.5381645730078054,0.7251750867292821,0.5026306016060553,-0.15988569404767244,-0.8387556133279538,-0.8722906607821628,-0.6637862476870829,-0.2678362350805706,1.919362814457038,0.9525682981296558,0.5817366184352968,0.831293373196763,0.4813783865962357,-0.6894817891092073,0.12233796600877504
2020-11-30,0.9257828201330021,0.7333270842458888,0.5001596275916202,-0.13682050636234475,-0.7827503078107959,-0.38710550031310714,-0.2830674067250715,-0.4118187687214128,1.9573362393064884,1.1467300948034143,1.0685739030752008,0.8072745725085598,0.4964614024347988,-0.3517627361258484,0.14812550425049067
2020-12-31,1.0833561550388915,0.9278629225638482,0.887759020843991,0.051445549806728566,-0.8720092223997236,-0.5266832724098551,0.1877935694775327,-0.5799624372413128,1.952324413851927,1.337807437669183,1.5292024104001174,1.3085543371366577,0.9816553914714106,-0.47802374428660205,-0.0057063091902963175
2021-01-31,-0.3559521974421114,1.0893977622234072,-0.015096875046384736,-0.3965832615947749,-0.6389960882714927,-0.3314868446599423,0.3836949567901241,-0.7499652153560579,1.4176585691464925,1.0943201991154914,0.7307570618366855,0.17453992707423877,-0.07701086987809036,-0.26150853245381656,-0.03250186309048653
2021-02-28,-0.6035468472439652,0.09735054654484451,0.2745534427387046,-0.1468908503861038,-0.5274831253704904,-0.22497407531731006,-0.15636936529306844,-0.9297527091841644,1.0779063982138335,0.799838338304097,-0.022549568078437273,0.3845744960531918,0.2849573799727277,-0.1694933421348988,-0.06093619231540304
2021-03-31,-0.8101199239380251,-1.2081641681159907,1.3789722044982047,-1.3993628355391512,-0.4246970419382294,1.0772833567614233,0.19681467111610862,-1.2255735441559208,0.160521633389982,0.423463259485626,-0.7283825192288642,1.358389802398357,1.5278016430040662,1.6889886839908452,0.002706694565865625
2021-04-30,-0.2110504926902006,-1.0784961993291518,0.6474101811673744,-1.2688273067555347,-0.5673136177442477,-1.182181378589989,-0.7844939804078371,-1.2207650609930003,0.046679823635162224,0.29214352200235283,-0.8972986194542869,0.7564484102423469,0.7173546603753248,-1.0699441589278886,0.07444140786075536
2021-05-31,0.3985554876647456,-0.4041516264628739,1.1497144812121796,-0.597905057740872,-0.7956021312414755,0.4735736681034678,-0.11921866728619623,-1.255393578916891,0.18060201560125494,0.4230548192820489,-0.45760799115712153,1.5088598989541966,1.2519734739332435,0.7678531902526948,0.11585498188542913
2021-06-30,0.8163550308725408,0.6375475157494604,1.9100196762171744,-0.7446828539988548,-1.0033766736566991,2.484497269744953,1.0834001507138125,-3.7867113298900126,0.4090290027833907,0.7084703922709693,0.428478255135325,2.8045492027374452,1.4614821346697457,4.097779020773207,-0.004887495728583596
2021-07-31,-0.30603886453326756,0.5757262996968068,1.1850561560640982,-0.6321750599943907,-0.9849716688486501,-0.32057559177112194,0.661952741939706,-2.782464102126053,0.23507189012952073,0.47320651047871565,0.236703415546499,1.742375087349575,0.8782819598580323,-0.3010108945397632,0.09848791794812893
2021-08-31,0.5977469817934429,0.6859000868538215,1.0451647291076873,-0.5196652136891793,-0.8900325638898281,-0.2146803660604302,0.008263042801359977,-2.9190106801159987,0.07292083523875463,0.7092791165911803,0.7366933606890353,1.4254931496400316,0.5403570440549154,-0.20316637407852042,-0.07338958898278124
2021-09-30,-0.9779732266250182,-0.4318369799016834,-0.0693745391089147,-0.15499600224333118,-0.7782733552183025,-0.7096198817173648,-1.9074298708549606,1.9169330043337696,-0.5201093039857573,0.10069351375089985,-0.25752398277055066,0.18228234300001092,0.5048040396812274,-0.6298784695577431,0.03722405047960303
2021-10-31,0.03231062664473063,-0.22233597055342894,0.3589961827565595,-0.15263595324158327,-0.7924453530401739,-1.0389890884231503,-1.2654403167556778,1.313849638868574,-0.5191144135155286,0.03636433961534199,-0.298044755949494,0.6497279646678248,1.094311758899013,-0.9524012375849336,0.13432229489345807
2021-11-30,0.9897209084524856,0.010867546010553458,0.3857555315972738,0.14579631079583455,-0.5421883436990468,0.806153517965056,0.5182963706695718,0.0812081750415718,0.06762604668191816,0.6100250443202727,0.4510412398115134,0.40822880273050527,0.6997563139411582,0.5841176713117893,0.06994272488983719
2021-12-31,0.37647394619249985,0.877861971038861,-0.16759310042743772,-0.7628548222593011,-0.6437858570953953,-0.5592066915284087,0.17806351386929167,0.9505726916609331,0.03977077753057623,0.6652704501842162,0.703095326722711,0.055704995967942705,0.2885127772447845,-0.5067559915133444,0.009183658598964113
2022-01-31,-0.1965140960901199,0.7481761089312498,-0.04512560986874326,-0.5250164162686808,-0.6543003250644683,-0.5899560682226368,0.8553077853245328,0.7572224770690416,-0.0844791929811593,0.37512893887818927,0.3678940711788456,0.18215387404067152,0.4182269884075838,-0.5314705146913988,0.06013232982264711
2022-02-28,0.37079488036719277,0.35613589615093943,0.7968149208451863,-1.003262914161773,-0.7164930986454345,-0.8309256977042203,-1.663650113855092,0.18941700613780857,-0.18332686492431643,0.5329343258479388,0.677779676771129,0.9882947290100967,1.2516622256586976,-0.8587961877254419,0.08385129727593084
2022-03-31,0.5533948419839098,0.43675524378986275,2.1039782593638017,-0.8312665405437726,-1.2452256040129681,-0.584570584618851,-0.2768234327665662,-0.40566916172914236,0.0885801080473426,0.7990191218914361,0.8498990559104225,4.312252293693416,2.350738325209844,-0.8210319655548174,-0.06255930891465332
2022-04-30,-1.5940072819089353,-0.11330067486821638,1.297470405745897,0.0021187747830376095,-0.595004139207571,-0.747506911152752,-0.5259068668995898,0.07001803053440414,-0.4854541274657975,-0.016206965137295342,-0.405076827560236,1.0281741096336705,1.6933632907560559,-0.902152092561986,-0.06711748235474024
2022-05-31,-1.515829520197307,-1.3142892220841402,0.08208904338807275,0.3324676595514287,-0.5583207186529338,-0.733501610469464,-0.20534961594107662,0.5461408287656891,-1.010839025604942,-0.855407391594881,-1.398092481005931,0.172970038362015,0.46344814046684324,-0.6226066854305219,-0.03441784658636727
