JDSL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2009-02-28,0.019570889919447606,0.7899827685085802,-1.5807759082517883,-0.3610885056844337,2.2153483910611773,-0.47052560713536146,-0.6869304437019745,0.9577794374608192,-0.758670363882316,-1.312090096364972,-0.5724038296795092,-0.9108647591603611,-1.8645463687956876,0.5896062090691009,0.06400532997591238
2009-03-31,0.46353436013704175,0.49537649105468695,-1.3564817815743815,-0.7556382348119021,2.032533430191764,0.2593609104702672,-0.6349342520910741,0.6792209381007118,-0.42266960189339237,-1.0542358384041959,0.6816061374648591,-0.8007793593654149,-1.480097755384436,-0.28897499644080543,0.4326478427019667
2009-04-30,1.8932436750277921,1.2807329126325282,-1.0392353240962353,0.43481573749540914,0.22336589642505866,0.9571038210000755,0.49462513088019533,0.5594406192078752,-0.0993743149156807,-0.560735073112353,2.310438629185545,-1.009609018923516,-1.0523913899081716,-0.9563810992518545,0.465343132000755
2009-05-31,1.8823528250514487,2.2857069744084026,-0.4952842052193466,0.23201379201677697,0.028580285624786875,1.8445413950324043,1.2690115860636795,0.4375837489875758,0.42685778039523786,-0.07608102744716118,3.386969749528806,-0.6709717809856164,-0.3192418197973111,-1.045442106427445,-0.1958840527713045
2009-06-30,-0.6133402605767934,1.5290573950038582,-0.5146535940536613,1.1550343353832615,0.3827383161180379,1.1470063200514697,0.7453255674077407,0.3300352343888412,0.2047459203576307,-0.18763997193916274,1.1990135398725286,-0.5763630903011164,-0.378466515018471,-0.8447073631276145,0.026407402465819418
2009-07-31,0.178229695787571,0.6875485862798351,-0.5080544573271459,0.8450701021467342,0.3532176629462363,0.13348657505386072,0.047597440337251606,0.24152437571277718,0.25619803931059226,-0.09488011405170452,0.8029686455134064,-0.5428077036566228,-0.395243708511588,-0.34371601705106375,0.0006432936857419421
2009-08-31,0.10795020454920422,-0.1679679828591563,-0.3766694199956808,-0.5307086442984272,0.2715640074179678,-0.09390122342159173,-0.4208221786012498,0.14624521595071907,0.3109421464388716,-0.014605894592856286,0.43486996743871403,-0.44570284604622545,-0.2484862965027985,-0.10854855383079251,0.05929974228129184
2009-09-30,0.31144475881469935,0.308730662332853,-0.06987865799968004,-1.0949903296347434,0.2314628879113619,1.9389634310650739,0.4131920642523884,0.05825175712854907,0.43986572483590325,0.12643770567749693,0.3015153559129787,-0.2305235462949178,0.12451942112724877,-0.9322171339406239,0.15259102263561147
2009-10-31,0.6326321804899264,0.5440875034182895,3.6260808410155385,-0.7821402239611549,-0.14548114033055806,3.0157705625705216,3.1262587338533336,-0.0290274095050604,0.7355543324091994,0.37323608924710316,0.5299556997242791,2.5165557074256397,4.848520992262653,8.574835889391466,0.0952155768999453
2009-11-30,0.40445024476033425,0.6953769314450884,4.692087433450422,-0.9855519177869599,-0.9872920934030427,0.27156810091771283,1.4390480170067717,-0.11097475628701477,1.0216543762868902,0.575815646506177,0.7414573980065489,6.969404305488725,5.419353520227237,0.8802602365868127,0.12438371968773553
2009-12-31,0.5399378867913516,0.809145972394197,3.0728279571214614,-1.0523940624533954,-1.4711211673130575,0.30753574410943724,0.7825574571835009,-0.22331975601374096,1.763245139475287,0.8887321236946254,0.8986805368509558,7.487926807650826,3.204977098135254,0.6168803861640214,-0.16788985571056247
2010-01-31,-0.4961122749129134,0.23027354988846224,1.857361393884778,-0.22493064861674433,-0.9699557444801953,0.14309985283078616,-1.3343889412186267,-0.3524888054103986,1.617528793505147,0.7834009826203969,0.21660245719881444,1.310335251292999,1.8530919694190207,0.05181328550602676,-0.03904286335684572
2010-02-28,-0.0680556353018302,-0.012597251523907551,1.698040217294939,-0.27767286832721616,-0.8990949580223182,-0.5725054254997047,-1.295669011431152,-0.4251027536858004,1.4955955609638507,0.7925556400923432,-0.001751669112189673,1.1771913161966703,1.681240588724887,-1.1373109870451314,0.07375930031461575
2010-03-31,0.3313414846956257,-0.12163120074980667,1.5696655786551774,-0.4145732760128752,-0.8577115338892776,-0.4387357421740498,-0.8379382625096816,-1.7840463639661281,0.9120776263138637,0.9534986154160806,0.08749242768261889,1.1058580540852592,0.6530096611795215,-0.8542037341809084,0.08174820694535512
2010-04-30,0.3329514918269066,0.30258597037186763,0.7053662404272762,-0.7248556381907169,-0.8980066025850899,-0.4978571125078263,-0.7911899845871604,-1.8518093570752274,1.05468115434209,1.2941492414896252,0.2187883968705468,0.47196845020275596,0.24060171701521477,-0.5843453782775807,-0.11794795690686016
2010-05-31,-0.38716998245695133,0.14021926179526106,-0.09616639183167341,-0.4510302950901733,-0.7981402899531125,-0.7022774145941403,-0.13119516047738003,-1.7189477756010885,0.7165334573774849,1.078464869460836,-0.12198361708054502,-0.2791626406071735,-0.10497851847758245,-0.2603666589118326,-0.02429066468359165
2010-06-30,-0.04468989254539664,-0.05047730004796785,0.07615387660794334,-0.5381274030720429,-0.9247820977531189,-0.834051779966244,-1.3742921450840415,-1.657257035362333,0.6098345977189735,1.012871934255006,-0.11032437890826097,-0.08435462316337264,-0.015619424194826571,-0.3871313934310744,0.023300565592808103
2010-07-31,0.11061408045571658,-0.16333736924914172,0.05647330596060802,-0.7073311971506637,-1.0883042244857088,-0.15958865835065086,0.6380148698063589,-1.6170919202914147,0.6128188986228893,1.0152431164053635,-0.05994543018294997,-0.016516031276739875,-0.027788246102512116,-0.19570772497458033,0.01279545016406458
2010-08-31,0.07997920401666245,0.07387651492919484,0.05193830357886906,-0.97326527537965,-1.100819221932608,-0.8622440366469314,-0.25941921981983396,-1.5842810453904845,0.5885528860329613,0.9988894336891582,-0.05189548023228597,-0.00992073962545312,-0.030403127775812267,-0.36428461421124053,0.1910446063245756
2010-09-30,0.7097467002696076,0.4561755040548665,0.19500288565237073,-0.5055321715355939,-0.8767389917235011,0.4386704150936421,2.4406353210941876,-1.679245351515824,0.9842915206839365,1.1929527053644038,0.4326261006870741,0.010941705377505492,0.0031740788708388267,0.08723481816061547,-0.040392880381932394
2010-10-31,-0.16747238175215975,0.3135403623536945,-0.06964718451064898,-0.38318495489135,-0.8931006946212647,-1.0635361148653433,-1.1323076225556898,-1.378021520039634,0.7369284698809049,0.9829093928381063,0.23918888375558678,-0.26394318917520465,-0.09904124180237867,-0.32756415706658826,-0.15236468365991487
2010-11-30,-1.1957353462183662,-0.10321239837253272,-0.3558066607603625,0.03969691408189586,-0.7551661699780415,-1.2658855401161389,-0.6453819750288251,-1.129744404546401,0.15143399180260966,0.6641181463841054,-0.3313186036956325,-0.5321484942773607,-0.23841304609289493,-0.12222492356015408,0.027061327581730958
