IDBI IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2024-11-30,-0.4205786665463912,-1.6419263792222167,-0.4968633684492691,-1.497884474308211,-0.07411895804487438,-0.9947075629592453,-1.0681048183927295,1.5035820841012426,-1.2473526141791302,-1.7791044033865406,-1.6427608394148399,-0.49263447796843196,-0.25579951092740016,-0.6600279213468186,-0.06943727527431166
2024-12-31,-0.850125307911676,-1.3900849555039247,-1.2296538046956684,-1.5036280115743093,0.24811509867628176,-0.8491282534380243,-0.5898382738850085,2.604192892631918,-1.9542942527596414,-2.3460010183495132,-2.0845404470281412,-1.2310520905719482,-1.0824224164852507,-0.32951659380107545,0.0587695265090985
2025-01-31,0.4274286998142051,-0.596734861341436,-1.994423344739694,-0.6433929016973378,-3.8942026642700722,0.02399867674240516,0.629775021209682,1.2657094891944716,-1.3974362375281508,-1.6450788168615202,-0.9139128467365484,-2.199935943407131,-2.200721600363162,-0.1036935075771686,-0.1583508095348647
2025-02-28,-1.7010207148383558,-1.4918007971938694,-2.4055868856442615,0.24301934712152018,-1.9996658438902268,-0.7878558118001677,-0.26489260528283126,2.1688325119060377,-2.3843129274625094,-2.966375106352724,-1.8206341120917435,-2.696724830877785,-2.9338314866593307,0.17528867917393873,0.11527652706559333
2025-03-31,0.9254850353161694,-0.21173083864759407,-1.622415139202119,0.8745824057968644,-0.5296259767952602,-0.5134734880349926,0.15879670691479322,1.1450553601024314,-2.0935737932438925,-1.7313199539438273,-0.49093267144386815,-1.5193925840220062,-1.683906106670552,-0.08057553526108777,0.02704411628410563
2025-04-30,0.03946850480923361,-0.5069426284305911,-1.8357072854220864,0.7109795042466907,-0.4690335658072581,-0.3258105108347439,-0.6712611932656184,0.7563448777802391,-1.8892978029095406,-1.5815026563387364,-0.1980816352831402,-1.7501681992467037,-1.9746337940308174,-0.045079140891387724,0.19285092107427274
2025-05-31,1.7309286981313763,1.9679493541038457,-0.8929572892945602,-0.4110727901124821,1.1144384569116923,0.2391265839924061,1.4677321326504036,-0.6229149330625872,-0.4958146916953876,0.14168631312915764,1.5619431997521893,-0.8773945769919428,-0.8122972719300797,-0.10912061580478362,0.06614476065773212
2025-06-30,0.3930259976530422,1.4581967874973363,-0.5110505188027272,-0.29346377365921,0.5699697771135933,0.5994779229426968,1.2047753816660325,-0.7806774277508448,-0.2910304722164287,0.6009843706238978,1.5655671236750885,-0.502701812800886,-0.4209112562525797,0.03336971427042946,-0.10985025979111232
2025-07-31,-1.2500410075590678,0.5315192705664574,-1.5634862954674156,1.050667380229704,1.3774159794890868,-0.2259728891559247,0.12458313342297618,-0.0858341058108756,-1.1825780141725681,-0.5490432523819232,0.10424783383480987,-1.4016184237161802,-1.6417659366491928,-0.18689586659605925,-0.07854208962264746
2025-08-31,-0.8753150360688786,-1.2071201954749253,-1.3855666057389835,-0.24652218709231616,0.3285175190140994,-0.3530225271955323,-0.6473107306700036,0.36347947971808847,-1.687315383325356,-1.4150867576115123,-0.8648680736979613,-1.297744210379217,-1.4766582450227512,-0.1826042532327634,0.06496156692764574
2025-09-30,0.43919105688483173,-1.1273737277697187,-0.8312806445824313,-0.3507569124295978,0.01237267948520756,-0.13127788061676324,-0.8497322863340677,0.8430949176318882,-1.4962435769389946,-0.6899784053250227,-0.4667407902839078,-0.76567462101649,-0.7384634364497109,-0.23835001743653766,0.12700169782818987
2025-10-31,1.0609381249902992,0.41988023594276724,-0.15300599543626892,-0.09138905942861354,0.3408058869696266,1.9746028041703088,0.9102775457171148,-0.11854006152389485,-0.5569631468634546,0.7243926265358628,0.38534011680728686,-0.11921710961164972,0.088931320460617,0.5523659119152063,-0.03350298650500067
2025-11-30,-0.5120327931816216,0.6824409014982071,-0.18850857373953597,-0.6225675815620678,-0.9498357782348523,0.48841478006095557,0.5956742629618554,0.054963030356759944,-0.801565491297524,0.26582800280961166,-0.017606329657718512,0.031866915301367434,0.0656590325116042,-0.026588405225491808,0.02566891191092269
2025-12-31,0.05481534797290436,0.408212247889527,0.18952900756731036,-0.5579339789283948,-1.1382345305681536,-0.3898221891589076,0.10408507028792127,-0.13198468737119087,-0.7426318565127481,0.523831748688664,0.2251270544680916,0.5573320957465941,0.5336212731068033,-0.43792874763859124,-0.033770981737717476
2026-01-31,-0.4785128116043243,-0.6146037478593641,-0.20015415713982368,-1.6410728928399856,-1.837040575060249,2.0682331939344496,0.25615746943890594,0.03925078179599583,-0.8768699689587213,-0.08500200290272368,-0.2088423433167865,0.22361076614049358,0.04946189338515763,0.5955733449930413,0.15281547988732253
2026-02-28,1.5356592131467341,0.6604448451767957,1.3110047962401596,-0.09937042521723297,-1.4774986842443527,2.3815619250643527,1.032483089023647,-1.0895072115195616,0.5744097915598789,1.7423072692449582,0.9706575183690247,2.3069893320384596,1.6183972548936665,2.9652561029444335,-0.049113464421189246
