PSYS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2014-11-30,1.433572768913507,0.33250142652667014,-0.057047254699475525,1.8807846339430543,0.9152902840263432,-0.20119972209178355,1.1084143305393008,-0.08056734976174174,0.3048237683570597,-0.32597224711498873,0.4038620421636353,-0.8385580719545378,-1.547787948128834,-0.1842338660195068,0.08900675677371978
2014-12-31,0.48761665725501424,0.19784917735147764,-0.2790080004201301,1.5707898885096863,0.7642851420931384,-0.3192990473741392,0.8863369383371582,-0.06969533469219322,0.43512708290598195,-0.14859472294276505,0.5612778931705289,-1.0078259342507538,-1.7851155960523388,-0.28983616500599724,0.014180571363664523
2015-01-31,-0.41321684928407904,0.8044772853896078,-0.13987871007853922,0.010239144267519042,0.46153122491657417,1.5466457494353347,1.0577124917178748,0.044120793081547934,0.17234403741948395,-0.4143729114247207,0.18570351932424836,-0.6409606617069311,-1.4965861242721046,1.1330743899480673,0.0723438145896011
2015-02-28,0.3064934720245505,0.20744705095128407,-0.6600525716665976,-0.9839435610344253,0.2878781212434639,-0.6423364535251708,-0.20304220166603207,-0.025983115207537693,0.36716009597862775,-0.29385539182841525,0.30400123821286834,-1.0808924157044322,-1.952294773836901,-0.469096184129286,-0.23886145842774464
2015-03-31,-3.430881332263789,-1.925335724566437,-1.445133286612588,2.704744225901753,2.9543617815860954,1.6973000056399088,0.7063785738091037,0.8260003488859002,-1.495324468526231,-2.146236907821936,-1.8213328972052625,-2.5843345216598044,-2.094773960850464,0.554819816133731,-0.012027805804297112
2015-04-30,-0.5123315632573315,-1.904593055885862,-1.2066860003961464,2.1512580299672406,2.2481306160688304,-0.023911511901012813,-0.6305580485950232,0.9214278837646155,-1.5587766788657462,-2.1377986136334712,-1.8462889525464654,-2.0919756838050896,-1.7003390434412722,-0.10409545437146556,0.10852089838273585
2015-05-31,0.6624025647597196,-1.5838433417098337,-0.9554435286409863,2.2996792605713376,1.6367238572460001,-0.0783057659932174,0.19591517795928085,0.6353065023287373,-0.9302713763134515,-1.3839112919861238,-0.9942078067202214,-1.6296715869816245,-1.4779051804246697,-0.11943015700208134,-0.270366604481568
2015-06-30,-3.1335023375088786,-1.7101862299046968,-2.134936986343335,2.4562507249500034,2.739830918095764,1.6191324367384918,-0.057741110711497345,1.6710153128015024,-3.144944918034261,-3.2948992543447315,-2.512169801284009,-2.2812815695866964,-2.2913747690804973,0.029184037379180582,0.1025078750325782
2015-07-31,0.5533956686767686,-1.0079144052378024,-2.1790640388398237,2.7076408208981544,2.7629761014113936,-0.024848587080841616,-0.022648131058988295,1.4320229556668482,-2.353753706029152,-2.213327158478392,-1.4000085338373698,-2.1070296632779626,-2.230969899652976,-0.18093407203680112,0.05257048174421454
2015-08-31,0.11148221888656298,-1.2859107125187241,-1.855707169179476,2.019469007014131,2.410482156399647,-1.1967163028012355,-0.7747231455735633,1.3109370705489927,-1.9522367271915408,-1.7424260361741892,-0.6794320653061104,-1.7870844357351494,-1.8446184831620365,-0.32730283938526716,-0.05172885735956907
