ICEM IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2010-02-28,0.5894007065419675,0.6403310738101188,1.2007079007327153,-0.31754551606024806,-0.7427633506079285,-1.214940768665694,-1.5271153416687169,-1.089546420732595,1.0864655727565913,0.6912368810370727,0.4382343096569551,1.231576181563592,0.9796368302166061,-1.175960648641684,0.11319207224810027
2010-03-31,1.0552284951714517,0.638653439708063,1.298247781205228,-0.15475401570724726,-0.3011237337949758,-0.09657370526048849,0.052281197442986885,-1.4871609266149737,1.9810246028246996,2.498716098416168,1.1316593890668831,1.2243156567660158,0.9237499455751861,-0.4098970095973604,-0.04820210181787775
2010-04-30,-0.25608666931134716,0.7917608216261638,0.8270473826363461,-0.5447535624592528,-1.324996726943332,-0.7486680048315812,-0.2025780692769041,-1.237842578224394,1.4137031880468798,2.0536657848506485,0.5911492798526465,0.9055144173324698,0.7358715389998736,-0.5309567142969127,-0.15196271276842868
2010-05-31,-1.0619868939078703,-0.15580093633289122,-0.3592262326450701,0.33179343523641747,-0.47764292197566294,-1.2181560278967098,-0.17917721591961341,-0.8753030149917627,-0.24304314780734154,0.7978699057251443,-0.34841494922850363,-0.37722244769374874,0.1306829382939909,0.994572982112313,0.0
2010-06-30,0.12340231223352842,-0.6988481397236419,0.029017933882657398,-0.7582457416244482,-0.7723425930123554,-1.190010976671492,-1.9785109494542696,-0.7641518995100343,-0.11847503734078631,0.8250867807946785,-0.26684821703364114,-0.05008871955378863,0.3347669160127944,0.42994929796725057,-0.007445357799473573
2010-07-31,0.019740388777347472,-0.5478446162145547,-0.16516466994636098,-0.6544135841223643,-0.9179083822213291,-0.6619873834801763,-0.6246890893490504,-0.6510482346281868,-0.1723994438390439,0.7723157360313508,-0.32149758353309654,-0.3173265737240551,0.217414750598346,0.29371965862501204,-0.0004671805737856531
2010-08-31,0.09306887405369568,0.14223021419867563,-0.08432198096141487,-2.1595710134542454,-1.0725470030188453,-0.22258513842356162,0.7362597626527911,-0.5522162771088174,-0.11102163896885162,0.7749495002429833,-0.2496601187589992,-0.26856402856794476,0.2506763606669863,-0.07428094468044813,0.07989891588379995
2010-09-30,0.701019232094439,0.4841777589603665,0.083418640250534,-1.1465479410255415,-1.3940338276444495,1.7928722279661788,2.5347117479771293,-0.5732718357560181,1.2162694631119204,1.3961066228883539,0.4129964268275003,-0.14174564326639916,0.34244404210147394,-1.0651121856090218,-0.05133870661707189
2010-10-31,-0.3772214409910148,0.24839753928440034,0.44985099635367104,-0.80374452658896,-1.4101981028810842,-0.23936085822633804,0.40801128524331415,-0.3682360351070977,0.15169440703947668,0.7383500241148223,0.1719778487802217,0.43619977800833193,0.493267370207129,-0.10945165067255727,-0.035123758380731986
2010-11-30,-0.4225796742841927,-0.014209982894292707,0.23619379592654333,-0.6481392430069023,-2.1749802907760363,-0.21339466931133058,-0.07779738484592293,-0.13933593518657858,-0.7516413135670433,0.13019770000389194,-0.1632630692100933,-0.056417474171035466,0.3478138422730198,0.014904746454401692,0.015865941776317376
