VIJAYA IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2025-08-31,-1.191940319111298,-0.38764309211682624,-1.9050812036245899,-0.19942772623941754,-1.588541850338493,-1.104045332583472,-0.6770923266136887,1.726605369004649,-1.0771371616630743,-1.5025324727292222,-0.9304236798240536,-1.3991168924776674,-1.9695872737082838,-0.4079124361752083,-0.0077697372643606225
2025-09-30,-0.42167370009037386,-0.6172228365738991,-1.9593395244507485,-0.135240503035886,-2.2615619201777335,-1.1127705573127995,-0.3361229013593678,1.9838958822247856,-1.9240866925926494,-1.633486134298404,-0.9241832594522005,-1.5275033642740157,-1.9885615341271317,-0.348862307331003,-0.011414902815298425
2025-10-31,-0.48840566352748044,-1.3612207915520471,-2.1268036353840856,-1.4595623944764018,-1.9990659490430096,-1.113529533500169,-2.1806747940368387,2.1025643905866818,-2.138263276494677,-1.8659151264442067,-0.957908418023176,-1.7818121695966902,-2.1336647498539807,-0.28516753106811554,0.00946299909005299
2025-11-30,-0.15742239368281596,-0.6813614470808846,-2.390396419891416,-1.951620375804277,-2.091251975758268,-0.8705951206114162,-0.19715670283405792,1.7450986033963316,-1.9147756293108111,-1.6921113044285532,-0.8568523300589752,-2.342008850521832,-2.3772346741952286,-0.14448705729109249,0.0611637633570916
2025-12-31,0.5540673170488046,-0.07907459944297111,-1.6352930756570383,-0.9922011070651967,-1.6269895369050997,-0.24530121309430425,1.465293748892232,1.4938304340271935,-1.327186734650819,-1.0131942804557892,-0.2501229113469337,-1.4094098238707127,-1.6187850148779774,-0.29114639531595626,-0.10138893853103215
2026-01-31,-1.5619633212231996,-0.7670032261803095,-1.717847416106062,0.3138498910109527,-1.3224384858511478,-0.7746455177632097,0.3963299435509111,2.9502351078177673,-1.2680158283427505,-2.3194630476294216,-1.131185802887867,-1.6000287074197144,-1.721267902252868,-0.18367446708665608,0.04666698417203807
2026-02-28,0.3873264470565506,-0.39431586076919345,-1.05741965666518,0.475749496794231,-1.1956932127904047,-0.6627919447045946,-0.19818423482383501,1.8877167944337696,-1.20923576792523,-1.5791024996669425,-0.5168544881055561,-0.8252471980395807,-1.021679435129512,-0.38036684257294767,-0.049591879185272275
