DIVI IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2010-02-28,0.18062506466689918,0.3239474051179269,0.756217783615109,-0.5457109671862419,-1.2101214108835552,-1.110780144520497,-0.0763191040037025,-1.5000368187723956,0.4860165988926211,0.4849946996914272,0.48582757460397474,1.532283405483514,1.1990091690764282,-0.6985345692791491,0.08504314916458056
2010-03-31,0.635362905517533,0.13972865139725085,0.9919827725065462,-0.6690691709337695,-1.087814446994822,-0.9691407255073491,-0.8529783451165825,-3.385557560132986,0.3088781800027767,1.1087528457349902,0.9142280429264465,1.6298438607584114,0.9439144415065894,-0.8265629390160397,-0.007012589209925643
2010-04-30,-0.0697562481443872,0.6233516825796146,1.5902383194416974,-1.328550145056227,-1.1699586078368096,-1.1464478790047903,-0.3815676248642166,-2.677608733398485,0.45074024003606883,1.1728343362750153,0.4488028166993196,2.4249423183118077,1.459901940251097,-1.7318192251034172,0.09865717912104356
2010-05-31,0.7588970005443028,1.0818460318006433,1.0027269426395957,-1.0923237956232985,-1.1797624309821912,-0.5103239648333086,-0.03503207104829991,-2.5999705579040264,1.4846026755182198,1.888281423110891,1.0012849495830634,1.235905853903019,0.8589772479651326,-0.20247561041289922,0.03963969781991671
2010-06-30,0.2870601774452273,0.7720232219942047,1.3896046313214097,-1.0873332249948229,-1.2614746717264134,-1.2201585969564757,-0.6981395679958605,-2.250107453580189,2.032139204168459,1.917055476541379,1.0862164533042218,1.8669130150642486,1.0856628266228865,-1.2113670004779098,-0.031120800363637666
2010-07-31,-0.2735538236113494,0.6063891311051302,1.343655217810004,-0.853737313924233,-1.5841903586605877,-1.0613474654624697,-0.47192724400265024,-1.8414420761151264,1.7578038361145105,1.5133773291670831,0.441954778540948,2.543223350801404,1.0963349400068034,-1.0751016780066411,-0.007765885372504702
2010-08-31,-0.0771148021136339,-0.046915005279712235,1.2959863070330795,-1.2272207769011874,-1.4315709218375192,-0.6484803206297632,-0.53577573743935,-1.6225870676557452,1.8122445184952394,1.409806467754165,0.12472538587040931,2.124532633177795,1.0788023723518523,-0.6062171641081794,-0.07549859149304136
2010-09-30,-0.5521798807977334,-0.699653847643487,0.6679928605529766,-1.1807857307383203,-1.2283122512320583,-0.2055626348743199,0.5593317142523465,-1.2704582427443878,1.0979970305094735,0.8968812655536184,-0.4735647049054993,0.7507153033410191,0.6741055773879326,0.21202867990990076,0.003530709230094897
2010-10-31,0.016294219008472305,-0.46933773650142674,0.8873052006165757,-1.000159286048944,-1.1562162866331682,-0.8338351637759438,0.06167581308183493,-1.12547627946128,1.2121364775001062,0.8205940642372014,-0.4848554711644732,1.0846613269127838,0.8402916085590806,-0.44784080932684756,-0.11521519570185346
2010-11-30,-0.9848657085506849,-1.1604802154404354,-0.03715628169840189,-0.7117222138191849,-1.1553862958475356,0.963748708115688,0.8245538895087031,-0.7359034872113931,-0.08040485471899295,0.13173917140760835,-1.2185897128745726,-0.31512462769756877,0.12965664323979395,0.6983305914674977,0.047325695796955475
