IRCTC IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2023-09-30,0.04765771989371501,0.12994297005313396,-0.7104866417351475,-1.2149372726410426,-1.8676870697600434,1.7975099253411664,1.002585669726315,0.5979471545450297,-0.8279522667784137,-0.9469971026357201,0.038887366022479476,-0.774296598102037,-0.42578007498077347,-0.11443623499773052,-0.023028799580832853
2023-10-31,-0.24794167065141345,0.10991011564560531,-0.7263334519272937,-0.8046995305234556,-1.7755614308231231,0.22527097250557251,0.8801902982361324,0.5285724363174981,-0.7787259603072316,-1.0366208015879874,-0.05379925263570763,-0.9594700492524358,-0.6763270433062541,0.036470772863947024,0.05894784914384721
2023-11-30,0.9763937726445454,0.3825193415086672,-0.5913272863282161,-0.6113696327445329,-1.522077851862386,0.4151172635591303,-0.3072471219319449,0.22274220302485861,-0.5479506974062501,-0.286037633062391,0.5513253805684356,-0.6602680348328817,-0.3943012959191077,0.5050296565433763,0.22914745421597224
2023-12-31,3.294509146256248,2.345612695297851,0.09619653884252886,1.8304243282305932,0.33009554111982703,5.72507011718991,2.116788061675961,-0.6598088162259188,0.3333433466440931,2.4264510980297076,2.7964642194639686,0.125234673301625,0.9104897473880764,2.7118590588084865,0.09628281803401453
2024-01-31,1.0980530113605174,2.9846729422878937,0.4629976511252007,0.662610225122507,0.3314886250036167,2.1916922658549605,2.492669314066308,-1.2753045861050778,1.2004068213044958,2.981924129550516,2.8039622065188703,0.4383941568003117,1.1415741505167958,1.9803817499779321,-0.052306367426225076
2024-02-29,-0.6579700374949146,1.738395593658469,0.6800893989484892,1.9462523103853135,0.8981439713360406,0.382902527116215,1.2411600933679332,-1.4942891561721128,1.4397968941695736,1.9042851224899746,1.2910756169418964,0.3828661703798006,1.1026871776312837,0.1678629756235595,0.0024769815044519117
2024-03-31,-0.03698631033852658,0.2007319467772188,1.0856966007789477,0.16519336693898562,1.1213187818876555,-0.17457624761851945,-2.5286144064509655,-1.1525020241847692,-0.3991507706951121,1.5809813828158188,0.736695266134858,0.5540508476539113,1.4571485898525711,-0.6616126081554231,0.11091139270784574
2024-04-30,1.20444291291063,0.2610590875449079,1.448632619877627,0.3385353179330324,0.8453929521012221,0.2664168228497779,-1.083816714279043,-1.8734074506253124,0.6486558232128891,1.872865951868116,1.0619086749689701,0.8430238283263982,1.5310764607806513,-0.040654640010738444,-0.017872361494563203
2024-05-31,-0.36109235544596074,0.426839491114638,1.3283265426010624,-0.05994666096406507,1.0570757811803175,0.07282959135683882,-0.09618118469006029,-1.6878515587669147,0.5904388924516977,1.333388583132602,0.2940958065125346,0.8945445222446294,1.3452924843452216,-0.4229049168831677,-0.030953904409561167
2024-06-30,-0.547704323443039,0.15731249994456192,1.3990123695254337,0.12029500298377124,-0.41283963711342025,0.24924043298467152,0.9574734756804375,-1.3970033824794794,0.3291766369383125,0.927423044426229,-0.19647265745991724,1.9644258899106475,1.4168738837881805,-0.17136650143845034,-0.0016186962915241193
