TARIL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2011-11-30,-3.6413159494491283,-1.7551660431184872,-0.8844697974468305,3.205162435634171,2.4433165662214695,-0.40293225691623985,-0.04721798149087043,3.2821728083792547,-1.1570224163663663,-1.8617655182143857,-2.165038815971937,-0.6829294332137903,-1.2285994079062008,0.2854729881472133,-0.24453474129552724
2011-12-31,-2.3339731371179,-3.2367501140537054,-0.9376297623380517,2.7849822598143494,2.6948782600457526,-0.45886124483922536,0.09262295342388872,3.229112998248108,-1.1965023177346827,-1.9192844880028737,-2.929150738113496,-0.6815200396289883,-1.6942524358705289,0.28655185895470836,0.23121896531975514
2012-01-31,2.789189963468161,-1.335348789335332,-0.6593295611651352,5.387296858935452,5.047794789158452,-0.28120526415525415,0.8040962249262427,1.1559130851414758,-0.7010187473464512,-0.9661499077236037,-0.43704804138751,-0.395225047420693,-0.868721739080224,0.05413102098051504,0.10910684061744781
2012-02-29,1.2684032236860947,1.3245348802410797,-0.4235945538626823,2.7372439428460242,3.791442099577197,-0.1782803078050191,0.5439307757082791,0.5039046002036979,-0.39408976935760054,-0.5336806762888859,0.8212042372835217,-0.245784843806204,-0.442682869062645,0.0640870220002881,-0.14180730192838245
2012-03-31,-0.9632769163035975,1.8996108060632944,-0.5116753884294791,1.4292512891686295,2.9949458840667194,-0.05062850343892218,1.2655769526142675,-2.333047026428184,-0.47956016151573444,-0.70084974757025,0.06439431127826141,-0.20589754585341588,0.015989330852584936,-0.17488296635484346,-0.0687950279805191
2012-04-30,-0.28952027108761447,-0.02025893177318443,-0.7385577812444647,0.3911131845736939,2.3635649182345775,-0.3214694201892554,-0.0940261055941179,-1.8819492172294645,-0.42339158158254653,-0.6838240349615831,0.14803831623954708,-0.18604661374898712,0.08168599434224381,0.05058171047965713,-0.12972347602830145
2012-05-31,-0.7646180109073409,-1.392277744506027,-0.8400019936528705,-0.9709542593051499,1.5080611650182023,-0.3449809254063055,-0.8705431322069039,-1.5436844728864274,-0.4236267646252936,-0.7870083203065251,-0.5506200220995208,-0.16211974109538937,0.15097902987988235,0.19843396360705617,0.03811563292251215
2012-06-30,0.7554176446180111,-0.2079705990507614,-0.7868530622964814,-0.24567304233985784,0.8123989439031186,-0.8044245535150414,-1.3145419049405724,-1.4352592013305063,-0.23286053691104,-0.5168662699444454,-0.20472737803624985,-0.2398602295707842,0.24985626430719582,0.7615710839302462,0.022508988893922603
2012-07-31,0.6178540836332611,0.45508684379045283,-0.712733870090879,-0.13138324206927254,-0.11073920040742473,2.9407852750946106,1.4857561433821724,-1.3232987936424951,-0.03876432381113802,-0.293315968840244,0.371049153289895,-0.6189204863276219,0.37575682045438896,-3.9755968952851886,-0.10025082257410958
2012-08-31,-0.482997603141497,0.6574527108236614,-0.6099221248867138,-0.41346261183856886,-0.5723458941375449,0.03514844505895554,0.8890403949430844,-1.132534841947651,-0.05021158745528986,-0.40669327374179665,0.08160376308718985,-1.080310545948511,0.46022485569605365,-0.08284109859726445,0.12691906965627095
2012-09-30,1.5106114028759845,1.2289813789409771,0.0011410905365547787,0.13559188972840033,-0.18985220029510214,1.4480546815740694,1.70452075577312,-1.1360765452238022,0.4044424312541646,0.18567102975568708,1.757067989542834,-0.04528629949328414,0.7963111499493473,-1.3605075937595557,-0.05898123607270482
2012-10-31,-0.13899488855294845,0.6438373075870757,-0.2881466960335574,0.1975647016802625,-0.22711519933152235,2.0107055734485733,0.28207840532659095,-1.0003750919616294,0.4626758485625073,0.16365380998754941,1.1731756809830813,-0.27356120508247705,0.7150098163981684,-2.0778583008984586,-0.04363108135940459
2012-11-30,-0.013464743771475352,0.9762481309964437,1.6673807334411295,-0.14283755836850753,-0.5761166594374864,-0.45305729182349525,-0.08053234357690643,-0.8780869924338639,0.6561040353064729,0.22177866636233437,0.6778642787478238,0.8362888224067145,1.157909215456978,0.2991752259635052,-0.08592043945448594
2012-12-31,-0.4173600373443637,-0.41805910631193194,3.4165568639721045,-1.4765753759009268,-0.5257480509976356,-0.2017515551052554,-0.476578344152244,-0.7310013334423984,0.497431943095074,0.02056957106428845,-0.018410568975552426,2.158018997718318,1.4046792825014762,0.09979590639588182,-0.01886848430438269
2013-01-31,0.17259357764405853,-0.1903548532771365,0.8698588350538092,-1.1962331934503876,-0.6152478557993329,0.30211391818864064,-0.4804954182540086,-0.6398404748643666,0.7292680884460893,0.2735380788583853,0.057698768128668185,0.16141359781994905,0.8649632474093967,-0.21243725758835885,-0.19729017248787606
2013-02-28,-1.3781639398868148,-1.2294473156375685,-1.0457898154466136,-0.2914989195877437,-0.17517775694847112,0.3669466527792596,0.8400388448882685,-0.399405942484822,-0.10664129069432117,-0.8676280172085384,-1.4661135142580408,-0.5678737706072359,0.16060444523230474,-0.42161553875144037,-0.22256367307238784
2013-03-31,-1.5044380380615876,-2.0491641737448436,-1.3750486289162247,-0.004214232601900026,-0.6478065620915112,-0.6364525275621751,-0.3014671245092554,-0.6941621819039702,-0.7499307625320863,-1.9309003939059333,-2.4893199850320835,-1.7532997088889486,0.6147310444436366,0.7916285371085722,0.5108256237659906
2013-04-30,4.415714456722812,1.2642126276923493,2.4814412450577854,4.811587992411877,3.255501119225571,2.605039778834222,1.2508835004446368,-0.7969622047677429,2.6292962536399136,2.72658422489251,2.513092258253537,2.2940052808846025,1.297593902504172,-0.8674496461540707,-0.333346691447824
2013-05-31,-1.7900481647365707,0.4319462302189116,0.7411317520462208,3.771037147244009,3.1687093942418536,0.30743945200556066,0.5034401207189575,-0.5673283855304311,0.23928201196076576,0.06382248711083884,-0.28764576845579787,1.6881265273670254,0.9399788577587747,-0.2712815442356896,-0.11566150129495618
2013-06-30,-0.41757250932327394,1.0531981440458629,-0.18028844439429698,2.676136378751285,2.5683443951207696,-0.8909217203135186,-0.7675218933846621,-0.4195535163825011,-0.3234389317082351,-0.5054656778874399,-0.6853741133024198,1.3203523905492514,0.6766144447635253,0.874527279308811,-0.12770952483191372
2013-07-31,-0.4494145226495713,-2.6055112114705943,-0.9175784717393964,-0.2644568482112708,2.1804250234919538,-0.44716491524664687,-1.5897464168330984,-0.27577533730098513,-1.0082779536854847,-1.0316248945041542,-0.9819453456656881,1.0388114638446673,0.4097445701317593,0.47025631803000095,-0.03785941104342239
