UNITDSPR IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,0.18881352349084976,0.04246854794331292,0.08457954352199586,-1.0733643424087014,-1.0985803065784405,-0.8432115369857791,0.044938339879409525,-0.3352777932530479,-0.010034410351218949,-0.39709691011521503,-0.24811071210353802,0.2968666598155507,-1.3241126844505606,-0.8922990539018474,0.3304954832426511
2006-03-31,1.4393356508980224,0.8207179072818785,0.029321890651768476,0.10203470308758301,-0.3360737673855739,-0.5161814990185222,0.129857745610749,0.05765628939745135,-1.5496336283343535,-0.15509999964333424,0.9906557009510287,-0.08113933616652444,1.2674773205393295,-0.5181762423019451,-0.03426220975476694
2006-04-30,-0.8889740821165034,0.44024726228345806,-0.32165338611220606,0.4913611093647544,-0.4469953405908362,-0.7474926674686844,-0.21049710726918303,0.2073402324325992,-1.6130811484955143,-0.4311076455666789,0.11756307213073394,-0.2925637886022702,0.5605978653424804,-0.6234097277667763,-0.4241358733706606
2006-05-31,-3.175320979147307,-1.7582230880359857,-0.8981913137775327,2.4790466574899357,1.7726050680913539,-1.1431943703823568,-1.220934576632551,0.6803817773741391,-2.113941293130389,-0.9021249565575085,-2.0602935465353087,-0.8713773606451,-0.31012182899286445,-0.5413111157900257,-0.20362376944489094
2006-06-30,-1.6073712257824242,-3.9049873182258237,-1.1297385108418523,0.4149759570739813,1.802744987188697,-1.007539114450206,-1.3099915495662522,1.3391857691928062,-2.3340890185665937,-1.529012739119771,-2.710515497642349,-0.9636184072796463,-1.051056759592293,-0.3740940550461503,0.2215392476624187
2006-07-31,0.6514638714708677,-2.2941970954879505,-1.0378304877576048,1.6333730271164313,1.9135301312099537,-0.812832217083557,-0.741959470945316,1.4282539809319683,-2.07686731293503,-1.4286854159472566,-1.743318905272604,-0.9367205024350864,-0.9436679221141504,-0.38447800102532065,0.07511938774966152
2006-08-31,-0.09581894785960737,-0.5805417055770508,-1.1534664634774057,0.5065578234252917,1.6443539139117245,-0.8127575354642851,-0.1359747099652163,1.6068225941230718,-1.873370237308071,-1.3754550398640568,-1.3433929417999337,-0.9690545126625185,-1.44677240197051,-0.3410409463334699,0.08245249337263744
2006-09-30,-0.03515672893692129,0.3071082910770853,-1.2464401115959145,-0.7231530717661631,0.8325981895674028,-0.1911403701680191,0.5235013210360524,1.6156329917667664,-1.6340183153871062,-1.1657244267385893,-0.7033478723134158,-0.9858768829449275,-1.7546611560957375,-0.2249109638771169,0.19361960122853286
2006-10-31,0.5202601112847548,0.23022080889418847,-1.0291314622946246,-0.8759375401276175,1.0621332038064866,0.03949620630626742,0.3147800120952931,1.4444105230753248,-1.282526421411964,-0.631191037367203,0.27974613051677977,-0.9037387941807152,-1.0636574535687107,-0.16213827015049007,0.07625663883912245
2006-11-30,-0.1253036417171522,0.213813226236953,-0.9634403579725631,-0.8444534806134766,-0.45141616383788663,0.8343728405900863,0.9324759149632068,1.3802945856536453,-1.12200305194018,-0.5452263059694226,0.22170506412597354,-0.767402730942759,-0.8624132040920601,0.11296245573708495,0.06290105556782971
2006-12-31,-0.09399606504530283,0.19336843468503778,-0.9902308209754682,-0.7282686885388343,-1.5481225234195732,-0.2607903712287569,-0.24840550913236675,1.2288982397718322,-0.9783885461248147,0.8208950641587349,0.04851759236993975,-0.5069695925173707,-0.9435647693961647,-0.23573751831741366,0.052943271428145575
2007-01-31,-0.16757690935229327,-0.208694060104635,-0.9833039975344473,-1.3040077207412273,-1.6562834422332153,-0.7466559322789446,-0.5914043134164315,1.1146165386639078,-0.842548836785419,0.8030120328269753,-0.09393652362400058,-0.33262763893239355,-0.9216585631851308,-0.36388067344924635,-0.203331781119091
2007-02-28,-1.7419628176767366,-1.0572531026255778,-1.2058096159079228,0.3096477600519396,-0.42864794285927077,-0.9196378962060564,-1.4455379954115646,1.5472421368197995,-1.2078283741817506,-0.037118980077137494,-1.1854489396434866,-0.9931823888079713,-1.4133900553443246,-0.20669038253225178,0.11236783968900144
2007-03-31,0.29646385344386067,-0.8262345936805456,-1.2580016434578303,0.4757776390602495,-0.34230451696125447,-0.9247948154774003,-0.9132938488811657,5.157644557975776,-0.9991015350540783,0.17128390025829598,-0.8003278108994948,-1.0629571233516695,-1.7568486349270256,-0.06048425122212917,0.03616806714474709
2007-04-30,-0.10350220117326635,-0.8121414287685601,-1.120494997524677,0.42515393918331873,-0.5712245283960747,-1.1654306025997245,-1.1415422282218672,2.6534954086899627,-0.8659966013248388,0.10653714442634454,-0.6773580233124842,-0.9820222862824343,-1.1454436823113598,-0.0018599544039549843,0.38195392634461045
2007-05-31,2.1229477436118764,1.27315362538623,-0.3831038132302259,0.5793247351249439,0.5483387945381732,2.661180444749007,1.9685377865195484,1.2017370802516205,0.19778353923676784,1.4047247727652277,1.1678602448523987,-0.5955107620480427,4.137320292120308,1.0342272311616925,0.023569127584227766
2007-06-30,-0.21990040991746929,0.9724525298707638,-0.007631057378877117,0.800501444142286,0.5247509339452502,0.06059097916743095,0.956587210666327,0.969505253837784,0.2762727097179729,1.008615256329011,0.8274481914040952,-0.3751823471527149,4.9689927404447465,-0.13452994716296487,0.06117210087086273
2007-07-31,0.0024580298380123006,1.0128866594887478,-0.17650101682229366,0.6668599844636253,0.48144381570844014,0.5030354021219928,1.923004502913857,0.7100076561893452,0.4748542288963355,0.8846770878128012,0.7217476201891653,-0.4394236935019228,2.22974514349782,0.15198948031938303,0.017791372151712108
2007-08-31,-0.24651840673784528,-0.26601913593521925,-0.19227247790181567,-1.373064551822576,-0.2623701418363836,0.24358336996158447,-0.648087047374181,0.5511427728969597,0.5317273005515957,0.5286053602230273,0.19962275522735895,-0.2788579699439908,1.6488521641200193,0.006214808889508976,0.22552523487762213
2007-09-30,1.0196983449292216,0.43809317478607535,0.11937627416561165,-0.35333805850465605,-0.1548438581418659,0.680084422323727,0.47637727897239024,0.07517946153079323,1.4396893213014044,0.9187858308445277,0.8754097418937525,-0.1078461879742165,1.515106350877805,0.26602831137976596,0.13127463878830145
2007-10-31,0.4595614626451796,0.7126018986264396,0.1431964287962824,-0.434388900211881,-0.29873017401791613,0.6662039238369135,0.1612427434349646,-0.2172919285553953,1.8264455143567278,0.8969820127449697,0.8979173076442535,0.00134156025678061,0.8906952743864975,0.5945089083362592,0.03266489309579999
2007-11-30,-0.17222731183494286,0.7555468149797527,0.2658695548933129,-0.4908377610489299,-1.2388576512859448,-0.44874340525096823,-0.433443598570628,-0.36877148052661396,1.609634743085479,0.5267014525464071,0.5196674658031711,1.0608923966561739,0.6538479577315297,-0.4711220142224176,-0.03403997925534616
2007-12-31,-0.5801170841787099,-0.16266433787682485,0.06523140576873453,-0.6105667378420635,-1.0313379728260375,-1.2491168026177517,-1.8498640392436558,-0.4284343228502965,1.226503189258512,-0.024995045193243946,-0.1331112327838282,0.5348634665873082,0.39221288438623647,-1.0927055567804151,-0.16920801641985175
2008-01-31,-1.3448769807564929,-1.1981454811215642,-0.40987507396634026,-0.39138696718454163,-0.36996744976729956,-0.5568279682412529,-0.9325753521008784,-0.23247488847875808,0.5623027366193379,-0.9433501870866938,-1.1640821188907935,-0.39767719504414556,0.0027274781565243523,-0.3039405494376833,0.008233170815251326
2008-02-29,-0.232325862646348,-1.2025930292566656,0.2505158181882183,-0.5369568445870249,-0.3825112309633147,-1.0341686137426824,-1.1979625385042416,-0.3857482430016348,0.61753894165752,-1.101070762844319,-1.181280057473108,0.1451640000912903,0.5588657447636816,-1.3761830198946907,-0.12469108033524265
2008-03-31,-0.9662336939471956,-1.3999398825598453,-0.3653506849041258,-0.580005070916669,-0.8162937298026062,-0.8162079002314142,0.20563428852321913,-1.6585449537167718,-0.6993603547642153,-1.701627818134339,-1.5193569506422548,-0.0804100834069766,-0.6911879498477483,-0.6490717259792317,0.06636163021935229
2008-04-30,0.24751611624235453,-0.5345057858901098,-0.20046495437181489,-0.48624341486984035,-1.0382705731377595,-0.5051562900646219,0.001523064560211182,-1.6586411410768631,-0.5481200854424217,-1.484931624526434,-0.9746743389324123,0.3550436021685019,-0.6402873861265304,-0.5041621044522093,0.047663548994148694
2008-05-31,0.11041470995478254,-0.35243470084825584,-1.0638310677583658,-0.3613382349416074,-0.9605654562475762,-0.07483882118708257,1.3321474438463212,-1.5677861380213267,-0.4751153027054435,-1.3633394609255152,-0.5019247863926726,-0.7116074713514101,-0.9672754074480692,0.11195348163754525,-0.3010585315329891
2008-06-30,-2.5821646434880274,-0.9465163278970357,-1.6402867222384467,1.1531884853388483,-0.14318254211843548,-0.40885269530096036,0.6512369736638051,-1.0586383835539195,-1.2389638412446968,-2.5386230278651274,-1.5590822540000937,-1.4403312213667903,-1.1632739972889758,0.30523901152245425,0.026498173934452914
2008-07-31,-0.12716117903685645,-1.305379549154222,-1.5999166900727295,0.9772669937294555,-0.11253932658624928,0.13892757474772718,0.43245576131822366,-1.0079353996387053,-1.2447629583184547,-2.365033048312205,-1.3411532760299565,-1.4438115592162126,-1.1418620376538084,0.27496731024056503,0.06044295895690658
2008-08-31,0.16961870422321393,-1.3522528058366843,-1.4158276096250926,1.34550264186959,0.07648854463395949,-0.5363408985334134,-0.8226592333087261,-1.0082506694209386,-1.1525959930102216,-2.0249245049903477,-0.8679495601462577,-1.331954108493674,-1.0539098903922297,0.25499183447386514,-0.07105292959717234
2008-09-30,-0.7685162246285768,-0.3853920508474967,-1.7198234599820377,-0.8907627572179421,0.10241302854558566,1.2858576996932451,0.7882999555284048,-0.858180180470959,-1.340340657747915,-2.2703348563705994,-1.0798595271980675,-1.614807261107539,-1.2170008331248419,0.004401043256366403,-0.35701926448762816
2008-10-31,-2.747194667528719,-1.8147361677497722,-2.0177502103658855,1.618111991955094,1.167956937568852,3.4449221547845563,0.9210396286319087,-0.31201386462847897,-1.8936467973715114,-3.6866280550766666,-2.103501459908944,-1.7293146746321497,-1.5751296816458007,-1.371701703311814,-0.04008598888116027
2008-11-30,-0.2989334402725021,-1.9997434885244212,-1.840579597646037,0.8216595390141241,1.1532414442666794,1.2613516466452055,1.3012313680055572,-0.261938904222626,-1.719532258219877,-3.240194226943657,-1.6056739885378188,-1.6678499447826958,-1.5217305086312494,-0.3641123770979258,0.03912578095062472
2008-12-31,0.23758980856483117,-1.3909910113922483,-1.610981230757737,1.3388053815291228,0.6062400498414436,-0.16060878046316887,-0.5311516682147096,-0.3624556810531993,-1.4716573989747483,-2.4826540155380665,-1.1177253838423384,-1.5551825252679154,-1.3565458773428318,0.6847626266696485,-0.3994929229113489
2009-01-31,-2.5654228054343324,-1.4198782515049837,-1.5746960974830646,1.625255197769421,1.8002542607969512,3.778704680167236,2.163520897283014,0.4855674417328627,-1.633564241528944,-3.155942462314995,-1.9974979741085825,-1.3556021938901957,-1.6701810309373983,-2.185920415966,0.04827644628556821
2009-02-28,0.3766577266705614,-0.9977397305411798,-1.4170736752429949,1.9302644564565086,1.6777953048470435,2.486417135116385,2.831831162454334,0.2747255562584962,-1.388907224334934,-2.3870469170708386,-1.2209631144224706,-1.2456467004939624,-1.4707135694484499,-1.5613130030767097,0.04121051799147812
2009-03-31,0.283339010021558,-0.940834374446571,-1.25116959374403,1.734463810539156,1.8437275436150193,0.7980198368408196,2.3945094414611643,0.34201005182162586,-1.2991627723448023,-1.8982064802940406,-0.5563662553322742,-1.105156783188184,-1.2654446184097392,-0.1887263284161297,0.08751206062580909
