BIL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2010-02-28,0.5769697415420797,0.8817759033891246,3.33672954505224,-0.23204180924674256,-1.1465431038775502,0.6656194752527217,0.6261725358843804,-1.2578952416694587,2.4624803937882227,1.4658400800654054,0.7609072660293662,3.718886722997995,1.759336859589586,1.4753967505357624,0.07620413116914547
2010-03-31,0.3234866391394701,0.36730241157788956,2.9730422386092132,-1.0553696977725544,-1.2360829039651287,-0.3122061100539406,-0.856188549768293,-0.6717478230637822,1.4887150774393112,1.5157365300817103,0.6860347192226173,3.2864669243696487,4.249589393692158,-1.0840816438946432,-0.04381196273526185
2010-04-30,-0.2023908005510315,0.3690537910531079,1.4403695739235298,-1.1120490714108298,-1.0635427065562408,-0.4248140058465912,-0.5450254801526782,-0.5890359263263364,1.3409444093502878,1.343997963864682,0.2669791755254507,1.3534515098222735,2.0669495162601152,-0.9532609925309996,-0.13059357428827928
2010-05-31,-0.5215544402391015,-0.20310880730199035,0.18380070948135127,-0.9084716939395927,-0.7561170270564026,-0.37435254739577867,-0.5150437775905748,-0.43428883281338954,1.034566732457341,1.149939617197684,-0.25670138610567717,0.004060479522250307,0.6352733132834794,-0.39684636210412455,0.08065859030291411
2010-06-30,0.35015628004709043,-0.19227987710133326,0.4702171423486553,-0.8392331862383527,-1.5238722719718818,-0.32289168728335144,0.042523388440938475,-0.5084033570928111,1.2366926481755398,1.2169796112134756,-0.04916829452982116,0.6490697004400562,0.9109618373390505,-0.4255333556771535,0.13931361239679074
2010-07-31,0.5398188136541,0.18688955021244752,0.3749275409641657,-0.48164491379435065,-1.3678135566926257,-0.07323418112492529,0.2043224327002924,-0.5989173932015639,1.5475384432999764,1.24291891760545,0.22738664813996629,0.47028244723545065,0.6833758794944167,-0.19645926376232414,0.01777824602128375
2010-08-31,-0.007199247841127294,0.45875132267047775,0.38641349696524224,-1.1898436430972947,-1.4169047033381246,-0.5965297579525782,-0.11967249851267406,-0.5620731241929944,1.4831974586658123,1.1142127366074743,0.1641035014044603,0.5833804367461346,0.6757967464585889,-0.5443490131861263,0.026803487956023598
2010-09-30,0.03250194647763209,0.2950359076044521,0.17192772119387112,-1.070950908391752,-1.3766700111897938,0.03074741313115229,0.09169285880678606,-0.5271345951089723,1.39138145482219,0.9948177508522233,0.1671239605631207,0.3059464536743453,0.450303681615803,-0.15636947053340924,0.0923817294636925
2010-10-31,0.2615480946269817,0.14774428361650424,0.16753452745818678,-1.2474897937139287,-1.3051099611536876,-0.7151024430231433,-0.3755039604713938,-0.5093696207245968,1.4942497830281634,0.9526738890007976,0.3024821636864999,0.314940857182052,0.392875260261365,-0.6085071956899062,-0.007326040092072898
2010-11-30,-0.42729514905144694,-0.0063397836608918645,0.10964967819980022,-1.0832983109396794,-1.6367853761981428,-0.9213349269615052,-0.3462783670014435,-0.3842903081044214,1.3116364605256892,0.8530886442935122,-0.024122586228179598,0.915873780485259,0.3297157003012979,-0.7497885793659291,-0.15891076559067024
2010-12-31,-1.3945334523083106,-0.7828281381463061,-0.45390619549073913,-0.33205496736069995,-0.9616160535975977,-0.25644595108223395,-0.28989439538563666,0.056613197513400805,0.6059170385742257,0.5217691899100358,-0.861658234324419,-0.6096560631606672,-0.16843986680318684,-0.22191004957275856,-0.06748781498295568
2011-01-31,-0.7290290503308482,-1.6400403227574334,-0.49919496560097726,-0.8174552524874611,-1.064741134892259,0.25093986905075943,0.15801998379024892,0.5081669281032525,0.22695365427606784,0.2903978076567964,-1.196810971299473,-0.6117915594375407,-0.22541883082293784,-0.1441976809023598,0.10049111305976269
2011-02-28,0.26000991552896946,-1.1521965331184,-0.5720513761995182,-0.12473890617567826,-0.8512566186959866,-0.5227262514866448,0.14920338296718486,0.7803392292729088,0.5091520026515955,0.3732600527730083,-0.8892281632372041,-0.7025025655255679,-0.3573080358820677,-0.19488847960336075,-0.007023865086653333
2011-03-31,-0.45741659847585575,-0.5591744079820357,-0.6948749384858849,-0.6221149647438304,-0.8035845834929992,-1.8882541336497523,-1.0220851167621474,0.8382896871702097,-0.9328460325333563,0.2657134659089054,-0.9991457180837793,-0.8300642063914788,-0.5737278841086101,-0.1892005800349885,0.08574833213369869
2011-04-30,0.12155751062033732,-0.04365022645498009,-0.6230516853256828,-0.9393146984827445,-0.7727014525546754,-0.6972967247738148,-0.5694842393283359,0.5074591024839838,-0.807133929448658,0.5367292794786581,-0.5199475646431495,-0.6890684967787835,-0.5530387157633232,-0.2916494736145759,0.01841170318787783
2011-05-31,-0.25492533416356955,-0.35741395953880417,-0.5121042662132106,-0.9837190078946787,-0.7020211674608804,-1.2172748333315493,-0.4978887101501748,0.3721944581805186,-0.8881955663334861,0.46967850274054573,-0.35584812449727343,-0.5142060912652744,-0.46791567907117937,-0.4719004539617975,0.0562270493237058
2011-06-30,0.19404687404855311,0.009038095673128124,-0.5898760302069125,-1.0890275155933178,-1.1623347964915773,-0.9118637454046611,0.3240635953975324,-0.0986067057830944,-0.6204330874184599,0.7361484374270464,-0.10089675032854567,-0.3688108721841009,-0.5556337754465867,-0.37892712688896263,0.08235911396244087
2011-07-31,0.3794172015501216,0.11647178175769968,-0.705872830773205,-1.144831855889716,-1.4716950914017854,-0.9642673521907216,-0.6010482764776912,-0.7485066385260603,0.09160242801579498,1.2889791997598512,0.1832246556595565,-0.3062095396817091,-0.682130260327857,-0.330371395595049,0.003288703927218023
2011-08-31,-0.3649032273865223,0.15345156031642776,-0.7545097895545867,-1.199695638930509,-1.46826448245278,-0.7136939616496604,-0.17767427227716193,-0.753215260805466,-0.05655480071436188,1.2746565565337284,-0.03472003117219523,-0.371032080445004,-0.7230675433393069,-0.28416788932213594,0.017436219952670258
2011-09-30,-0.23105698269269093,-0.12748568094521456,-0.801221556151246,-1.071401364459873,-1.5500797158697732,-1.0909968629737763,-0.5458472587189521,-0.9213188557713149,0.026486143321505368,1.4079651674276383,-0.22021028750837104,-0.3587712365982643,-0.764614416348933,-0.32677101855287904,0.02301046962791959
2011-10-31,-0.1196983924616693,-0.4674077054300277,-0.8886633544193412,-1.6688888259813475,-1.7190037991327287,-1.1831298784296265,-0.756466579802381,-1.1671180805300654,0.24695259079815582,1.6315769433249783,-0.25796189292850474,-0.5885774176255683,-0.8407723039348405,-0.26938515234762606,-0.015319448533513231
2011-11-30,-0.5028013858058216,-0.5483622000254678,-0.8328384052038288,-1.3055133924881466,-1.6988120078552122,-1.152437429336921,-1.211859504811529,-1.133403138712279,-0.1771495173197967,1.3917279507730715,-0.6038683629293795,-0.7289400429891354,-0.7978916636645156,-0.24736573066020165,-0.11051959846785371
2011-12-31,-1.490910562171183,-1.360160256941877,-0.711119131009256,-0.28769266338217225,-0.7670581653405325,0.3405298070723982,0.6173483964023632,-0.4994289929882709,-2.0050811968705102,-1.6671651562206709,-1.5059082571022298,-0.786879511556247,-0.6811249101215191,-0.12059386969852015,0.1883696414405356
2012-01-31,2.1765824227269346,-0.11458998176439986,-0.3077833500856556,1.4825541635090749,0.2246292771195345,-0.6291083102265169,0.5112344527320437,-2.528014884982134,1.5232192414109857,2.6212511769717453,0.19168360664921905,-0.3887362583706335,-0.4233933461389601,-0.5316150115319842,0.23523559707923844
2012-02-29,2.457097077882572,1.7721091424281676,-0.015509634109617644,2.4251092101795497,1.2487703010989544,3.4400744188991026,2.1546848371216325,-4.298203746121119,5.175146293245024,5.302927049866285,2.383165035020282,-0.2992022905795648,-0.3468480580207856,1.9857374882069179,0.07705393908779533
2012-03-31,0.5104745371090998,3.292565076827129,0.30158885096926163,0.06972635882271824,1.2084393332704209,1.6888940402307688,0.3550925888181346,-1.6186314829266448,1.081400905401843,3.082359674153217,2.300825891640932,-0.016173047735070594,-0.07305851893208824,1.7798542698085047,0.12908974249639849
2012-04-30,1.065899095911119,2.2695339063354383,0.8702084240593879,0.07275306126220474,1.205401189206328,0.5274147757190317,0.7249034336481326,-1.9651239400997258,2.0283761438596577,2.566582919067703,2.6061668575018255,0.34423441487842854,0.08490159788072567,0.07223059113717856,-0.09357675313436367
2012-05-31,-1.3783887711430922,0.10070230118085902,0.7751993170285016,0.8738169269806038,1.6719116216525105,-0.6954937761501302,-1.2071938713835613,-1.166544794185608,0.75279334355915,1.1005720854838468,0.5353713034099968,-0.12813744833613008,0.14927325859453133,-1.7481799150845252,-0.056240335765189164
2012-06-30,-1.0272542579993842,-0.7403040386763514,0.2404652658906461,0.9154076317404083,1.3774409400526144,5.634145607976049,3.5739491805374155,-0.624253654105718,0.10164097303074676,0.3577844394516393,-0.66342063997831,-0.39876223679483486,-0.07731043292077894,5.749665866047693,0.1513127720936034
2012-07-31,1.275243235358948,-0.6381020307629237,0.6374452526458964,1.1706397549267338,1.13823719231208,0.6970244219097718,1.514220612050881,-1.3519983790311125,1.2890272372602158,0.8998770512692753,0.09417599265440654,-0.024484157812833297,0.05663530104329168,0.5559828874174542,-0.08392819023446564
2012-08-31,-1.2436209927317325,-0.5529558088430317,0.274569513153462,1.1203043867844267,0.6550924538882534,0.6562252779094678,1.9878244112304182,-0.5969420270084326,0.35392903142738635,0.05744868597460517,-0.8380813992617852,-0.12671354446015942,-0.03343228157046769,0.4248551181390769,0.04782218655092971
2012-09-30,0.19823047111201572,0.1294520568159127,0.5168254492122227,0.8057486328484571,0.5675046635315649,0.006583577611585621,-2.550242647882896,-0.7095834799045351,0.6369837421155073,0.07344333404761257,-0.5103486201802482,0.11719244400642446,0.14314875153080872,-0.2880159978994081,-0.0723541175555268
2012-10-31,-1.0506040474995908,-1.2157228507036901,0.07580265346074762,-0.2043477578452726,0.22326626794201906,0.010448652655176622,-0.831137793908642,-0.08610554873393247,0.0016547991452037548,-0.547388816064511,-0.9375729029381944,-0.10670269794738803,-0.06951825268519861,-0.20115711008502357,-0.03458846624190371
2012-11-30,-0.5831507510639719,-0.829394466666797,0.03931368185226577,-0.48587717723327184,0.03841365863248063,0.5781678750084382,0.08672307248253938,0.2664765552477273,-0.2537887730428468,-0.8727546581135914,-1.0813034334392206,-0.03627870905365624,-0.012503987635236377,0.26281280957913256,0.16189167528244644
2012-12-31,1.4232924617771245,-0.10929778406672432,1.7221257869033284,0.9021006455456402,0.5301047022820811,0.3922215929552039,0.8903014177935951,-0.6982729270271543,0.9338220828706839,-0.11919524132464,0.11112884403998813,1.8385467779003903,1.483548475476473,0.20217747576046033,-0.06970741242482016
2013-01-31,-1.1031502649799998,-0.12732974709420775,0.06397751923485885,0.8827293065332824,0.1392736504565065,0.08952462107100603,0.5379713164898792,-0.13674438542629658,0.21399655134770224,-0.6945277735724384,-0.486846798339128,0.00039481573145077725,-0.06414322526017316,-0.1798460243725596,-0.11477648053381777
