CSTRL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2000-04-30,-0.14239791526459303,-0.9612399472934037,-1.4207607705356367,0.30672468933828256,1.3445250929587356,-0.9336549309704351,-0.8122000992340962,1.1974866703947595,-0.7419967841495968,-1.7484065723225275,-0.42818216986815855,-0.8383783153591713,-1.6545567316295748,1.3970930020735375,-0.035318403303276194
2000-05-31,-0.36796629675049247,-0.19942821196739913,-1.4920139801029282,-1.2064903463130277,1.2366069898665502,-0.7587582203201249,-1.4314819171979551,1.1401595156281792,-1.225303555055533,-1.7808933844595007,-0.46976249747113186,-0.851571965305267,-1.8164249707355782,1.6693414556089003,0.03981160499506359
2000-06-30,0.5101558958075837,-0.004023605293575584,-1.2351849022004857,-0.7301569115295035,0.7896996386637885,-0.4146617942641289,-0.6368637644807432,0.6373971761440789,-0.4610035000207202,-1.3476616208722512,-0.13942028096413922,-0.7775400658763283,-1.4144964892955003,1.2479003217442255,-0.13232657320167232
2000-07-31,-1.6005364181890567,-0.8027054491706209,-1.5509179185515907,0.42289500927528983,-0.02286859719484932,2.485653762160118,2.8024007570267777,1.3150547420708927,-2.5447626765104943,-2.0648276249664947,-0.866333302383899,-1.0741127948158962,-2.097828868777385,0.20289037805880322,0.015531972932673567
2000-08-31,0.1902906374561425,-0.5056870935800236,-1.488070862975672,0.5456521545410046,-0.6205961553076628,-0.7778363330862014,-0.08909631789373626,0.9578704663718379,-1.9679726100827017,-1.7392720306570122,-0.6093698937041365,-1.2373335587939738,-1.8906980022819262,1.8359163437471637,-0.13361607738555062
2000-09-30,-1.5622655668652747,-1.7110259943368948,-1.3809452474512667,0.31994832974653226,-0.12281588793089551,-0.11489357564317046,0.5911204553252216,1.4261153933522792,-2.7421775382439506,-2.069789977281981,-1.3705052090911325,-1.0234139843385586,-1.9424839501533349,1.3420398079004925,-0.2348993728738618
2000-10-31,-2.5871686078074556,-2.2097086869649516,-1.5265643043496875,1.3502987964292983,1.1780207904948925,1.2574270484491357,-0.7057882329200538,1.9965318906987755,-2.9155791723607374,-2.318347612982301,-2.3820761436920854,-0.8615851865829351,-2.6978810552596744,0.7774506837556869,0.2724640355238104
2000-11-30,3.004183723823009,-0.38667596034192586,-0.897961388010429,4.77254377896777,4.153477734391272,2.304165883336943,2.351310302408288,0.2788248532181463,-0.8397184514162614,-1.0046146031529903,-0.025876035490158128,-0.44618867593016975,-0.9846979575279314,0.09756993371554126,0.10842270653814862
2000-12-31,1.0363109570682973,1.1528134253095579,-0.28602234578195984,3.119866590602692,3.2668652002623086,3.207241453721787,2.1727452096477937,-1.4864543992028003,-0.3874275471638441,-0.5387025551965893,1.0774828622022765,-0.2952754699351066,0.02513086469655959,-0.08420524216645597,0.007001195458983561
2001-01-31,0.18857167830725732,2.7559830563812353,-0.6180479791616607,0.6300922871149018,2.3932139669729184,0.5933029928312066,0.1477980294990718,-1.430730707944818,-0.2313013403375661,-0.411912110347352,1.2071456510205687,-0.3839306981368781,-0.23702640377869688,0.4594233185499906,-0.007879801460736852
2001-02-28,0.07960803949156861,0.8794676800963088,-0.21193242813700305,-0.46801132831662634,2.0553541569084746,4.834283925215074,1.2059191212418539,-1.3703858212294888,-0.1538843314638467,-0.3308536955781161,1.2638235425360602,-0.26418554575037134,0.08370327201405324,-0.44061484677369417,-0.17223488992741753
2001-03-31,-1.4385908772259577,-0.7950637309407412,-0.63411070611786,0.09614699327736466,1.950648145547446,0.4851051413039669,-0.4759722347161124,-0.9108867982861524,-0.8781209859454583,-0.7942863929851012,-0.3260786902603257,-0.3539407068450093,-0.37604129548102533,0.39583153129454496,0.0708706757039305
2001-04-30,0.8589625750835823,-0.3218689278725098,-0.3616941716197166,0.43263321872390154,0.9463628559322265,-0.019507607751616966,0.09152561909537384,-1.1350706744232832,-0.33076761321501075,-0.39916991924578965,0.045958449071868405,-0.3103679864039448,-0.08295299179575268,0.45032837235673207,-0.05532900560048919
2001-05-31,-0.3027587592180292,-0.5962586406928088,-0.3661600760951908,0.34317175649029696,-0.0930093123704897,1.877172093885726,-0.10843960398366523,-0.9893001543489682,-0.4517145965623649,-0.48315332922890697,-0.38925422398256093,-0.3936693518237629,-0.12119867380189138,-0.3956583514506402,-0.08210102743969083
2001-06-30,-0.5085017698187779,0.02644530730386437,-0.6133993157738021,-0.3373788788952542,-0.4294342841785232,-0.23858644461688727,0.010539673424064661,-0.7741555412479022,-0.6464867199979805,-0.6798899942493338,-0.7599018611921373,-0.5632677085201793,-0.43562194454176234,0.6775876375997197,-0.013483350337286988
2001-07-31,0.12238383601955659,-0.499252543533993,-0.23234849825175874,-1.1447862055707352,-0.5268093648855932,-1.2807598448981645,-1.939780681067836,-0.7830224166448964,-0.5314439012307557,-0.6088460914448065,-0.41236972464815996,-0.35383942869860874,-0.05939679552597371,0.8572675429353925,0.2014930639295503
2001-08-31,2.0428451500225187,1.2110024539421778,0.5613340663532662,0.6968377610615274,0.4840751558873979,5.117341205798899,3.3810078363050913,-1.4916018037201833,0.783287062100344,0.7264771271910306,1.9589539435486096,0.1391487984901668,0.7346061137411463,-0.9028676098817164,-0.014281521841403938
2001-09-30,0.06311638110349374,1.6064891699357051,1.65328475631566,0.23380102601261643,-0.2237821908617319,0.9675331012402087,2.2818725038799386,-1.4444273993307997,0.9082438541604194,0.9892806229527246,1.4561747017659525,1.2154699938223794,1.4018414296342023,-0.39628446907832593,0.01489785468063696
2001-10-31,0.2632816273771619,1.6325301068158309,3.950626408224387,0.09427877604854841,-0.347667006230478,0.06498211882548474,2.348032345067139,-1.4021234142238261,1.0770402662873975,1.381423360394809,1.3932495193669772,3.0322087602146643,2.7354815860902963,-1.4826803082774922,-0.3170683695485477
2001-11-30,-2.5934853936353433,-1.5648690532879015,-0.1998768271054959,1.205021183200277,1.3326561793980434,0.5514090404822013,-1.442712559716994,-0.3051595048991184,-0.8969264562213375,-1.5759606872208083,-1.3789084364285,0.25764626648593103,-0.15084711664341335,-0.9167731292803201,-0.008069697645609093
2001-12-31,0.12841621541657333,-1.4721634137527293,-0.6227386814112287,1.1343753169245387,1.1850556783705377,1.4042839664855493,0.5876117745125575,-0.9835845866964954,-0.697914987276435,-1.1552382696929222,-1.2205849853247093,0.07590202612901718,-0.22997213223450727,-2.5722547172008965,0.024016321759549125
2002-01-31,0.33688595924547016,-1.3625101349965656,-0.5221778603491514,1.0917159647602088,1.116124196529362,-0.09687422103236412,0.27882666374252524,-0.9858924269291808,-0.46117039247657376,-0.701568825017088,-0.9167973276123689,0.10649826237874728,-0.13322969996614925,-0.011068625280412624,-0.015100958101596711
2002-02-28,0.07955906136859978,0.3865713929472313,-0.5113137022413503,-1.6383193076111136,0.1346016629836005,0.11022372021316908,-0.23964880746149353,-0.8384110159641196,-0.3087821484979028,-0.551546043585268,-0.5368337067176993,-0.1453979067684415,-0.14709487277076444,-0.3536773677535735,-0.016191235687003647
2002-03-31,0.029613327938351218,0.3138144202085191,0.17009299579444562,-1.4472701915623707,0.11765970729691885,-0.4218863822690601,-2.389909342462979,-0.6960236878993018,-0.20808451687647594,-0.45443960760580226,-0.18830515689055774,0.28656297717726936,0.34127702837198287,0.08070401546926413,-0.04705198495690106
2002-04-30,-0.2104832118413271,-0.06710136292882815,-0.36349082074165573,-1.3899999262834273,-0.0006059346653114187,-0.5507306896432237,-1.4800429679502696,-0.4549145644011135,-0.3010716921005446,-0.6266253716460376,0.025154460319521173,-0.09722327140526182,-0.13032599936236763,0.5618545758343454,0.049197448127002434
2002-05-31,0.5718322391663437,0.2650413715464923,0.09397010800890322,-0.865842964836547,-2.2881210316462663,-0.45970654742110195,-1.2389935500440763,-0.5425603170605097,0.251033054359088,0.07367668403008652,0.49594668008574533,-1.876540922440721,0.2726017639886503,0.16788479877476523,0.016578488096186162
2002-06-30,0.28017868840386034,0.43547310211805423,0.5443667973651051,-0.9022353827262295,-2.003692242407741,-0.5576939324675078,-0.6187666135398174,-0.5144304980674689,0.4727713071600864,0.36544770494621476,0.6081563436674003,-0.5756190532999222,0.6115330277515498,-0.012198444856996369,-0.001265555958830532
2002-07-31,0.14613834802741707,0.6753035392113362,0.5682863934775666,-1.2530994362926435,-1.852190494113446,-0.5023975346597649,0.645763953126976,-0.40781615398541377,0.65302775041996,0.5197996538801316,0.6002667506060939,-0.49592484934797126,0.6179675218593782,-0.051030076023764345,0.046999581349381106
2002-08-31,0.4974171018148622,0.6163191823322636,-0.23173688492512276,-1.1976518634192825,-1.6350531416544527,-0.07934706390227274,0.9430959587813038,-0.4700797947977777,1.143682239506605,1.077373048503631,0.9269122136730706,-1.9438216092425225,0.04915595123468493,-0.1210653985977297,-0.04404910502563091
2002-09-30,-0.2536205448134105,0.25694242818307955,-0.41004483754656235,-0.8348956517337844,-1.4764587535698848,-0.7151860470358463,-0.5953327395409873,-0.14272396862537773,0.7538836274733298,0.6275800663382162,0.41586348734844036,-1.8554387150531682,-0.14904949068359766,0.899250493164087,0.0012618298204219438
2002-10-31,0.08530235895831437,0.22013596142000766,-0.5136305171027764,-0.8018531966424229,-1.5505883386295556,-0.6303391978317766,-0.9901081142327721,0.10899105698653756,0.7395817864366575,0.5630142260789069,0.27094781891944436,-2.5098311813746386,-0.2670997231546932,0.9006562522922142,0.035105814350452694
2002-11-30,0.309576999104053,0.07878644569059402,1.4146617942991186,-0.8259754307723645,-1.4749167484276153,-0.49602818353871325,-1.7286676019210767,0.011651613469918,1.4010650869264822,1.1020251683338458,0.4700613309837558,1.4477131656574458,1.429928767344225,-0.5208588522815836,0.0632948503723138
2002-12-31,0.7620605628985266,0.6939000365751933,1.7777269779574438,-0.9131232009714015,-1.2250268892064047,2.0871640599201604,2.680013197285528,10.312021029993597,5.570762860214493,2.002906552440893,0.962159093085714,2.017177866475477,2.038546002912869,1.132504470256587,-0.08628436859701258
2003-01-31,-0.8098748716342443,0.18804414942074252,0.9220719762742531,-0.05070529852067671,-0.7985611378652219,-0.4589835402608229,0.5327553033952935,4.673984580833828,2.666076926279681,0.7704178090706721,0.002371274796878066,0.7304448648274017,0.9458688810300324,-0.41919959686299424,0.0012450717524593318
2003-02-28,0.1710770116508577,0.09222107082692625,0.9528530490945938,-0.08827440996137823,-0.8072825902802129,-0.3836719231209206,0.43858482423965195,2.719526511063759,2.421759125298143,0.8873771686382695,0.13428039178600376,0.815951812084807,1.0171331592154602,-0.43591824908365334,-0.016729792115765498
2003-03-31,-0.023870944060459122,-0.43963654394678303,0.9030363269080842,-0.6118151153755066,-0.7964087222054184,-0.27285346753889067,-1.625733472602454,2.047508798489744,1.9163536370647196,0.7236897786167849,0.004440984494893632,0.7977299205510384,0.9679705404896487,-0.49128971818909545,0.002106594417130178
2003-04-30,0.11484505415587093,0.17420906954442825,1.12735487113467,-1.1997874826675048,-0.7350854771233326,-0.23031387542422782,0.12770547358254924,1.5482538045236491,1.7762740492995117,0.8157133418888597,0.011078051497499734,1.1168235010427912,1.3020497790526406,-0.5897766727964172,-0.020838517180243845
2003-05-31,-0.11535134486697039,-0.015437062119716988,0.6370547907578782,-1.0734628071581531,-0.7267101612985817,0.9281694253292277,1.2013298702982165,1.33984931279513,1.4156919525940315,0.5482952472325504,-0.13004182392832705,0.5636479786160592,0.638452217535628,-0.3642973468751425,0.08126506035881202
2003-06-30,1.0551035313346298,0.6766085025648811,0.9619136126012927,-0.2698920180496124,-0.5593051241323745,1.2109190998860062,1.3186228181049553,0.6585395525033925,1.9633460237307496,1.9208773252883096,0.9321296699464464,0.9560515548037114,1.0762459547417038,0.07498258136532968,-0.001982947308493416
2003-07-31,0.0074064830840450185,0.6016728945518227,0.8804238038624825,-0.2362440655944728,-0.8706745185235456,1.747441598192763,1.4775458529609438,0.563760116528445,1.6536482619785562,1.71591097852739,0.7317919671015676,1.052357997198443,0.9865300579895872,0.4166066939449061,0.015754559807178513
