FSOL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2012-11-30,0.26023656829929526,1.2874086656237742,5.2604502704399625,-0.5659565037919329,-1.3898510054083915,-0.19975623881933477,0.030548438401245975,-1.3889544359577037,1.5593797380462227,1.913185272818587,1.5636614763826602,7.596633208737155,3.418423039320019,-0.9448917163114016,0.004158010148663677
2012-12-31,0.14470728597165436,1.16638122745016,5.248779097036667,-0.521887725737556,-1.3267654891834033,-0.22533896437072912,0.26245213246394716,-0.10657898017210768,1.5915937432019738,3.5860881792735433,1.1045016862965544,6.681645442286524,4.917764026543702,-1.4462595873541364,-0.10951852580648995
2013-01-31,-0.4189037609307073,0.0004265165012974808,1.6129367748190102,-0.9591844221623038,-0.9646518243255219,-0.1189183043590014,-2.1832378495360136,0.3891363801336434,1.6628180738491904,2.632147712853308,0.31434513185950985,1.1826269935130527,1.5913067129988727,-0.522123746532613,-0.047402238894583906
2013-02-28,-0.12041657575795407,-0.2500553294118868,0.274886246053683,-1.0053573312466884,-0.8644485035001,-0.3653778928234188,-0.9105101761726291,0.5257199883774109,1.7623890034081706,2.0963707322392615,-0.030336786403596442,-0.13919386898486397,0.08537493501802752,0.03487794149590051,-0.009756174945364798
2013-03-31,0.050023376202860494,-0.3164607514831889,0.8918070190651795,-0.9905952689759514,-0.8121189098330747,-0.2407932010443784,-0.42589325262551664,0.6076821572947526,2.0843342053403235,1.847260899721516,-0.18169279262215476,0.5014212510330576,0.8378987578226664,-0.30167700400059433,0.04785602117763514
2013-04-30,0.3959114898465347,0.2013822759469187,1.1332362587195022,-0.9441603228542164,-1.437609488084802,-0.4852575255245407,-1.667519696707871,0.22068143135172594,2.162001923393294,1.8276693130956767,0.13453650319423016,1.2502980457363138,1.1291645849195608,-0.506725570297344,-0.03325722175648235
2013-05-31,-0.04767555495529044,0.24905439767533186,1.0848662957811042,-0.9398168960184474,-1.3433728627639165,-0.4320028045814448,-0.27220276475424665,0.2985038954734143,1.8806987624832434,1.5683169628084264,0.09271008658153822,1.2668350851335655,1.1124552175878315,-0.4338667521004837,-0.09097177820572676
2013-06-30,-0.38656696897938525,-0.022147032168204808,0.7437549469777969,-0.6530310115033137,-1.200452314005743,-0.5397938238520985,-0.9317246198638804,0.6192133470756892,1.5114206672272201,1.2274448301061385,-0.17691259488775485,0.5834050737489529,0.7383097652212898,-0.19954223943349383,0.2220847899659678
2013-07-31,1.385464350562951,0.5937995863592735,1.1074075305102042,0.20417979882894427,-0.527921157046044,1.73004946691955,3.4180391320705232,-0.7131481416401877,1.5194953295760563,1.7022851768431932,0.9894006668632489,0.744386929442517,1.06859648329777,1.1748430713419997,0.0813456394539524
2013-08-31,0.5245421522275532,0.9570278658135776,1.240872746662737,0.08170802250356435,-0.5490270272722332,-0.20392399266938183,1.0100309593188022,-1.0833302821919573,1.5807657838871627,1.6082468531359635,1.2013897116438517,0.9217150404280544,1.1523312569525956,-0.47477961214647624,0.34370051385331846
