JSTL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2011-02-28,-0.588809913743599,-1.3699116376433251,-0.7455885116618362,0.46685472401603634,-0.10225028608486,0.7692275185428722,2.118485027012712,3.0598062514514277,-0.9255428363257228,-0.2771286005964151,-1.4369506298472834,-0.8549298230832612,-0.3653566587463732,0.3961004192501278,0.05150584217569936
2011-03-31,-0.07335012505533342,-1.271333285726763,-0.8140269580599888,0.5432563343953412,-0.41753688473830247,0.5219390700833311,0.7312516728924594,3.101059357048314,-2.6191787558237007,-0.4140564091258546,-1.1296133858683397,-0.9313814160197458,-0.8873092183016738,0.4199892928199706,0.034221628496850315
2011-04-30,-0.13878661268370437,-0.3778661185206319,-0.8165575533345831,-1.4304076043702172,-0.28979077643401197,-0.7886469026016474,-0.9450906945921387,2.225234684929196,-2.6434626626751325,-0.6190310956592214,-0.7633274708927543,-0.9103203113799748,-0.8591876396383702,0.6385825045688756,0.02920446576360786
2011-05-31,-0.08873104268400443,-0.13681796455506856,-0.7687087176522703,-2.084149328431284,-0.4111134954043457,-0.3855953571785076,-0.8445342066537238,1.7166476277386455,-2.329440442019402,-0.8101782771285574,-0.5017166866011964,-0.8499704419131762,-0.723725824772311,0.4924562563311767,-0.09999181706919963
2011-06-30,-1.0623569935016406,-0.5414332530819072,-0.8159161081629491,-0.6988226077825321,-0.38215500705946515,-0.8912387553150158,-1.3781722934823388,1.794718488765422,-2.2787747570309547,-2.562472806815641,-0.654880868922807,-0.8922798535411305,-0.8067927402446575,0.525558851626926,-0.13362842504960076
2011-07-31,-1.2639833080599694,-1.217203582826752,-0.9075361688811393,-0.45435133285076224,-1.4572716877751963,0.13022070440934566,0.5576982547786042,1.98725315954367,-2.129566434269959,-4.6002214811389175,-1.1483550862309297,-1.1039456177926035,-1.0446313367433726,0.44982117833137053,-0.1307074444212873
2011-08-31,-1.1348182469756665,-2.041859679491234,-0.951667337643595,-1.7152966938979763,-1.0808755270379269,4.0101520491790055,2.077072145951452,2.1161758540633064,-1.9148639869837436,-5.10576683803648,-1.6540374737727908,-1.1211830390808348,-1.2321000253592913,-0.22365234728556585,-0.13593559480753234
2011-09-30,-1.1082110818697088,-1.974124051831263,-1.0307316670735995,-1.8838510664705443,-1.2190268553910317,1.5703068848142383,1.970044614447559,2.206762655714475,-1.6770112580170604,-4.2390489490621395,-1.875376041203484,-1.2741769195210502,-1.5697590389993186,0.03128831891442592,0.09883589818027091
2011-10-31,0.9575840449872284,-0.7155301115815985,-0.9532321967380558,0.6092208405180882,-0.5299477972261045,0.6112130258254644,0.7906184733069953,1.3921358155995565,-1.2851903153659574,-2.5190182003077495,-0.9234832266283353,-1.06987713603058,-1.2821655696402128,0.3256702130197861,-0.09681092280049947
2011-11-30,-0.7637682935649993,-0.511114227145136,-0.8670773599129701,0.4776301892834561,-0.8990499235344652,1.097872770422256,-0.5307192821946604,1.5295013882292874,-1.1516600666699557,-2.3807393623254756,-0.9022017453111584,-1.0166815054664575,-1.2074275726965342,0.1735094083107456,-0.15662620714076084
