AEGISLOG IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2014-02-28,-0.46786373350694765,-0.337448705072597,0.9110673070023559,0.4926315446478381,-0.3413917229431416,0.19218268508486508,0.17097310020507828,-0.10991245159243518,2.554444405902185,0.8229114824105447,-0.40105979687493803,0.7884448193242884,0.45099975440768486,-0.11849291796266127,0.16006086251551618
2014-03-31,1.2674903865305598,-0.3254790977637425,1.751986018123382,0.7359293667908247,-0.2584933242914522,1.9408731031867053,0.19017246845317273,-0.05349542752036303,1.1549887467497015,1.962806944631404,0.3918854417321538,1.5271932393359469,1.2368763144008073,2.7466955509135036,-0.0029507250680575075
2014-04-30,-0.06184137402754535,0.40369185930978724,0.9793221923476512,0.009139069987979967,-0.420340817548212,0.9913229865994342,0.3617279640360994,-0.11523226727000516,1.0807305215463159,1.6664113630313329,0.220524399476625,0.9136164276063592,0.5890790680598457,0.5944221211642267,0.09466522654107827
2014-05-31,0.6822204524475607,1.0401688512678855,1.2493487558198082,-0.7550146068398426,-0.25363231182923957,1.8966144161470464,1.2231665675399535,-0.29628180895859285,2.2663013422439637,1.9875181496498318,0.6602515988959492,1.1292034576446632,0.7615788999155406,2.0448019027630466,0.259879791139829
2014-06-30,1.8837768926532847,1.374637773992077,3.249903675539067,0.31632378627526286,0.6537333378933923,0.8570323198042873,0.1729382571856474,-0.593301500290884,4.496227606274081,2.8335057986366046,2.2336549479396917,2.39565099419297,1.8627585005326,3.4928095732523747,0.24447331812054407
2014-07-31,1.566830490858551,2.2624312166527396,6.0582735202448115,-0.6076509002930531,-0.0857116702752876,0.22224570988525874,0.06280042683023003,-0.9425151184540365,2.6346647810409656,2.7910812974668593,2.906320006128193,5.376692281748595,3.063387290745786,3.4910944208734844,0.10236903264394957
2014-08-31,0.426967094637963,2.03388224319803,4.329820061544049,-0.746091624199946,-1.9007796987682584,-0.045512549368901284,-0.7400573941529593,-1.1268621245420065,1.904236727731558,2.1786841113386632,2.0627242066581797,5.838327360889279,2.581047796944596,1.8252346548223097,0.038239530354658324
2014-09-30,-0.0397656537813209,0.992099017858312,2.557275951444745,-0.3238261190289247,-1.6728965478132407,-0.24540737308611554,-0.557755970485724,-1.082116279553464,2.696000741327824,1.6531430121135042,1.222613582276158,2.748688678163041,1.8394651297788782,0.3948600257012984,0.04441496787907711
2014-10-31,0.0865943370249831,0.23569206570693743,1.7272525224780935,-1.9614417740546315,-2.1003615336339942,-1.5204572116879165,-1.705508553911414,-1.002156785644157,1.89545000959569,1.3216085281751195,0.6876235700513509,2.0623331119045383,1.2112958322118323,-4.486537948142547,0.21501562794448226
2014-11-30,1.3842670369200933,0.6819280107176807,2.324460575661384,-0.2474161624892805,-1.708227431818707,0.995111254692156,0.5212419775046737,-1.0407204547074365,1.9182282642569468,1.332130933106608,1.152201647972133,2.5684051439563063,1.2869010471097457,3.9593715588265654,-0.022893361702049544
