PATANJAL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,0.050854880917633336,0.18321883736686187,-0.2887236814255067,-0.8791538610976224,-1.2536500256755094,-0.30932740421233773,0.9851807040139192,-0.042110090382499,0.1520800419731824,-0.5356114212588423,0.015324992005936464,0.5784844258867242,-0.729812167526242,-0.2067779909872027,0.11568339780261148
2006-03-31,0.33348748903930897,0.5891396321048333,-0.8829256836196169,-1.3820567824187542,-1.1070019055637548,-0.017601120629338853,0.8953161613498138,-1.2306949449942224,-1.2519066640625323,-0.35190271103838305,0.3564070381993737,-0.6362370082423594,-1.3042178588735418,-0.12521691451030686,0.00592551687865191
2006-04-30,-0.3606852447270018,0.016057668639685455,-0.7557166840037545,-1.1677889178916758,-1.6989081097227006,-0.8762257840302896,-0.8548094359324849,-0.823076950946089,-1.2541563036862704,-0.614617161047255,0.04428583854074962,-0.00909375511754204,-1.1408620726441558,-0.42289600642645386,-0.1402049291515763
2006-05-31,-1.218970891032284,-0.7494082816430272,-1.136794664533985,-0.2243567774037525,-1.035403715581466,-0.9741130952990763,-1.1589872660606073,-0.09917210312991977,-1.6687449369102951,0.032169181457487074,-0.7605432204100903,-1.2852883774106454,-1.319433380235883,-0.2644555282419057,-0.09857184013044384
2006-06-30,-1.1604532578989684,-1.6873467551076051,-1.0694324652483782,-0.8404369518075656,-0.7490941301537727,-1.0959211586197644,-1.4640076072487647,0.8428406405218303,-2.014454611563155,-0.5853748036144795,-1.3911679186010733,-1.2163189872789468,-1.2008513104531104,-0.2993865837838035,-0.08592037936354287
2006-07-31,-0.9925228053326112,-2.019611899890661,-1.10826143335458,-1.3745388452892882,-1.0139684761535475,-1.1418802078081685,-0.9646590653805611,1.9820438944963612,-2.215416296192552,-1.1558519314990958,-1.6806834960108363,-1.2889069211908888,-1.1790694373374604,-0.2670950588977837,0.01564188376691902
2006-08-31,-0.27749946973394746,-1.352622791877563,-1.1697945624054942,-0.8289994614024537,-1.05633809533464,-0.04971196097823034,0.2279949020967787,1.9605142330366292,-2.0876934310247957,-1.2588585889197506,-1.4289534689354524,-1.427329622189007,-1.197896761141017,-0.2555718153883358,0.14128505893702673
2006-09-30,0.5697754546837136,-0.3793337143552482,-1.050620466161398,-0.17314574202734498,-0.8118419700430716,-0.15363817056473097,0.4953809537587317,0.22725363733538553,-1.6249413912249693,-0.6504220504796425,-0.6206634587487053,-1.21789149551696,-1.0746591540726185,-0.24358453407082734,-0.035390101973131645
2006-10-31,-0.586267994970433,-0.16518700782159298,-0.9132981356314016,-0.5341275402389025,-0.7705859354253511,-1.0006858415341882,-0.08388308994114313,0.25451952226115787,-1.720267936900373,-0.8250738211063612,-0.5766775232928257,-0.999251373516954,-0.9356010214335803,-0.2778234434171449,0.09606198888023976
2006-11-30,0.2516529475246848,0.12761901540493212,-0.8392108204882391,-0.5049405088588947,-0.7801026355157245,-0.3865697393416419,-0.44076270251047456,-1.3636702533651897,-1.4029626963015502,-0.24972203145534674,-0.13907941205918112,-0.8766280153861645,-0.8642669172756731,-0.22446898921851105,0.017382105633314604
2006-12-31,-0.2197058078692818,-0.3036339710997417,-0.8036812815147739,-0.8078199086514709,-1.0350219447437692,-0.13671846221480996,-0.14184895680088536,-1.1346973837696748,-1.291429778779806,-0.18321099703857918,-0.14725458072833475,-0.7395199451402281,-0.8395978782233714,-0.19587414597185693,0.13037361449848442
2007-01-31,0.6483407197745079,0.35857203557206224,-0.8404511251717643,-0.8544685890374119,-1.193706539057304,-0.024337461374571483,0.895942666328153,-2.6331732017492997,-0.755340171669957,0.7822205173822593,0.2757999335013917,-0.7514581355946375,-0.8801141425918066,-0.18790339977353623,-0.09025813308849975
2007-02-28,-0.9315820260690403,-0.2879257748485365,-0.9580488759464185,-0.11049224271210395,-0.6881138011602651,-0.8477279045189385,-0.6264506783001278,-0.6915819965607967,-1.085676832931682,0.03882064351535925,-0.36878136428959457,-1.1406298042931462,-0.9343258678434532,-0.18750073670642228,-0.0721654629805362
2007-03-31,-0.7546814069964303,-0.6070156092826263,-1.0569551598411575,0.05825654416402265,-0.7259049941024682,-0.9213521390546028,-0.8724282379276932,-0.2519236000456744,-0.9239586389211875,-0.9152068229946897,-0.7155629652739208,-1.3683158901977828,-0.9869116738380997,-0.0826540778690269,0.07452631034965755
2007-04-30,0.6053289854482374,-0.812207090643571,-0.9231955507311295,-0.3386931464795748,-0.6482842012029365,-1.0080586870950172,-0.8846611634726065,-1.1043006485896185,-0.5410297191946332,-0.27926272452864564,-0.4127206295043131,-1.1513788196622565,-0.8739451324298623,0.0528068753345986,0.17390768918467203
2007-05-31,1.509583823433754,0.5613105787654108,-0.5802324105254654,0.3561818594254002,-0.2623086078630853,3.5485831601926296,1.371593351960093,-2.608573280830998,0.4567458923680021,1.4819121671231257,0.722177464956107,-0.5981715471813974,-0.6589815230728784,0.48335901015073485,-0.04850150870801529
2007-06-30,-0.6334952215364498,1.0016157830490144,-0.47048509987716525,0.328603827297214,-0.07548135060063736,-1.320487080444461,-0.4696319877057106,-1.3300757350063834,0.2681564647348101,0.5341950283165369,0.23939529207579288,-0.4709192250788483,-0.5707706839709469,-0.2748562439796128,0.08953421319896993
2007-07-31,0.7523141330815711,1.032232636558854,-0.13770225441114095,0.5058773614278762,-0.12470192257383385,-0.3672649921582324,0.5389661850316978,-1.755311372773121,0.8673750959318217,3.320074664304922,0.9910633958015179,0.00792914671287193,-0.4001986616104031,-0.187474382469689,-0.07917951322998902
2007-08-31,-1.062745079296086,-0.5696596918792541,-0.21640047730347906,-0.05120028110008641,-0.0645824622774973,-1.1383804533387312,-2.2509872805008966,-0.4425701244984174,0.41237566905597184,1.0259488114444653,-0.11373054441246655,-0.15765822171600993,-0.39081509122216573,-0.6413584483802051,-0.03538104891658527
2007-09-30,-0.5186059643674764,-0.48670430014976546,-0.4460886799617902,-0.07518008354396641,-0.14989077665764505,1.308515078763718,1.587154951639987,0.23645224701972087,0.3196902533065622,0.09583387053619574,-0.681568930796592,-0.47075070083687576,-0.48603331530483823,0.7462897482036431,0.22620568492468
2007-10-31,2.248640790297514,0.3924824959057508,0.22910833342967268,2.737469657157597,1.8193027869548133,1.1183599903409844,0.601261487561023,-1.6350529829362639,2.070977934710853,2.4258126638166035,1.0937514984384888,0.04660421354393616,-0.20710791076812027,0.9271381352844349,0.07380405027093359
2007-11-30,0.4770246612212731,1.3025092946232943,0.4011274755217419,1.3149839736202127,1.2094655992472696,2.3003112760971174,2.0443470613304675,-1.7530226971626333,2.224052469260568,2.2360811711751456,1.3682166850106547,0.2130761206031851,-0.16143159561184944,2.3162165358955664,0.44232768955510327
2007-12-31,4.137631527278126,4.042017244500436,2.975047088375471,2.963393395835093,6.761326950825105,2.1321173059333374,0.39067940834203846,-3.7473711998038364,3.780017220472366,4.6779442805580675,5.002927202528293,1.0053195341359153,0.4082011878658208,6.167294753505031,-0.3028234279934761
