BJHI IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,1.9731675636598878,1.235333478218128,3.050159036243436,0.5890716324592826,0.32826206208599734,1.8071398215093557,0.3233747396344162,-1.7640232137146679,1.8800304852482246,1.3339619203281141,1.9851698415325552,2.8635409371121905,0.81738626142301,6.53465839153301,0.054255499725345484
2006-03-31,0.12837467787946372,1.5590642728570836,2.5795817012385647,-0.2023078858234875,-0.07276500362995349,1.1529401483905362,0.6746944019860706,-0.8919220898909809,0.6899089074149418,0.9587604370675281,1.4429763431775764,2.8198903268387703,1.4525006738690065,2.823593677081082,0.09205650509652824
2006-04-30,0.5756678737698789,1.6593530059225132,2.806262001312739,-0.3344753270613885,-0.6055274589459614,-0.4405435809635029,-0.0003703864243417217,-0.8806445194798205,0.7991867909866927,0.7303691060934694,1.3074728087189218,3.4375406852737465,1.7363670228998436,-0.4297019519542687,-0.09392034464070301
2006-05-31,-1.7851602063514804,-0.6796175766696042,1.2789078318134213,0.8172231260298886,1.4191416640231762,0.19663945798295876,-0.5644447796984932,-0.45743563671935816,0.11945277282580921,0.12407703838588352,-0.32959077452047386,0.8232762535129128,1.0132512253094663,0.5395492119904345,0.002769317748804533
2006-06-30,-0.5426678850387103,-1.1507282019131324,0.7300324530035018,0.5295100118822924,1.3973525082346387,-0.4001951070145566,-0.7581598084245744,-0.2960674486821682,-0.047850687441872965,-0.13727433285531654,-0.9093566079928144,0.39759724791035034,0.5453479650191446,-0.3961142127310225,-0.11009444670981722
2006-07-31,-1.8936777992453286,-2.838864326906759,0.1377302004054187,-0.9966673840119535,2.952889675496964,-1.3328587456190601,-0.486294685345915,0.18667202302793792,-0.6638124669244382,-0.7498380624710467,-2.2803437698689053,-0.27996500372806815,0.11533560536060115,-1.1943646872120142,0.0906829335862563
2006-08-31,0.5247650018202715,-1.2025903717650221,0.5103035218093102,0.8201454536462914,0.6774827588015974,-1.4634305873622895,-0.8490545534319378,0.055797098863965146,-0.4058289124588731,-0.6182098860606017,-1.3996253723619907,0.3298447979686052,0.42722212750432026,-1.4751399116505477,0.10566977965470072
2006-09-30,0.7265889688899723,-0.38011681327213065,0.19072335337500018,1.762037778882845,1.265735017579885,-1.0498126764815747,-0.508252420984204,-0.1329552355115478,-0.045849754328221894,-0.4261543121623422,-0.4026450809199009,-0.05218373130495767,-0.09273950055727857,-0.9803818047972885,-0.08652647090447872
2006-10-31,-1.5459229454245011,-0.18474300068920854,-0.15747707787408036,1.0479333809321907,1.0703337244408953,1.042577944590329,0.6702062185724754,0.34690032029755136,-0.6273175784966288,-0.9616441714578393,-1.1136386384786947,-0.32249427218860977,-0.31742669507428234,0.5938663172629758,-0.03766746727475711
2006-11-30,-0.9414633427396052,-1.1251657180884413,-0.8064719673882471,0.7061503512269389,0.4725424252002789,0.46486993901231516,0.5752227370112308,0.6957133237718308,-0.9373079832031456,-1.2871943424480707,-1.3849715882845577,-0.8219859333399916,-1.030384173305875,-0.16533529359618052,-0.010359341597012506
