LT IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-02-28,0.5935482366776554,1.399921396839262,0.8221659750322404,-0.8908944198753106,0.07979907838339208,2.860456625744768,1.5177477273378661,-1.2350505199345845,0.7618574415659785,1.5002212615576416,1.7796237362604514,1.1572922342393872,-0.4997531509410544,3.7706560314906867,0.014796311907114024
2006-03-31,-0.30181635264139606,0.9342320347561647,1.4213251208678668,-0.04799687223911518,0.2337499806258863,1.1061606018402916,0.8829764511381457,-1.1231431025134166,-1.607628320187391,1.0763727744853573,0.9981971549278937,1.6915332056001346,-0.29730163503863405,2.015837566015354,0.1097018000520442
2006-04-30,0.7306316054069167,0.5573064736172522,2.6267714508244153,-0.5428137275388112,-0.9099398700723884,0.02522087228429416,0.18098782034222013,-1.029091151838615,-1.087059882697852,1.0181365849127924,1.0113091199106152,5.978587566667649,-0.08418910092696529,0.3496490591514134,-0.15786507973353509
2006-05-31,-2.2234786567110967,-0.9708600138432332,1.196937945173964,1.3548761054344831,0.8169295621243219,0.5970718838090925,-0.6460942604957762,-0.8035048021729227,-2.013240175739575,0.24870545885495862,-0.9235682538397768,0.35998531910098003,-0.24532570241669555,0.8832551329805068,-0.03347460761827309
2006-06-30,-1.0358812793513508,-1.4256331538652434,0.5994934307410337,1.3384148244066398,1.1652988540706235,1.1561971076300994,0.20004755529564636,-0.6838217417994579,-2.151306117874114,-0.0704189199301464,-1.6314549496468602,-0.07717794535731168,-0.3829109370339605,1.2335965034097722,-0.014556886380081048
2006-07-31,-0.7595947998307151,-2.471199416023208,0.02291809992982622,0.0792238193541981,0.49535871932883097,-0.7085119562147187,-0.43206511752103904,-0.5552545539710619,-2.1431066358172757,-0.33609118004055977,-1.8936772588470432,-0.2333995993440709,-0.6491756820552758,-0.7271185501640327,0.08421055938711085
2006-08-31,0.48438241594228126,-0.7116537409485666,0.16096756212094732,-0.18710272453443147,0.4761452932294224,-0.7455411873772808,-0.8510121624218554,-0.5215013082362472,-1.6492431679211073,-0.23593537200549536,-1.0671008720454827,-0.10137115746664997,-0.6064667066303445,-0.7674379556757206,0.057085607368877286
2006-09-30,0.15432191878103368,-0.0654611061534421,-0.13012143944027843,-0.5505996340031991,0.6659156136081678,0.5902645788639591,-0.33226534626273063,-0.4567930593053349,-1.3546922620324204,-0.2398241617036759,-0.5674433970683611,-0.3846652564744079,-0.9675250253933344,0.25251546221073945,0.03074915377595792
2006-10-31,-0.17626875714523066,0.25505897154878576,0.35047986657612956,-1.2461766400529837,0.23382827247105975,-1.2559262360014598,-0.31607056676416057,-0.38084267908588704,-1.2184499508491584,-0.34020467527686443,-0.19023418646556947,0.19467622493240017,-0.5987054505248253,-1.2790683732200059,0.039108593330049436
2006-11-30,-0.10842514584294247,-0.07107429578370256,-0.3167127471196931,-1.5432929210122401,-1.696262262345174,-1.1162822949680549,-0.1251475981703393,-0.3189594824862666,-1.0619653657566144,-0.4332402679579562,-0.09360506232742795,0.8694491017284287,-1.3223869594314408,-0.8752229349488485,0.05791479573346769
