SHFL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2013-02-28,-1.2068231501253714,0.24112367635027518,0.764415074922963,0.4897902564645749,-0.3711260629672233,3.765841217878478,2.9508398681101338,-1.38828450892785,1.2125115123595185,0.8915869323495774,0.08345645999329802,0.5241974825055495,0.8981512960214245,3.2794398175791275,-0.001698106650436213
2013-03-31,0.010731450525801252,-0.5261196730705455,0.4934574851274805,-0.10456440639950013,-0.3876576355181898,-0.16327230021624045,-0.6598761510819464,-0.7853824091790542,-0.048528841152930775,0.9853561855030405,-0.120074769510728,0.2645184149456615,0.6423532124747336,-0.5742650771338064,0.07087783979637782
2013-04-30,0.6895925387722829,-0.32577505689894765,1.0678946826387719,0.09558487554665618,-0.3260827623040608,0.42895063847660175,1.1067052495474863,-1.3908515392494996,0.7010335369837707,1.5989414446220946,0.30307352349708055,0.6864272464747904,1.1339526953657861,-0.014357824329548522,0.08999560747201936
2013-05-31,0.8179004493891693,1.0135575194035555,1.933900551289554,-0.6933259873499934,-0.2847948655781925,1.8148565003491155,-0.21773772356179721,-1.96030666445325,1.8785675031361366,2.060967875629243,0.8714138666489469,1.337857119378534,1.7787361909071306,3.714363623098388,-0.14090131408148207
2013-06-30,-1.3182552146023205,0.12386458439560247,1.094872075398779,0.5011903755220258,-0.06239152204269228,-0.08310346011640278,0.7932202442399757,-0.8526064877452434,0.2474159476298093,0.8670685928970586,-0.4458756832342955,0.6192375805588534,1.1996319396153705,-0.7103559105438265,-0.11355469954686236
2013-07-31,-1.0644481284541931,-1.08295842780478,0.268165897948721,0.42779327945319234,0.006029769847434845,-0.030567905067134648,-0.2829471866934553,-0.0035130243204473913,-0.758587368013833,0.09053245958330985,-1.2049252190049904,0.028072915521645578,0.3985673344234238,-0.5440764049081641,-0.19871617128882624
2013-08-31,-1.73144581185637,-2.9020405161536575,-0.6248041738230758,-0.8064451820290075,0.3053856168964176,-0.17358701424638248,-2.077722116196737,1.4147300804396865,-1.9987694320944884,-1.1178419832090014,-2.440544694077592,-0.5445605985974272,-0.7460934017262407,-0.3135362775577278,0.10156235860045602
2013-09-30,0.9050775010005083,-1.122637521700765,-0.26948591014011,0.8382155540198691,0.5704724383077641,-0.30101488487798184,-0.24603017235644978,0.4430826353928266,-0.8654188081459796,-0.38900335860451546,-1.2160888409722712,-0.3186259278351572,-0.22183461609659247,-0.3969441888850288,0.06323547277117289
2013-10-31,0.5347729955050036,-0.11781338920457814,-0.12494925542031082,0.8958206496935343,0.4919317184820926,-0.27755366720160535,-0.3317208311409754,-0.043037072853818706,-0.24028897628132576,0.019404920039379582,-0.4053995801110152,-0.26260156376374677,-0.03028746820087203,-0.4701920424698306,-0.03337198950703274
2013-11-30,-0.2678498434879664,0.7517493931212981,-0.476564627633965,-0.5652844785776161,0.14489477780645005,-0.5193238575799153,-0.7898865592792942,0.2333662665490755,-0.3775472156316972,-0.24607717589284095,-0.1792838843883765,-0.5207608893976261,-0.4366543121623588,-0.22570061625409865,0.12888818732721705
