LEMONTRE IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2025-03-31,0.3678835565231927,-1.864969288934269,-1.4995543287928763,0.13389286426121272,0.9728793812442941,-0.5336714515171611,-0.9835894595829286,3.341206609412461,-3.4608955651682227,-1.9015521796140087,-0.7872053417834617,-1.3217783019591676,-1.6372357843081449,0.009883811403383206,0.06416854381880185
2025-04-30,0.4516129407412759,-0.43532808889766084,-1.7302621188877378,0.16689500843566202,0.9768870428201469,-0.6255074864231374,-0.18043088689863496,2.3736846654804573,-2.3490720139367833,-1.0799539252818786,-0.3898964126420694,-1.4844390890958168,-1.962455537475924,0.11393158732555381,0.017448406463515965
2025-05-31,-0.010205282744539312,0.5752706713567262,-1.1297687770660962,-2.2295819218700124,0.7400519718156532,-1.0016404147164795,-0.85810141298068,1.9173837130221825,-1.936676255278128,-0.8974013117794518,-0.3011169137063126,-1.083761290734659,-1.1166784612579383,-0.060133095977356645,0.00558260825763967
2025-06-30,-0.10863226983389734,0.24464742388260968,-1.2121239217439306,-1.8011282541238904,-0.6841906461332886,-0.9467012457188507,-0.6827739647750584,1.6347121006508185,-1.7366456254285858,-0.8466323355949987,0.0037280841354120436,-1.159999057086246,-1.2681435781482082,0.0797431770402872,0.0668064847974874
2025-07-31,0.5479190628654929,0.3056036636885113,-1.0353983596492113,-1.5974309515587268,-1.324947450912167,0.657287668192935,0.7729154888486683,1.0983156208653684,-1.157250353528851,0.2528859940616463,0.6500158649930695,-0.9951348767602498,-1.0538960944071845,-0.02111700944292152,0.10172885404537997
2025-08-31,0.8904498544496919,0.9483665649766905,-0.17231676814366337,-1.0795343536041901,-3.1029960156809153,1.7323637490848038,1.4771512809308178,0.465885819644417,-0.2733175274471627,1.6308610664713856,1.2559076065409873,0.8285550925922324,-0.01027375357627629,0.6248240962502686,0.0028903494560410838
2025-09-30,-0.1648494434418075,0.9026400960325597,0.31316952974630335,-0.9591540839811287,-2.3052368361199886,1.3690092084523666,1.5139299105231758,0.3619351944663952,-0.22513315113274707,1.2354777411629876,0.7561884525382077,1.46169741084874,0.5729136347229016,0.8467336872950397,-0.006273016529313602
2025-10-31,-0.251552566448388,0.34937320406737643,0.4358775610590009,-0.6485749280386104,-1.9167935209000249,-1.2881639565198446,-1.1118961752489094,0.3107656050812537,-0.2649258622436033,0.9063209271234899,0.30942991851095647,1.427198046365062,0.721816599423107,-1.1985980187385274,-0.04327806480754303
2025-11-30,-0.6904604180109258,-0.7649202721422481,-0.2214309779494645,-1.4976098786765761,-1.350585626769637,-1.014651051856421,-1.3555208785488833,0.45906552260592254,-0.618109384151029,0.052897996952992334,-0.46945398673990774,0.02869076562450384,-0.05048144966237667,-0.4786153709746692,0.006235651484106837
2025-12-31,-0.0832180181528057,-0.6998077149705219,-0.8078032136988377,-1.4088398369991106,-1.2746767261439378,-1.1351599884367334,-1.5908699218613838,0.3141910136534245,-0.4930580957094175,0.024115371755663608,-0.5941623405753989,-0.7705232977235463,-0.8002788182295668,-0.030645430537686823,-0.2100282513106807
2026-01-31,-2.5286435750013534,-2.2355045493587244,-1.0617244946126547,0.7525776827384129,0.5929044227981469,1.9157121568983124,1.6055388947820042,1.6284505712150348,-2.070556001377498,-3.5040491553013187,-2.562752050227038,-1.0234160811137936,-1.189062035171917,-0.08019447533758949,-0.1272103218199988
2026-02-28,-1.3268369257537302,-2.6128989868909005,-1.0500439372028356,0.5981457051095754,0.00993517452695783,1.139119331902178,1.2505924428521966,2.211704037946664,-2.5393570284651075,-4.242739590102857,-2.885139382375054,-1.0155465584792842,-1.2216587933887932,0.24472145775087442,-0.012927398021844347
