IDFCFB IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2020-02-29,-0.7852641741421998,-1.3388158770524183,-0.41102434281786415,-1.1314354355638938,-0.4571674634226884,-1.3503914877414986,-0.65885957977517,-0.7031315192541927,-0.05367935853257505,0.07965962593033644,-0.9777565966565863,-0.4783707842752014,-0.13799007492713808,0.8510293803649879,-0.5562248046928644
2020-03-31,-4.898858160318591,-4.392966272635796,-2.6429229744235943,2.8247170402086312,3.554138012934564,3.278013057506938,1.8096474148255706,-0.6044291649503821,-1.6130025145406197,-1.4351997681504765,-3.8691221719784674,-0.7675311487104132,-1.9008304398096412,-11.021558186831529,0.03721359634043427
2020-04-30,0.45368950901155036,-2.5223704247936385,-1.9956785687052403,3.073955243906838,2.5586534077825234,0.4533948178002847,0.2858403938728751,-0.5212327249668233,-1.1880498763713805,-1.123238104496729,-2.389416834787589,-0.7446676789905126,-1.4988956765446748,-0.9722522722779804,0.009090971701252105
2020-05-31,0.2688764756725176,-1.728010029405153,-1.608423913511038,2.809740115154927,2.0902713258941876,1.4578451369066658,1.8604001801380665,-0.4219703876221435,-0.9967922349353979,-0.9825426138653187,-1.512793936802783,-0.7532116510931711,-1.2285219242569942,-2.0515330336922784,0.15091338337746688
2020-06-30,1.1460579359095526,1.105213531635039,-1.0764032590911226,-0.5916044492419669,2.37022528321508,2.309384705040315,0.7340370701095008,-0.3048586428497128,-0.4712165188414665,-0.26517108664726263,-0.1546916871864678,-0.46224499564115823,-0.8129502550599447,-2.230833576202269,0.03442022388647937
2020-07-31,0.3269653448449364,1.010711756096651,-0.8837923341544646,-0.571780205100101,2.1434372807008564,0.4372997411079106,0.8421039328079457,-0.17761822070352531,-0.3665538146625123,-0.2565553747515785,0.5518490599111594,-0.4246249735846144,-0.6739409643588578,-0.4477499675806663,0.1848246870120731
2020-08-31,1.2778182595414758,1.5827817122272703,-0.48055037903848374,-0.5201081415286043,2.2167370127859933,0.5256743915311917,0.3121456118555033,-0.07053810771676643,0.41866010482904137,0.17527261691555743,2.0507018991869157,-0.26234812904176663,-0.3366066758176993,-0.27813219633892083,-0.06620657823826821
2020-09-30,-0.31305032549652423,0.7221757171549634,-0.4171337857204151,0.023186196612552924,-0.8134979509405365,0.01567295242210595,-1.3311890910144963,0.028781258522807794,0.04103389135111915,-0.07565292119400377,1.0083511129739815,-1.2157277844208583,-0.2831054091982872,0.03509043172086978,0.021470684396876865
2020-10-31,0.19707309862621233,0.6369078252892302,-0.6720124982335444,0.0837508538095392,-0.7479518031126157,-1.0054763934276325,-1.460380427592588,0.195260659165616,0.03894394503979656,-0.13794663628414364,0.7289353419529646,-1.5154632969832778,-0.5543841072303559,0.6550325363679522,0.18313821670051056
2020-11-30,1.2595146372080444,0.5862592049874779,-0.2992000798209489,0.12199995893130618,-0.5641351409563021,-0.5972589583223077,-1.0670984840535909,0.5023865073423622,0.9815304625514035,0.34473053662134706,1.317623202811331,-0.8061734937124506,-0.2519418355724393,0.38272565016315224,0.008130126083250089
2020-12-31,0.06555167770980085,0.7966618060169831,-0.1710142812555148,-0.19273322358246556,-0.5570054030500636,-1.0867023190803606,-1.130881505867787,0.9571763035941906,0.9082127244606929,0.2621599952379324,0.8813527413103642,-0.6349329196931965,-0.14953398467231405,0.5785699938219929,0.242125540849414
2021-01-31,1.6513842711156972,1.5572507804842641,1.178042343725119,0.09588660912275106,-0.1857576339905819,0.902407016209044,1.5321163950196555,1.3740368366569362,2.3230427352638046,1.0537398863147727,1.7916492209880148,0.9665282347663728,1.1866592731798635,0.9194072507189104,0.295858301568887
2023-03-31,0.03780169332168061,-0.42575474031114413,0.06308639651711948,-1.2453011660754036,-1.532752396561933,-0.9203697134821063,-1.7189920222617434,6.356140479685032,-0.8887209586883341,0.10391189081305596,-0.38483151507022173,0.9368769753618355,2.3374318216506262,-0.7898429744419647,0.10998197284335501
2023-04-30,1.0707741808197815,0.27291943719987155,0.4670370807300102,-0.19935474545271145,-1.4728698702796428,-0.9041041196075357,-0.5603362556236244,3.1193035050243996,0.03448979018266617,1.3825128261207158,0.35480815239688046,1.7175257374810695,3.1077267250789045,-1.3061183281844027,0.15356931826213702
2023-05-31,1.4096123617906258,1.398877448460783,1.4370708073977463,-0.18317320189553746,-0.7342235988357936,0.7082909967328328,1.3481060911940288,2.0230257510648735,1.5615929328781437,2.196827300335886,1.3131683393785594,2.1516113400768226,4.37613859524196,1.4854125886150882,0.10270521397890922
2023-06-30,0.8636654244330532,1.8148603744182528,2.9988214272021723,-1.2417673449020705,-0.5950544601025104,1.0928683988632257,1.9474205299266354,1.5096573993523668,2.445424064873425,2.192139200958836,1.6567318342926747,3.3228505843294367,4.84467639040714,3.959468684857581,0.09370596266184388
2023-07-31,0.7123806048763051,1.546739597332877,2.2653526858150776,-1.074183043469178,-0.6606712089599225,0.955098359541509,1.9576448520226577,1.1650268148012677,2.606896141578488,1.9499439143664568,1.666719658147699,2.4288500121551935,2.5276113509474993,2.4110229381436814,0.06815153907279765
2023-08-31,0.4252685596652576,1.0095338510243668,1.266598989167031,-1.2937450531646613,-1.3984340518246055,1.6433793690225036,0.6841146818713283,0.9346965087545777,2.2665270624169955,1.6202359424643826,1.3345420675073074,2.18559655672387,1.1849102638924198,3.009866199147651,0.02277037749895302
2023-09-30,-0.09567673650144787,0.5542688213800411,1.2135646407226703,-0.8665452964813336,-1.537277652379281,1.2611412162111042,0.31583493122919554,0.7944993818713524,1.7284552689449924,1.259782436914084,0.7403377092124342,2.415647490456231,1.0889924839269447,2.0586004047878497,-0.1439066454570389
2023-10-31,-1.7473939767805604,-0.6659840884284794,0.33172451590029417,0.6526101004678649,0.28495037713255,-0.45316327730942263,-0.994623691182714,0.8627317902149839,0.6594371688675049,0.6586183814459647,-0.6143220935960222,0.05658640851864882,0.36543481852380855,-0.7068677353253329,0.02978183180562447
2023-11-30,0.07997243686069809,-0.8528980399084161,0.3066970926160232,0.44975463686401956,-0.08291083181512328,-0.9116591458893126,-1.830572370070016,0.7099010045664768,0.6700644429781001,0.5535969434933589,-0.5915023108002813,0.11819818674975395,0.27554040525434376,-1.109501816419549,0.04251070868458897
2023-12-31,0.15307356474506562,-0.7195343701903198,0.3966101194739354,0.5746852993534456,-0.2552908529668655,0.6799994580513707,-0.37145806130955056,0.5619188805795499,0.7161881878159754,0.48658984106587755,-0.4555937840209101,0.23893205879592175,0.31899946919930305,0.4089897210459125,-0.05253733352788172
2024-01-31,-0.7718413145469201,-0.25842562863985324,0.26163156744310606,-0.4803373688952622,-0.3625340861887805,0.7529467744618432,0.9669844833000477,0.5375804440670082,0.34937861537574166,0.1835734621488447,-0.7520969028405622,0.17044532166539897,0.21598812600196632,0.3920094621759199,-0.03990856081029217
2024-02-29,-0.6354654067904663,-0.6118553522432914,0.2657461124636139,-0.4444696043017027,-0.558938554508821,-0.5453203132978146,0.6075316687127116,0.500686174746896,0.08599463045143016,-0.0490377541341674,-0.8343134103733368,0.26109171119873653,0.25983960733294625,-0.7122931094249729,-0.07225897316777462
2024-03-31,-1.0083201156077872,-1.168104187289788,0.013753393992368827,-1.111761889215093,-0.5828835325638844,-0.03596797943700169,-0.2933259714043739,0.6046232903548007,-0.8893675883070283,-0.36478709031453227,-1.049003013181766,0.04840962102588478,0.12398204523605537,-0.20177274900078965,0.08573956946936663
2024-04-30,0.5943971253769078,-0.5114455338466959,-0.10827105215562245,0.2364639279884428,-0.746058466690097,0.39489300664749294,-0.16751556815677235,0.36768948957136494,-0.6313565126482095,-0.22095844607723014,-0.5218873407778187,0.00021632390716944298,-0.07017577724780885,-0.02646315602569331,-0.07256414831080224
2024-05-31,-1.0333694151804702,-0.7183687839635328,-0.7429084733600174,0.36381078016747437,-0.6287616523674182,-0.40719869761865624,0.34638380248083045,0.3685514868711192,-1.0457690309218597,-0.5760920585182268,-0.912318138862258,-0.6532123308581689,-0.7416021315647078,-0.38984251998894737,0.07268586944782789
2024-06-30,0.420250449702916,-0.012146849023044411,-0.8963873742296966,0.2564564210415091,-0.4502895624246308,0.06881799946266094,0.08142019162286308,0.15163481424469608,-0.8806538852856268,-0.22484253507787844,-0.37065084375795415,-0.7997907396408729,-0.8488714171484211,-0.3441996357170643,-0.07806681293860925
2024-07-31,-1.2804259854775244,-0.9758621781275704,-1.396795130720921,0.1940248475940374,-0.389307343314246,-0.9128821877241393,-0.7234671795881349,0.17835724670885122,-1.606137470509196,-0.8809205427512146,-0.9298828773399481,-1.2721632944537629,-1.2881867789004828,-0.21928101145961737,-0.028701162487096702
2024-08-31,-0.642368774399487,-0.7269680565820091,-1.6460503169640024,0.10189229982220642,-0.3617873895934121,-1.758793248265908,-1.0473528124156435,0.12482454204499638,-1.8697413102030394,-1.4311996084351415,-1.0087058306863914,-1.4556316969507166,-1.4851016458224557,0.18400419425286718,0.006883082711567145
2024-09-30,-0.13395702065781084,-1.0249798845639693,-1.5711206502108879,-0.6772628820208196,-0.45553779487170537,-0.9849870067464012,-0.827276382779436,0.0013509819102497612,-1.7224196707603487,-1.4606632712683905,-0.8643021481004955,-1.4499622308144666,-1.4470070689717496,-0.03599062166804181,-0.12019009978095563
