FORH IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2013-02-28,-1.1028977834448643,-0.7245190704003974,0.2530328131212044,-0.31914169733368153,-0.18894365093651477,0.21330247963681043,0.32768907322305924,-0.7685128692021735,0.6783204277844274,-0.3235279454877531,-0.5769035099483901,0.12007390193896196,0.4059129870992735,-0.023303110658418513,0.03244075657165927
2013-03-31,0.4681431201923271,-0.6354335601888639,0.793933630462786,-0.22760670328134108,-0.5790029600025928,-1.1716752348596706,-2.173751606216713,3.297384325917872,-0.7228505206631394,-0.055587202347599556,-0.23740483067117396,0.608108014254533,0.8165596477413103,-0.10731420360277813,0.008937497427076056
2013-04-30,0.24522704890766372,-0.26104309239646134,0.48672265068784915,-0.10002528365339607,-0.5643311501901981,-1.4498750137124525,-0.6741180880189845,1.8084081751882328,-0.40607635410800724,0.11076010486474745,-0.12138193103883749,0.28020500108018714,-0.6401803216436965,0.25448253739037807,-0.13303719938491207
2013-05-31,-1.0905396306167408,-0.255029202560303,0.2519039878604239,-0.045956341631219505,-0.5786860707500352,3.292983677047039,1.8857247245119404,1.4700937227253656,-0.9677787998444595,-0.04146989983845485,-0.8826320080633901,0.015340498126771763,-2.1820269790494184,-1.0419402990818938,-0.028057952795157496
2013-06-30,-0.026337390733212198,-0.6049608788977324,0.048643093723649646,-0.37047595417281587,-0.7147923207444208,-0.29104291704370266,0.5108439781694112,1.1126018999043807,-0.9063434085562764,0.1823676673370088,-0.6440565923945027,-0.30406817724550933,-3.536815065941468,0.28265446472626754,0.12639214761505194
2013-07-31,1.427514807374515,0.23174933214499893,0.8635837289314605,0.5653681824072786,0.004176461765639955,0.2935299200070644,2.2371365987638403,0.681295740582674,-0.13573057192497281,1.559994113237903,0.7718188863027053,0.678654276629566,0.8000803179643462,-0.07937969850970897,-0.026446965306578578
2013-08-31,-0.037526269642236494,0.9884462674026141,1.1748787440176376,-0.24757617031028617,-0.3810419631754875,0.6183591862499072,-1.1886790105286003,0.5775640346910891,-0.31854790000753025,1.720539028931227,0.5667158587555211,1.00784463963003,1.9898132408615385,-0.01395234509876328,0.025935063580529497
2013-09-30,0.41361967553096834,1.2905943809609361,0.6340236342962877,-0.4732067526641932,-0.44363541240716203,-0.6065322286682766,-0.45905390484533176,0.43410476858041935,0.08368416331853766,2.4916064231956283,0.847961869308732,0.47595568559872253,-0.20893455013807435,0.05937796279458422,0.005616558037732301
2013-10-31,0.15529598952626247,0.38412370515630195,0.6759438629578495,-1.3767738086789985,-0.4364235406791738,-0.5371438693623516,-1.2478279184546062,0.3596104924867618,0.24412427128017386,2.4521129400684076,0.8899333584825326,0.5245001563412398,0.11511453649845366,-0.020464260941123854,0.10388284603020877
2013-11-30,1.0909211973617734,1.241574205332794,0.6687019806637003,-0.8343382127114151,-0.8858314889559162,0.19706939177125937,-0.3780751635840825,0.18479592015807236,1.3902373041706724,3.367729925190984,1.564087560410199,0.48165772415728453,0.3122218343587919,-0.10490316841775386,-0.06053857687223928
2013-12-31,-0.5586034703866556,0.5278407155490303,0.20879789651563768,-0.2634690968474281,-0.6878212052473391,-0.4542526664229837,0.03023998984076614,0.23262534524028833,0.6957169279921208,1.9760754145248063,0.4822532247951489,-0.02536151799384873,-1.299568606319843,0.18206747138794097,-0.015229967677130186
2014-01-31,-0.2749377392755401,0.2907521024173459,0.2914148348054639,-0.18120677816253786,-1.0424329098685685,-0.3622528273078147,0.12720963504883276,0.257199177963112,0.653578602919426,1.576414057117039,0.1542578845078591,-0.05080212120672815,-0.8710395211787799,-0.08997311121511317,-0.06652068234156232
2014-02-28,-0.8948878066177754,-1.4381566370268368,0.5670648956348487,-1.3310570160179005,-0.8126393949503518,-0.38217518124056216,-1.4794058133272905,0.31257895155335863,0.08420391773828807,0.6135113186335239,-0.8550045798474533,0.42118852732042006,0.2629209516327309,-0.35471478134318823,0.03330172454903994
2014-03-31,0.5334068172367641,-0.4640421857705208,0.5216221998662973,-1.0290291836841228,-0.7494608587479222,0.20312592660247045,1.006788938214982,0.2301340464449744,0.7043800800163442,0.9183952178662009,-0.3491644493555947,0.4088372310080485,0.27025762134694636,-0.5269373250429672,0.019762487610066777
2014-04-30,0.2893565153596357,-0.05067136854784549,0.523159194919644,-0.8522406587839985,-0.6910620342833834,1.1691477742361769,2.0737344753299114,0.14165242983887832,1.0397334471095254,1.0484680200451457,-0.11689800504829566,0.4548445916984055,0.4797102587807997,-0.6196825886595715,0.05752072763552575
2014-05-31,0.8536692966822534,1.2045713747677171,1.6613691869233778,-2.2834469241862845,-1.2474258647065795,2.1204868306587903,2.3409413002129895,0.050536309835048684,1.7768704205164272,1.5380537556250258,0.8743505026391921,2.226422672114424,4.830688270637033,1.235241350228589,0.14442635036759963
2014-06-30,2.0309106485240482,2.2076540254040293,2.8619611067547552,-0.24696395577269545,-0.30486041152644594,3.0216490296094407,2.085460266636015,-0.034919336862032975,3.5456355623240436,2.522789283380151,2.6657292365043,2.7938578644303806,6.682779711136786,6.236059137174946,-0.03377431711860404
2014-07-31,-0.5509301683394818,1.4496537775262741,1.3245885824978323,0.746932112241643,0.015560784337212544,1.4878649714634165,0.6014239130614815,-0.12352310702659951,2.4282172171366576,1.6013801629246573,1.3399502060521407,1.2229569720044917,1.9118125244641841,0.7428032278464337,0.0180715151239369
2014-08-31,0.1388243303477688,0.9731703327599157,1.5820311769149409,0.7895814983767894,-1.3364692869715311,0.20456057662682925,-0.4179510212532849,-0.21183177506145395,2.2697903993546023,1.4541600852312726,0.931304491854497,1.8255471713972613,2.1584750847864087,-0.338688203718564,-0.026589454189239383
2014-09-30,-0.5221983466716397,-0.6084877763856821,1.1316568572965886,-1.7078640281625723,-0.757890069690761,1.7344686996376193,0.018904227391907877,-0.29562977540446367,1.8035207524403694,0.9655456258017797,0.10793768364701938,1.1845823106249571,1.3880897378609782,1.1774181163772428,0.03859539430258038
2014-10-31,0.47944797325089256,0.048487841171467205,1.2968854196046062,-1.3554602729312732,-0.7076264354260238,-0.6545789366765317,-1.7586453881098054,-0.39791327551476485,2.0459870746226283,1.0321810706802497,0.2032719909341654,1.3606903331881584,1.5696151464250703,-1.2139397039006954,-0.12989310447289545
2014-11-30,-1.9703837678482206,-1.2409610885372893,-0.44256309256554854,0.6908588905173907,1.62030461392461,-0.36664328949048663,-0.31096608843895424,-0.5085387223788647,0.8454281588271848,-0.1593399266462438,-1.4395482159981625,-0.43230601723400236,-0.41110950491817133,-0.34147687127691434,0.039959392032728684
2014-12-31,0.5810511866567025,-0.5583385125483736,0.21779381971149767,1.1351858200804137,-0.7536910320677344,-0.47001641582000203,-1.6094801412063302,-0.647400128336601,1.3751680736011116,0.09409096767074294,-0.6590062870553763,0.2294820454455944,0.33027045385916204,-0.5461557839224074,0.026217898054058945
2015-01-31,0.3806459042662692,-0.6170462244272913,0.644483254858648,0.925454398224072,-0.5970057709792902,-0.21385106914786037,0.7878206191786191,-0.8202966677846455,1.8843582201954865,0.20080319509585226,-0.1901618715533831,0.6286928091624748,0.641623286735327,-0.46010577323015933,0.3523233843588316
2015-02-28,4.8544370562823005,3.851821381074484,4.700393879396799,4.098351728244438,7.458509826737549,2.743881034181005,3.3834958378136473,-1.1344331016320417,5.138623975850631,2.2194838351071136,4.270174457183944,1.7429369075620378,4.729810457455556,8.97280090806479,0.014996455489642393
