ARCP IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2010-08-31,0.18892844538295736,0.42105581062136,-0.26985582057500923,-1.1637255640805084,-1.1044626009381113,1.0843171853876952,0.9570221198881483,-0.5970219653015961,2.4263369113890705,1.060779798370712,0.1973085367752716,-0.5658017112501836,-0.2884918379051526,-0.10474438376229563,0.10084957327436375
2010-09-30,0.3191278911588087,0.39717376762797696,-0.22829797135495764,-1.074164054612027,-1.0228870173699958,-0.4799811282768216,-0.42692817629796476,-0.8321613383236434,3.0302177615051225,1.2118201369123625,0.4655583855754984,-0.5004917006324555,-0.22664279642413693,0.08203535383209372,-0.0829226340122939
2010-10-31,-0.27528908604243824,0.15541481622043407,-0.1830185326227049,-0.7617979541314567,-0.941722751513018,0.15490403469047218,0.6871004591382258,-0.6510232990949123,1.65616683139544,0.8673368957287954,0.12277015961787593,-0.4286246446045205,-0.1692126982743,0.003377321242642993,-0.15282251913430692
2010-11-30,-0.7168713992649145,-0.3904497042713825,-0.3590804452271923,-0.5404843857379062,-0.9174131195805448,-0.659435368155343,-1.2494104299350097,-0.28905773040330246,0.15962254838043288,0.32101719465349227,-0.489906811779696,-0.6060844290173748,-0.3465118962122631,0.0625586042598564,-0.03668765673258933
2010-12-31,-0.2759031437445557,-0.9818362536560895,-0.4545774157217406,-0.816693428727375,-0.8947384777781182,-0.6670426259208304,-0.4718201343384543,-0.2337625196978881,-0.1448561702928166,0.08111128196718442,-0.7009056878730352,-0.6989213726449452,-0.4283049400782397,0.09445248950657183,-0.06046611222891475
2011-01-31,-0.29127974740766877,-0.917087384160079,-0.5481248387383472,-0.7795540935090625,-0.8286694269624725,-0.2804856081838915,-0.5118800571971514,-0.10357179090772435,-0.8088008818808639,-0.3371337593330351,-0.8040328403892668,-0.7720267790309779,-0.5229731020684918,0.03197282563007114,-0.28870049398656256
2011-02-28,-1.5294811487094737,-1.2205945074146036,-0.7320275712287799,-0.27027386367672834,-0.5591737824895652,1.754837461474468,0.8575868894029187,0.8757190934191342,-2.960228219709477,-2.2731701923176177,-1.5224215247572952,-0.7953839917434121,-0.8700661757511758,-0.6148935865267985,0.10245531667332113
2011-03-31,0.3771306537317686,-0.7816223091446992,-0.7550024842087492,0.23634606312153703,-0.4933374692845924,-0.822770861455511,-0.2493924306752845,-0.45154364076255965,-2.896454046085808,-3.0448483555866694,-0.9436064437596543,-0.7690668922529803,-0.5878935902159321,0.23233003688897774,0.047748824975109475
2011-04-30,0.08125548465442572,-0.6182095745788858,-0.7245008689807303,0.3609699411422216,-0.3518754614219139,-1.3596827276129007,-1.190991258637771,-1.0294265786854901,-2.200958271268413,-2.708072388725931,-0.5468303369170621,-0.6775662581688604,-0.6826852446247375,0.31992044438472833,-0.245202694156477
2011-05-31,-1.574574150924985,-0.43317191151380435,-0.81031154243047,0.297658545809805,-0.15761691965993843,-0.6888371530687599,-1.4030866355013674,2.925533081221924,-2.672663082294823,-3.538283433319923,-1.0790267149681538,-0.6798851533336285,-0.9295935020091515,0.10602066348975443,-0.07697158693389178
