WELSPUNL IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2006-08-31,2.1868222821720518,-0.2972387842905697,-1.5247430222508631,2.919621493876682,3.281661974107257,-0.5021365781652488,-0.09471322252186472,1.5548433720167725,-1.1210429448424306,-1.5558210972283597,-0.5536433805559835,-1.0363610050779948,-1.4751029455061582,-0.026188110997535603,0.09265883048270476
2006-09-30,0.9079525528842285,1.141836219008335,-1.11362395253768,1.466650504645434,2.3256883676736417,-1.0156832479210733,-0.20228345331824454,0.7841698140496329,-0.7268722839612626,-1.1140911464794214,0.5132977711177464,-0.8589629761055937,-1.0063363143542483,0.14053200636731017,-0.05806981290049733
2006-10-31,-0.5270219678371887,1.3443074621720694,-0.9326528250519714,0.9358487654956689,2.01643958162036,-2.03902828710496,-2.84384968139751,1.1511721045040026,-0.7133102323607311,-1.4932781654236618,0.4420096894957251,-0.7594100578264943,-0.8822668035868915,0.5963391531898171,0.017432167168671017
2006-11-30,0.21496400027897877,0.3227339278566587,-0.892376596494914,-0.2450783575131158,1.1632250654778336,-1.345493063832642,-1.165760794702024,0.8894457369014359,-0.5312327562426404,-1.2723410360364331,0.6456356882721178,-0.7638671866968553,-0.8463453962138178,0.17685135497061338,-0.07286804639040126
2006-12-31,-0.5966448015272519,-0.505410842681501,-0.8876964050970487,-0.7590405067904674,0.5310919551677282,-1.2639055250605642,-1.2821529362338353,1.2632983163155098,-0.5946467456785806,-1.6453312103394493,-0.017906039369701154,-0.8118430768910958,-0.9078817398253364,0.28501240339573225,0.04601295908722484
2007-01-31,0.6189433275066625,0.13796700272631754,-0.5534406857268402,-0.5134251715669832,0.09006377561734634,-0.876988985073173,1.2851278012614498,0.7689721407546122,-0.34148842823459546,-1.1713979514079929,0.17815595086041033,-0.612370500051773,-0.5013958066444856,-0.3003962497930942,-0.1367487351678372
2007-02-28,-1.191188887210073,-0.7002563069906128,-0.8651005024638814,0.0859399221901121,-0.5027002580971811,-0.685906098735948,0.18821129162497582,1.5706569111969995,-0.7625637658033532,-1.9156803715783006,-0.8786162424837725,-0.9570619326465056,-0.9922885939531325,-0.04657213869837133,-0.0982997186526909
2007-03-31,-0.7275963617579649,-0.7882003402240896,-1.4420681632071635,0.13351347676761724,-0.9933802592010367,1.653170426171739,2.2984760360548635,2.5252372926482582,-0.8250490965679385,-2.1444134235041874,-1.2548555414207285,-1.8352566024079418,-2.1891586616325895,-3.49370758301132,0.029500664396698056
2007-04-30,0.4963713713608979,-0.8416760084144344,-1.222789099614793,-0.061946892089286804,-0.7728978440389851,-0.6929410710076703,-0.07930311957564083,1.6217316362511687,-0.4548575233041915,-1.6002534115918987,-0.5898410927514881,-1.3938824400753218,-1.710285643446007,0.6651772487300824,-0.0552791957247744
2007-05-31,-0.34347354729934204,-0.34034583623961273,-0.7001946745681016,-0.486016243349234,-0.877508310901974,-0.5833416520543168,-0.19663172526196102,1.4778024594551,-0.45501502275963357,-1.6026296766318393,-0.6361216928079827,-0.9200738774716312,-1.0462661378065543,0.1559607145578732,-0.06505068504121234
