MMFS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2010-02-28,0.46024179285360284,0.6297105220995685,2.339813550059494,-0.1363828839640889,-0.9261890158778241,-0.6571912095407966,-1.7308345609869882,-1.9265463108304657,0.27316036580978786,1.1218155291309295,0.9785309828299371,3.517085241541997,1.9367766579733374,-1.7772707671198644,0.09977411887575299
2010-03-31,0.6563619940056089,0.39605419316987217,2.351071461992057,-0.35012035664332847,-0.8988399092689277,-0.10222042629969698,0.19884512801616308,-0.3851409983250366,0.3718364996807434,1.4180831723163843,1.1626546026733142,3.16751339467592,2.8703606915830577,-0.38010618755865755,0.18427909393463837
2010-04-30,1.1739931703408586,1.7298436315143586,3.26682007249974,-0.7902216861405906,-0.6950726248334487,-0.3605191084517682,0.03181835217040896,-1.2768774788667463,0.9273142145208197,1.7756931537662004,1.830044283018017,3.6714573647454967,3.090432545009003,-1.5901921478995626,-0.07009485920782932
2010-05-31,-0.5936235685708449,0.8755422128850056,1.13133110209144,-0.009539319068455576,-0.4324274839761665,-0.5694811051526574,0.46733987481948064,-0.8852884427780534,0.9112234532798299,1.228036293375877,0.6203729989907483,0.9415498329238007,1.227929526797162,-1.1124532566887835,0.07216116970164649
2010-06-30,0.3644659682757065,0.6715441960418402,1.233479054599448,-0.05912704521093177,-0.568443405917025,0.06635023194063412,0.005803487309266214,-1.1694162012576448,1.3072308598788942,1.2135047096389107,0.7643055133415843,1.17864785002034,1.2122267249358423,0.10573757792858231,0.2298390447293917
2010-07-31,1.373604833060644,0.8443959212477605,2.669847427170005,0.14287545744104552,-0.6072759457512,0.051625757033984504,0.21846129935932354,-1.8587971284092122,2.3302332805316093,1.4667225572070028,1.7557808430726933,2.7020039470833743,1.966994237497146,0.3521843135868493,0.03904290019483682
2010-08-31,0.032093651286209945,1.3047768098491261,3.101370757934966,-0.4714768944042678,-0.6182698325997446,0.5157999319269693,0.7140810771907853,-1.6643576954734434,2.3752501799930608,1.1811116916238769,1.1453472987663298,3.089123971919331,2.308422657440013,3.0855083872210844,0.09527106714029102
2010-09-30,0.3749800527063013,1.308054299179209,2.5911176426871654,-0.5699990103271713,-0.6952727165816432,1.4136140632823582,0.45530370328574693,-1.6268667945460094,2.6693517652645413,1.0561055043730312,1.0797909523023488,2.5882640440454354,1.8401832042535795,6.818693365519763,0.13333580635405518
2010-10-31,0.6120741236902629,0.7445204936179015,2.3703960165417057,-1.202635676838383,-0.9165624345988728,0.9731182179108869,0.3213708397499809,-1.5850045309883527,2.735191349492358,1.024462195766132,1.3515156450252146,2.586876795583835,1.5041030553129138,3.1849077618772976,0.06493780243654708
2010-11-30,0.05336293122075733,0.8188746406537752,1.6990040498703534,-1.263199208690004,-1.4583026972503443,0.37717130681764693,-0.16539480252864863,-1.4968101463015777,2.3497008726951467,0.8828743104568468,0.9698829256022482,2.961687706512438,1.015002210406329,1.0956538796964348,-0.06265833940259236
2010-12-31,-0.9340848135167884,-0.12300282119193574,0.8503222452729009,-0.3790080211327575,-0.8133712631876513,-0.3021567367119982,-0.7562945089298251,-1.1617318766953786,1.8343459476581918,0.5496235905022938,-0.3006343810011469,0.8035324840503211,0.5223771817035519,-0.2637526049242833,-0.06126519579260206
