KPR IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2011-07-31,-0.6894292266020515,-2.54812044228142,-1.267946862706226,-0.9250618044413984,-0.40206675584907015,-0.5902334567745164,-0.0638388896842585,2.446918443658818,-1.9535430071381854,-2.1614004049676656,-2.104552238941009,-1.250297477150535,-1.2120015938691957,-0.19174971582961592,-0.11722114318781542
2011-08-31,-1.0360509109223581,-1.8308501809835573,-1.3848136523522498,-1.4178449697267381,-0.3069917957962744,0.1938012880125685,0.9683884276483158,2.145561592318488,-2.282747948160272,-2.9110085792838056,-2.0365248801520637,-1.3389440893209452,-1.45674209515609,-0.3237188546893881,0.027918064425847697
2011-09-30,0.0502068523691291,-0.8669524081971758,-1.4013935032847273,-1.0160473185073013,-1.311276563788734,-0.48309761834260867,0.15093764372911128,1.550419398318145,-2.0961617480768453,-2.570787627386183,-1.3234628004120006,-1.4762122056492648,-1.4257489787407174,-0.1854119060812952,0.0508015314073918
2011-10-31,0.30033720936844716,-0.3625613287047547,-1.3797615355863015,-0.5742410846525472,-0.7840278911104233,-1.0235202523519324,-0.4047227467086128,1.1100984323973855,-1.8302362581044522,-2.1366787981076567,-0.5860893087542974,-1.3740228276762472,-1.3605420147758098,-0.06304814221950812,-0.023641763057040424
2011-11-30,-0.26572037956686345,0.04436533640246458,-1.2423743720844473,-1.6407593108736065,-1.9938202143907942,0.8523414176472786,-0.3195222666197743,0.9634509122826749,-1.7679229831975525,-2.1134699208531584,-0.3657574916627871,-1.330844892053681,-1.199432509896021,-0.43676653699190515,-0.2671604367309841
2011-12-31,-2.0652824022179934,-1.0486751331753024,-1.2717452863654333,1.0735040587907234,-0.43663796728307597,-0.8411807916339267,-0.47313531296753314,1.489161699710782,-2.0319934660342804,-2.7745624771760786,-1.2208602526030286,-1.2483885767025502,-1.5729317025415233,-0.08780009602672356,0.0850302491845756
2012-01-31,0.6861779609169609,-0.8340886883872621,-1.0935022025507855,1.2812999457140881,0.37865098061096786,2.427415779658216,1.960946783086328,0.9288340678887899,-1.6385327545080486,-2.011233456025674,-0.5924035425745487,-1.032078566062179,-1.183556266943017,-0.7806591559765018,-0.0220554500231872
2012-02-29,-0.1459273321065651,-0.7676436111167522,-0.9932476308541383,1.250833884441453,0.12038500965299818,0.8047640549197802,0.22324414428402964,0.804447139019453,-1.4651257447736707,-1.7662261881529222,-0.5390458590376697,-0.9523555991039213,-1.0913842281354553,-0.47393373770782704,0.0023446669592540547
2012-03-31,0.08337134916013002,0.3288684923603139,-0.9818698864707721,-1.1294688580636112,0.06731412563673062,-0.4270258744401541,0.6632873004255292,-1.1046946955122015,-1.3265069082115786,-1.4965972060393493,-0.3392957733284513,-0.9313586381663796,-0.6783503684263313,-0.07556764788472907,-0.056607525518620895
2012-04-30,-0.34057000193623327,-0.2089508248602909,-0.9929179068005213,-1.5378931377972531,-0.2884233791513514,-0.8050478070998108,-2.7818557043960217,-1.0212380766894216,-1.1945965657111761,-1.3782944786638205,-0.32975792708572443,-0.9742864452753343,-0.7249418106671885,0.06883084926780925,-0.00496895432318729
