CFIS IN Equity,price,volume,mc,pe,bm,div
1996-01-31,1.78,,,,,0.0
1996-02-29,1.47,,,,,0.0
1996-03-31,1.41,,,,,0.0
1996-04-30,1.41,,,,,0.0
1996-05-31,1.36,106545.0,,,,0.0
1996-06-30,1.17,114189.0,,,,0.0
1996-07-31,1.26,100334.0,,,,0.0
1996-08-31,1.04,13856.0,,,,0.0
1996-09-30,0.94,7167.0,,,,0.0
1996-10-31,0.84,956.0,,,,0.0
1996-11-30,1.04,478.0,,,,0.0
1997-11-30,0.84,1433.0,,,,0.0
1998-03-31,0.82,143334.0,,,,0.0
1999-08-31,1.05,1433.0,,,,0.0
1999-09-30,0.24,23411.0,,,,0.0
1999-10-31,0.74,1911.0,,,,0.0
1999-11-30,0.21,1911.0,,,,0.0
1999-12-31,0.63,1433.0,,,,0.0
2000-02-29,2.66,378401.0,,,,0.0
2000-03-31,2.48,394646.0,,,,0.0
2000-04-30,0.92,107500.0,,,,0.0
2000-05-31,1.31,81700.0,25.03,,,0.0
2000-06-30,1.04,317723.0,19.8238,,,0.0
2000-07-31,1.13,34400.0,21.6259,,,0.0
2000-08-31,0.94,15767.0,18.0216,,,0.0
2000-09-30,0.88,7644.0,16.8202,,,0.0
2000-10-31,0.88,2389.0,16.8202,,,0.0
2000-11-30,1.88,12685.0,34.4781,,,0.0
2000-12-31,2.07,2389.0,37.9259,,,0.0
2001-01-31,1.67,2527.0,30.6472,,,0.0
2001-02-28,1.78,5.0,32.5626,,,0.0
2001-03-31,1.47,48256.0,26.8163,,,0.0
2001-06-30,1.83,483.0,33.5204,,,0.0
2001-08-31,1.93,956.0,35.2443,,,0.0
2001-10-31,1.45,48.0,26.6248,,,0.0
2001-11-30,0.92,4300.0,16.856,,,0.0
2001-12-31,0.53,956.0,9.7688,,,0.0
2002-02-28,0.43,2867.0,7.8533,,,0.0
2002-03-31,0.63,71189.0,11.4927,,,0.0
2002-04-30,1.34,6450.0,24.5178,,,0.0
2002-06-30,1.38,1078588.0,25.2839,,,0.0
2002-07-31,1.38,,25.2839,,,0.0
2002-08-31,1.76,796698.0,32.1796,,,0.0
2002-09-30,1.7,788384.0,31.0303,,,0.0
2002-10-31,1.36,9556.0,24.9008,,,0.0
2002-11-30,1.36,,24.9008,,,0.0
2002-12-31,1.36,,24.9008,,,0.0
2003-01-31,0.78,1599200.0,14.3659,,,0.0
2003-02-28,0.31,625796.0,5.7463,,,0.0
2003-03-31,0.29,806492.0,5.3633,,,0.0
2003-04-30,0.28,55900.0,5.1717,,,0.0
2003-05-31,0.67,478.0,12.2589,,,0.0
2003-06-30,0.3,27482.0,5.5165,,,0.0
2003-07-31,0.22,13903.0,4.0224,,,0.0
2003-08-31,0.26,956.0,4.8269,,,0.0
2003-09-30,0.31,20067.0,5.6697,,,0.0
2003-10-31,0.37,5.0,6.7807,,,0.0
