CFIS IN Equity,price,volume,mc,pe,bm,div
2003-11-30,0.42,2389.0,7.6618,,,0.0
2003-12-31,0.8,1720.0,14.5574,,,0.0
2004-01-31,0.88,2102.0,16.0898,,,0.0
2004-02-29,0.71,478.0,12.9484,,,0.0
2004-03-31,0.87,85140.0,15.9749,,,0.0
2004-04-30,0.54,4300.0,9.9603,,,0.0
2004-05-31,0.27,7214.0,4.9802,,,0.0
2004-06-30,0.35,2217.0,6.321,,,0.0
2004-07-31,0.28,5.0,5.0951,,,0.0
2004-08-31,0.28,,5.0951,,,0.0
2004-09-30,0.18,11080.0,3.2563,,,0.0
2004-10-31,0.27,7764.0,4.9036,,,0.0
2004-11-30,0.41,18825.0,7.5086,,,0.0
2004-12-31,0.26,45456.0,4.8269,,,0.0
2005-01-31,0.8,160501.0,14.5574,,,0.0
2005-02-28,0.43,129364.0,7.815,,,0.0
2005-03-31,0.39,186884.0,7.1255,,,0.0
2005-04-30,0.35,113487.0,6.321,,,0.0
2005-05-31,0.58,30826.0,10.6499,,,0.0
2005-06-30,0.98,1033504.0,18.0052,,,0.0
2005-07-31,1.65,735131.0,30.2641,,,0.0
2005-08-31,2.09,1057541.0,38.2707,,,0.0
2005-09-30,1.58,553460.0,28.885,,,0.0
2005-10-31,1.08,91313.0,19.8058,,,0.0
2005-11-30,0.72,357174.0,13.1017,,,0.0
2005-12-31,0.84,179659.0,15.2853,,,0.0
2006-01-31,0.92,73196.0,16.856,,,0.0
2006-02-28,0.89,422104.0,16.3196,,,0.0
2006-03-31,0.8,930672.0,14.634,,,0.0
2006-04-30,1.41,1308466.0,25.8969,,,0.0
2006-05-31,0.85,258407.0,15.5151,,,0.0
2006-06-30,0.63,266004.0,11.5693,,,0.0
2006-07-31,0.3,236807.0,5.5165,,,0.0
2006-08-31,0.7,777391.0,12.8335,,,0.0
2006-09-30,0.73,487608.0,13.4081,,,0.0
2006-10-31,0.95,326448.0,17.3157,,,0.0
2006-11-30,1.15,129894.0,21.0699,,,0.0
2006-12-31,1.52,151571.0,27.7357,,,0.0
2007-01-31,2.3,1016577.0,42.1399,,,0.0
2007-02-28,2.2,2018203.0,40.2244,,,0.0
2007-03-31,1.91,1271869.0,35.0144,,,0.0
2007-04-30,1.88,149397.0,34.3632,,,0.0
2007-05-31,1.51,33101.0,27.6208,,,0.0
2007-06-30,1.67,26297.0,30.6472,,,0.0
2007-07-31,1.9,287504.0,34.7846,,,0.0
2007-08-31,2.3,881026.0,42.1399,,,0.0
2007-09-30,1.92,1499287.0,35.1677,,,0.0
2007-10-31,3.67,1583801.0,67.1557,,,0.0
2007-11-30,2.42,1146987.0,44.2469,,,0.0
2007-12-31,3.87,1729887.0,70.8716,,,0.0
2008-01-31,2.6,1133427.0,49.6595,,,0.0
2008-02-29,3.35,2741094.0,64.0768,,,0.0
2008-03-31,2.53,1234506.0,48.378,,,0.0
2008-04-30,2.24,240385.0,42.8914,,,0.0
2008-05-31,2.1,186774.0,40.1681,,,0.0
2008-06-30,2.21,546212.0,42.2506,,,0.0
2008-07-31,2.86,218412.0,54.6655,,,0.0
2008-08-31,3.16,244628.0,60.4324,,,0.0
2008-09-30,3.43,170424.0,65.6787,,,0.0
2008-10-31,2.71,141265.0,51.8622,,,0.0
2008-11-30,2.2,43851.0,42.0504,,,0.0
2008-12-31,1.47,123401.0,28.0336,,,0.0
2009-01-31,2.17,1627638.0,41.4497,,,0.0
2009-02-28,2.83,574955.0,54.0648,,,0.0
2009-03-31,2.62,126220.0,50.1801,,,0.0
2009-04-30,4.46,563799.0,85.2622,,,0.0
2009-05-31,8.54,2250122.0,163.3958,,,0.0
2009-06-30,13.29,1906035.0,254.3048,,,0.0
2009-07-31,15.59,1349460.0,298.3576,,,0.0
2009-08-31,18.19,1507419.0,348.0171,,,0.0
2009-09-30,28.7,1238185.0,891.8081,,,0.0209
2009-10-31,31.45,1282279.0,977.3462,,,0.0209
2009-11-30,22.03,1903264.0,684.6302,,,0.0209
2009-12-31,24.56,1790083.0,763.3383,,,0.0209
2010-01-31,23.23,1732410.0,722.0328,,,0.0209
2010-02-28,22.77,1681718.0,707.7222,,,0.0209
2010-03-31,15.67,7627356.0,486.8843,19.0518,3.6496,0.0209
2010-04-30,30.69,3930741.0,953.9289,37.3273,7.1505,0.0209
2010-05-31,42.54,3945299.0,1322.1006,51.7339,9.9102,0.0209
2010-06-30,28.73,2194533.0,892.7838,34.9347,6.6921,0.0209
2010-07-31,21.06,6505276.0,654.3829,25.6061,4.9051,0.1047
2010-08-31,19.49,1754297.0,605.5969,23.6971,4.5394,0.1047
2010-09-30,21.59,11141960.0,670.9701,26.2551,5.0295,0.1047
2010-10-31,20.48,25554662.0,636.4947,24.9061,4.7711,0.1047
2010-11-30,20.0,10099373.0,621.5336,24.3207,4.6589,0.1047
2010-12-31,19.06,3385379.0,592.262,23.1753,4.4395,0.1047
2011-01-31,18.36,3002793.0,570.4709,22.3226,4.2761,0.1047
2011-02-28,17.2,5691049.0,534.6945,20.9226,4.008,0.1047
2011-03-31,16.97,10034042.0,527.5393,17.4768,1.9227,0.1047
2011-04-30,16.06,6021978.0,499.2434,16.5394,1.8195,0.1047
2011-05-31,16.85,11968271.0,523.6364,17.3475,1.9084,0.1047
2011-06-30,16.78,12983228.0,521.3597,17.2721,1.9001,0.1047
2011-07-31,17.3,11884578.0,537.6217,17.8108,1.9594,0.1047
2011-08-31,15.4,12242086.0,552.3533,15.8606,1.7449,0.1047
2011-09-30,10.64,73855023.0,381.6191,10.958,1.2055,0.2093
2011-10-31,11.09,11120575.0,397.7544,11.4214,1.2565,0.2093
2011-11-30,10.52,26492505.0,377.1162,10.8287,1.1913,0.2093
2011-12-31,8.09,8037334.0,290.0605,8.329,0.9163,0.2093
2012-01-31,8.48,5913450.0,303.9444,8.7276,0.9601,0.2093
2012-02-29,8.1,3345318.0,290.4358,8.3397,0.9175,0.2093
2012-03-31,6.6,5785754.0,236.7764,6.4713,0.6436,0.2093
2012-04-30,7.38,3886699.0,264.5442,7.2302,0.7191,0.2093
2012-05-31,7.23,4351856.0,259.2908,7.0866,0.7048,0.2093
2012-06-30,8.04,6275837.0,288.1843,7.8763,0.7833,0.2093
2012-07-31,8.23,7388757.0,294.9386,8.0609,0.8017,0.2093
2012-08-31,7.91,5236221.0,283.6814,7.7533,0.7711,0.2093
2012-09-30,8.35,6195039.0,299.4415,8.184,0.8139,0.2093
2012-10-31,8.25,5222194.0,295.6891,8.0814,0.8037,0.2093
2012-11-30,8.37,4598687.0,300.192,8.2045,0.816,0.2093
2012-12-31,10.4,8216883.0,497.2386,10.1941,1.0138,0.2093
2013-01-31,10.62,10679771.0,507.7436,10.4095,1.0353,0.2093
2013-02-28,10.97,7010604.0,524.2515,10.7479,1.0689,0.2093
2013-03-31,10.72,6367298.0,512.2458,11.8794,0.9574,0.2093
2013-04-30,10.83,4427216.0,517.7484,12.007,0.9677,0.2093
2013-05-31,10.61,4203735.0,507.2434,11.7633,0.948,0.2093
2013-06-30,8.7,3767178.0,415.6994,9.6404,0.7769,0.2093
2013-07-31,7.53,4471110.0,360.1728,8.3527,0.6732,0.2093
2013-08-31,7.02,4977432.0,335.661,7.7842,0.6274,0.2093
2013-09-30,7.37,5486803.0,352.169,8.1671,0.6582,0.2093
2013-10-31,8.48,9192352.0,405.1944,9.3968,0.7573,0.2093
2013-11-30,8.37,7403913.0,400.192,9.2807,0.748,0.2093
2013-12-31,8.2,6756569.0,392.1882,9.0951,0.733,0.2093
2014-01-31,7.86,7869858.0,375.6802,8.7123,0.7022,0.2093
2014-02-28,7.83,5865749.0,374.1795,8.6775,0.6993,0.2093
2014-03-31,7.14,7877321.0,341.1637,9.7708,0.6111,0.2093
2014-04-30,7.08,1928983.0,338.6625,9.6991,0.6066,0.2093
2014-05-31,7.15,4057663.0,341.6639,9.7851,0.612,0.2093
2014-06-30,7.43,5407873.0,355.1704,10.1719,0.6362,0.2093
2014-07-31,7.32,4544592.0,349.6678,10.0143,0.6263,0.2093
2014-08-31,7.15,3609114.0,341.6639,9.7851,0.612,0.2093
2014-09-30,6.75,2264570.0,322.6548,9.2407,0.578,0.2093
2014-10-31,7.07,2291317.0,338.1622,9.6848,0.6057,0.2093
2014-11-30,6.92,2752651.0,330.6586,9.4699,0.5923,0.2093
2014-12-31,6.57,1846480.0,314.1507,8.9971,0.5627,0.2093
2015-01-31,6.7,1570572.0,320.1536,9.1691,0.5735,0.2093
2015-02-28,6.37,1432140.0,304.6523,8.7249,0.5457,0.2093
2015-03-31,6.09,4156014.0,291.1397,5.708,0.4821,0.2093
2015-04-30,6.15,1447161.0,294.1411,5.7668,0.487,0.2093
2015-05-31,6.14,1099113.0,293.6409,5.757,0.4862,0.2093
2015-06-30,5.93,1370893.0,283.6361,5.5608,0.4696,0.2093
2015-07-31,7.11,2044954.0,339.663,6.6593,0.5624,0.2093
2015-08-31,6.26,3804865.0,299.1435,5.8649,0.4953,0.2093
2015-09-30,6.42,888202.0,306.6471,6.012,0.5077,0.2093
2015-10-31,6.29,681715.0,300.6442,5.8943,0.4978,0.2093
2015-11-30,6.46,894743.0,308.6481,6.0512,0.5111,0.2093
2015-12-31,7.0,1586749.0,334.6606,6.5612,0.5541,0.2093
2016-01-31,8.39,3172849.0,401.1925,7.8656,0.6643,0.2093
2016-02-29,7.55,681964.0,360.673,7.0712,0.5972,0.2093
2016-03-31,9.0,778384.0,430.2064,10.0109,0.6776,0.2093
2016-04-30,8.75,191614.0,418.2006,9.7316,0.6587,0.2093
2016-05-31,11.77,686034.0,562.77,13.0957,0.8864,0.2093
2016-06-30,11.12,213023.0,531.7551,12.374,0.8376,0.2093
2016-07-31,11.32,234145.0,541.2597,12.5952,0.8526,0.2093
2016-08-31,11.21,212770.0,535.757,12.4671,0.8439,0.2093
2016-09-30,10.57,262764.0,505.2424,11.757,0.7958,0.2093
2016-10-31,11.52,377174.0,550.7642,12.8163,0.8675,0.2093
2016-11-30,10.26,116760.0,490.2352,11.4078,0.7722,0.2093
2016-12-31,10.47,54295.0,500.24,11.6406,0.7879,0.2093
2017-01-31,10.25,132049.0,489.735,11.3962,0.7714,0.2093
2017-02-28,10.88,580636.0,520.2496,12.1062,0.8195,0.2093
2017-03-31,11.45,351612.0,547.2626,8.7003,0.686,0.2093
2017-04-30,16.6,603713.0,793.3806,12.6131,0.9945,0.2093
2017-05-31,19.11,1403602.0,913.4382,14.5218,1.145,0.2093
2017-06-30,17.49,354513.0,835.901,13.2891,1.0478,0.2093
2017-07-31,16.5,160940.0,1577.3785,12.5415,0.9889,0.2093
2017-08-31,18.02,204509.0,1722.4133,13.6947,1.0798,0.2093
2017-09-30,20.09,1023824.0,1920.4609,15.2693,1.2039,0.2093
2017-10-31,20.09,381928.0,1920.4609,15.2693,1.2039,0.0
2017-11-30,18.63,215149.0,1780.4272,14.156,1.1162,0.0
2017-12-31,38.88,2439978.0,3715.8916,29.5446,2.3295,0.0
2018-01-31,39.98,1168042.0,3820.9168,30.3796,2.3953,0.0
2018-02-28,30.37,795446.0,2902.6965,23.079,1.8197,0.0
2018-03-31,26.16,1775076.0,2500.6,18.773,1.5047,0.0
2018-04-30,30.31,1168568.0,2896.695,21.7467,1.7431,0.0
2018-05-31,24.66,786636.0,2356.5654,17.6917,1.418,0.0
2018-06-30,26.24,1441136.0,2507.6017,18.8256,1.5089,0.0
2018-07-31,24.04,745996.0,2297.5513,17.2486,1.3825,0.0
2018-08-31,24.98,698141.0,2387.5729,17.9245,1.4367,0.0
2018-09-30,20.31,600679.0,1941.4658,14.5754,1.1683,0.0
2018-10-31,18.84,768040.0,1800.432,13.5166,1.0834,0.0
2018-11-30,18.82,571644.0,1798.4315,13.5016,1.0822,0.0
2018-12-31,17.64,2480637.0,1686.4046,12.6605,1.0148,0.0
2019-01-31,15.05,1050938.0,1438.3451,10.7982,0.8655,0.0
2019-02-28,13.89,692384.0,1327.3185,9.9647,0.7987,0.0
2019-03-31,14.59,682193.0,1394.3346,23.6572,0.8035,0.0
2019-04-30,16.26,787147.0,1554.373,26.3726,0.8957,0.0
2019-05-31,14.4,589551.0,1376.3302,23.3518,0.7931,0.0
2019-06-30,10.5,1729046.0,1003.2407,17.0217,0.5781,0.0
2019-07-31,9.21,281388.0,880.2112,14.9343,0.5072,0.0
2019-08-31,8.46,393227.0,808.1939,13.7124,0.4657,0.0
2019-09-30,10.47,736708.0,1000.24,16.9708,0.5764,0.0
2019-10-31,10.49,540073.0,1002.2405,17.0047,0.5775,0.0
2019-11-30,11.5,584411.0,1099.2638,18.6509,0.6334,0.0
2019-12-31,15.12,1119089.0,1445.3468,24.5228,0.8329,0.0
2020-01-31,18.84,1085296.0,1800.432,30.5474,1.0375,0.0
2020-02-29,18.84,575242.0,1800.432,30.5474,1.0375,0.0
2020-03-31,15.92,995473.0,1521.365,12.2464,0.7136,0.0
2020-04-30,19.66,1828855.0,1879.451,15.1288,0.8815,0.0
2020-05-31,21.77,2210887.0,2080.4992,16.7472,0.9758,0.0
2020-06-30,25.65,2584296.0,2451.5882,19.7343,1.1499,0.0
2020-07-31,25.04,3681417.0,2393.5743,19.2673,1.1227,0.0
2020-08-31,26.58,2777558.0,2540.6096,20.4509,1.1916,0.0
2020-09-30,23.83,1992556.0,2277.5465,18.3333,1.0683,0.0
2020-10-31,24.29,1219814.0,2321.557,18.6876,1.0889,0.0
2020-11-30,26.25,774509.0,2508.6019,20.1932,1.1766,0.0
2020-12-31,26.67,1806064.0,2548.6115,20.5153,1.1954,0.0
2021-01-31,22.07,2211446.0,2109.5062,16.9807,0.9894,0.0
2021-02-28,24.49,1143484.0,2340.5616,18.8406,1.0978,0.0
2021-03-31,25.66,1185543.0,2779.1303,15.7584,0.9587,0.0
2021-04-30,23.47,734701.0,2542.2468,14.4152,0.877,0.0
2021-05-31,23.53,628653.0,2547.9139,14.4473,0.8789,0.0
2021-06-30,28.38,1594427.0,3873.8578,17.4293,1.0603,0.0
2021-07-31,35.8,2702422.0,5476.7237,21.9859,1.3376,0.0
2021-08-31,29.62,536365.0,5632.3792,18.1877,1.1065,0.0
2021-09-30,30.35,831055.0,5771.696,18.6375,1.1339,0.0
2021-10-31,29.67,682365.0,5642.3304,18.2198,1.1084,0.0
2021-11-30,30.38,750420.0,5777.6667,18.6568,1.135,0.0
2021-12-31,31.71,911140.0,6030.4272,19.473,1.1847,0.0
2022-01-31,48.08,3741101.0,7654.463,29.5235,1.7961,0.0
2022-02-28,43.11,1519028.0,8580.4222,26.4759,1.6107,0.0
2022-03-31,57.08,1761940.0,11359.2948,16.4957,2.7706,0.0
2022-04-30,78.54,7902380.0,15630.8474,22.6987,3.8125,0.0
2022-05-31,85.49,5134200.0,17014.0642,24.7074,4.1498,0.0
2022-06-30,96.43,4415464.0,19190.8892,27.8685,4.6808,0.0
2022-07-31,102.04,18324780.0,20307.9114,29.4906,4.9532,0.0
2022-08-31,107.9,3516696.0,21474.6896,31.185,5.2378,0.0
2022-09-30,114.58,3189790.0,22803.1748,33.1142,5.5618,0.0
2022-10-31,137.25,2047158.0,27316.044,39.6676,6.6626,0.0
2022-11-30,133.8,2208840.0,26629.4112,38.6705,6.4951,0.0
2022-12-31,124.93,1704436.0,24863.0732,36.1055,6.0643,0.0
2023-01-31,130.05,1898090.0,25883.0712,37.5867,6.3131,0.0
2023-02-28,127.6,4731844.0,25395.4624,36.8786,6.1941,0.0
2023-03-31,141.15,21134908.0,28092.2376,46.7675,5.8857,0.0
2023-04-30,165.73,12839556.0,32983.2524,54.9099,6.9104,0.0
2023-05-31,185.23,25826194.0,36864.2204,61.3709,7.7235,0.0
2023-06-30,180.48,29275108.0,35918.8564,59.7971,7.5255,0.0
2023-07-31,177.35,41108442.0,35296.9064,58.7617,7.3952,0.0
2023-08-31,181.88,34645502.0,36197.49,60.261,7.5839,0.0
2023-09-30,210.58,24388454.0,41909.4788,69.7702,8.7806,0.0
2023-10-31,204.95,19570916.0,40789.9688,67.9064,8.546,0.0
2023-11-30,217.15,15798104.0,43218.0616,71.9487,9.0548,0.0
2023-12-31,230.13,21845272.0,45800.398,76.2477,9.5958,0.0
2024-01-31,271.08,31742174.0,53950.4308,89.8157,11.3033,0.0
2024-02-29,274.95,14336662.0,54819.2561,91.0997,11.4649,0.0
2024-03-31,273.4,9331087.0,54510.2186,41.6134,8.633,0.0
2024-04-30,325.2,20303538.0,64838.0508,49.4977,10.2686,0.0
2024-05-31,356.35,19245640.0,71048.7067,54.239,11.2522,0.0
2024-06-30,386.75,13196179.0,77109.8282,58.8661,12.2121,0.0
2024-07-31,399.25,13299668.0,79602.0658,60.7686,12.6068,0.0
2024-08-31,450.95,15197108.0,89909.9601,68.6377,14.2393,0.0
2024-09-30,467.2,13110220.0,93149.8688,71.1111,14.7524,0.0
2024-10-31,520.1,15378436.0,103697.0179,79.1629,16.4228,0.0
2024-11-30,530.3,12027765.0,105730.6837,80.7154,16.7449,0.0
2024-12-31,555.65,12736153.0,110784.9414,84.5738,17.5454,0.0
2025-01-31,509.45,9514704.0,101573.6315,77.5419,16.0865,0.0
2025-02-28,465.65,10734235.0,92840.8313,70.8752,14.7035,0.0
2025-03-31,501.85,7946442.0,100197.1127,61.5012,9.7522,0.0
2025-04-30,610.2,18429212.0,121829.7861,74.7794,11.8577,0.0
2025-05-31,701.55,13750688.0,140068.316,85.9743,13.6328,0.0
2025-06-30,701.0,10392874.0,139958.5055,85.9069,13.6221,0.0
2025-07-31,762.2,18287828.0,152177.4221,93.4069,14.8114,0.0
2025-08-31,796.0,11393291.0,163701.778,97.549,15.4682,0.0
2025-09-30,767.5,11690901.0,157840.5963,94.0564,14.9144,0.0
2025-10-31,836.6,9856203.0,172051.3913,102.5245,16.2572,0.0
2025-11-30,806.45,7843614.0,165850.878,98.8297,15.6713,0.0
2025-12-31,836.45,17534558.0,172020.543,102.5061,16.2543,0.0
2026-01-31,765.55,9463721.0,164431.5911,93.8174,14.8765,0.0
2026-02-28,736.85,13469176.0,164152.864,90.3002,14.3188,0.0
2026-03-31,688.3,1216733.0,153337.0622,84.3505,13.3753,0.0
