ABREL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,130.98,,25553.9989,,,2.35
1995-02-28,124.43,,24276.299,,,2.35
1995-03-31,123.34,,24063.349,,,2.35
1995-04-30,115.7,,22572.6991,,,2.35
1995-05-31,103.25,,22003.9598,,,2.35
1995-06-30,107.84,,22980.8798,,,2.75
1995-07-31,125.74,,26795.5197,,,2.75
1995-08-31,115.26,,24562.5597,,,2.75
1995-09-30,122.46,,26097.7197,,,2.75
1995-10-31,119.84,,25539.4797,,,2.75
1995-11-30,101.07,,21538.7598,,,2.75
1995-12-31,102.27,,21794.6198,,,2.75
1996-01-31,105.87,,22562.1998,,,2.75
1996-02-29,129.34,,27563.0997,,,2.75
1996-03-31,131.52,,28028.2997,,,2.75
1996-04-30,136.98,,29191.2997,,,2.75
1996-05-31,122.25,99100.0,26051.1997,,,3.0
1996-06-30,118.43,26100.0,25237.0997,,,3.0
1996-07-31,96.6,152800.0,20585.0998,,,3.0
1996-08-31,90.61,330960.0,19310.4518,,,3.0
1996-09-30,66.37,388840.0,14143.2428,,,3.0
1996-10-31,64.22,1247360.0,13686.1839,,,3.0
1996-11-30,40.78,891560.0,8691.0989,,,3.0
1996-12-31,40.72,907340.0,8677.1429,,,3.0
1997-01-31,52.39,1206320.0,11164.7999,,,3.0
1997-02-28,53.49,312100.0,11399.7259,,,3.0
1997-03-31,45.3,357060.0,9652.8999,,,3.0
1997-04-30,53.8,1420060.0,11464.8539,,,3.0
1997-05-31,40.46,4614660.0,8622.4819,,,3.0
1997-06-30,48.03,801640.0,10235.5629,,,3.0
1997-07-31,48.95,500100.0,10430.9469,,,3.0
1997-08-31,45.81,703780.0,9763.3849,,,3.0
1997-09-30,41.35,200940.0,8810.8879,,,3.0
1997-10-31,38.83,128950.0,8261.9519,,,3.0
1997-11-30,24.78,452950.0,5280.0201,,,3.0
1997-12-31,30.34,1673419.0,6466.2801,,,3.0
1998-01-31,24.45,858100.0,5210.2401,,,3.0
1998-02-28,26.81,458817.0,5712.6561,,,3.0
1998-03-31,30.21,5768560.0,6438.3681,,,3.0
1998-04-30,32.2,15016500.0,6861.7001,,,3.0
1998-05-31,29.1,5544988.0,6201.1161,,,3.0
1998-06-30,18.99,4695590.0,4047.5009,,,3.0
1998-07-31,16.18,1851500.0,3447.3542,,,1.0
