INFOE IN Equity,price,volume,mc,pe,bm,div
2006-11-30,31.55,1180933280.0,17221.9692,,,0.0
2006-12-31,29.02,376930060.0,15840.8271,,,0.0
2007-01-31,34.81,443367760.0,19000.258,,,0.0
2007-02-28,33.03,58293500.0,18032.6396,,,0.0
2007-03-31,33.86,81112200.0,18484.3768,59.8565,8.6586,0.0
2007-04-30,38.93,50226440.0,21253.485,68.8234,9.9557,0.0
2007-05-31,40.49,111388620.0,22105.0983,71.5812,10.3546,0.0
2007-06-30,38.99,37922880.0,21284.8746,68.9251,9.9704,0.0
2007-07-31,42.98,112004480.0,23460.3099,75.9696,10.9894,0.0375
2007-08-31,41.82,17300720.0,22829.7885,73.9279,10.6941,0.0375
2007-09-30,53.72,56386780.0,29325.7481,94.9643,13.7371,0.0375
2007-10-31,60.02,18479000.0,32762.1886,106.0923,15.3468,0.0375
2007-11-30,70.3,18303360.0,38379.4996,124.2826,17.9782,0.0375
2007-12-31,66.97,9285400.0,36558.9231,118.3871,17.1253,0.0375
2008-01-31,49.19,10361600.0,26851.4563,86.9519,12.5781,0.0375
2008-02-29,52.39,24740900.0,28598.3363,92.6087,13.3964,0.0375
2008-03-31,42.87,18832660.0,23404.0978,42.2181,8.7289,0.0375
2008-04-30,48.36,6533560.0,26399.7241,47.6219,9.8461,0.0375
2008-05-31,49.67,8689300.0,27114.8531,48.9119,10.1129,0.0375
2008-06-30,47.63,5420760.0,25998.4876,46.8981,9.6965,0.0375
2008-07-31,44.13,2732640.0,24090.5671,43.4564,8.9849,0.0375
2008-08-31,42.74,3227960.0,23333.1308,42.0901,8.7024,0.0375
2008-09-30,29.35,6789620.0,16022.165,28.902,5.9757,0.0375
2008-10-31,20.99,25201040.0,11457.0763,20.6672,4.2731,0.0375
2008-11-30,20.13,7938860.0,10987.6023,19.8203,4.098,0.0375
2008-12-31,20.46,8081220.0,11167.7493,20.1452,4.1652,0.0375
2009-01-31,20.66,3468040.0,11279.6588,20.3471,4.2069,0.0375
2009-02-28,22.62,2105660.0,12349.6228,22.2772,4.606,0.0375
2009-03-31,22.07,13512460.0,12048.013,21.1297,3.7042,0.0375
2009-04-30,26.24,19322020.0,14325.7808,25.1245,4.4045,0.0375
2009-05-31,33.88,14283040.0,18493.7273,32.4342,5.686,0.0375
2009-06-30,30.98,4083460.0,16911.982,29.6601,5.1997,0.0375
2009-07-31,30.25,16428620.0,16513.475,28.9612,5.0771,0.0375
2009-08-31,34.85,5060480.0,19024.6151,33.3652,5.8492,0.0375
2009-09-30,33.52,6023680.0,18295.8386,32.0871,5.6251,0.0375
2009-10-31,35.81,6334340.0,19547.3143,34.282,6.0099,0.0375
2009-11-30,40.71,7972480.0,22223.5891,38.9756,6.8327,0.0375
2009-12-31,44.3,4524900.0,24184.7348,42.415,7.4357,0.0375
2010-01-31,42.52,3378160.0,23211.6681,40.7085,7.1365,0.0375
2010-02-28,41.24,6269240.0,22514.2808,39.4854,6.9221,0.0375
2010-03-31,43.69,29829240.0,23850.3711,45.7966,6.3661,0.0375
2010-04-30,47.68,2612100.0,26027.1473,49.9764,6.9471,0.0375
2010-05-31,43.56,1875420.0,23778.0393,45.6578,6.3467,0.0375
2010-06-30,44.83,11854360.0,24469.9676,46.9864,6.5314,0.0375
2010-07-31,45.45,9367680.0,24809.7903,47.6389,6.6221,0.0375
2010-08-31,51.18,19243460.0,27937.7973,53.6452,7.4571,0.0375
2010-09-30,70.41,17251520.0,38436.8191,73.805,10.2594,0.0375
2010-10-31,68.04,22389110.0,37140.3066,71.3155,9.9134,0.0375
2010-11-30,63.62,6056700.0,34730.1581,66.6876,9.27,0.0375
2010-12-31,66.09,3542260.0,36075.8016,69.2715,9.6292,0.0375
2011-01-31,54.52,4958240.0,29759.7386,57.1436,7.9434,0.0375
2011-02-28,57.6,8655520.0,31443.8401,60.3774,8.3929,0.0375
2011-03-31,67.1,2202420.0,36627.1606,57.9905,8.4176,0.0375
2011-04-30,70.99,7338300.0,38750.7116,61.3526,8.9056,0.0375
2011-05-31,69.7,8189590.0,38049.2301,60.242,8.7444,0.0375
2011-06-30,72.22,10834030.0,39422.1686,62.4157,9.0599,0.0375
2011-07-31,74.95,4070080.0,40915.2051,64.7796,9.403,0.075
2011-08-31,69.62,10379300.0,38005.5581,60.1729,8.7344,0.075
2011-09-30,69.25,600250.0,37803.5751,59.8531,8.6879,0.075
2011-10-31,68.16,3504840.0,37211.2736,58.9153,8.5518,0.075
2011-11-30,64.38,1637900.0,35142.3126,55.6396,8.0763,0.075
2011-12-31,56.74,1605820.0,30971.6366,49.0363,7.1178,0.075
2012-01-31,62.49,1229770.0,34113.2911,54.0104,7.8398,0.075
2012-02-29,65.01,6053460.0,35488.9591,56.1884,8.156,0.075
2012-03-31,72.9,4704920.0,39796.4744,38.5103,7.548,0.075
2012-04-30,76.49,2197750.0,41756.2734,40.4068,7.9198,0.075
2012-05-31,71.41,11007130.0,38985.8055,37.7258,7.3943,0.075
2012-06-30,73.59,4163120.0,40173.1489,38.8748,7.6195,0.2
2012-07-31,64.25,4083970.0,35074.3962,33.9408,6.6524,0.2
