AKZO IN Equity,price,volume,mc,pe,bm,div
1995-01-31,156.25,,6386.0935,,,0.0
1995-02-28,160.0,,6539.3597,,,0.0
1995-03-31,147.5,,6028.4723,,,0.0
1995-04-30,140.0,,5721.9398,,,0.0
1995-05-31,122.0,,4986.2618,,,0.0
1995-06-30,134.0,,5476.7138,,,0.0
1995-07-31,141.0,,5762.8108,,,3.5
1995-08-31,149.0,,6089.7788,,,3.5
1995-09-30,174.0,,7111.5537,,,3.5
1995-10-31,165.0,,6743.7147,,,3.5
1995-11-30,159.0,,6498.4887,,,3.5
1995-12-31,170.0,,6948.0697,,,3.5
1996-01-31,145.0,,5926.2948,,,3.5
1996-02-29,170.0,,6948.0697,,,3.5
1996-03-31,180.0,,7356.7797,,,3.5
1996-04-30,186.0,,7602.0057,,,3.5
1996-05-31,188.0,25000.0,7683.7477,,,3.5
1996-06-30,206.0,59650.0,8419.4257,,,4.0
1996-07-31,181.75,66050.0,7428.304,,,4.0
1996-08-31,180.5,72428.0,7377.2152,,,4.0
1996-09-30,169.75,117421.0,6937.852,,,4.0
1996-10-31,149.5,8148.0,6110.2143,,,4.0
1996-11-30,135.0,70257.0,5517.5848,,,4.0
1996-12-31,138.25,5108.0,5650.4155,,,4.0
1997-01-31,139.5,7706.0,5701.5043,,,4.0
1997-02-28,120.0,12217.0,4904.5198,,,4.0
1997-03-31,138.0,41551.0,5640.1978,,,4.0
1997-04-30,148.0,64659.0,6048.9078,,,4.0
1997-05-31,168.25,404998.0,6876.5455,,,4.0
1997-06-30,182.0,532549.0,7438.5217,,,4.5
1997-07-31,258.0,63609.0,10544.7176,,,4.5
1997-08-31,230.0,38116.0,9400.3296,,,4.5
1997-09-30,228.25,38315.0,9328.8054,,,4.5
1997-10-31,208.0,34327.0,8501.1677,,,4.5
1997-11-30,179.25,53008.0,7326.1265,,,4.5
1997-12-31,176.5,510863.0,7213.7312,,,4.5
1998-01-31,146.5,56180.0,5987.6013,,,4.5
1998-02-28,161.6,352830.0,6604.7533,,,4.5
1998-03-31,200.0,308702.0,8174.1997,,,4.5
1998-04-30,263.1,650707.0,10753.1597,,,4.5
1998-05-31,250.4,267921.0,10234.098,,,4.5
1998-06-30,199.0,201995.0,8133.3287,,,5.0
1998-07-31,197.7,427161.0,8080.1964,,,5.0
1998-08-31,237.5,139308.0,9706.8621,,,5.0
1998-09-30,228.0,123630.0,9318.5876,,,5.0
1998-10-31,196.7,145302.0,8039.3254,,,5.0
1998-11-30,202.0,89803.0,8255.9417,,,5.0
1998-12-31,191.8,151757.0,7839.0575,,,5.0
1999-01-31,228.0,493857.0,9318.5876,,,5.0
1999-02-28,214.1,687353.0,8750.4808,,,5.0
1999-03-31,217.6,296333.0,8893.5292,,,5.0
1999-04-30,189.3,108742.0,7736.88,,,5.0
1999-05-31,200.1,152812.0,8178.2868,,,5.0
1999-06-30,199.6,756182.0,8157.8513,,,5.5
1999-07-31,221.9,1772313.0,9069.2745,,,5.5
1999-08-31,224.75,2285820.0,9185.7569,,,5.5
1999-09-30,202.75,2672809.0,8286.5949,,,5.5
1999-10-31,191.3,2872106.0,7818.622,,,5.5
1999-11-30,222.25,1087158.0,9083.5794,,,5.5
1999-12-31,224.25,1861342.0,9165.3214,,,5.5
2000-01-31,192.5,660550.0,7867.6672,,,5.5
2000-02-29,137.25,419605.0,5609.5445,,,5.5
2000-03-31,135.0,192143.0,5517.5848,,,5.5
2000-04-30,118.75,138736.0,4853.4311,,,5.5
2000-05-31,111.45,229502.0,4555.0728,,,5.5
2000-06-30,95.05,893446.0,3884.7884,,,5.5
2000-07-31,86.6,451704.0,3539.4285,,,5.5
2000-08-31,74.4,369729.0,3040.8023,,,5.5
2000-09-30,69.35,242459.0,2834.4037,,,5.5
2000-10-31,67.5,142505.0,2758.7924,,,5.5
2000-11-30,82.4,524160.0,3367.7703,,,5.5
2000-12-31,86.85,738337.0,3549.6462,,,5.5
2001-01-31,81.9,326752.0,3347.3348,,,5.5
2001-02-28,75.0,965418.0,3065.3249,,,5.5
2001-03-31,61.4,475101.0,2509.4793,,,5.5
