ACC IN Equity,price,volume,mc,pe,bm,div
1995-01-31,205.83,,30160.9004,,,1.5937
1995-02-28,209.84,,30748.4504,,,1.5937
1995-03-31,203.16,,29769.2004,,,1.5937
1995-04-30,203.16,,29769.2004,,,1.5937
1995-05-31,213.58,,31296.8304,,,1.5937
1995-06-30,186.05,,29799.239,,,1.5937
1995-07-31,174.02,,27872.5641,,,1.5937
1995-08-31,178.83,,28643.2341,,,1.5937
1995-09-30,175.89,,28172.2691,,,0.0
1995-10-31,151.83,,24318.9192,,,0.0
1995-11-30,138.2,,22135.3543,,,0.0
1995-12-31,148.63,,23805.1392,,,0.0
1996-01-31,152.64,,24447.3642,,,3.2078
1996-02-29,190.6,,30527.094,,,3.2078
1996-03-31,203.16,,32539.399,,,3.2078
1996-04-30,216.79,,34722.9639,,,3.2078
1996-05-31,200.59,1829492.0,32128.375,,,3.2078
1996-06-30,206.52,8800267.0,33077.1563,,,3.7424
1996-07-31,177.07,11085717.0,28360.6559,,,3.7424
1996-08-31,184.51,4499928.0,29552.6255,,,3.7424
1996-09-30,152.24,3836665.0,24383.9987,,,3.7424
1996-10-31,130.81,10248011.0,20951.9483,,,3.7424
1996-11-30,85.78,12369141.0,13738.4771,,,3.7424
1996-12-31,101.81,16248897.0,16307.3771,,,3.7424
1997-01-31,109.09,20960198.0,17471.9451,,,3.7424
1997-02-28,133.68,27433865.0,21410.9251,,,3.7424
1997-03-31,113.26,21347300.0,18139.8591,,,2.1385
1997-04-30,126.24,18003617.0,20218.9555,,,2.1385
1997-05-31,91.96,17822452.0,14728.3599,,,2.1385
1997-06-30,124.25,37357340.0,19900.7028,,,1.6039
1997-07-31,129.64,20855803.0,20763.8658,,,2.5662
1997-08-31,111.1,30700228.0,17794.174,,,2.5662
1997-09-30,103.14,21270939.0,16519.981,,,2.5662
1997-10-31,99.98,18271022.0,16578.2103,,,2.5662
1997-11-30,104.12,23771725.0,16677.5425,,,2.5662
1997-12-31,118.62,34640995.0,18999.862,,,2.5662
1998-01-31,109.36,23789471.0,17516.7288,,,2.5662
1998-02-28,124.65,23590291.0,19965.7826,,,2.5662
1998-03-31,124.38,50688199.0,19921.2543,,,2.5662
1998-04-30,133.74,63912184.0,21421.5138,,,2.5662
1998-05-31,143.6,87874719.0,23000.5541,,,2.5662
1998-06-30,104.36,53745854.0,16715.2203,,,2.5662
1998-07-31,110.71,24574407.0,17732.5195,,,1.2831
1998-08-31,90.76,24506942.0,14536.7612,,,1.2831
1998-09-30,93.58,29841643.0,14988.8942,,,1.2831
1998-10-31,78.61,27034032.0,12591.2192,,,1.2831
1998-11-30,75.55,44135084.0,12101.4084,,,1.2831
1998-12-31,88.34,53651455.0,14149.708,,,1.2831
1999-01-31,93.32,46096244.0,14947.7912,,,1.2831
1999-02-28,96.68,40958503.0,15485.5555,,,1.2831
1999-03-31,122.88,60166541.0,19681.4868,,,1.2831
1999-04-30,121.6,52635693.0,19475.9718,,,1.2831
1999-05-31,181.1,51796629.0,31015.6382,,,12.8311
1999-06-30,171.1,25322423.0,29221.7423,,,12.8311
1999-07-31,206.0,58220277.0,35182.2263,,,12.8311
1999-08-31,253.0,73877841.0,43209.239,,,12.8311
1999-09-30,207.0,34399078.0,35353.0138,,,12.8311
1999-10-31,200.5,44873973.0,34242.895,,,12.8311
1999-11-30,192.9,29399488.0,32944.9099,,,12.8311
1999-12-31,248.25,50111701.0,42397.9984,,,12.8311
2000-01-31,178.0,32102703.0,30400.1761,,,12.8311
2000-02-29,160.2,45032562.0,27360.1585,,,12.8311
2000-03-31,140.4,26688801.0,23978.5659,,,12.8311
2000-04-30,139.0,38984244.0,23739.4633,,,12.8311
2000-05-31,113.5,27020047.0,19472.0597,,,12.8311
2000-06-30,117.95,27841435.0,20235.5017,,,1.0
2000-07-31,108.0,49493904.0,18432.4686,,,1.0
2000-08-31,124.5,53732096.0,21248.5402,,,1.0
2000-09-30,92.25,24917700.0,15744.4002,,,1.0
2000-10-31,93.45,22216537.0,15949.2054,,,1.0
2000-11-30,142.65,114406691.0,24341.4672,,,1.0
2000-12-31,159.0,118326733.0,27131.3936,,,1.0
2001-01-31,178.95,99764337.0,30535.6156,,,1.0
2001-02-28,177.85,98428083.0,30351.8817,,,1.0
2001-03-31,129.8,47793626.0,22151.6685,,,1.0
2001-04-30,149.8,47947869.0,25564.8685,,,1.0
2001-05-31,139.5,56031352.0,23807.0705,,,1.0
2001-06-30,136.4,33527916.0,23280.0704,,,2.0
2001-07-31,139.0,15528338.0,23723.8254,,,2.0
2001-08-31,127.95,8418734.0,21837.8666,,,2.0
2001-09-30,124.5,27104180.0,21249.0379,,,2.0
2001-10-31,133.2,28774249.0,22733.9104,,,2.0
2001-11-30,170.65,30619948.0,29125.6893,,,2.0
2001-12-31,151.8,17428658.0,25908.4655,,,2.0
2002-01-31,160.0,26899907.0,27308.0005,,,2.0
2002-02-28,163.5,20562363.0,27905.363,,,2.0
2002-03-31,153.95,11251958.0,26275.4167,20.6509,2.5043,2.0
2002-04-30,150.65,9743452.0,25712.1892,20.2083,2.4506,2.0
2002-05-31,151.25,8396020.0,25871.313,20.2888,2.4604,2.0
2002-06-30,158.9,8071694.0,27179.8455,21.3149,2.5848,3.0
2002-07-31,133.0,6508608.0,22749.6504,17.8407,2.1635,3.0
2002-08-31,138.0,5736418.0,23604.9004,18.5114,2.2449,3.0
2002-09-30,137.75,4855897.0,23562.1379,18.4779,2.2408,3.0
2002-10-31,132.7,4672187.0,22698.3354,17.8004,2.1586,3.0
2002-11-30,163.55,7678558.0,27975.228,21.9387,2.6605,3.0
2002-12-31,165.1,6323856.0,28240.3555,22.1466,2.6857,3.0
2003-01-31,142.95,5948812.0,24451.5979,19.1754,2.3254,3.0
2003-02-28,154.05,9183526.0,26350.253,20.6644,2.5059,3.0
2003-03-31,138.5,6453972.0,23690.4254,19.4999,2.1076,3.0
2003-04-30,130.9,3259226.0,22390.4454,18.4299,1.9919,3.0
2003-05-31,145.3,5362005.0,24853.5654,20.4573,2.2111,3.0
2003-06-30,167.0,8012360.0,28565.3505,23.5125,2.5413,2.5
