HMFC IN Equity,price,volume,mc,pe,bm,div
1995-01-31,132.5,,2994.6325,,,0.0
1995-02-28,115.0,,2599.115,,,0.0
1995-03-31,108.0,,2440.908,,,0.0
1995-04-30,100.0,,2260.1,,,0.0
1995-05-31,79.0,,1785.479,,,0.0
1995-06-30,101.0,,2888.701,,,0.0
1995-07-31,86.0,,2459.686,,,0.0
1995-08-31,75.0,,2145.075,,,1.8
1995-09-30,59.0,,1687.459,,,1.8
1995-10-31,55.5,,1587.3555,,,1.8
1995-11-30,54.5,,1558.7545,,,1.8
1995-12-31,52.5,,1501.5525,,,1.8
1996-01-31,52.5,,1501.5525,,,1.8
1996-02-29,46.5,,1329.9465,,,1.8
1996-03-31,41.5,,1186.9415,,,1.8
1996-04-30,39.0,,1115.439,,,1.8
1996-05-31,35.0,9700.0,1001.035,,,1.8
1996-06-30,30.5,38300.0,1972.0384,,,1.8
1996-07-31,26.75,28700.0,1729.5747,,,1.8
1996-08-31,26.25,11050.0,1697.2462,,,1.8
1996-09-30,13.5,1402200.0,872.8695,,,1.8
1996-10-31,13.05,4008500.0,843.7738,,,0.0
1996-11-30,14.5,10050.0,937.5265,,,1.0
1996-12-31,14.55,479460.0,940.7593,,,1.0
1997-01-31,19.0,1920100.0,1228.483,,,1.0
1997-02-28,17.5,72300.0,1131.4975,,,1.0
1997-03-31,15.2,1693000.0,982.7864,,,1.0
1997-04-30,15.2,6700.0,982.7864,,,1.0
1997-05-31,17.9,1677680.0,1157.3603,,,1.0
1997-06-30,18.15,8160300.0,1173.5245,,,1.0
1997-07-31,23.25,2567160.0,1503.2752,,,1.0
1997-08-31,19.55,1036780.0,1264.0443,,,1.0
1997-09-30,18.6,1323940.0,1202.6202,,,1.0
1997-10-31,19.5,1383970.0,1280.2086,,,1.0
1997-11-30,15.0,115590.0,969.855,,,0.7
1997-12-31,17.05,31690.0,1102.4018,,,0.7
1998-01-31,14.1,2017370.0,911.6637,,,0.7
1998-02-28,17.55,2347830.0,1134.7303,,,0.7
1998-03-31,15.2,5704550.0,982.7864,,,0.7
1998-04-30,28.75,11517120.0,1858.8887,,,0.7
1998-05-31,45.4,7963010.0,2935.4277,,,0.7
1998-06-30,31.0,5474580.0,2004.3669,,,0.7
1998-07-31,21.9,248000.0,1415.9882,,,0.7
1998-08-31,27.55,1689980.0,1781.3003,,,0.7
1998-09-30,34.85,710210.0,2253.2964,,,0.7
1998-10-31,27.85,213620.0,1800.6974,,,0.7
1998-11-30,28.95,307340.0,1871.8201,,,0.7
1998-12-31,34.1,252560.0,2204.8036,,,0.7
