NUVOCO IN Equity,price,volume,mc,pe,bm,div
2021-08-31,556.15,36031927.0,198632.3945,,2.3927,0.0
2021-09-30,543.5,14139970.0,194114.3692,,2.3383,0.0
2021-10-31,527.85,7840172.0,188524.8754,,2.271,0.0
2021-11-30,531.35,12311584.0,189774.9219,,2.286,0.0
2021-12-31,499.35,3630421.0,178345.925,,2.1484,0.0
2022-01-31,450.95,4617892.0,161059.5672,,1.9401,0.0
2022-02-28,346.6,14286956.0,123790.3226,,1.4912,0.0
2022-03-31,394.95,12983592.0,141058.8226,424.6774,1.5991,0.0
2022-04-30,351.85,2567949.0,125665.3924,378.3333,1.4246,0.0
2022-05-31,301.5,8137391.0,107682.5801,324.1935,1.2207,0.0
2022-06-30,296.85,8701539.0,106021.804,319.1935,1.2019,0.0
2022-07-31,331.1,14642197.0,118254.4023,356.0215,1.3406,0.0
2022-08-31,359.85,5684675.0,128522.6417,386.9355,1.457,0.0
2022-09-30,411.1,20838799.0,146826.8945,442.043,1.6645,0.0
2022-10-31,396.5,3779635.0,141612.4147,426.3441,1.6054,0.0
2022-11-30,370.15,3924848.0,132201.35,398.0108,1.4987,0.0
2022-12-31,365.05,3650055.0,130379.8537,392.5269,1.478,0.0
2023-01-31,361.35,2758362.0,129058.3759,388.5484,1.463,0.0
2023-02-28,350.05,2141382.0,125022.5114,376.3978,1.4173,0.0
2023-03-31,344.9,1761237.0,123183.1572,783.8636,1.3936,0.0
2023-04-30,329.9,2968526.0,117825.8149,749.7727,1.333,0.0
2023-05-31,338.65,10005098.0,120950.9312,769.6591,1.3684,0.0
2023-06-30,351.05,7737097.0,125379.6675,797.8409,1.4185,0.0
2023-07-31,372.2,6519285.0,132933.5201,845.9091,1.5039,0.0
2023-08-31,337.5,6853908.0,120540.2016,767.0455,1.3637,0.0
2023-09-30,372.05,11244992.0,132879.9467,845.5682,1.5033,0.0
2023-10-31,340.45,3687126.0,121593.8123,773.75,1.3757,0.0
2023-11-30,364.85,6113802.0,130308.4224,829.2045,1.4742,0.0
2023-12-31,382.5,11424125.0,136612.2285,869.3182,1.5456,0.0
2024-01-31,361.4,10306700.0,129076.2337,821.3636,1.4603,0.0
2024-02-29,331.45,6864940.0,118379.4069,753.2955,1.3393,0.0
2024-03-31,306.2,8604359.0,109361.214,74.1404,1.2174,0.0
2024-04-30,338.6,14626212.0,120933.0734,81.9855,1.3462,0.0
2024-05-31,314.45,5093927.0,112307.7523,76.138,1.2502,0.0
2024-06-30,363.05,10702717.0,129665.5413,87.9056,1.4434,0.0
2024-07-31,354.65,14373586.0,126665.4297,85.8717,1.41,0.0
2024-08-31,339.8,5931811.0,121361.6608,82.276,1.3509,0.0
2024-09-30,359.45,17312186.0,128379.7792,87.0339,1.4291,0.0
2024-10-31,352.7,12765678.0,125968.9752,85.3995,1.4022,0.0
2024-11-30,350.75,1848563.0,125272.5207,84.9274,1.3945,0.0
2024-12-31,350.25,4768418.0,125093.9426,84.8063,1.3925,0.0
2025-01-31,350.5,4827066.0,125183.2316,84.8668,1.3935,0.0
2025-02-28,313.45,3211568.0,111950.5962,75.8959,1.2462,0.0
2025-03-31,307.8,6322460.0,109932.6639,504.5902,1.2212,0.0
2025-04-30,319.25,5062396.0,114022.1018,523.3607,1.2666,0.0
2025-05-31,357.85,10499599.0,127808.3294,586.6393,1.4197,0.0
2025-06-30,354.2,4932844.0,126504.7094,580.6557,1.4052,0.0
2025-07-31,430.55,21610139.0,153773.5817,705.8197,1.7082,0.0
2025-08-31,456.05,8716684.0,162881.0636,747.623,1.8093,0.0
2025-09-30,419.6,8773704.0,149862.7218,687.8689,1.6647,0.0
2025-10-31,414.65,5024103.0,148094.7988,679.7541,1.6451,0.0
2025-11-30,356.45,15357714.0,127308.3107,584.3443,1.4142,0.0
2025-12-31,355.95,9317581.0,127129.7327,583.5246,1.4122,0.0
2026-01-31,347.75,5417915.0,124201.0522,570.082,1.3797,0.0
2026-02-28,328.15,7446836.0,117200.7916,537.9508,1.3019,0.0
2026-03-31,306.85,559513.0,109593.3677,503.0328,1.2174,0.0
