BHFC IN Equity,price,volume,mc,pe,bm,div
1995-01-31,15.86,,4271.5201,,,0.0
1995-02-28,14.38,,3871.0651,,,0.0
1995-03-31,12.89,,3470.6101,,,0.0
1995-04-30,11.6,,3123.5491,,,0.0
1995-05-31,10.51,,3329.142,,,0.0
1995-06-30,9.72,,3077.886,,,0.0
1995-07-31,11.2,,3548.991,,,0.0
1995-08-31,9.72,,3077.886,,,0.0
1995-09-30,13.98,,4428.3869,,,0.0
1995-10-31,13.38,,4239.9449,,,0.0
1995-11-30,11.6,,3674.619,,,0.0
1995-12-31,12.59,,3988.6889,,,0.0
1996-01-31,13.58,,4302.7589,,,0.0
1996-02-29,16.06,,5087.9339,,,0.0
1996-03-31,14.62,,4632.5324,,,0.0
1996-04-30,13.38,,4239.9449,,,0.0
1996-05-31,15.12,1818019.0,4789.5674,,,0.0
1996-06-30,17.65,9211630.0,6704.726,,,0.0
1996-07-31,14.97,1572422.0,5687.717,,,0.3966
1996-08-31,12.81,290036.0,4868.4597,,,0.3966
1996-09-30,10.34,4321428.0,3926.7847,,,0.3966
1996-10-31,9.52,1535023.0,3616.032,,,0.3966
1996-11-30,8.33,1189453.0,3164.028,,,0.3966
1996-12-31,8.95,3822943.0,3399.4467,,,0.3966
1997-01-31,9.99,9929629.0,3794.9502,,,0.3966
1997-02-28,9.89,6825714.0,3757.2832,,,0.3966
1997-03-31,8.87,752473.0,3371.1965,,,0.3966
1997-04-30,8.97,932359.0,3408.8635,,,0.3966
1997-05-31,7.66,3452975.0,2909.7757,,,0.3966
1997-06-30,7.01,1809032.0,2664.9402,,,0.3966
1997-07-31,8.06,2121499.0,3060.4437,,,0.3966
1997-08-31,7.34,2946794.0,2787.358,,,0.3966
1997-09-30,6.15,1727456.0,2335.354,,,0.3966
1997-10-31,5.6,2372613.0,2052.8515,,,0.3966
1997-11-30,6.44,1174758.0,2448.355,,,0.3966
1997-12-31,6.3,2230106.0,2391.8545,,,0.3966
1998-01-31,6.43,960933.0,2444.5883,,,0.3966
1998-02-28,5.95,1712579.0,2260.02,,,0.3966
1998-03-31,7.76,5985482.0,2947.4427,,,0.3966
1998-04-30,9.42,2966704.0,3578.365,,,0.3966
1998-05-31,10.22,2724365.0,3883.4677,,,0.3966
1998-06-30,7.34,2632935.0,2787.358,,,0.3966
1998-07-31,6.44,797629.0,2448.355,,,0.3966
1998-08-31,5.26,563651.0,2000.1177,,,0.3966
1998-09-30,5.26,2235210.0,1998.2343,,,0.3966
1998-10-31,4.75,529157.0,1806.1326,,,0.3966
1998-11-30,4.84,722386.0,1840.0329,,,0.3966
1998-12-31,6.85,4791581.0,2600.9063,,,0.3966
1999-01-31,6.94,4484540.0,2636.69,,,0.3966
1999-02-28,7.24,29655641.0,2749.691,,,0.3966
1999-03-31,7.93,23205563.0,3013.36,,,0.3966
1999-04-30,6.29,7276775.0,2389.9711,,,0.3966
1999-05-31,7.31,15623139.0,2776.0579,,,0.3966
1999-06-30,9.56,22258287.0,3632.9821,,,0.3966
1999-07-31,12.97,42524560.0,4926.8436,,,0.3966
1999-08-31,16.55,31997380.0,6286.6223,,,0.3966
1999-09-30,17.85,24139686.0,6780.06,,,0.3966
1999-10-31,23.2,34479013.0,8814.078,,,0.3966
1999-11-30,29.37,21658336.0,11156.9653,,,0.3966
1999-12-31,32.22,21620150.0,12241.7749,,,0.3966
2000-01-31,25.19,7401429.0,9571.1847,,,0.3966
2000-02-29,16.36,15644643.0,6215.055,,,0.3966
2000-03-31,14.4,10535975.0,5471.1317,,,0.3966
2000-04-30,17.65,7923001.0,6704.726,,,0.4957
2000-05-31,18.74,3595582.0,7119.063,,,0.4957
2000-06-30,16.19,3414405.0,6151.0211,,,0.4957
2000-07-31,12.43,7517096.0,4721.5584,,,0.4957
2000-08-31,12.63,3742274.0,4798.7758,,,0.4957
2000-09-30,10.19,2273224.0,3872.1676,,,0.4957
2000-10-31,9.92,793080.0,3770.4667,,,0.4957
2000-11-30,11.3,2240969.0,4294.038,,,0.4957
2000-12-31,9.75,5910300.0,3704.5494,,,0.4957
2001-01-31,9.78,20810488.0,3713.9662,,,0.4957
2001-02-28,11.74,41553924.0,4461.6561,,,0.4957
2001-03-31,8.13,20935808.0,3086.8106,,,0.4957
2001-04-30,5.6,6596014.0,2126.3021,,,0.4957
2001-05-31,6.82,12469560.0,2591.4896,,,0.4957
2001-06-30,5.54,4118970.0,2103.7019,,,0.2974
2001-07-31,4.96,4613612.0,1885.2633,,,0.2974
2001-08-31,5.91,9985859.0,2244.9889,,,0.2974
2001-09-30,5.24,1165075.0,1990.7326,,,0.2974
2001-10-31,6.9,636301.0,2621.6649,,,0.2974
2001-11-30,9.29,5348162.0,3531.3374,,,0.2974
2001-12-31,8.53,6553107.0,3241.2969,,,0.2974
2002-01-31,10.92,9254607.0,4149.086,,,0.2974
2002-02-28,10.41,9171185.0,3955.0979,,,0.2974
2002-03-31,10.59,3037780.0,4022.8995,,,0.2974
2002-04-30,14.3,16684741.0,5431.6677,,,0.2974
2002-05-31,12.38,20097966.0,4704.6831,,,0.2974
2002-06-30,15.9,20928798.0,6039.9995,,,0.2974
2002-07-31,15.36,14129883.0,5834.711,,,0.347
2002-08-31,17.0,4962238.0,6459.9932,,,0.347
2002-09-30,16.47,3378953.0,6256.5881,,,0.347
2002-10-31,16.97,11635844.0,6446.8095,,,0.347
2002-11-30,17.89,7476409.0,6795.2348,,,0.347
2002-12-31,20.34,8805615.0,7729.3913,,,0.347
2003-01-31,23.15,11560329.0,8793.5009,,,0.347
2003-02-28,26.09,4100441.0,9912.2286,,,0.347
2003-03-31,23.89,2333590.0,9077.8913,,,0.347
2003-04-30,25.6,1999225.0,9725.774,,,0.347
2003-05-31,31.36,8127950.0,11912.3781,,,0.347
2003-06-30,33.85,3893787.0,12861.6016,,,0.347
2003-07-31,39.58,9373129.0,15036.9054,,,0.5949
2003-08-31,43.2,4526700.0,16413.6561,,,0.5949
2003-09-30,47.73,8043994.0,18133.182,,,0.5949
