HMCL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,28.0,,5591.2639,,,0.432
1995-02-28,24.0,,4792.5119,,,0.432
1995-03-31,22.5,,4492.9799,,,0.432
1995-04-30,22.25,,4443.0579,,,0.432
1995-05-31,21.25,,4240.4375,,,0.432
1995-06-30,19.2,,3831.36,,,0.432
1995-07-31,21.2,,4230.46,,,0.432
1995-08-31,21.3,,4250.415,,,0.432
1995-09-30,23.6,,4709.38,,,0.3
1995-10-31,25.8,,5148.39,,,0.3
1995-11-30,20.4,,4070.82,,,0.3
1995-12-31,24.4,,4869.02,,,0.3
1996-01-31,22.8,,4549.74,,,0.3
1996-02-29,27.75,,5537.5125,,,0.3
1996-03-31,29.0,,5786.95,,,0.3
1996-04-30,28.5,,5687.175,,,0.3
1996-05-31,26.0,37500.0,5191.94,,,0.3
1996-06-30,28.13,502500.0,5616.2812,,,0.32
1996-07-31,29.0,1869000.0,5791.01,,,0.32
1996-08-31,29.53,230310.0,5895.8472,,,0.32
1996-09-30,25.0,3258000.0,4992.25,,,0.32
1996-10-31,23.5,182730.0,4692.715,,,0.32
1996-11-30,23.28,455930.0,4647.7847,,,0.32
1996-12-31,24.5,114270.0,4892.405,,,0.32
1997-01-31,28.0,752450.0,5591.32,,,0.32
1997-02-28,31.55,957040.0,6300.2195,,,0.32
1997-03-31,29.98,386800.0,5985.7077,,,0.32
1997-04-30,34.13,4548990.0,6814.4212,,,0.32
1997-05-31,51.7,10803130.0,10323.9729,,,0.32
1997-06-30,51.3,3130890.0,10244.0969,,,0.32
1997-07-31,62.18,2339800.0,12415.7257,,,0.35
1997-08-31,65.22,1920910.0,13024.7802,,,0.35
1997-09-30,71.03,3306920.0,14182.9822,,,0.35
1997-10-31,92.23,6755790.0,17647.6036,,,0.35
1997-11-30,89.2,8798900.0,17812.3479,,,0.35
1997-12-31,92.28,6182620.0,18426.3946,,,0.35
1998-01-31,68.78,3748260.0,13733.6797,,,0.35
1998-02-28,81.45,3019960.0,16264.7504,,,0.35
1998-03-31,87.38,6747130.0,17447.9136,,,0.35
1998-04-30,119.35,4359130.0,23833.0013,,,0.35
1998-05-31,108.2,2783180.0,21606.4579,,,0.35
1998-06-30,87.55,5051830.0,17482.8594,,,0.4
1998-07-31,89.75,3111230.0,17922.1774,,,0.4
1998-08-31,116.15,1651215.0,23193.9933,,,0.4
1998-09-30,127.8,1873410.0,25520.3818,,,0.24
