PWGR IN Equity,price,volume,mc,pe,bm,div
2007-10-31,84.26,3405386854.0,630484.3549,0.4885,0.0537,0.0
2007-11-30,83.19,975541013.0,622487.5573,0.4823,0.053,0.0
2007-12-31,80.97,463467750.0,605862.6361,0.4694,0.0516,0.0
2008-01-31,57.49,630736001.0,430143.5318,0.3333,0.0366,0.0
2008-02-29,61.82,370665555.0,462551.6062,0.3584,0.0394,0.0
2008-03-31,55.29,412962528.0,413729.0526,0.3206,0.0352,0.2813
2008-04-30,59.37,175586815.0,444243.0455,0.3442,0.0378,0.2813
2008-05-31,55.46,129890522.0,414991.6086,0.3215,0.0353,0.2813
2008-06-30,44.16,159142859.0,330393.9277,0.256,0.0281,0.2813
2008-07-31,53.3,213511355.0,398787.5752,0.309,0.034,0.2813
2008-08-31,52.37,114823479.0,391842.9895,0.3036,0.0334,0.2813
2008-09-30,48.26,158603025.0,361118.4586,0.2798,0.0307,0.675
2008-10-31,39.29,194576123.0,293987.4631,0.2278,0.025,0.675
2008-11-30,41.65,148342850.0,311664.5904,0.2415,0.0265,0.675
2008-12-31,46.77,213065097.0,349965.033,0.2711,0.0298,0.675
2009-01-31,49.64,182765653.0,371430.1162,0.2878,0.0316,0.675
2009-02-28,54.51,169985951.0,407836.5809,0.316,0.0347,0.675
2009-03-31,53.78,152279408.0,402365.0891,0.3117,0.0343,0.675
2009-04-30,52.09,231686698.0,389738.5695,0.302,0.0332,0.675
2009-05-31,64.66,249257898.0,483806.14,0.3748,0.0412,0.675
2009-06-30,61.54,333528944.0,460447.0789,0.3567,0.0392,0.675
2009-07-31,66.04,223165272.0,494117.7977,0.3828,0.0421,0.675
2009-08-31,60.53,110700492.0,452871.1672,0.3509,0.0386,0.675
2009-09-30,61.85,136499452.0,462761.9408,0.3585,0.0394,0.675
2009-10-31,58.7,91040450.0,439192.4377,0.3403,0.0374,0.675
2009-11-30,56.14,133819000.0,420042.2164,0.3254,0.0358,0.675
2009-12-31,61.96,102684292.0,463603.7088,0.3592,0.0395,0.675
2010-01-31,63.39,121744666.0,474336.2504,0.3675,0.0404,0.675
2010-02-28,60.5,40381953.0,452660.7252,0.3507,0.0385,0.675
2010-03-31,60.27,57523269.0,450977.1893,0.3494,0.0384,0.675
2010-04-30,61.9,79923421.0,463182.8248,0.3589,0.0394,0.675
2010-05-31,58.11,51700456.0,434773.1559,0.3369,0.037,0.675
2010-06-30,58.56,40452024.0,438140.2277,0.3395,0.0373,0.675
2010-07-31,56.48,67341755.0,422567.5203,0.3274,0.036,0.675
2010-08-31,61.2,92913998.0,457921.775,0.3548,0.039,0.675
2010-09-30,59.91,80013530.0,448241.4434,0.3473,0.0382,0.8438
2010-10-31,56.48,116419714.0,422567.5203,0.3274,0.036,0.8438
2010-11-30,53.41,1003427557.0,439592.4444,0.3096,0.034,0.8438
2010-12-31,55.29,538977953.0,455102.0251,0.3206,0.0352,0.8438
2011-01-31,54.31,234310850.0,447000.0053,0.3148,0.0346,0.8438
2011-02-28,55.66,390973778.0,458111.3467,0.3227,0.0355,0.8438
2011-03-31,57.32,198282760.0,471769.0372,16.6232,2.2027,0.8438
2011-04-30,58.81,108534998.0,484037.81,17.0555,2.26,0.8438
2011-05-31,56.84,103228082.0,467833.7705,16.4845,2.1843,0.8438
2011-06-30,61.59,197961416.0,506955.0051,17.863,2.367,0.8438
2011-07-31,59.12,171003738.0,486584.2104,17.1452,2.2719,0.8438
2011-08-31,56.36,166367599.0,463898.5526,16.3458,2.166,0.8438
2011-09-30,55.38,138270962.0,455796.532,16.0604,2.1281,0.9844
