RBK IN Equity,price,volume,mc,pe,bm,div
2016-08-31,299.4,99742432.0,110720.8146,,,0.0
2016-09-30,291.2,56907314.0,107688.3808,,,0.0
2016-10-31,390.6,64141222.0,144447.3954,,,0.0
2016-11-30,363.75,64657337.0,134518.0238,,,0.0
2016-12-31,335.1,25142707.0,123922.9959,,,0.0
2017-01-31,382.15,32804402.0,141322.5094,,,0.0
2017-02-28,476.7,45652210.0,176287.9503,,,0.0
2017-03-31,494.55,35834133.0,185556.6436,,,0.0
2017-04-30,564.45,54998879.0,211783.3334,,,0.0
2017-05-31,527.7,47810822.0,198501.2151,,,0.0
2017-06-30,507.75,33684424.0,191228.805,,4.2601,0.0
2017-07-31,534.75,36055400.0,202833.3488,,4.4867,1.8
2017-08-31,544.6,67699518.0,206569.503,,4.5693,1.8
2017-09-30,506.95,29554460.0,209438.7882,,3.3483,1.8
2017-10-31,525.4,28881207.0,217061.129,,3.4701,1.8
2017-11-30,516.75,27126557.0,215301.3038,,3.413,1.8
2017-12-31,510.1,18605533.0,212822.3917,,3.292,1.8
2018-01-31,503.5,36303787.0,210231.8935,,3.2494,1.8
2018-02-28,490.2,19979577.0,205255.0734,,3.1636,1.8
2018-03-31,479.85,24092191.0,201307.1519,,3.0968,1.8
2018-04-30,530.55,28075284.0,222576.8666,,3.424,1.8
2018-05-31,515.9,17994359.0,216611.9648,,3.3294,1.8
2018-06-30,552.05,34122663.0,232219.8325,,3.3726,1.8
2018-07-31,572.9,50117690.0,242132.7476,,3.5,2.1
2018-08-31,627.25,39464415.0,265755.2339,,3.8321,2.1
2018-09-30,511.9,31493860.0,217198.9417,,3.1273,2.1
2018-10-31,524.5,55104063.0,223057.9045,,3.2043,2.1
2018-11-30,548.4,35380833.0,233239.8066,,3.3503,2.1
2018-12-31,575.6,24522406.0,244880.3233,,3.5165,2.1
2019-01-31,568.65,23230558.0,242020.0416,,3.474,2.1
2019-02-28,577.85,25777737.0,246069.9486,,3.5303,2.1
2019-03-31,680.35,76082906.0,290042.0496,,4.1565,2.1
2019-04-30,678.85,24205696.0,289672.0835,,4.1473,2.1
2019-05-31,687.35,40556950.0,293643.7352,,4.1992,2.1
2019-06-30,638.65,30608738.0,272861.0692,,3.4917,2.1
2019-07-31,403.9,163791921.0,173425.8376,,2.2083,2.7
2019-08-31,327.2,214223552.0,140703.8593,,1.7889,2.7
2019-09-30,328.85,224369650.0,141535.4826,,1.8191,2.7
2019-10-31,310.1,500847636.0,133525.559,,1.7154,2.7
2019-11-30,374.15,370857780.0,161161.4122,,2.0697,2.7
2019-12-31,344.85,291119729.0,168438.5719,,1.6647,2.7
2020-01-31,318.3,236226618.0,155470.487,,1.5366,2.7
2020-02-29,290.9,173200220.0,147883.6869,,1.4043,2.7
2020-03-31,135.5,432654976.0,68928.6554,12.0874,0.6524,4.2
2020-04-30,132.15,697944186.0,67224.5152,11.7886,0.6363,4.2
2020-05-31,120.5,740054988.0,61299.6929,10.7493,0.5802,4.2
2020-06-30,173.5,1312874153.0,88266.382,21.6065,0.8234,4.2
2020-07-31,169.55,746038941.0,86256.8592,21.1146,0.8046,1.5
2020-08-31,195.95,661969908.0,99687.594,24.4022,0.9299,1.5
2020-09-30,169.9,388845889.0,86434.9182,17.3544,0.7954,1.5
2020-10-31,174.35,351699154.0,88774.7122,17.809,0.8163,1.5
2020-11-30,223.8,479392917.0,133754.0481,22.8601,1.0478,1.5
2020-12-31,231.05,398180114.0,138111.0176,21.1197,1.0972,1.5
2021-01-31,213.8,406056857.0,127803.846,19.543,1.0152,1.5
2021-02-28,235.6,393891671.0,140835.2952,21.5356,1.1188,1.5
2021-03-31,207.55,309101747.0,124119.1361,20.8593,0.9799,1.5
2021-04-30,185.75,346545956.0,111082.2912,18.6683,0.877,1.5
2021-05-31,214.2,306214254.0,128095.9718,21.5276,1.0113,0.0
2021-06-30,210.5,219828156.0,125967.0852,21.2915,1.0318,0.0
2021-07-31,192.95,182499180.0,115464.8366,,0.9457,0.0
2021-08-31,165.5,205973440.0,99118.0473,,0.8112,0.0
2021-09-30,190.9,170875365.0,114405.4638,,0.9353,0.0
2021-10-31,180.55,218485340.0,108202.7579,,0.8846,0.0
