NLC IN Equity,price,volume,mc,pe,bm,div
1995-11-30,56.0,,,,,0.0
1996-02-29,40.0,,,,,0.0
1996-03-31,47.5,,,31.3106,2.6245,0.0
1996-09-30,47.5,200.0,,31.3106,2.6245,0.0
1996-12-31,50.0,100.0,,32.9585,2.7626,0.0
1997-01-31,51.0,100.0,,33.6177,2.8179,0.0
1997-02-28,39.0,1200.0,,25.7076,2.1548,0.0
1997-03-31,43.0,1300.0,,28.3443,2.3758,0.0
1997-04-30,29.75,2000.0,,19.6103,1.6437,0.0
1997-05-31,25.0,8600.0,,16.4793,1.3813,0.0
1997-06-30,21.95,4600.0,39439.4101,14.4688,1.2128,0.0
1997-07-31,21.5,24600.0,38630.8572,14.1722,1.1879,0.0
1997-08-31,14.2,245200.0,25514.3336,9.3602,0.7846,0.0
1997-09-30,15.5,61700.0,27850.1529,10.2171,0.8564,0.0
1997-10-31,15.7,16800.0,28209.5097,10.349,0.8675,0.0
1997-11-30,8.85,7300.0,15901.5389,5.8337,0.489,0.0
1997-12-31,13.0,56900.0,23358.1927,8.5692,0.7183,0.0
1998-01-31,16.0,30200.0,28748.5449,10.5467,0.884,0.0
1998-02-28,15.7,3600.0,28209.5097,10.349,0.8675,0.0
1998-03-31,23.0,14200.0,41326.0333,15.1609,1.2708,0.0
1998-04-30,20.3,3900.0,36474.7164,13.3812,1.1216,0.0
1998-05-31,16.4,2400.0,29467.2585,10.8104,0.9061,0.0
1998-06-30,14.0,600.0,25154.9768,9.2284,0.7735,0.0
1998-07-31,15.5,100.0,27850.1529,10.2171,0.8564,0.0
1998-08-31,16.0,100.0,28748.5449,10.5467,0.884,0.0
1998-09-30,14.0,1000.0,25154.9768,9.2284,0.7735,0.0
1998-11-30,15.4,300.0,27670.4745,10.1512,0.8509,0.0
1999-01-31,15.0,2700.0,26951.7609,9.8876,0.8288,0.0
1999-02-28,13.0,7400.0,23358.1927,8.5692,0.7183,0.0
1999-03-31,10.1,10100.0,18147.519,6.6576,0.558,0.0
1999-04-30,11.0,5400.0,19764.6246,7.2509,0.6078,0.0
1999-05-31,9.25,8800.0,16620.2525,6.0973,0.5111,0.0
1999-06-30,7.65,35000.0,13745.398,5.0427,0.4227,0.0
