LLOYDSME IN Equity,price,volume,mc,pe,bm,div
1995-01-31,32.0,,,,,0.0
1995-02-28,30.0,,,,,0.0
1995-03-31,25.5,,,,,0.0
1995-04-30,24.0,,,,,0.0
1995-05-31,17.5,,,,,0.18
1995-06-30,15.9,,,,,0.18
1995-07-31,14.1,,,,,0.18
1995-08-31,10.8,,,,,0.18
1995-09-30,11.0,,,,,0.18
1995-10-31,9.2,,,,,0.18
1995-11-30,8.6,,,,,0.18
1995-12-31,9.3,,,,,0.18
1996-01-31,6.9,,,,,0.18
1996-02-29,10.5,,,,,0.18
1996-03-31,12.0,,,,,0.18
1996-04-30,9.4,,,,,0.18
1996-05-31,7.5,22000.0,,,,0.18
1996-06-30,6.62,110000.0,,,,0.18
1996-07-31,4.7,151000.0,,,,0.0
1996-08-31,4.49,78000.0,,,,0.0
1996-09-30,4.15,59000.0,,,,0.0
1996-10-31,3.94,3054000.0,,,,0.0
1996-11-30,2.97,4834000.0,,,,0.0
1996-12-31,3.2,79000.0,,,,0.0
1997-01-31,4.3,5103000.0,,,,0.0
1997-02-28,3.88,70000.0,,,,0.0
1997-03-31,3.4,3296000.0,,,,0.0
1997-04-30,3.2,89000.0,,,,0.0
1997-05-31,2.2,65000.0,,,,0.0
1997-06-30,2.08,342000.0,,,,0.0
1997-07-31,2.2,73000.0,,,,0.0
1997-08-31,2.11,153000.0,,,,0.0
1997-09-30,1.7,49000.0,,,,0.0
1997-10-31,1.52,60000.0,,,,0.0
1997-11-30,1.5,54000.0,,,,0.0
1997-12-31,1.4,56000.0,,,,0.0
1998-01-31,1.17,109000.0,,,,0.0
1998-02-28,1.1,25000.0,,,,0.0
1998-03-31,1.63,123000.0,,,,0.0
1998-04-30,1.59,141000.0,,,,0.0
1998-05-31,1.6,44000.0,,,,0.0
1998-06-30,1.29,75000.0,,,,0.0
1998-07-31,1.05,37000.0,,,,0.0
1998-08-31,0.84,21000.0,,,,0.0
1998-09-30,0.7,60000.0,,,,0.0
1998-10-31,0.55,49000.0,,,,0.0
1998-11-30,0.51,69000.0,,,,0.0
1998-12-31,0.45,210000.0,,,,0.0
1999-01-31,0.51,901000.0,,,,0.0
1999-02-28,0.5,400000.0,,,,0.0
1999-03-31,0.53,210000.0,,,,0.0
1999-04-30,0.36,116000.0,,,,0.0
1999-05-31,0.33,230000.0,,,,0.0
1999-06-30,0.43,76000.0,,,,0.0
1999-07-31,0.38,203000.0,,,,0.0
1999-08-31,0.92,396000.0,,,,0.0
1999-09-30,0.68,204000.0,,,,0.0
1999-10-31,0.92,504000.0,,,,0.0
1999-11-30,0.73,164000.0,,,,0.0
1999-12-31,0.94,284500.0,,,,0.0
2000-01-31,0.68,266000.0,,,,0.0
2000-02-29,0.75,192000.0,,,,0.0
2000-03-31,0.5,729000.0,,,,0.0
2000-04-30,0.89,212000.0,,,,0.0
2000-05-31,1.0,582000.0,166.561,,,0.0
2000-06-30,0.82,241000.0,136.58,,,0.0
2000-07-31,0.57,93000.0,94.9398,,,0.0
2000-08-31,1.01,20500.0,167.3938,,,0.0
2000-09-30,1.05,30.0,174.889,,,0.0
2000-10-31,0.43,4880.0,71.6212,,,0.0
2000-11-30,0.75,75090.0,124.9207,,,0.0
2000-12-31,0.64,193060.0,106.599,,,0.0
2001-01-31,0.5,609500.0,83.2805,,,0.0
2001-02-28,0.47,88270.0,78.2837,,,0.0
2001-03-31,0.41,52150.0,68.29,,,0.0
2001-04-30,0.34,34000.0,56.6307,,,0.0
2001-05-31,0.31,29000.0,51.6339,,,0.0
2001-06-30,0.14,16280.0,23.3185,,,0.0
2001-07-31,0.11,8000.0,17.4889,,,0.0
2001-08-31,0.11,20000.0,17.4889,,,0.0
2001-09-30,0.07,8000.0,11.6593,,,0.0
2001-10-31,0.07,13500.0,10.8265,,,0.0
2001-11-30,0.13,16500.0,20.8201,,,0.0
2001-12-31,0.16,16000.0,26.6498,,,0.0
2002-01-31,0.15,13000.0,24.9841,,,0.0
2002-02-28,0.13,70600.0,20.8201,,,0.0
2002-03-31,0.1,131000.0,16.6561,,,0.0
2002-04-30,0.2,174400.0,33.3122,,,0.0
2002-05-31,0.25,344840.0,40.8074,,,0.0
2002-06-30,0.54,748010.0,89.9429,,,0.0
2002-07-31,0.49,840520.0,81.6149,,,0.0
2002-08-31,0.3,136000.0,49.9683,,,0.0
2002-09-30,0.22,65190.0,36.6434,,,0.0
2002-10-31,0.22,52000.0,35.8106,,,0.0
2002-11-30,0.33,112500.0,54.1323,,,0.0
2002-12-31,0.32,378540.0,52.4667,,,0.0
2003-01-31,0.38,313180.0,63.2932,,,0.0
2003-02-28,0.29,179520.0,48.3027,,,0.0
2003-03-31,0.16,465980.0,25.817,,,0.0
2003-04-30,0.16,40000.0,26.6498,,,0.0
2003-05-31,0.3,145010.0,49.9683,,,0.0
2003-06-30,0.5,1071910.0,83.7802,,,0.0
2003-07-31,0.49,2128060.0,81.6149,,,0.0
2003-08-31,1.07,5524900.0,178.0537,,,0.0
2003-09-30,0.71,927940.0,117.4255,,,0.0
2003-10-31,0.52,547970.0,87.278,,,0.0
2003-11-30,0.63,497610.0,104.1006,,,0.0
2003-12-31,0.97,2546420.0,160.7314,,,0.0
2004-01-31,0.88,1467160.0,145.7409,,,0.0
2004-02-29,0.67,941570.0,111.5959,,,0.0
2004-03-31,0.84,1917320.0,139.7447,,,0.0
2004-04-30,0.75,1318950.0,125.587,,,0.0
2004-05-31,0.68,1477990.0,112.5952,,,0.0
2004-06-30,0.44,1567510.0,72.6206,,,0.0
2004-07-31,0.61,1369410.0,101.9353,,,0.0
2004-08-31,0.89,2781840.0,147.573,,,0.0
2004-09-30,1.68,10928820.0,279.8225,,,0.0
2004-10-31,2.97,7354110.0,493.8533,,,0.0
2004-11-30,3.8,5834280.0,632.099,,,0.0
2004-12-31,3.58,3362820.0,595.4556,,,0.0
2005-01-31,3.01,1302940.0,500.5158,,,0.0
2005-02-28,3.65,5736150.0,607.9476,,,0.0
2005-03-31,4.54,7272620.0,755.3541,,,0.0
2005-04-30,4.03,1786650.0,670.408,,,0.0
2005-05-31,4.05,2926770.0,674.572,,,0.0
2005-06-30,2.57,2963860.0,428.0618,,,0.0
2005-07-31,2.92,4820870.0,474.7424,,,0.0
2005-08-31,6.15,13147220.0,1000.6984,,,0.0
2005-09-30,4.76,8480690.0,773.0822,,,0.0
2005-10-31,2.94,1622110.0,477.1811,,,0.0
2005-11-30,3.2,1400150.0,519.4527,,,0.0
2005-12-31,3.1,1150930.0,503.1944,,,0.0
2006-01-31,2.72,1237730.0,442.2258,,,0.0
2006-02-28,3.01,1798880.0,490.1878,,,0.0
2006-03-31,3.95,3531150.0,642.2029,,,0.0
2006-04-30,3.5,2341060.0,569.0405,,,0.0
2006-05-31,3.88,2887810.0,630.8221,,,0.0
2006-06-30,3.13,2740240.0,508.8848,,,0.0
2006-07-31,2.9,346030.0,470.6778,,,0.0
2006-08-31,2.78,405640.0,451.1678,,,0.0
2006-09-30,2.77,691650.0,588.8549,,,0.0
2006-10-31,2.79,750110.0,592.0437,,,0.0
2006-11-30,2.79,1885920.0,593.1066,,,0.0
2006-12-31,2.59,835960.0,550.59,,,0.0
2007-01-31,2.97,1366330.0,630.3086,,,0.0
2007-02-28,2.51,1101750.0,532.5204,,,0.0
2007-03-31,2.54,1114880.0,538.8979,,,0.0
2007-04-30,2.86,594870.0,606.9245,,,0.0
2007-05-31,6.61,10478740.0,1404.1108,,,0.0
2007-06-30,5.35,843470.0,1137.3191,,,0.0
2007-07-31,6.23,1555840.0,1324.3921,,,0.0
2007-08-31,10.88,3169720.0,2311.8402,,,0.0
2007-09-30,28.76,3159270.0,6112.7377,,,0.0
2007-10-31,37.55,5814360.0,7982.3791,,,0.0
2007-11-30,38.95,3169072.0,8279.9911,,,0.0
2007-12-31,71.58,3355304.0,15215.4136,,,0.0
2008-01-31,43.55,2976128.0,9257.8591,,,0.0
2008-02-29,34.75,1948508.0,7387.1551,,,0.0
2008-03-31,37.7,1954640.0,8014.2661,36.6019,,0.0
2008-04-30,36.48,811436.0,7753.8556,35.4126,,0.0
2008-05-31,34.83,609158.0,7751.4389,33.8107,,0.0
2008-06-30,31.18,1200410.0,6939.0124,30.267,,0.0
2008-07-31,33.4,552624.0,7434.2587,32.4272,,0.0
2008-08-31,31.1,865254.0,6922.3187,30.1942,,0.0
2008-09-30,17.0,328938.0,3783.9041,16.5049,,0.0
2008-10-31,8.98,880702.0,1997.6735,8.7136,,0.0
2008-11-30,7.9,547438.0,1758.3978,7.6699,,0.0
2008-12-31,9.23,361914.0,2053.319,8.9563,,0.0
2009-01-31,8.35,854578.0,1858.5597,8.1068,,0.0
2009-02-28,8.7,1413862.0,1936.4634,8.4466,,0.0
2009-03-31,10.2,5790932.0,2270.3364,7.9747,2.7397,0.0
2009-04-30,10.53,496622.0,2342.6756,8.2288,2.827,0.0
2009-05-31,16.2,503838.0,3605.8284,12.6657,4.3513,0.0
2009-06-30,11.85,1265070.0,2637.5967,9.2647,3.1829,0.0
2009-07-31,15.95,565960.0,3550.1829,12.4702,4.2842,0.0
2009-08-31,13.4,616260.0,2982.5988,10.4765,3.5992,0.0
2009-09-30,16.4,1247704.0,3650.3448,12.822,4.405,0.0
2009-10-31,12.75,586438.0,2837.9205,9.9683,3.4247,0.0
2009-11-30,15.1,814366.0,3360.9882,11.8056,4.0559,0.0
2009-12-31,16.13,647852.0,3589.1348,12.607,4.3312,0.0
2010-01-31,14.93,823320.0,3322.0364,11.6688,4.0089,0.0
2010-02-28,14.15,2249122.0,3149.5353,11.0629,3.8007,0.0
2010-03-31,14.8,2178492.0,3294.2136,18.3851,3.2724,0.0
2010-04-30,22.58,2979300.0,5024.7887,28.0435,4.9915,0.0
2010-05-31,24.35,2435646.0,5419.8717,30.2484,5.384,0.0
2010-06-30,31.85,1226094.0,7089.2367,39.5652,7.0423,0.0
2010-07-31,31.75,1673242.0,7066.9785,39.441,7.0202,0.0
2010-08-31,28.5,594592.0,6343.587,35.4037,6.3016,0.0
2010-09-30,28.25,504422.0,6287.9415,35.0932,6.2463,0.0
2010-10-31,23.95,1156198.0,5330.8389,29.7516,5.2955,0.0
2010-11-30,22.3,398152.0,4963.5786,27.7019,4.9307,0.0
2010-12-31,19.93,185138.0,4434.9464,24.7516,4.4056,0.0
2011-01-31,22.05,718588.0,4907.9331,27.3913,4.8754,0.0
2011-02-28,19.2,276858.0,4273.5744,23.8509,4.2453,0.0
2011-03-31,21.38,2904940.0,4757.6903,25.5988,3.9913,0.0
2011-04-30,21.5,639208.0,4785.513,25.7485,4.0147,0.0
2011-05-31,19.48,3505292.0,4334.7845,23.3234,3.6365,0.0
2011-06-30,19.77,557874.0,4401.5591,23.6826,3.6926,0.0
2011-07-31,18.95,155770.0,4217.9289,22.6946,3.5385,0.0
2011-08-31,15.83,202944.0,3522.3602,18.9521,2.955,0.0
2011-09-30,12.55,97878.0,2793.4041,15.0299,2.3434,0.0
2011-10-31,16.0,155458.0,3561.312,19.1617,2.9877,0.0
2011-11-30,15.2,192508.0,3383.2464,18.2036,2.8383,0.0
2011-12-31,13.0,277366.0,2893.566,15.5689,2.4275,0.0
2012-01-31,15.15,230892.0,3372.1173,18.1437,2.8289,0.0
2012-02-29,14.48,403086.0,3221.8745,17.3353,2.7029,0.0
2012-03-31,12.8,330114.0,2849.0572,75.2941,2.3176,0.0
2012-04-30,10.95,85860.0,2437.2794,64.4118,1.9826,0.0
2012-05-31,9.93,72432.0,2209.1323,58.3824,1.797,0.0
2012-06-30,9.98,46034.0,2220.2614,58.6765,1.8061,0.0
2012-07-31,9.88,121244.0,2198.0031,58.0882,1.788,0.0
2012-08-31,8.28,84024.0,1841.871,48.6765,1.4983,0.0
2012-09-30,8.2,109804.0,1825.1773,48.2353,1.4847,0.0
2012-10-31,7.3,182646.0,1624.8529,42.9412,1.3217,0.0
2012-11-30,7.59,206206.0,1688.289,44.6176,1.3733,0.0
2012-12-31,8.65,209360.0,1925.3395,50.8824,1.5662,0.0
2013-01-31,7.55,183236.0,1680.4986,44.4118,1.367,0.0
2013-02-28,7.0,106384.0,1558.0782,41.1765,1.2674,0.0
2013-03-31,5.99,87530.0,1333.2697,70.4706,1.0679,0.0
2013-04-30,5.9,68476.0,1313.2373,69.4118,1.0519,0.0
2013-05-31,5.5,568668.0,1224.2043,64.7059,0.9805,0.0
2013-06-30,4.46,50738.0,991.6053,52.4118,0.7942,0.0
2013-07-31,5.08,159068.0,1130.7194,59.7647,0.9057,0.0
2013-08-31,8.5,823778.0,1891.9518,100.0,1.5154,0.0
2013-09-30,8.65,197180.0,1925.3392,101.7647,1.5421,0.0
2013-10-31,6.65,23092.0,1480.1741,78.2353,1.1856,0.0
2013-11-30,4.89,20026.0,1089.5417,57.5882,0.8727,0.0
2013-12-31,4.96,1294718.0,1104.0095,58.3529,0.8843,0.0
2014-01-31,3.95,4216634.0,878.0882,46.4118,0.7033,0.0
2014-02-28,3.64,9413786.0,809.0876,42.7647,0.6481,0.0
2014-03-31,3.96,312648.0,880.314,46.5294,0.7051,0.0
2014-04-30,4.26,103512.0,947.0888,50.0588,0.7586,0.0
2014-05-31,4.7,397900.0,1046.1381,55.2941,0.8379,0.0
2014-06-30,6.63,1110746.0,1475.7224,78.0,1.182,0.0
2014-07-31,5.7,120514.0,1268.7206,67.0588,1.0162,0.0
2014-08-31,5.45,121522.0,1213.075,64.1176,0.9716,0.0
2014-09-30,4.9,197560.0,1090.6546,57.6471,0.8736,0.0
2014-10-31,5.49,155018.0,1221.9783,64.5882,0.9788,0.0
2014-11-30,4.31,334936.0,959.3309,50.7059,0.7684,0.0
2014-12-31,4.97,311276.0,1105.1224,58.4118,0.8852,0.0
2015-01-31,4.66,117702.0,1036.1218,54.7647,0.8299,0.0
2015-02-28,4.54,182802.0,1010.5223,53.4118,0.8094,0.0
2015-03-31,3.2,263732.0,711.1513,44.1176,1.1611,0.0
2015-04-30,4.08,298404.0,907.024,,1.4809,0.0
2015-05-31,3.28,63140.0,730.0708,,1.192,0.0
2015-06-30,2.94,142656.0,654.3927,,1.0684,0.0
2015-07-31,2.91,433246.0,646.6024,,1.0557,0.0
2015-08-31,3.22,1561050.0,715.6029,,1.1683,0.0
2015-09-30,3.8,489660.0,844.7008,,1.3791,0.0
2015-10-31,3.46,235784.0,769.0228,,1.2556,0.0
2015-11-30,3.84,1141828.0,853.6041,,1.3937,0.0
2015-12-31,3.75,448792.0,834.6846,,1.3628,0.0
2016-01-31,4.48,1393906.0,997.1699,,1.6281,0.0
2016-02-29,8.07,1833730.0,1795.1284,,2.9309,0.0
2016-03-31,10.1,8799912.0,2248.0839,336.6667,3.6277,0.0
2016-04-30,13.65,3445840.0,3038.252,455.0,4.9027,0.0
2016-05-31,13.38,546268.0,2977.0418,445.8333,4.804,0.0
2016-06-30,15.33,3332636.0,3411.0778,510.8333,5.5044,0.0
2016-07-31,14.2,3372832.0,3160.6724,473.3333,5.1003,0.0
2016-08-31,14.7,2652976.0,3271.9637,490.0,5.2799,0.0
2016-09-30,13.45,1769794.0,2993.7355,448.3333,4.8309,0.0
2016-10-31,13.1,1231150.0,2915.8316,436.6667,4.7052,0.0
2016-11-30,14.64,15275509.0,3258.6088,488.0,5.2583,0.0
2016-12-31,10.67,4691112.0,2374.956,355.6667,3.8324,0.0
2017-01-31,13.87,3744692.0,3087.2202,462.3333,4.9818,0.0
2017-02-28,17.04,8857259.0,3792.8069,568.0,6.1203,0.0
2017-03-31,15.3,18526003.0,3405.5132,61.2,5.0749,0.0
2017-04-30,16.9,1964051.0,3761.6454,67.6,5.6057,0.0
2017-05-31,19.0,2545060.0,4229.0687,76.0,6.3022,0.0
2017-06-30,17.3,1891761.0,3850.6784,69.2,5.7383,0.0
2017-07-31,17.65,267838.0,3928.5823,70.6,5.8544,0.0
2017-08-31,17.45,553528.0,3884.0658,69.8,5.7881,0.0
2017-09-30,17.7,1901911.0,3939.7114,70.8,5.871,0.0
2017-10-31,19.8,2436172.0,4407.1348,79.2,6.5676,0.0
2017-11-30,18.5,1559835.0,4117.7775,74.0,6.1364,0.0
2017-12-31,17.55,665651.0,3906.3241,70.2,5.8213,0.0
2018-01-31,17.35,2031275.0,3861.8076,69.4,5.7549,0.0
2018-02-28,16.25,1262223.0,3616.9667,65.0,5.3901,0.0
2018-03-31,15.3,2215637.0,3405.5133,19.8701,4.0645,0.0
2018-04-30,16.0,2196784.0,3561.3211,20.7792,4.2505,0.0
2018-05-31,15.3,1270656.0,3405.5133,19.8701,4.0645,0.0
2018-06-30,13.3,570753.0,2960.3482,17.2727,3.5332,0.0
2018-07-31,15.33,851891.0,3412.1908,19.9091,4.0725,0.0
2018-08-31,16.75,1298718.0,3728.258,21.7532,4.4497,0.0
2018-09-30,13.55,1801193.0,3015.9938,17.5974,3.5996,0.0
2018-10-31,12.67,690914.0,2820.1211,16.4545,3.3659,0.0
2018-11-30,13.42,2101213.0,2987.0581,17.4286,3.5651,0.0
2018-12-31,14.25,13248667.0,3171.8016,18.5065,3.7856,0.0
2019-01-31,13.0,1954261.0,2893.5734,16.8831,3.4535,0.0
2019-02-28,12.59,1681049.0,2802.3145,16.3506,3.3446,0.0
2019-03-31,12.46,3041537.0,2773.3788,13.3978,2.5818,0.0
2019-04-30,11.9,4380040.0,2648.7326,12.7957,2.4657,0.0
2019-05-31,10.88,280055.0,2421.6983,11.6989,2.2544,0.0
2019-06-30,8.87,730613.0,1974.3074,9.5376,1.8379,0.0
2019-07-31,8.95,724156.0,1992.114,9.6237,1.8545,0.0
2019-08-31,9.01,669493.0,2005.4689,9.6882,1.8669,0.0
2019-09-30,10.4,323144.0,2341.8553,11.1828,2.1549,0.0
2019-10-31,9.02,124229.0,2031.1091,9.6989,1.869,0.0
2019-11-30,8.3,178710.0,1868.9807,8.9247,1.7198,0.0
2019-12-31,7.57,199136.0,1704.6004,8.1398,1.5685,0.0
2020-01-31,7.9,195718.0,1778.9093,8.4946,1.6369,0.0
2020-02-29,7.24,284192.0,1630.2916,7.7849,1.5002,0.0
2020-03-31,5.76,863262.0,1297.0275,4.0563,0.9051,0.0
2020-04-30,4.59,464281.0,1033.5688,3.2324,0.7212,0.0
2020-05-31,6.61,1644055.0,1488.4292,4.6549,1.0386,0.0
2020-06-30,10.56,1883881.0,2377.8838,7.4366,1.6593,0.0
2020-07-31,12.14,3181093.0,2733.6657,8.5493,1.9075,0.0
2020-08-31,10.3,702043.0,2442.9375,7.2535,1.6184,0.0
2020-09-30,11.65,774855.0,2932.8784,8.2042,1.8305,0.0
2020-10-31,10.31,2251254.0,2595.5344,7.2606,1.62,0.0
2020-11-30,9.6,769924.0,2416.7904,6.7606,1.5084,0.0
2020-12-31,10.07,2886346.0,2535.1124,7.0915,1.5823,0.0
2021-01-31,12.7,3996097.0,3197.2123,8.9437,1.9955,0.0
2021-02-28,11.13,901067.0,2801.9688,7.838,1.7488,0.0
2021-03-31,11.0,1047063.0,2769.2414,1100.0,1.5311,0.0
2021-04-30,15.03,1419492.0,3783.7908,1503.0,2.092,0.0
