RECL IN Equity,price,volume,mc,pe,bm,div
2008-03-31,39.92,816520716.0,91404.3541,,,0.0
2008-04-30,45.96,173700845.0,105228.7797,,,0.0
2008-05-31,40.2,88281887.0,92048.3491,,,0.0
2008-06-30,31.39,35682458.0,71869.8398,,,0.0
2008-07-31,32.91,39317961.0,75347.4126,,,0.0
2008-08-31,32.68,55864442.0,74832.2167,,,0.0
2008-09-30,30.47,36353988.0,69766.1228,,,1.125
2008-10-31,24.73,28239817.0,56628.6252,,,1.125
2008-11-30,20.59,15028116.0,47140.4325,,,1.125
2008-12-31,27.34,115095321.0,62596.312,,,1.125
2009-01-31,30.04,84738955.0,68778.6638,,,1.125
2009-02-28,29.53,24851132.0,67619.4729,,,1.5
2009-03-31,36.04,37096300.0,82517.2234,,,1.5
2009-04-30,38.66,55463927.0,88527.8432,,,1.5
2009-05-31,54.94,85997925.0,125793.6861,,,1.5
2009-06-30,61.29,96906312.0,140347.9726,,,1.5
2009-07-31,76.01,127166971.0,174050.3766,,,1.5
2009-08-31,83.29,96433979.0,190708.38,,,1.5
2009-09-30,75.53,88996370.0,172934.1186,,,1.6875
2009-10-31,75.02,67517399.0,171774.9276,,,1.6875
2009-11-30,91.86,62950462.0,210328.7604,,,1.6875
2009-12-31,91.05,61046523.0,208482.6415,,,1.6875
2010-01-31,89.87,81569502.0,205777.8626,,,2.0625
2010-02-28,91.2,128132483.0,208826.1055,,,2.0625
2010-03-31,93.99,236498381.0,247506.5944,,,2.0625
2010-04-30,95.14,84006646.0,250518.3443,,,2.0625
2010-05-31,109.03,187391153.0,287103.6997,,,2.0625
2010-06-30,114.21,153986095.0,300730.6337,,,2.0625
2010-07-31,113.72,59003207.0,299446.937,,,2.0625
2010-08-31,123.11,69988873.0,324182.7846,,,2.4375
2010-09-30,128.57,44475282.0,338550.3128,,,2.4375
2010-10-31,138.99,134661668.0,366001.6726,,,2.4375
2010-11-30,131.03,125292771.0,345018.1691,,,2.4375
2010-12-31,112.16,146455353.0,295348.9822,,,2.4375
2011-01-31,91.37,200746795.0,240594.3815,,,2.4375
2011-02-28,88.37,243389171.0,232694.7097,,,2.625
2011-03-31,95.14,191982915.0,250518.3443,,,2.625
2011-04-30,89.48,155261545.0,235607.7137,,,2.625
2011-05-31,79.82,142950007.0,210180.6448,,,2.625
2011-06-30,73.46,148361987.0,193443.215,,,2.625
2011-07-31,78.64,205729423.0,207070.149,,,2.625
2011-08-31,65.48,137579171.0,172410.3387,,,2.8125
2011-09-30,65.21,128814461.0,171719.1174,,,2.8125
2011-10-31,67.71,104902467.0,178285.7196,,,2.8125
2011-11-30,68.76,181254048.0,181050.6048,,,2.8125
2011-12-31,57.66,171644920.0,151821.8188,,,2.8125
2012-01-31,71.44,142508151.0,188110.9365,,,3.375
2012-02-29,80.89,191578179.0,212994.9029,,,3.375
2012-03-31,77.03,184950316.0,202824.0754,,,3.375
2012-04-30,78.19,125982411.0,205885.1982,,,3.375
2012-05-31,61.73,141813695.0,162535.7488,,,3.375
2012-06-30,71.93,147959419.0,189394.6332,,,3.375
2012-07-31,70.67,104966147.0,186086.6456,,,3.375
2012-08-31,70.76,111717023.0,186333.5104,,,3.375
2012-09-30,81.84,153391191.0,215512.9233,,,2.8125
2012-10-31,80.76,139692536.0,212649.2923,,,2.8125
2012-11-30,86.49,107827314.0,227757.4147,,,2.8125
2012-12-31,91.95,89249199.0,242124.943,,,2.8125
