DEVYANI IN Equity,price,volume,mc,pe,bm,div
2021-08-31,125.1,300307725.0,150435.7371,,120.9753,0.0
2021-09-30,115.8,106897602.0,139252.2651,,111.9819,0.0
2021-10-31,122.7,109755780.0,147549.6798,,118.6544,0.0
2021-11-30,148.15,246067161.0,178153.9125,,143.2653,0.0
2021-12-31,165.05,182749527.0,198476.5661,,159.608,0.0
2022-01-31,168.2,108125308.0,202264.5163,,162.6542,0.0
2022-02-28,154.4,84135555.0,185785.4868,,149.3092,0.0
2022-03-31,175.25,70904026.0,210873.7471,132.7652,30.7634,0.0
2022-04-30,172.75,41184574.0,208118.2093,130.8712,30.3245,0.0
2022-05-31,170.5,40612666.0,205407.5524,129.1667,29.9296,0.0
2022-06-30,155.35,29798395.0,187155.7963,117.6894,27.2701,0.0
2022-07-31,178.95,38032305.0,215587.5748,135.5682,31.4129,0.0
2022-08-31,184.05,199551212.0,221731.7304,139.4318,32.3081,0.0
2022-09-30,194.7,97509193.0,234562.1728,147.5,34.1776,0.0
2022-10-31,193.55,40042144.0,233176.726,146.6288,33.9758,0.0
2022-11-30,188.45,67215847.0,227032.5704,142.7652,33.0805,0.0
2022-12-31,180.75,48560837.0,217756.1003,136.9318,31.7289,0.0
2023-01-31,154.45,31633739.0,186071.5336,117.0076,27.1122,0.0
2023-02-28,152.4,28146980.0,183601.824,115.4545,26.7523,0.0
2023-03-31,144.65,78458248.0,174297.6633,65.7629,17.9624,0.0
2023-04-30,161.4,30060277.0,194559.4489,73.378,20.0424,0.0
2023-05-31,184.5,65114410.0,222405.318,83.8801,22.9109,0.0
2023-06-30,188.35,39112969.0,227046.2962,85.6304,23.389,0.0
2023-07-31,193.05,45185262.0,232721.5584,87.7672,23.9727,0.0
2023-08-31,195.65,32867000.0,235926.2895,88.9492,24.2955,0.0
2023-09-30,214.35,67906575.0,258475.8505,97.4509,26.6177,0.0
2023-10-31,179.8,33409125.0,216813.4263,81.7433,22.3273,0.0
2023-11-30,175.35,46428139.0,211447.3543,79.7202,21.7747,0.0
2023-12-31,193.75,74934882.0,233635.1576,88.0854,24.0596,0.0
2024-01-31,181.9,42069768.0,219345.7299,82.698,22.5881,0.0
2024-02-29,153.6,114808219.0,185219.9237,69.8319,19.0738,0.0
2024-03-31,150.45,52382973.0,181421.4682,383.8049,17.1839,0.0
2024-04-30,166.35,55791955.0,200594.6244,424.3666,19.0,0.0
2024-05-31,154.0,49472795.0,185738.8422,392.8612,17.5894,0.0
2024-06-30,164.71,61633448.0,198656.1344,420.1829,18.8127,0.0
2024-07-31,179.34,55104135.0,216327.7771,457.5047,20.4836,0.0
2024-08-31,175.91,87702848.0,212190.3606,448.7546,20.0919,0.0
2024-09-30,195.76,99589362.0,236138.7062,499.3929,22.3591,0.0
2024-10-31,169.57,42034660.0,204546.5897,432.5809,19.3677,0.0
2024-11-30,165.23,27679236.0,199311.3936,421.5094,18.872,0.0
2024-12-31,182.45,66106102.0,220083.3007,465.4384,20.8389,0.0
2025-01-31,168.65,119688414.0,203436.8246,430.234,19.2627,0.0
2025-02-28,165.02,50106503.0,199058.0777,420.9737,18.8481,0.0
2025-03-31,149.14,54416055.0,179902.5676,1864.25,16.4384,0.0
2025-04-30,178.65,55151354.0,215499.4884,2233.125,19.691,0.0
2025-05-31,167.59,45490922.0,202485.4018,2094.875,18.472,0.0
2025-06-30,167.77,30846592.0,202702.8812,2097.125,18.4918,0.0
2025-07-31,163.1,59724668.0,200928.9722,2038.75,17.9771,0.0
2025-08-31,174.22,88014964.0,214628.1148,2177.75,19.2027,0.0
2025-09-30,168.03,59799729.0,207002.423,2100.375,18.5205,0.0
2025-10-31,161.8,35713629.0,199478.7367,2022.5,17.8338,0.0
2025-11-30,135.64,74206666.0,167226.7976,1695.5,14.9504,0.0
2025-12-31,147.95,50192238.0,182403.4555,1849.375,16.3072,0.0
2026-01-31,116.18,108326193.0,143235.1028,1452.25,12.8055,0.0
2026-02-28,127.44,153068918.0,157117.2448,1593.0,14.0466,0.0
2026-03-31,118.0,2969238.0,145478.9303,1475.0,13.0061,0.0
