WHIRL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,109.77,,2821.3919,,,0.8233
1995-02-28,104.62,,2689.1392,,,0.8233
1995-03-31,106.34,,2733.2234,,,0.8233
1995-04-30,82.33,,2116.0439,,,0.8233
1995-05-31,71.18,,1829.4963,,,0.8233
1995-06-30,77.52,,1992.608,,,0.8233
1995-07-31,61.74,,1587.0329,,,0.8233
1995-08-31,58.31,,1498.8645,,,0.8233
1995-09-30,58.31,,1498.8645,,,0.8233
1995-10-31,60.37,,1551.7655,,,0.8233
1995-11-30,53.85,,2491.1189,,,0.8233
1995-12-31,55.57,,2570.4539,,,0.8233
1996-01-31,57.63,,2665.6559,,,0.0
1996-02-29,67.23,,3109.9319,,,0.0
1996-03-31,63.8,,2951.2619,,,0.0
1996-04-30,72.72,,3363.8039,,,0.0
1996-05-31,76.15,24853.0,3522.4739,,,0.0
1996-06-30,60.72,60564.0,2808.4589,,,0.0
1996-07-31,38.08,89280.0,1761.237,,,0.0
1996-08-31,35.33,33008.0,1634.301,,,0.0
1996-09-30,28.47,20155.0,1316.961,,,0.0
1996-10-31,29.5,25434.0,1364.562,,,0.0
1996-11-30,25.38,7941.0,1174.158,,,0.0
1996-12-31,28.81,12514.0,1332.828,,,0.0
1997-01-31,31.39,33687.0,1451.8305,,,0.0
1997-02-28,26.76,18083.0,1530.126,,,0.0
1997-03-31,20.92,108800.0,1196.637,,,0.0
1997-04-30,25.04,511984.0,1432.041,,,0.0
1997-05-31,25.21,569369.0,1441.8495,,,0.0
1997-06-30,31.9,226652.0,1824.3811,,,0.0
1997-07-31,27.78,69867.0,1588.977,,,0.0
1997-08-31,21.78,221775.0,1245.6795,,,0.0
1997-09-30,18.52,152283.0,1059.318,,,0.0
1997-10-31,19.72,74227.0,1147.5945,,,0.0
1997-11-30,13.21,79850.0,755.2545,,,0.0
1997-12-31,16.12,57840.0,921.999,,,0.0
1998-01-31,13.69,71142.0,782.7183,,,0.0
1998-02-28,14.0,53916.0,800.3736,,,0.0
1998-03-31,20.99,191547.0,1200.5604,,,0.0
1998-04-30,21.2,270948.0,1212.3306,,,0.0
1998-05-31,21.54,132487.0,1231.9476,,,0.0
1998-06-30,17.63,131415.0,1008.3138,,,0.0
1998-07-31,16.98,84203.0,971.0415,,,0.0
1998-08-31,20.1,79892.0,1149.5562,,,0.0
1998-09-30,24.8,449855.0,1418.3091,,,0.0
1998-10-31,19.52,39145.0,1116.2073,,,0.0
1998-11-30,18.87,31667.0,1078.935,,,0.0
1998-12-31,19.9,252006.0,1137.786,,,0.0
1999-01-31,23.57,223584.0,1347.6879,,,0.0
1999-02-28,29.5,113389.0,3742.724,,,0.0
1999-03-31,33.15,169193.0,4205.8069,,,0.0
1999-04-30,25.35,265260.0,3216.2052,,,0.0
1999-05-31,27.1,333042.0,3438.2312,,,0.0
1999-06-30,24.0,145216.0,3044.928,,,0.0
1999-07-31,31.8,571100.0,4034.5297,,,0.0
1999-08-31,44.85,1458665.0,5690.2093,,,0.0
1999-09-30,43.9,744644.0,5569.6809,,,0.0
1999-10-31,52.7,1478658.0,6686.1545,,,0.0
1999-11-30,51.0,608132.0,6470.4721,,,0.0
1999-12-31,44.35,271880.0,5626.7733,,,0.0
2000-01-31,37.95,224955.0,4814.7925,,,0.0
2000-02-29,39.95,651113.0,5068.5365,,,0.0
2000-03-31,29.35,173685.0,3723.6932,,,0.0
2000-04-30,28.75,96736.0,3647.57,,,0.0
2000-05-31,26.0,115950.0,3298.672,,,0.0
2000-06-30,28.0,357859.0,3552.416,,,0.0
2000-07-31,30.0,150809.0,3806.1541,,,0.0
