TTCH IN Equity,price,volume,mc,pe,bm,div
1995-01-31,111.6,,45745.9662,,,0.0
1995-02-28,102.65,,42074.9936,,,0.0
1995-03-31,95.76,,39251.1685,,,0.0
1995-04-30,88.87,,36427.3434,,,0.0
1995-05-31,95.07,,38968.786,,,0.0
1995-06-30,94.79,,38855.833,,,0.0
1995-07-31,98.65,,40437.175,,,0.0
1995-08-31,93.14,,38178.115,,,4.0625
1995-09-30,96.72,,39646.504,,,4.0625
1995-10-31,86.86,,35602.7841,,,4.0625
1995-11-30,85.97,,35241.3345,,,4.0625
1995-12-31,91.27,,37410.032,,,4.0625
1996-01-31,78.48,,32169.0131,,,4.0625
1996-02-29,94.79,,38855.8304,,,4.0625
1996-03-31,93.03,,38132.9312,,,4.0625
1996-04-30,112.43,,46084.8221,,,4.0625
1996-05-31,111.0,284200.0,45497.4665,,,6.5
1996-06-30,113.75,2896300.0,46627.0516,,,6.5
1996-07-31,103.28,1277450.0,42334.8327,,,6.5
1996-08-31,92.48,912524.0,37907.07,,,6.5
1996-09-30,88.84,494661.0,36416.0887,,,6.5
1996-10-31,89.61,469267.0,36732.3575,,,6.5
1996-11-30,72.42,434161.0,29684.0823,,,6.5
1996-12-31,75.94,615049.0,31129.8823,,,6.5
1997-01-31,77.49,1315807.0,31762.4198,,,6.5
1997-02-28,78.92,562444.0,32349.7761,,,6.5
1997-03-31,69.55,1074134.0,28509.3697,,,6.5
1997-04-30,70.54,636672.0,28916.001,,,6.5
1997-05-31,69.88,903029.0,28644.9135,,,6.5
1997-06-30,79.91,2283349.0,32740.8201,,,6.5
1997-07-31,82.23,1681028.0,33689.1749,,,6.5
1997-08-31,70.1,4621360.0,28721.6022,,,6.5
1997-09-30,68.67,1451401.0,28134.5254,,,6.5
1997-10-31,65.8,1008168.0,26960.3719,,,6.5
1997-11-30,65.14,840249.0,26689.4134,,,6.5
1997-12-31,65.69,766428.0,26915.2121,,,6.5
1998-01-31,56.81,896443.0,23275.3361,,,6.5
1998-02-28,58.64,422016.0,24024.988,,,6.5
1998-03-31,65.87,2815272.0,26987.4677,,,6.5
1998-04-30,76.67,16553245.0,31413.1234,,,6.5
1998-05-31,64.77,6437589.0,26535.8702,,,6.5
1998-06-30,55.29,4059945.0,22652.1315,,,6.5
1998-07-31,47.88,2586225.0,19617.3962,,,6.5
1998-08-31,43.89,969208.0,17982.6132,,,6.5
1998-09-30,42.06,1361052.0,17232.9613,,,6.5
1998-10-31,37.48,1093945.0,15354.3156,,,6.5
1998-11-30,34.5,2084524.0,14135.0023,,,6.5
1998-12-31,44.66,4322513.0,18298.7315,,,6.5
1999-01-31,34.54,7123133.0,14153.0662,,,6.5
1999-02-28,32.19,2787503.0,13186.6476,,,6.5
1999-03-31,31.66,7023626.0,12969.8807,,,6.5
1999-04-30,24.25,2757892.0,9935.1454,,,6.5
1999-05-31,28.66,13307363.0,11741.5355,,,6.5
1999-06-30,34.19,16842121.0,14008.555,,,6.5
1999-07-31,28.77,21265798.0,11786.6952,,,5.0
1999-08-31,37.3,23378205.0,15282.06,,,5.0
1999-09-30,30.31,17648406.0,12418.9318,,,5.0
1999-10-31,26.39,9118662.0,10811.2446,,,5.0
1999-11-30,24.69,4149827.0,10115.7844,,,5.0
1999-12-31,25.35,8548504.0,10386.7429,,,5.0
2000-01-31,24.82,7952572.0,10169.9761,,,5.0
2000-02-29,21.23,4790116.0,8697.7682,,,5.0
2000-03-31,23.15,4624305.0,9483.5479,,,5.0
2000-04-30,19.09,4313867.0,7821.669,,,5.0
2000-05-31,19.62,2026237.0,8038.4358,,,5.0
2000-06-30,18.28,3403026.0,7487.4869,,,5.0
2000-07-31,16.6,4313685.0,6801.0586,,,5.0
2000-08-31,16.75,2250287.0,6864.2823,,,5.0
2000-09-30,15.3,2146266.0,6268.1736,,,5.0
2000-10-31,16.62,1427278.0,6810.0906,,,5.0
2000-11-30,19.42,5886357.0,7957.1483,,,5.0
2000-12-31,22.24,16089681.0,9113.2379,,,5.0
2001-01-31,24.1,15916329.0,9871.9218,,,5.0
2001-02-28,22.51,35348064.0,9221.6213,,,5.0
2001-03-31,16.78,12695027.0,6873.3142,,,5.0
2001-04-30,17.66,3363711.0,7234.5923,,,5.0
2001-05-31,20.3,4618534.0,8318.4263,,,5.0
2001-06-30,15.74,5700895.0,6448.8126,,,5.0
2001-07-31,17.42,793951.0,7135.2408,,,5.0
2001-08-31,17.35,1708040.0,7108.1449,,,5.0
2001-09-30,16.31,681958.0,6683.6433,,,5.0
2001-10-31,17.02,531537.0,6972.6657,,,5.0
2001-11-30,17.79,1457350.0,7288.784,,,5.0
2001-12-31,17.46,2481973.0,7153.3047,,,5.0
2002-01-31,18.01,1938350.0,7379.1035,,,5.0
2002-02-28,18.32,1859587.0,7505.5508,,,5.0
2002-03-31,19.25,2424040.0,7884.8927,,,5.0
2002-04-30,20.08,1563258.0,8228.1068,,,0.0
2002-05-31,19.49,2497231.0,7984.2441,,,5.0
2002-06-30,26.01,9831245.0,10657.7014,,,5.0
2002-07-31,26.59,9169239.0,10892.5322,,,5.0
2002-08-31,24.34,3604387.0,9971.2732,,,5.0
2002-09-30,23.63,815523.0,9682.2508,,,5.0
2002-10-31,20.96,1846959.0,8589.3848,,,5.0
2002-11-30,24.01,2187537.0,9835.794,,,5.0
2002-12-31,25.64,2257821.0,10504.1583,,,5.0
2003-01-31,25.75,7112567.0,10549.318,,,5.0
2003-02-28,28.33,4188233.0,11606.0562,,,5.0
2003-03-31,26.94,2048952.0,11037.0434,,,5.0
2003-04-30,29.72,3874788.0,12175.0691,,,5.0
2003-05-31,30.71,5086329.0,12581.5069,,,5.5
2003-06-30,32.76,5161852.0,13421.4783,,,5.5
2003-07-31,34.9,6591285.0,14297.5774,,,5.5
2003-08-31,40.98,12678788.0,16790.3958,,,5.5
2003-09-30,41.05,5623433.0,16817.4916,,,5.5
2003-10-31,55.27,16100945.0,22643.0996,,,5.5
2003-11-30,55.97,8679873.0,22932.122,,,5.5
2003-12-31,67.5,13278456.0,27655.8321,,,5.5
2004-01-31,54.19,12332741.0,22200.534,,,5.5
2004-02-29,50.95,4460484.0,20872.8373,,,5.5
