CRISIL IN Equity,price,volume,mc,pe,bm,div
2004-04-30,47.78,70990.0,2994.277,15.474,3.2653,1.0
2004-05-31,41.96,97490.0,2629.2359,13.5875,2.8672,1.0
2004-06-30,40.7,98720.0,2550.5876,13.1811,2.7815,1.0
2004-07-31,41.4,218770.0,2594.4552,13.4078,2.8293,1.0
2004-08-31,40.4,46510.0,2556.8755,13.0839,2.761,1.0
2004-09-30,43.09,239340.0,2727.1229,13.9551,2.9448,1.0
2004-10-31,45.0,209970.0,2848.0049,14.5737,3.0753,1.0
2004-11-30,55.0,1283700.0,3480.8949,17.8123,3.7587,1.0
2004-12-31,58.11,667640.0,3689.52,18.8195,3.9713,1.0
2005-01-31,55.09,785890.0,3497.4567,17.8398,3.7645,1.0
2005-02-28,66.5,5241910.0,4229.9319,21.5367,4.5446,1.0
2005-03-31,68.79,660860.0,4375.2761,21.9494,4.1706,1.0
2005-04-30,80.7,4895520.0,5136.6402,25.7499,4.8928,1.0
2005-05-31,91.03,324150.0,5794.1964,29.0462,5.5191,1.0
2005-06-30,103.71,500390.0,6601.66,33.094,6.2882,1.25
2005-07-31,105.29,722470.0,6783.0912,33.5966,6.3837,1.25
2005-08-31,105.12,669030.0,6772.4609,33.5439,6.3737,1.25
2005-09-30,124.05,635040.0,7992.045,39.5845,7.5215,1.25
2005-10-31,133.53,403850.0,8602.8035,42.6096,8.0963,1.25
2005-11-30,154.06,500170.0,10141.4409,49.1591,9.3408,1.25
2005-12-31,153.18,2878130.0,10083.5105,48.8783,9.2874,1.25
2006-01-31,152.95,348980.0,10069.0279,48.8081,9.2741,1.25
2006-02-28,165.04,2115840.0,10864.2544,52.6629,10.0065,1.25
2006-03-31,173.76,1085080.0,11438.6211,55.447,10.5356,1.0
2006-04-30,184.07,1194380.0,12132.1402,58.7353,11.1604,1.0
2006-05-31,158.91,762380.0,10461.0456,50.7084,9.6352,1.0
2006-06-30,140.06,1128440.0,9219.8209,44.6917,8.4919,1.0
2006-07-31,154.5,268860.0,10238.2514,49.3011,9.3678,1.0
2006-08-31,163.53,163280.0,10836.6424,52.1826,9.9153,1.0
2006-09-30,167.61,151390.0,11106.6804,53.4829,10.1624,1.0
2006-10-31,230.82,1720140.0,15295.4174,73.6533,13.995,1.0
2006-11-30,217.91,407980.0,14720.6925,69.5353,13.2125,1.0
2006-12-31,225.21,204390.0,15213.499,24.3145,7.848,1.0
2007-01-31,295.68,991240.0,19974.0295,31.9228,10.3037,1.0
2007-02-28,277.9,584010.0,18773.2571,30.0037,9.6843,1.0
2007-03-31,267.47,1208000.0,18068.6689,28.8776,9.3209,1.5
2007-04-30,305.33,1749560.0,20625.9256,32.9647,10.64,1.5
2007-05-31,320.11,996700.0,23071.5678,34.5604,11.1551,1.5
2007-06-30,388.99,970880.0,28036.4542,41.9977,13.5556,1.5
2007-07-31,385.91,906800.0,27814.1028,41.6646,13.4481,1.5
2007-08-31,367.43,856530.0,26482.5172,39.6699,12.8043,1.5
2007-09-30,363.87,545550.0,26227.3899,39.285,12.68,1.5
2007-10-31,327.56,724310.0,23666.2097,35.3653,11.4149,1.5
2007-11-30,341.65,1101290.0,24683.8509,36.886,11.9057,1.5
2007-12-31,368.66,916750.0,26635.3234,31.2966,9.635,1.5
2008-01-31,374.7,684310.0,27072.0746,31.8098,9.793,1.5
2008-02-29,378.11,968460.0,27318.4471,32.0992,9.8821,1.5
2008-03-31,334.21,931930.0,24146.6722,28.3724,8.7347,2.5
2008-04-30,377.22,743320.0,27254.1442,32.0237,9.8588,2.5
2008-05-31,375.27,495500.0,27113.2567,31.8581,9.8079,2.5
2008-06-30,368.28,197630.0,26608.2301,31.2647,9.6252,2.5
2008-07-31,363.1,1419320.0,26233.9747,30.825,9.4898,2.5
2008-08-31,367.69,424670.0,26565.9629,31.2151,9.6099,0.0
2008-09-30,347.8,251920.0,25128.5497,29.5261,9.0899,0.0
2008-10-31,252.97,407530.0,18277.0818,21.4756,6.6115,3.75
2008-11-30,228.04,509130.0,16475.8889,19.3592,5.9599,3.75
2008-12-31,245.45,885700.0,17733.7623,12.615,4.9603,3.75
2009-01-31,234.81,261480.0,16965.3826,12.0684,4.7454,3.75
2009-02-28,225.81,247580.0,16315.1326,11.6058,4.5635,3.75
2009-03-31,270.21,955340.0,19522.3114,13.8873,5.4606,6.0
2009-04-30,301.26,582680.0,21766.3951,15.4836,6.0883,6.0
2009-05-31,302.99,1049080.0,21890.6669,15.572,6.123,8.5
2009-06-30,343.37,861830.0,24808.4817,17.6476,6.9392,8.5
2009-07-31,416.32,1266950.0,30079.121,21.3969,8.4134,8.5
2009-08-31,378.34,1788260.0,27335.0637,19.4449,7.6459,8.5
2009-09-30,410.84,912250.0,29682.8293,21.115,8.3026,8.5
2009-10-31,419.6,781570.0,30316.0996,21.5655,8.4797,8.5
2009-11-30,432.98,805780.0,31282.8032,22.2532,8.7501,10.0
2009-12-31,444.45,437900.0,32111.872,19.9728,7.4023,10.0
2010-01-31,481.2,549940.0,34766.6995,21.6241,8.0142,10.0
2010-02-28,495.83,962510.0,35823.3558,22.2813,8.2578,10.0
2010-03-31,523.13,386800.0,37796.1406,23.5083,8.7126,10.0
2010-04-30,552.8,698760.0,39939.4396,24.8414,9.2066,20.0
2010-05-31,536.24,376720.0,38742.9791,24.0972,8.9308,20.0
2010-06-30,584.07,408980.0,42199.0583,26.2468,9.7275,20.0
2010-07-31,570.85,513610.0,41243.912,25.6527,9.5073,20.0
2010-08-31,556.82,772810.0,40230.2458,25.0222,9.2737,20.0
2010-09-30,607.95,821210.0,43924.027,27.3197,10.1251,20.0
2010-10-31,617.76,498580.0,44633.1603,27.7608,10.2886,20.0
2010-11-30,580.04,1597120.0,41164.277,26.0657,9.6604,20.0
2010-12-31,600.58,547930.0,42621.9592,21.0663,10.8054,20.0
2011-01-31,588.54,1731820.0,41767.1519,20.6438,10.5887,20.0
2011-02-28,582.37,252080.0,41329.6346,20.4276,10.4778,20.0
2011-03-31,631.31,400830.0,44802.808,22.1442,11.3583,20.0
2011-04-30,656.0,383720.0,46555.007,23.0103,11.8025,10.25
2011-05-31,680.58,462010.0,48299.3991,23.8725,12.2448,10.25
2011-06-30,694.7,261550.0,49301.8221,24.3679,12.4989,10.25
2011-07-31,827.93,1673540.0,58756.5337,29.041,14.8958,10.5
2011-08-31,793.93,597110.0,56343.6217,27.8484,14.2841,10.5
2011-09-30,841.8,698310.0,59741.1983,29.5275,15.1454,10.5
2011-10-31,882.9,2324420.0,62657.9995,30.9692,15.8848,10.75
2011-11-30,888.05,1932522.0,63023.4868,31.1498,15.9775,10.75
2011-12-31,885.9,1822959.0,62870.9047,30.4538,14.8516,10.75
2012-01-31,903.8,515181.0,63318.7846,31.0691,15.1517,10.75
2012-02-29,931.2,585502.0,65238.3849,32.011,15.6111,10.75
2012-03-31,983.2,215600.0,68881.4218,33.7986,16.4828,11.0
2012-04-30,1040.75,749585.0,72913.2829,35.7769,17.4476,14.25
2012-05-31,1063.15,325138.0,74599.5383,36.5469,17.8231,14.25
2012-06-30,1073.4,345916.0,75318.7645,36.8993,17.995,14.25
2012-07-31,899.7,767344.0,63130.5127,30.9282,15.083,14.5
2012-08-31,920.0,837830.0,64554.9313,31.626,15.4233,14.5
2012-09-30,960.55,412467.0,67400.2601,33.0199,16.1031,14.5
2012-10-31,950.1,714500.0,66730.941,32.6607,15.9279,14.75
2012-11-30,960.4,344920.0,67454.3687,33.0148,16.1006,14.75
2012-12-31,1083.05,1252417.0,76068.782,34.4701,14.3804,14.75
2013-01-31,1005.9,372021.0,70650.0932,32.0146,13.3561,14.75
2013-02-28,966.2,951107.0,67861.7358,30.7511,12.8289,14.75
2013-03-31,884.35,580568.0,62112.9435,28.1461,11.7422,16.0
2013-04-30,893.5,483686.0,62997.558,28.4373,11.8637,13.0
2013-05-31,941.6,1075036.0,66388.9206,29.9682,12.5023,13.0
2013-06-30,1109.9,2042135.0,78255.1307,35.3246,14.737,13.0
2013-07-31,1183.0,4364199.0,83409.1537,37.6512,15.7076,13.0
2013-08-31,1112.55,1279559.0,78441.9773,35.409,14.7721,13.0
2013-09-30,1178.25,236408.0,83074.248,37.5,15.6445,13.0
2013-10-31,1119.4,173349.0,79088.84,35.627,14.8631,13.0
2013-11-30,1059.7,503915.0,74870.8583,33.7269,14.0704,13.0
2013-12-31,1200.85,437844.0,84843.5175,28.409,12.5788,13.0
2014-01-31,1105.4,241298.0,78099.6996,26.1509,11.5789,13.0
2014-02-28,1122.75,273814.0,79325.5271,26.5614,11.7607,13.0
2014-03-31,1229.95,409447.0,86899.512,29.0975,12.8836,19.0
2014-04-30,1298.3,434816.0,91728.6456,30.7145,13.5995,19.0
2014-05-31,1406.85,301648.0,99832.9298,33.2825,14.7366,19.0
2014-06-30,1791.7,563408.0,127142.662,42.387,18.7679,19.0
2014-07-31,1764.05,863230.0,125180.5708,41.7329,18.4782,19.0
2014-08-31,1895.25,1278490.0,134490.7845,44.8368,19.8525,19.0
2014-09-30,2015.55,1170388.0,143027.521,47.6828,21.1127,19.0
2014-10-31,1823.3,639127.0,130105.3241,43.1346,19.0989,20.0
2014-11-30,1930.35,642854.0,137744.0924,45.6671,20.2202,20.0
2014-12-31,1899.1,864550.0,135514.1844,50.2009,15.9739,20.0
2015-01-31,2099.55,661170.0,149817.7107,55.4996,17.66,20.0
2015-02-28,2100.1,451033.0,149856.8494,55.5141,17.6646,20.0
2015-03-31,2010.2,713472.0,143441.9488,53.1377,16.9084,20.0
2015-04-30,1979.4,1443218.0,141429.1509,52.3236,16.6494,21.0
2015-05-31,2101.1,903616.0,150124.6876,55.5406,17.673,21.0
2015-06-30,1935.55,499465.0,138296.0502,51.1644,16.2805,21.0
2015-07-31,2041.3,827489.0,144806.9347,53.9598,17.17,22.0
2015-08-31,1935.75,534717.0,137319.3628,51.1697,16.2822,22.0
2015-09-30,1833.25,998016.0,130048.158,48.4602,15.4201,22.0
2015-10-31,1961.5,314084.0,139676.6473,51.8504,16.4988,23.0
2015-11-30,1988.05,337423.0,141567.2534,52.5522,16.7221,23.0
2015-12-31,1967.3,249488.0,140089.6646,49.1456,16.3702,23.0
2016-01-31,1839.2,199503.0,130967.7701,45.9455,15.3042,23.0
2016-02-29,1782.55,219608.0,126933.7835,44.5304,14.8328,23.0
2016-03-31,1798.9,313096.0,128098.0479,44.9388,14.9689,23.0
2016-04-30,1951.85,727198.0,139121.3878,48.7597,16.2416,24.0
2016-05-31,2236.5,403315.0,159410.2948,55.8706,18.6102,24.0
2016-06-30,2015.1,566720.0,143629.6379,50.3397,16.7679,24.0
2016-07-31,2025.65,478500.0,144381.6068,50.6033,16.8557,26.0
2016-08-31,2197.35,379315.0,156619.8217,54.8926,18.2845,26.0
2016-09-30,2229.7,464786.0,158925.6089,55.7007,18.5536,26.0
2016-10-31,2236.65,253440.0,159420.9774,55.8743,18.6115,28.0
2016-11-30,2236.0,500639.0,159374.6565,55.8581,18.6061,28.0
2016-12-31,2203.0,267117.0,157151.7929,53.3414,15.9485,28.0
2017-01-31,2071.0,211004.0,147735.5257,50.1453,14.9929,28.0
2017-02-28,2013.4,520226.0,143626.6091,48.7506,14.5759,28.0
2017-03-31,1904.5,2308241.0,135858.1887,46.1138,13.7875,27.0
2017-04-30,1967.05,938445.0,140363.0059,47.6283,14.2404,27.0
2017-05-31,1859.4,1436989.0,132681.4086,45.0218,13.461,28.0
2017-06-30,1944.0,977270.0,138718.22,47.0702,14.0735,28.0
2017-07-31,1857.8,650220.0,133069.6166,44.9831,13.4494,28.0
2017-08-31,1892.05,312584.0,135522.8593,45.8123,13.6974,28.0
2017-09-30,1820.7,392008.0,130412.2354,44.0847,13.1809,28.0
2017-10-31,1799.45,684478.0,128890.1505,43.5702,13.027,27.0
2017-11-30,1873.25,663589.0,134321.2526,45.3571,13.5613,27.0
2017-12-31,1874.55,449997.0,134414.469,44.0242,12.8188,27.0
2018-01-31,1938.55,371522.0,139003.5843,45.5272,13.2565,27.0
2018-02-28,1927.15,389910.0,138226.8168,45.2595,13.1785,27.0
2018-03-31,1884.45,230727.0,135164.1153,44.2567,12.8865,28.0
2018-04-30,1878.35,488759.0,134878.5827,44.1134,12.8448,28.0
2018-05-31,1715.05,1093637.0,123152.5079,40.2783,11.7281,28.0
2018-06-30,1799.6,534668.0,129223.7854,42.264,12.3063,28.0
2018-07-31,1789.1,423427.0,128896.3572,42.0174,12.2345,28.0
2018-08-31,1765.25,233485.0,127178.0753,41.4573,12.0714,28.0
2018-09-30,1756.15,221334.0,126522.4625,41.2435,12.0092,28.0
2018-10-31,1442.7,615245.0,104041.4387,33.8821,9.8657,29.0
2018-11-30,1500.35,194720.0,108198.9135,35.236,10.2599,29.0
2018-12-31,1613.55,175548.0,116362.42,31.9515,10.2409,29.0
2019-01-31,1648.65,214061.0,118893.684,32.6465,10.4637,29.0
2019-02-28,1458.0,244653.0,105218.6097,28.8713,9.2537,29.0
2019-03-31,1461.5,885149.0,105471.1921,28.9406,9.2759,30.0
2019-04-30,1433.55,326616.0,103579.769,28.3871,9.0985,30.0
2019-05-31,1457.95,207301.0,105342.7674,28.8703,9.2534,30.0
2019-06-30,1487.75,216967.0,107495.9376,29.4604,9.4425,30.0
2019-07-31,1299.7,348589.0,93968.5387,25.7366,8.249,30.0
2019-08-31,1284.4,768836.0,92862.3461,25.4337,8.1519,30.0
2019-09-30,1370.0,436722.0,99051.2411,27.1287,8.6951,30.0
2019-10-31,1462.6,801419.0,105746.2374,28.9624,9.2829,30.0
2019-11-30,1595.95,850727.0,115394.0891,31.603,10.1292,30.0
2019-12-31,1907.6,1473605.0,137927.7323,40.0672,11.7694,30.0
2020-01-31,1702.65,730358.0,123108.9607,35.7624,10.5049,30.0
2020-02-29,1519.1,751568.0,110094.4361,31.9072,9.3724,30.0
2020-03-31,1254.3,1021659.0,90903.4634,26.3453,7.7387,32.0
2020-04-30,1465.8,1172263.0,106231.6006,30.7876,9.0436,32.0
2020-05-31,1386.25,334763.0,100500.7102,29.1168,8.5528,32.0
2020-06-30,1618.85,942618.0,117363.805,34.0023,9.9879,32.0
2020-07-31,1673.8,653304.0,121347.5842,35.1565,10.3269,32.0
2020-08-31,1750.65,930305.0,126957.9871,36.7706,10.801,32.0
2020-09-30,1780.3,1097294.0,129108.2194,37.3934,10.984,32.0
2020-10-31,2064.8,896974.0,149890.6293,43.369,12.7393,32.0
2020-11-30,1975.2,847357.0,143386.2704,41.4871,12.1865,32.0
2020-12-31,1921.55,491185.0,139491.6402,39.2714,10.6335,32.0
2021-01-31,1901.5,476164.0,138036.1447,38.8616,10.5226,32.0
2021-02-28,1946.8,742633.0,141496.1787,39.7875,10.7733,32.0
2021-03-31,1839.0,919047.0,133661.1222,37.5843,10.1767,33.0
2021-04-30,1859.05,718932.0,135118.3846,37.9941,10.2877,33.0
2021-05-31,1938.75,435735.0,141035.2354,39.6229,10.7287,34.0
2021-06-30,2539.35,3169107.0,184726.1508,51.8976,14.0523,34.0
2021-07-31,2787.65,3576845.0,202788.8398,56.9722,15.4264,34.0
2021-08-31,2729.9,2573459.0,198587.7903,55.7919,15.1068,36.0
2021-09-30,2718.3,1017305.0,197743.9431,55.5549,15.0426,36.0
2021-10-31,2802.0,810810.0,204036.3975,57.2655,15.5058,36.0
2021-11-30,3115.85,2568753.0,227047.1475,63.6797,17.2426,38.0
2021-12-31,2884.45,1338572.0,210185.3891,45.0484,13.3162,38.0
2022-01-31,2793.0,952741.0,203521.5697,43.6202,12.894,38.0
2022-02-28,2878.15,941975.0,209726.3179,44.95,13.2871,38.0
2022-03-31,3298.25,1204449.0,240650.251,51.511,15.2265,46.0
2022-04-30,3684.45,2078517.0,268828.5659,57.5426,17.0094,46.0
2022-05-31,3406.55,2006791.0,248754.6236,53.2024,15.7265,46.0
2022-06-30,3286.7,1119510.0,240002.8831,51.3306,15.1732,46.0
2022-07-31,3127.35,849621.0,228366.7559,48.8419,14.4375,46.0
2022-08-31,3283.4,1935976.0,239834.8268,51.2791,15.158,46.0
2022-09-30,3264.65,1113166.0,238465.2395,50.9863,15.0714,46.0
2022-10-31,2997.8,839052.0,218973.2728,46.8187,13.8395,46.0
2022-11-30,2925.3,954092.0,213734.2479,45.6864,13.5048,47.0
2022-12-31,3067.3,999102.0,224109.3422,39.6753,12.5062,47.0
2023-01-31,3147.0,421435.0,229932.5465,40.7062,12.8312,47.0
2023-02-28,3387.2,606024.0,247482.5298,43.8132,13.8106,47.0
2023-03-31,3218.6,567178.0,235205.2267,41.6324,13.1231,48.0
2023-04-30,3599.2,1066106.0,263018.2849,46.5554,14.6749,48.0
2023-05-31,3798.7,689448.0,277669.7334,49.1359,15.4884,48.0
2023-06-30,3902.95,671679.0,285289.9903,50.4844,15.9134,48.0
2023-07-31,3915.5,450856.0,286247.9604,50.6467,15.9646,48.0
2023-08-31,3970.65,585077.0,290279.7763,51.3601,16.1895,48.0
2023-09-30,3924.15,590564.0,286880.3304,50.7586,15.9999,48.0
2023-10-31,4097.05,1489028.0,299520.4204,52.9951,16.7048,48.0
2023-11-30,4275.25,1175272.0,312578.9398,55.3001,17.4314,49.0
2023-12-31,4336.75,520388.0,317075.4265,48.1429,14.4832,49.0
2024-01-31,4095.35,605038.0,299425.8022,45.4631,13.677,49.0
2024-02-29,5017.15,2000624.0,366821.9233,55.6962,16.7555,49.0
2024-03-31,5068.0,784795.0,370560.5948,56.2606,16.9253,54.0
2024-04-30,4356.35,1498552.0,318553.023,48.3605,14.5487,54.0
2024-05-31,4104.15,567890.0,300111.1915,45.5608,13.7064,54.0
2024-06-30,4251.9,882227.0,310915.2383,47.201,14.1999,54.0
2024-07-31,4382.6,1740864.0,320498.0041,48.6519,14.6363,54.0
2024-08-31,4461.75,843618.0,326286.2159,49.5306,14.9007,54.0
2024-09-30,4662.5,593443.0,340966.9931,51.7591,15.5711,54.0
2024-10-31,5474.75,2926393.0,400366.5513,60.776,18.2837,58.0
2024-11-30,5364.0,1169743.0,392268.1936,59.5466,17.9139,58.0
2024-12-31,6653.1,1768645.0,486539.8058,71.0953,18.962,58.0
2025-01-31,5433.3,1700054.0,397336.088,58.0605,15.4855,58.0
2025-02-28,4388.4,1512647.0,320922.7704,46.8946,12.5074,58.0
2025-03-31,4178.9,1372919.0,305603.028,44.6559,11.9103,58.0
2025-04-30,4452.7,1315297.0,325626.0267,47.5817,12.6907,56.0
2025-05-31,5249.7,1843598.0,383910.6502,56.0985,14.9622,57.0
2025-06-30,6048.0,2563827.0,442290.3428,64.6292,17.2374,57.0
2025-07-31,5304.0,1192467.0,387881.6102,56.6788,15.1169,58.0
2025-08-31,4986.0,696790.0,364626.2648,53.2806,14.2106,58.0
2025-09-30,4436.6,791759.0,324448.6334,47.4097,12.6448,58.0
2025-10-31,4929.2,1061976.0,360472.4798,52.6736,14.0487,59.0
2025-11-30,4423.7,666793.0,323505.2562,47.2718,12.608,59.0
2025-12-31,4321.6,1502701.0,316038.6815,41.2408,10.4185,59.0
2026-01-31,4660.0,1313348.0,340785.8792,44.4702,11.2343,59.0
2026-02-28,4376.4,1143352.0,320046.2064,41.7638,10.5506,59.0
2026-03-31,4319.9,94757.0,315914.3533,41.2246,10.4144,59.0
