CRISIL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,14.5,,,,,0.0
1995-02-28,14.0,,,,,0.0
1995-03-31,13.0,,,,,0.0
1995-04-30,10.0,,,,,0.0
1995-05-31,9.5,,,,,0.0
1995-06-30,12.5,,,,,0.0
1995-07-31,15.6,,,,,0.0
1995-08-31,16.3,,,,,0.0
1995-09-30,16.8,,,,,0.0
1995-10-31,16.3,,,,,0.0
1995-11-30,14.9,,,,,0.0
1995-12-31,15.13,,,,,0.0
1996-01-31,14.25,,,,,0.0
1996-02-29,18.8,,,,,0.0
1996-03-31,17.6,,,,,0.0
1996-04-30,20.6,,,,,0.0
1996-05-31,20.0,146000.0,,,,0.0
1996-06-30,22.03,193000.0,,,,0.0
1996-07-31,24.3,830000.0,,,,0.27
1996-08-31,24.48,299000.0,,,,0.27
1996-09-30,20.9,147000.0,,,,0.27
1996-10-31,21.5,87000.0,,,,0.27
1996-11-30,22.9,74000.0,,,,0.27
1996-12-31,22.0,56000.0,,,,0.27
1997-01-31,22.0,25000.0,,,,0.27
1997-02-28,24.0,260000.0,,,,0.27
1997-03-31,24.5,167000.0,,,,0.27
1997-04-30,25.4,280000.0,,,,0.27
1997-05-31,31.6,577000.0,,,,0.27
1997-06-30,37.5,5590000.0,,,,0.3
1997-07-31,40.5,112000.0,,,,0.3
1997-08-31,46.3,1952000.0,,,,0.3
1997-09-30,48.98,2504000.0,,,,0.3
1997-10-31,49.0,1612000.0,,,,0.3
1997-11-30,47.0,559000.0,,,,0.3
1997-12-31,48.5,973000.0,,,,0.3
1998-01-31,41.3,1463000.0,,,,0.3
1998-02-28,44.25,191000.0,,,,0.3
1998-03-31,44.0,57000.0,,,,0.3
1998-04-30,54.0,705000.0,,,,0.3
1998-05-31,53.9,1325000.0,3341.7999,,,0.3
1998-06-30,52.05,329000.0,3227.0999,,,0.45
1998-07-31,48.3,1528000.0,2994.5999,,,0.45
1998-08-31,47.0,122000.0,2913.9999,,,0.45
1998-09-30,50.1,466000.0,3106.1999,,,0.45
1998-10-31,46.0,80000.0,2851.9999,,,0.45
1998-11-30,41.0,851000.0,2541.9999,,,0.45
1998-12-31,42.28,69000.0,2621.0499,,,0.45
1999-01-31,41.43,238000.0,2568.3499,,,0.45
1999-02-28,49.4,1120000.0,3062.7999,,,0.45
1999-03-31,48.2,544000.0,2988.3999,,,0.45
1999-04-30,45.0,574000.0,2789.9999,,,0.45
1999-05-31,51.5,830000.0,3192.9999,,,0.45
1999-06-30,51.1,1169000.0,3168.1999,,,0.55
1999-07-31,51.0,1148000.0,3161.9999,,,0.55
1999-08-31,46.0,604000.0,2851.9999,,,0.55
1999-09-30,46.7,518000.0,2895.3999,,,0.55
1999-10-31,37.79,2657000.0,2342.6699,,,0.55
1999-11-30,40.6,489850.0,2517.1999,,,0.55
1999-12-31,68.5,3033240.0,4246.9999,,,0.55
2000-01-31,64.5,1203290.0,3998.9999,,,0.55
2000-02-29,54.46,714800.0,3376.2099,,,0.55
2000-03-31,40.0,1031500.0,2479.9999,,,0.55
2000-04-30,34.5,983250.0,2138.9999,,,0.55
2000-05-31,32.5,737050.0,2014.9999,,,0.55
2000-06-30,27.01,1822300.0,1674.3099,,,0.55
2000-07-31,25.5,268520.0,1581.0,,,0.55
2000-08-31,22.3,633010.0,1382.6,,,0.55
2000-09-30,19.89,701940.0,1233.18,,,0.55
2000-10-31,18.1,217900.0,1122.2,,,0.55
2000-11-30,18.9,235740.0,1171.8,,,0.55
2000-12-31,18.99,2546930.0,1177.69,,,0.55
2001-01-31,17.49,1301490.0,1084.07,,,0.55
2001-02-28,16.41,3568090.0,1017.11,,,0.55
2001-03-31,12.8,4218110.0,793.6,,,0.55
2001-04-30,11.43,1470190.0,708.97,,,0.55
2001-05-31,13.84,7722320.0,858.08,,,0.55
2001-06-30,10.24,4398930.0,634.88,,,0.55
2001-07-31,10.43,196320.0,646.66,,,0.55
2001-08-31,11.05,220940.0,684.79,,,0.55
2001-09-30,10.5,2854350.0,651.0,,,0.55
2001-10-31,11.8,176800.0,731.6,,,0.55
2001-11-30,12.91,872260.0,800.42,,,0.55
2001-12-31,12.6,319210.0,781.2,,,0.55
2002-01-31,23.83,8174060.0,1477.46,,,0.55
2002-02-28,26.04,1278990.0,1614.48,,,0.55
2002-03-31,32.17,2585030.0,1994.8499,17.2691,2.8931,0.55
2002-04-30,35.08,1063870.0,2174.9599,18.8282,3.1543,0.55
2002-05-31,31.9,1855340.0,1977.7999,17.1215,2.8684,0.55
2002-06-30,31.2,77370.0,1934.3999,16.7457,2.8054,0.55
2002-07-31,26.3,2175020.0,1630.5999,14.1158,2.3648,0.65
2002-08-31,28.93,558270.0,1793.6599,15.5274,2.6013,0.65
2002-09-30,26.8,31090.0,1661.5999,14.3842,2.4098,0.65
2002-10-31,27.5,26850.0,1704.9999,14.7599,2.4728,0.65
2002-11-30,28.3,61690.0,1754.5999,15.1893,2.5447,0.65
2002-12-31,28.53,78480.0,1768.5499,15.31,2.5649,0.65
2003-01-31,27.2,334230.0,1695.7296,14.5989,2.4458,0.65
2003-02-28,26.2,144270.0,1633.3866,14.0621,2.3559,0.65
2003-03-31,25.01,594240.0,1559.1985,9.3306,1.9727,0.65
2003-04-30,26.5,16050.0,1652.0895,9.8865,2.0903,0.65
2003-05-31,28.7,98860.0,1789.2441,10.7072,2.2638,0.65
2003-06-30,32.67,121400.0,2040.0637,12.1902,2.5773,1.0
2003-07-31,36.22,361130.0,2261.3958,13.5127,2.857,1.0
2003-08-31,38.51,278550.0,2404.3719,14.3671,3.0376,1.0
2003-09-30,41.0,297280.0,2559.8351,15.296,3.234,1.0
2003-10-31,43.51,415730.0,2716.2348,16.2306,3.4316,1.0
2003-11-30,45.21,100730.0,2824.4947,16.8667,3.5661,1.0
2003-12-31,55.11,5604670.0,3442.6848,20.5582,4.3466,1.0
2004-01-31,52.5,477170.0,3290.07,19.5864,4.1411,1.0
2004-02-29,54.5,416920.0,3415.406,20.3325,4.2989,1.0
2004-03-31,50.0,221020.0,3133.4,16.193,3.417,1.0
