ATGL IN Equity,price,volume,mc,pe,bm,div
2018-11-30,98.75,72275347.0,108606.2457,14.6731,2.8554,0.0
2018-12-31,100.8,35613860.0,110860.8564,14.9777,2.9147,0.0
2019-01-31,92.45,15577880.0,101677.4422,13.737,2.6733,0.0
2019-02-28,102.0,11995542.0,112180.6285,15.156,2.9494,0.0
2019-03-31,128.7,17472758.0,141545.5577,61.875,12.8449,0.0
2019-04-30,134.0,22171723.0,147374.5511,64.4231,13.3739,0.0
2019-05-31,164.85,37717164.0,181303.6922,79.2548,16.4528,0.0
2019-06-30,170.1,25529095.0,187077.6951,81.7788,16.9768,0.0
2019-07-31,153.05,16011473.0,168325.9332,73.5817,15.2751,0.25
2019-08-31,140.45,10352206.0,154468.3262,67.524,14.0176,0.25
2019-09-30,129.2,12778968.0,142095.4627,62.1154,12.8948,0.25
2019-10-31,147.1,27752489.0,161782.0632,70.7212,14.6813,0.25
2019-11-30,161.35,26888581.0,177454.3569,77.5721,16.1035,0.25
2019-12-31,162.7,32419944.0,178939.1005,78.2212,16.2383,0.25
2020-01-31,166.4,74236659.0,183008.3978,80.0,16.6075,0.25
2020-02-29,134.05,499421420.0,147429.5416,64.4471,13.3788,0.25
2020-03-31,86.35,54278829.0,94968.6007,21.7506,6.4566,0.25
2020-04-30,105.35,43924981.0,115864.9922,26.5365,7.8773,0.25
2020-05-31,117.45,56438901.0,129172.6942,29.5844,8.782,0.25
2020-06-30,152.6,100217026.0,167831.0187,38.4383,11.4102,0.25
2020-07-31,153.75,36696390.0,169095.8003,38.728,11.4962,0.25
2020-08-31,169.75,58170182.0,186692.7616,42.7582,12.6926,0.25
2020-09-30,189.2,72294319.0,208084.0677,47.6574,14.1469,0.25
2020-10-31,220.5,35599164.0,242508.118,55.5416,16.4873,0.25
2020-11-30,347.9,130233914.0,382623.9195,87.6322,26.0133,0.25
2020-12-31,375.6,71591513.0,413088.6582,94.6096,28.0845,0.25
2021-01-31,381.05,24829196.0,419082.623,95.9824,28.492,0.25
2021-02-28,512.2,46310768.0,563322.7122,129.0176,38.2983,0.25
2021-03-31,961.25,63884371.0,1057192.419,228.3254,54.6689,0.25
2021-04-30,1150.75,55342407.0,1265606.425,273.3373,65.4463,0.25
2021-05-31,1348.85,78818142.0,1483478.798,320.3919,76.7127,0.0
2021-06-30,1019.85,22148811.0,1121641.289,242.2447,58.0016,0.25
2021-07-31,892.55,9030295.0,981635.4896,212.0071,50.7617,0.25
2021-08-31,1452.5,5953907.0,1597474.146,345.0119,82.6076,0.25
2021-09-30,1423.15,9914577.0,1565194.72,338.0404,80.9384,0.25
2021-10-31,1439.45,9019035.0,1583121.624,341.9121,81.8654,0.25
2021-11-30,1599.85,9139009.0,1759531.161,380.0119,90.9878,0.25
2021-12-31,1721.8,4606621.0,1893653.001,408.9786,97.9234,0.25
2022-01-31,1821.25,4001798.0,2003029.114,432.601,103.5794,0.25
2022-02-28,1588.5,3629800.0,1747048.317,377.3159,90.3423,0.25
2022-03-31,2149.8,6135588.0,2364371.716,464.3197,97.8538,0.25
2022-04-30,2450.95,7893866.0,2695579.523,529.3629,111.5614,0.25
2022-05-31,2397.9,9571480.0,2637234.598,517.905,109.1467,0.25
2022-06-30,2392.9,12272670.0,2631735.548,516.8251,108.9191,0.25
2022-07-31,3127.2,10399959.0,3439326.092,675.4212,142.3427,0.25
2022-08-31,3744.95,10736428.0,4118733.77,808.8445,170.4612,0.25
2022-09-30,3339.85,10270178.0,3673200.706,721.3499,152.022,0.25
2022-10-31,3602.85,7486990.0,3962450.758,778.1533,163.9931,0.25
2022-11-30,3632.75,6285946.0,3995335.079,784.6112,165.3541,0.25
2022-12-31,3692.85,7377762.0,4061433.665,797.5918,168.0897,0.25
2023-01-31,2108.2,12011123.0,2318619.617,455.3348,95.9602,0.25
2023-02-28,678.55,16113277.0,746276.1318,146.5551,30.886,0.25
2023-03-31,867.75,60499925.0,954360.1995,174.5976,32.4506,0.25
2023-04-30,945.0,16314812.0,1039320.528,190.1408,35.3395,0.25
2023-05-31,664.15,84712487.0,730438.8666,133.6318,24.8367,0.25
2023-06-30,654.6,49957490.0,719935.6803,131.7103,24.4796,0.25
