CHALET IN Equity,price,volume,mc,pe,bm,div
2019-02-28,276.2,16945068.0,56627.5912,,,0.0
2019-03-31,337.55,5010925.0,69205.8053,,4.8645,0.0
2019-04-30,321.95,526695.0,66007.433,,4.6397,0.0
2019-05-31,349.15,1626359.0,71584.0821,,5.0317,0.0
2019-06-30,317.95,669571.0,65187.3376,,4.582,0.0
2019-07-31,320.15,1341732.0,65638.3901,,4.6137,0.0
2019-08-31,293.1,1175058.0,60092.4945,,4.2239,0.0
2019-09-30,315.85,1599906.0,64756.7874,,4.5518,0.0
2019-10-31,325.5,560494.0,66735.2677,,4.6908,0.0
2019-11-30,354.95,920290.0,72773.2205,,5.1153,0.0
2019-12-31,348.95,2177447.0,71543.0773,,5.0288,0.0
2020-01-31,329.9,2211906.0,67637.3727,,4.7543,0.0
2020-02-29,328.5,1507602.0,67350.3393,,4.7341,0.0
2020-03-31,205.15,1597835.0,42060.6457,42.2185,2.7056,0.0
2020-04-30,147.8,3799980.0,30302.5271,30.4163,1.9493,0.0
2020-05-31,100.4,2795330.0,20584.3959,20.6617,1.3241,0.0
2020-06-30,131.2,17702379.0,26899.131,27.0001,1.7303,0.0
2020-07-31,127.9,4228295.0,26222.5522,26.321,1.6868,0.0
2020-08-31,156.3,10421504.0,32045.2299,32.1655,2.0614,0.0
2020-09-30,138.35,3390567.0,28365.0516,28.4715,1.8246,0.0
2020-10-31,136.4,2367454.0,27965.2535,28.0702,1.7989,0.0
2020-11-30,150.85,5770750.0,30927.8482,31.044,1.9895,0.0
2020-12-31,183.4,15550830.0,37601.3746,37.7425,2.4188,0.0
2021-01-31,171.4,4521535.0,35141.0884,35.273,2.2605,0.0
2021-02-28,166.05,6057515.0,34044.2108,34.172,2.19,0.0
2021-03-31,146.3,13838023.0,29994.9897,30.7661,2.1182,0.0
2021-04-30,143.2,4100992.0,29359.4157,,2.0733,0.0
2021-05-31,176.5,7500319.0,36186.7101,,2.5554,0.0
2021-06-30,177.2,9023354.0,36330.2268,,2.5656,0.0
2021-07-31,177.05,11869303.0,36299.4751,,2.5634,0.0
2021-08-31,170.9,3980955.0,35038.5784,,2.4744,0.0
2021-09-30,239.9,36926608.0,49185.225,,3.4734,0.0
2021-10-31,235.95,12251715.0,48375.3807,,3.4162,0.0
2021-11-30,237.85,16994659.0,48764.9261,,3.4437,0.0
2021-12-31,215.8,6175961.0,44244.1499,,3.1245,0.0
2022-01-31,258.55,6625362.0,53008.92,,3.7434,0.0
2022-02-28,262.25,19395648.0,53767.5083,,3.797,0.0
2022-03-31,302.35,25056760.0,61988.9653,,4.6217,0.0
2022-04-30,298.75,6959722.0,61250.8794,,4.5667,0.0
2022-05-31,297.05,6421280.0,60902.3388,,4.5407,0.0
2022-06-30,314.65,6084280.0,64510.7588,,4.8097,0.0
2022-07-31,317.85,7527821.0,65166.8352,,4.8586,0.0
2022-08-31,322.3,5420741.0,66079.1914,,4.9267,0.0
2022-09-30,353.35,7164294.0,72445.5357,,5.4013,0.0
2022-10-31,365.25,6563301.0,74885.3316,,5.5832,0.0
2022-11-30,372.4,4771132.0,76351.2594,,5.6925,0.0
2022-12-31,347.55,2396853.0,71256.3915,,5.3126,0.0
2023-01-31,355.15,5380737.0,72814.5804,,5.4288,0.0
2023-02-28,366.7,3705258.0,75182.6176,,5.6054,0.0
2023-03-31,363.15,2500147.0,74454.7794,40.6208,4.8286,0.0
2023-04-30,384.1,4554425.0,78750.0503,42.9642,5.1072,0.0
2023-05-31,433.2,9742659.0,88816.7711,48.4564,5.7601,0.0
2023-06-30,429.1,3482460.0,87976.1691,47.9978,5.7056,0.0
2023-07-31,489.0,5778700.0,100257.1585,54.698,6.502,0.0
2023-08-31,551.2,5343862.0,113009.705,61.6555,7.3291,0.0
2023-09-30,557.45,4012281.0,114497.2777,62.3546,7.4122,0.0
2023-10-31,547.65,4820447.0,112484.4096,61.2584,7.2819,0.0
2023-11-30,589.75,3000381.0,121131.5267,65.9676,7.8416,0.0
2023-12-31,696.45,12008736.0,143047.1416,77.9027,9.2604,0.0
2024-01-31,777.1,7554587.0,159612.2245,86.9239,10.3328,0.0
2024-02-29,810.5,6874345.0,166536.6835,90.66,10.7769,0.0
2024-03-31,883.3,14370758.0,181495.1913,65.2363,9.8034,0.0
2024-04-30,864.9,4431360.0,188634.9244,63.8774,9.5992,0.0
2024-05-31,784.4,7109141.0,171077.8526,57.9321,8.7058,0.0
2024-06-30,803.35,3649376.0,175210.8527,59.3316,8.9161,0.0
2024-07-31,843.55,5177856.0,183978.4836,62.3006,9.3623,0.0
2024-08-31,835.15,2115920.0,182197.1032,61.6802,9.269,0.0
2024-09-30,879.85,6045410.0,192023.6842,64.9815,9.7651,0.0
2024-10-31,870.9,6621902.0,190070.383,64.3205,9.6658,0.0
2024-11-30,890.1,5520049.0,194260.705,65.7386,9.8789,0.0
2024-12-31,974.2,22030057.0,212792.3365,71.9498,10.8123,0.0
2025-01-31,770.95,8097348.0,168396.8916,56.9387,8.5565,0.0
2025-02-28,737.05,11558075.0,161012.5636,54.435,8.1803,0.0
2025-03-31,819.45,5580498.0,179013.2898,125.49,5.8765,0.0
2025-04-30,791.55,2679047.0,172918.3837,121.2175,5.6764,0.0
2025-05-31,917.7,5682469.0,200476.5343,140.536,6.5811,0.0
2025-06-30,921.55,1689421.0,201349.8419,141.1256,6.6087,0.0
2025-07-31,909.85,4815988.0,198793.5041,139.3338,6.5248,0.0
2025-08-31,1010.3,20570177.0,220831.7933,154.7167,7.2452,0.0
2025-09-30,951.2,4775840.0,208013.5667,145.6662,6.8213,0.0
2025-10-31,949.75,3202854.0,207696.4729,145.4441,6.8109,0.0
2025-11-30,886.4,3589365.0,193842.7519,135.7427,6.3566,1.0
2025-12-31,870.55,4282406.0,190423.6125,133.3155,6.243,1.0
2026-01-31,869.9,5136844.0,190467.9976,133.2159,6.2383,1.0
2026-02-28,808.1,2183948.0,176936.6466,123.7519,5.7951,1.0
2026-03-31,774.1,962325.0,169492.2086,118.5452,5.5513,1.0
