RAILTEL IN Equity,price,volume,mc,pe,bm,div
2021-02-28,121.35,144069914.0,38945.8757,27.5795,2.8442,0.0
2021-03-31,126.8,262497455.0,40694.9895,28.5586,2.8804,1.0
2021-04-30,121.7,51396164.0,39058.2036,27.4099,2.7646,1.0
2021-05-31,128.8,47332237.0,41336.8663,29.009,2.9258,1.0
2021-06-30,141.4,98227109.0,45380.6902,31.8468,3.2121,1.0
2021-07-31,139.0,29633399.0,44610.4386,31.3063,3.1575,1.0
2021-08-31,124.75,13832180.0,40037.0663,28.0968,2.8338,1.0
2021-09-30,128.65,35740374.0,41288.7261,28.9752,2.9224,2.2
2021-10-31,125.15,41631902.0,40165.4416,28.1869,2.8429,2.2
2021-11-30,117.25,23158208.0,37630.0282,26.4077,2.6635,2.2
2021-12-31,116.95,14989046.0,37533.7467,26.3401,2.6567,2.2
2022-01-31,115.35,21066199.0,37020.2452,25.9797,2.6203,3.95
2022-02-28,92.55,14658784.0,29702.8496,20.8446,2.1024,3.95
2022-03-31,84.1,26169542.0,26990.92,12.9186,1.7679,2.95
2022-04-30,108.4,61557320.0,34789.7233,16.6513,2.2787,2.95
2022-05-31,97.2,19126020.0,31195.2132,14.9309,2.0433,2.95
2022-06-30,91.1,14595944.0,29237.4889,13.9939,1.9151,2.95
2022-07-31,97.35,6357467.0,31243.3539,14.9539,2.0464,2.95
2022-08-31,101.1,12054628.0,32446.8729,15.53,2.1253,2.95
2022-09-30,103.35,26675851.0,33168.9844,15.8756,2.1726,1.3
2022-10-31,116.45,32939334.0,37373.2775,17.8879,2.448,1.3
2022-11-30,136.3,134806720.0,43743.9049,20.937,2.8652,1.3
2022-12-31,126.75,58729888.0,40678.9431,19.47,2.6645,1.3
2023-01-31,124.65,31775899.0,40004.9724,19.1475,2.6203,1.3
2023-02-28,109.4,29530215.0,35110.6617,16.8049,2.2998,2.15
2023-03-31,101.1,22731172.0,32446.8729,17.1647,1.9678,2.15
2023-04-30,114.75,36230736.0,36827.6822,19.4822,2.2335,2.15
2023-05-31,118.25,69739279.0,37950.9666,20.0764,2.3016,2.15
2023-06-30,130.75,85935150.0,41962.6967,22.1986,2.5449,2.15
2023-07-31,164.8,148546089.0,52890.6495,27.9796,3.2077,2.15
2023-08-31,209.35,223030616.0,67188.4555,35.5433,4.0748,2.55
2023-09-30,223.9,216511725.0,71858.1093,38.0136,4.358,2.55
2023-10-31,222.65,100858293.0,71456.9363,37.8014,4.3337,2.55
2023-11-30,290.5,179131758.0,93232.6072,49.3209,5.6543,3.55
2023-12-31,338.0,174887387.0,108477.1816,57.3854,6.5788,3.55
2024-01-31,437.45,336563834.0,140394.5061,74.2699,8.5145,3.55
2024-02-29,448.95,225597184.0,144085.2978,76.2224,8.7384,2.05
2024-03-31,363.75,108230278.0,116741.3455,47.425,6.3889,2.05
2024-04-30,399.6,61289780.0,128246.9874,52.0991,7.0186,2.05
2024-05-31,413.95,95962009.0,132852.4536,53.97,7.2707,2.05
2024-06-30,465.5,199445100.0,149396.8285,60.691,8.1761,2.05
2024-07-31,500.1,333599865.0,160501.2973,65.2021,8.7838,2.05
2024-08-31,490.8,93289818.0,157516.5702,63.9896,8.6205,2.85
2024-09-30,461.45,45915506.0,148097.0279,60.163,8.105,2.85
2024-10-31,420.65,90845678.0,135002.7409,54.8435,7.3883,2.85
2024-11-30,410.1,33616506.0,131616.8407,53.4681,7.203,2.0
2024-12-31,404.05,46296519.0,129675.1633,52.6793,7.0968,2.0
2025-01-31,406.6,77266770.0,130493.5563,53.0117,7.1416,2.0
2025-02-28,281.15,55143140.0,90231.8331,36.6558,4.9381,2.0
2025-03-31,302.55,73399004.0,97099.915,32.3929,5.0829,2.0
2025-04-30,296.05,33604752.0,95013.8154,31.697,4.9737,3.85
2025-05-31,398.55,149700379.0,127910.0021,42.6713,6.6957,3.85
2025-06-30,428.4,154144461.0,137490.0136,45.8672,7.1972,3.85
2025-07-31,367.55,37236889.0,117960.9115,39.3522,6.1749,3.85
2025-08-31,328.2,24787602.0,105331.9852,35.1392,5.5138,2.85
2025-09-30,372.2,76936171.0,119453.2751,39.8501,6.253,2.85
2025-10-31,368.1,20632810.0,118137.4276,39.4111,6.1842,2.85
2025-11-30,338.9,12711598.0,108766.0261,36.2848,5.6936,2.85
2025-12-31,371.55,57480261.0,119244.6651,39.7805,6.2421,2.85
2026-01-31,353.4,30282410.0,113419.633,37.8373,5.9372,2.85
2026-02-28,313.65,35141485.0,100662.3314,33.5814,5.2694,2.85
2026-03-31,284.7,5015803.0,91371.1684,30.4818,4.783,2.85
