ZYDUSLIF IN Equity,price,volume,mc,pe,bm,div
2000-04-30,7.38,6820500.0,,,,0.0
2000-05-31,11.81,32565000.0,11396.1475,,,0.2
2000-06-30,10.04,13736250.0,9681.3667,,,0.2
2000-07-31,8.43,9554865.0,8133.3007,,,0.2
2000-08-31,8.63,6374925.0,8323.8319,,,0.2
2000-09-30,8.02,6953400.0,7737.353,,,0.2
2000-10-31,8.19,5506545.0,7392.0152,,,0.2
2000-11-30,9.36,17694540.0,9029.3927,,,0.2
2000-12-31,9.79,16612155.0,9446.1797,,,0.2
2001-01-31,8.78,35178450.0,8466.7303,,,0.2
2001-02-28,9.28,19362870.0,8954.9665,,,0.2
2001-03-31,7.9,14642085.0,7618.271,12.2152,1.315,0.2
2001-04-30,6.11,5698665.0,5897.5361,9.4562,1.018,0.2
2001-05-31,7.02,42093165.0,6775.7658,10.8644,1.1696,0.2
2001-06-30,5.76,31505985.0,5552.2356,8.9025,0.9584,0.2
2001-07-31,5.26,3536220.0,5075.9044,8.1387,0.8762,0.2
2001-08-31,5.54,4132590.0,5343.8407,8.5683,0.9224,0.2
2001-09-30,6.26,12864030.0,6034.521,9.6758,1.0416,0.2
2001-10-31,6.99,7486080.0,6743.0637,10.8119,1.1639,0.2
2001-11-30,7.76,6138255.0,7481.377,11.9957,1.2914,0.2
2001-12-31,7.93,8509770.0,7654.0471,12.2725,1.3212,0.2
2002-01-31,7.82,4214130.0,7546.8726,12.1007,1.3027,0.2
2002-02-28,7.69,5847210.0,7421.8356,11.9002,1.2811,0.2
2002-03-31,7.91,6555225.0,7633.2076,9.9955,1.2936,0.2
2002-04-30,8.45,13243395.0,8148.2407,10.6699,1.3809,0.2
2002-05-31,8.03,5476845.0,7749.3133,10.1476,1.3133,0.2
2002-06-30,8.24,1641630.0,7945.8,10.4048,1.3466,0.2
2002-07-31,8.05,4250025.0,7770.1528,10.1748,1.3168,0.2
2002-08-31,7.96,1099890.0,7680.8407,10.0579,1.3017,0.0
2002-09-30,7.16,557475.0,6903.8254,9.0404,1.17,0.2333
2002-10-31,6.95,709065.0,6701.3847,8.7753,1.1357,0.2333
2002-11-30,6.88,903615.0,6635.8891,8.6895,1.1246,0.2333
2002-12-31,7.44,1762110.0,7177.7159,9.3991,1.2164,0.2333
2003-01-31,7.61,2192550.0,7341.4547,9.6135,1.2441,0.2333
2003-02-28,7.53,1922850.0,7267.028,9.516,1.2315,0.2333
2003-03-31,7.62,1959015.0,7353.363,6.813,1.5714,0.2333
2003-04-30,7.62,536070.0,7353.363,6.813,1.5714,0.2333
2003-05-31,7.47,1553460.0,7204.5095,6.6751,1.5396,0.2333
2003-06-30,10.79,13356600.0,10407.8369,9.6431,2.2241,0.2333
2003-07-31,14.33,74724495.0,13822.5362,12.8069,2.9538,0.2333
2003-08-31,18.39,60598260.0,17740.3604,16.4368,3.791,0.2333
2003-09-30,20.04,61835100.0,20396.573,17.9153,4.132,0.2333
2003-10-31,20.87,27287430.0,21241.3271,18.6572,4.3031,0.2333
2003-11-30,23.33,24193935.0,23741.0457,20.8529,4.8095,0.2333
2003-12-31,24.0,13930200.0,24419.3613,21.4487,4.9469,0.2333
2004-01-31,23.6,16283895.0,24014.2561,21.0928,4.8649,0.2333
2004-02-29,30.85,27364200.0,31394.0786,27.5749,6.3599,0.2333
2004-03-31,28.03,5599140.0,28526.939,19.8424,4.9236,0.2333
2004-04-30,30.79,16872225.0,31334.4119,21.7952,5.4082,0.2333
2004-05-31,28.75,6346065.0,29252.3599,20.347,5.0488,0.2333
2004-06-30,26.12,3659985.0,26583.0624,18.4903,4.5881,0.2333
2004-07-31,28.81,9178470.0,29321.4476,20.395,5.0607,0.4
2004-08-31,30.45,6048225.0,30988.9734,21.5549,5.3485,0.4
2004-09-30,32.91,7309290.0,33491.8323,23.2958,5.7805,0.4
2004-10-31,31.57,6151110.0,32125.7801,22.3456,5.5447,0.4
2004-11-30,31.58,3419790.0,32138.3415,22.3543,5.5469,0.4
2004-12-31,36.33,7733805.0,36968.1997,25.7138,6.3805,0.4
2005-01-31,33.88,25544835.0,34471.6215,23.9773,5.9496,0.4
2005-02-28,31.06,21201975.0,31607.6224,21.9852,5.4553,0.4
2005-03-31,28.68,21779760.0,29183.2722,20.1626,4.5531,0.4
2005-04-30,26.81,8128410.0,27286.5008,18.8521,4.2571,0.4
2005-05-31,29.95,6559590.0,30477.0964,21.0565,4.7549,0.4
2005-06-30,29.33,20199465.0,29842.7457,20.6182,4.6559,0.4
2005-07-31,32.3,21204735.0,32863.7104,22.7054,5.1273,0.4
2005-08-31,31.77,15611580.0,32326.7114,22.3344,5.0435,0.4
2005-09-30,32.72,18141165.0,33297.078,23.0048,5.1949,0.4
2005-10-31,27.78,10295085.0,28266.2454,19.529,4.41,0.4
2005-11-30,31.03,9642375.0,31579.3093,21.818,4.9269,0.4
2005-12-31,30.47,13396080.0,31001.4859,21.4188,4.8367,0.4
2006-01-31,31.48,14161200.0,32034.6594,22.1326,4.9979,0.4
2006-02-28,33.05,18293985.0,33633.095,23.237,5.2473,0.4
2006-03-31,41.7,37124730.0,42435.482,25.7787,5.6212,0.4
2006-04-30,48.03,22986045.0,44112.4262,29.6914,6.4744,0.4
2006-05-31,35.78,24831750.0,36409.1599,22.1179,4.823,0.4
2006-06-30,35.15,17516520.0,35768.5296,21.7287,4.7381,0.4
2006-07-31,33.79,8761440.0,34389.9181,20.8912,4.5555,0.4
2006-08-31,41.35,12959228.0,42080.5898,25.5632,5.5742,0.4
2006-09-30,39.83,8560463.0,40529.2606,24.6208,5.3687,0.4
2006-10-31,42.56,13931093.0,43305.3234,26.3072,5.7365,0.4
2006-11-30,39.84,12296475.0,40541.822,24.6284,5.3704,0.4
2006-12-31,43.22,8434740.0,43977.3567,26.7154,5.8255,0.4
2007-01-31,41.36,9405083.0,42086.8705,25.567,5.5751,0.4
2007-02-28,38.93,6281618.0,39618.5613,24.0675,5.2481,0.4
2007-03-31,41.56,3418463.0,42294.1331,16.7476,4.5241,0.4
2007-04-30,39.91,10116735.0,40617.1902,16.0836,4.3447,0.4
2007-05-31,41.3,6142095.0,42030.3443,16.6432,4.4959,0.4
2007-06-30,46.52,24516563.0,47337.5232,18.7447,5.0636,0.4
2007-07-31,43.34,11016638.0,44102.9704,17.4639,4.7176,0.5333
2007-08-31,37.81,8531610.0,38475.4766,15.2355,4.1156,0.5333
2007-09-30,38.38,17210543.0,39059.6728,15.4668,4.1781,0.5333
2007-10-31,39.11,14573708.0,39800.7954,15.7603,4.2574,0.5333
2007-11-30,35.56,6416190.0,36183.1122,14.3278,3.8704,0.5333
2007-12-31,38.83,26590800.0,39518.1639,15.6484,4.2271,0.5333
2008-01-31,30.43,9078915.0,30963.8506,12.261,3.3121,0.5333
2008-02-29,32.2,5231325.0,32766.4115,12.9748,3.5049,0.5333
2008-03-31,31.29,3286755.0,31836.8679,11.442,2.7749,0.5333
2008-04-30,35.59,3630375.0,36214.5157,13.0153,3.1564,0.5333
2008-05-31,36.66,4673760.0,37307.3575,13.408,3.2517,0.5333
2008-06-30,37.07,5724345.0,37721.8837,13.557,3.2878,0.5333
2008-07-31,38.33,2364945.0,39009.4272,14.0198,3.4,0.6
2008-08-31,39.91,3335903.0,40617.2864,14.5976,3.5401,0.6
2008-09-30,38.32,9101550.0,38996.8658,14.0152,3.3989,0.6
2008-10-31,32.13,2236448.0,32691.0431,11.749,2.8493,0.6
2008-11-30,28.26,971498.0,28753.0442,10.3337,2.5061,0.6
2008-12-31,35.59,5113905.0,33526.3762,13.0149,3.1563,0.6
2009-01-31,33.14,9762968.0,31221.3593,12.1201,2.9393,0.6
2009-02-28,34.15,1174200.0,32176.0257,12.4907,3.0292,0.6
2009-03-31,36.22,7306478.0,37079.9514,12.2365,3.0019,0.6
2009-04-30,40.86,4750703.0,41830.1164,13.8041,3.3865,0.6
2009-05-31,44.31,14052893.0,45358.6153,14.9685,3.6722,0.6
2009-06-30,50.47,10877460.0,51664.8688,17.0495,4.1827,0.6
2009-07-31,61.99,16355273.0,63465.2068,20.9437,5.1381,0.6
2009-08-31,60.7,13903643.0,62141.1665,20.5068,5.0309,0.6
2009-09-30,69.56,16209653.0,71211.5246,23.5,5.7652,0.6
2009-10-31,75.67,6989085.0,77470.0034,25.5653,6.2719,0.6
2009-11-30,79.99,9881603.0,81892.5708,27.0248,6.6299,0.6
2009-12-31,86.72,16260683.0,88778.945,29.2973,7.1874,0.6
2010-01-31,95.26,14299928.0,97521.7055,32.1824,7.8952,0.6
2010-02-28,101.83,10590308.0,104244.2809,34.4009,8.4395,0.6
2010-03-31,110.48,11583548.0,113103.0655,22.3885,6.9452,0.6
2010-04-30,113.02,14546375.0,115703.38,22.9033,7.1049,0.6
2010-05-31,121.88,11453250.0,124773.7387,24.6987,7.6619,0.6
2010-06-30,132.05,13111285.0,135185.2002,26.7597,8.3012,0.6
2010-07-31,127.03,11665490.0,130046.0127,25.7424,7.9856,1.0
2010-08-31,120.92,10908140.0,123790.9459,24.5042,7.6015,1.0
2010-09-30,131.16,17965690.0,134274.0693,26.5793,8.2453,1.0
2010-10-31,139.65,13428080.0,142965.6434,28.2998,8.779,1.0
2010-11-30,153.64,7453445.0,157287.8013,31.1348,9.6584,1.0
2010-12-31,155.56,7647685.0,159253.3869,31.5239,9.7791,1.0
2011-01-31,165.35,13912785.0,169275.8262,33.5078,10.3946,1.0
2011-02-28,147.15,7477110.0,150643.7123,29.8196,9.2505,1.0
2011-03-31,157.98,10131460.0,161730.8438,22.744,7.4479,1.0
2011-04-30,173.22,9219420.0,177332.6799,24.9381,8.1664,1.0
2011-05-31,184.04,12192040.0,188409.574,26.4958,8.6765,1.0
2011-06-30,183.65,11031810.0,188010.3144,26.4397,8.6581,1.0
2011-07-31,177.07,17955160.0,181274.0886,25.4924,8.3479,1.25
2011-08-31,169.01,14813890.0,173022.7238,24.332,7.9679,1.25
2011-09-30,151.8,10094900.0,155404.115,21.8543,7.1565,1.25
2011-10-31,153.08,8009690.0,156714.5055,22.0386,7.2169,1.25
2011-11-30,141.13,8599720.0,144480.7823,20.3182,6.6535,1.25
2011-12-31,140.87,8638500.0,144214.6092,20.2807,6.6412,1.25
2012-01-31,132.32,13298240.0,135461.6107,19.0498,6.2382,1.25
2012-02-29,145.22,23118825.0,148667.8892,20.907,6.8463,1.25
2012-03-31,151.7,8947740.0,155300.9769,23.7998,6.0057,1.25
2012-04-30,146.17,5815125.0,149639.7086,22.9322,5.7868,1.25
2012-05-31,146.16,9957250.0,149629.4712,22.9307,5.7864,1.25
2012-06-30,154.05,8067380.0,157706.76,24.1685,6.0987,1.25
2012-07-31,176.36,22798890.0,180546.3433,27.6687,6.982,1.5
2012-08-31,181.4,7995185.0,185705.9803,28.4594,7.1815,1.5
2012-09-30,174.72,14260895.0,178867.4139,27.4114,6.9171,1.5
2012-10-31,174.24,10117505.0,178376.0199,27.3361,6.8981,1.5
2012-11-30,167.37,17899445.0,171342.9433,26.2582,6.6261,1.5
2012-12-31,180.39,11729660.0,184672.0054,28.3009,7.1415,1.5
2013-01-31,173.16,14980780.0,177270.3834,27.1666,6.8553,1.5
2013-02-28,152.12,15061555.0,155730.9466,23.8657,6.0223,1.5
2013-03-31,148.55,9307530.0,152076.2038,23.2691,5.1648,1.5
2013-04-30,157.05,6746135.0,160777.9725,24.6006,5.4603,1.5
2013-05-31,154.87,12066190.0,158546.2247,24.2591,5.3845,1.5
2013-06-30,154.96,20374725.0,158639.1532,24.2732,5.3876,1.5
2013-07-31,147.22,18032615.0,150715.3855,23.0608,5.1185,1.5
2013-08-31,130.81,10116060.0,133915.7694,20.4903,4.548,1.5
2013-09-30,135.94,9811205.0,139167.569,21.2939,4.7264,1.5
2013-10-31,132.25,14715315.0,135389.9588,20.7159,4.5981,1.5
2013-11-30,146.88,16113290.0,150367.313,23.0075,5.1067,1.5
2013-12-31,162.02,11609690.0,165866.776,25.3791,5.6331,1.5
2014-01-31,163.98,18724345.0,167873.3115,25.6861,5.7013,1.5
2014-02-28,206.7,33255625.0,211607.5953,32.3778,7.1865,1.5
2014-03-31,204.99,11904415.0,209856.9827,26.1134,6.1023,1.5
2014-04-30,195.64,7350460.0,200285.0022,24.9223,5.8239,1.5
2014-05-31,186.78,13011225.0,191214.6427,23.7936,5.5602,1.5
2014-06-30,214.12,10597130.0,219203.7654,27.2764,6.3741,1.5
2014-07-31,223.23,15714500.0,228530.0605,28.4369,6.6452,1.8
