RITE IN Equity,price,volume,mc,pe,bm,div
2018-06-30,74.0,,,10.8036,1.6715,0.0
2018-07-31,99.88,298625145.0,49940.0,14.5819,2.256,0.0
2018-08-31,114.24,145535948.0,57120.0,16.6783,2.5804,0.0
2018-09-30,98.44,43793073.0,49220.0,14.3716,2.2235,0.8
2018-10-31,101.4,16509490.0,50700.0,14.8038,2.2904,0.8
2018-11-30,106.66,35072855.0,53330.0,15.5717,2.4092,0.8
2018-12-31,109.6,25889953.0,54800.0,16.0009,2.4756,2.7
2019-01-31,97.5,21116730.0,48750.0,14.2344,2.2023,2.7
2019-02-28,94.18,27687998.0,47090.0,13.7497,2.1273,2.7
2019-03-31,103.98,23987185.0,51990.0,11.0711,2.1465,4.3
2019-04-30,98.14,13943608.0,49070.0,10.4493,2.0259,4.3
2019-05-31,112.1,23400933.0,56050.0,11.9357,2.3141,4.3
2019-06-30,116.68,28744328.0,58340.0,12.4233,2.4087,4.3
2019-07-31,121.42,24560903.0,60710.0,12.928,2.5065,5.9
2019-08-31,110.95,15205090.0,55475.0,11.8132,2.2904,5.9
2019-09-30,132.73,25002268.0,66362.5,14.1317,2.7399,5.1
2019-10-31,141.25,28053332.0,70625.0,15.0394,2.9159,5.1
2019-11-30,140.03,37992072.0,70012.5,14.909,2.8906,5.1
2019-12-31,144.88,17000018.0,72437.5,15.4254,2.9907,3.2
2020-01-31,155.32,33904962.0,77662.5,16.538,3.2064,6.2
2020-02-29,146.43,38391874.0,73212.5,15.5904,3.0227,8.2
2020-03-31,123.05,22763862.0,61525.0,9.9878,2.3364,6.6
2020-04-30,115.28,26145926.0,57637.5,9.3567,2.1888,6.6
2020-05-31,113.53,16116438.0,56762.5,9.2147,2.1556,6.6
2020-06-30,123.13,35808258.0,61562.5,9.9939,2.3379,6.6
2020-07-31,118.83,54224988.0,59412.5,9.6449,2.2562,5.0
2020-08-31,122.93,32517480.0,61462.5,9.9777,2.3341,8.0
2020-09-30,126.68,20530190.0,63337.5,10.2821,2.4053,8.0
2020-10-31,119.73,8689830.0,59862.5,9.7179,2.2733,8.0
2020-11-30,122.83,10984176.0,61412.5,9.9696,2.3322,8.0
2020-12-31,135.8,32418054.0,67900.0,11.0227,2.5785,8.0
2021-01-31,126.98,19085806.0,63487.5,10.3064,2.411,7.5
2021-02-28,122.45,20343060.0,61225.0,9.9391,2.3251,5.5
2021-03-31,120.4,24399734.0,57864.6925,13.7286,2.4191,7.5
2021-04-30,119.35,10633322.0,57360.0585,13.6089,2.398,7.5
2021-05-31,122.38,14386640.0,58813.8849,13.9538,2.4588,7.5
2021-06-30,138.07,40462582.0,66359.3639,15.744,2.7743,7.5
2021-07-31,138.28,35588952.0,66455.4868,15.7668,2.7783,7.5
2021-08-31,137.63,16364726.0,66143.0944,15.6927,2.7652,5.5
2021-09-30,136.73,9082142.0,65710.551,15.5901,2.7471,7.5
2021-10-31,141.63,28334458.0,68065.5095,16.1488,2.8456,7.5
2021-11-30,138.82,8532624.0,66719.8189,15.8295,2.7893,8.0
2021-12-31,132.13,7083398.0,63499.7736,15.0656,2.6547,8.0
2022-01-31,137.23,6409422.0,65950.8529,15.6471,2.7572,8.0
2022-02-28,120.83,5880416.0,58068.951,13.7771,2.4277,8.0
2022-03-31,131.25,9852634.0,63079.2453,12.215,2.5347,11.5
2022-04-30,134.18,16104438.0,64485.0114,12.4872,2.5912,11.5
2022-05-31,123.33,5377756.0,59270.4604,11.4774,2.3816,11.5
2022-06-30,117.43,5692164.0,56434.8982,10.9283,2.2677,11.5
2022-07-31,131.53,21710970.0,63211.4114,12.2406,2.54,11.5
2022-08-31,148.73,11984698.0,71477.7963,13.8413,2.8722,10.3333
2022-09-30,163.23,25491302.0,78446.551,15.1908,3.1522,9.5
2022-10-31,193.1,99635510.0,92804.5888,17.9711,3.7291,9.5
2022-11-30,183.6,84423144.0,88238.8529,17.087,3.5457,9.75
2022-12-31,169.63,31920420.0,81522.4152,15.7864,3.2758,9.75
2023-01-31,180.73,20620866.0,86857.1171,16.8195,3.4901,9.75
2023-02-28,163.1,12889942.0,78386.4755,15.1792,3.1498,9.0
2023-03-31,177.28,22885896.0,85199.034,15.7159,3.2721,9.0
