BEML IN Equity,price,volume,mc,pe,bm,div
1995-03-31,52.45,,,,,0.0
1995-04-30,52.45,,,,,0.0
1995-05-31,35.51,,,,,0.0
1995-06-30,30.87,,,,,0.0
1995-07-31,34.7,,,,,0.0
1995-08-31,33.09,,,,,0.0
1995-09-30,31.87,,,,,0.0
1995-10-31,29.05,,,,,0.0
1995-11-30,24.21,,,,,0.0
1995-12-31,27.03,,,,,0.0
1996-01-31,21.38,,,,,0.0
1996-02-29,25.82,,,,,0.0
1996-03-31,24.61,,,,,0.0
1996-04-30,27.64,,2534.5,,,0.0
1996-05-31,22.59,18600.0,2072.0,,,0.0
1996-06-30,38.63,523600.0,3542.75,,,0.0
1996-07-31,34.7,1180200.0,3182.0,,,0.0
1996-08-31,35.1,750400.0,3219.0,,,0.75
1996-09-30,32.28,84800.0,2960.0,,,0.75
1996-10-31,31.98,71000.0,2932.25,,,0.75
1996-11-30,28.65,796802.0,2627.0,,,0.75
1996-12-31,35.1,293800.0,3219.0,,,0.75
1997-01-31,52.45,988400.0,4810.0,,,0.75
1997-02-28,58.5,856200.0,5365.0,,,0.75
1997-03-31,52.45,579806.0,4810.0,,,0.75
1997-04-30,66.88,2103000.0,6132.75,,,0.75
1997-05-31,65.16,1138800.0,5975.5,,,0.75
1997-06-30,66.17,1663432.0,6068.0,,,0.75
1997-07-31,60.52,131400.0,5550.0,,,0.75
1997-08-31,51.04,77400.0,4680.5,,,1.0
1997-09-30,47.81,242200.0,4384.5,,,1.0
1997-10-31,41.56,1269600.0,3811.0,,,1.0
1997-11-30,30.26,406200.0,2775.0,,,1.0
1997-12-31,30.06,943410.0,2756.5,,,1.0
1998-01-31,21.99,344420.0,2016.5,,,1.0
1998-02-28,22.8,93840.0,2090.5,,,1.0
1998-03-31,25.36,1859000.0,2325.45,,,1.0
1998-04-30,23.32,2248600.0,2138.6,,,1.0
1998-05-31,21.18,373200.0,1942.5,,,1.0
1998-06-30,11.66,291400.0,1069.3,,,1.0
1998-07-31,10.87,692600.0,997.15,,,1.0
1998-08-31,11.28,180780.0,1034.15,,,1.0
1998-09-30,11.1,182600.0,1017.5,,,1.0
1998-10-31,10.55,48000.0,967.55,,,1.0
1998-11-30,8.82,167500.0,808.45,,,1.0
1998-12-31,10.21,433600.0,936.1,,,1.0
1999-01-31,8.57,197300.0,786.25,,,1.0
1999-02-28,9.22,1461880.0,845.45,,,1.0
1999-03-31,9.54,1968440.0,875.05,,,1.0
1999-04-30,7.46,580800.0,679.7825,,,1.0
1999-05-31,7.97,869200.0,725.7137,,,1.0
1999-06-30,8.78,621620.0,799.2037,,,1.0
1999-07-31,14.69,2183166.0,1337.518,,,1.0
1999-08-31,14.53,1175800.0,1322.82,,,1.0
1999-09-30,10.89,291200.0,992.115,,,1.0
1999-10-31,12.21,847600.0,1111.5362,,,0.0
1999-11-30,12.14,653266.0,1106.0245,,,0.0
1999-12-31,12.59,632800.0,1146.444,,,0.0
2000-01-31,14.57,1359000.0,1326.4945,,,0.0
2000-02-29,10.23,1227400.0,931.4857,,,0.0
2000-03-31,8.65,541600.0,788.1802,,,0.0
2000-04-30,8.65,787800.0,788.1588,,,0.0
2000-05-31,8.39,295600.0,764.296,,,0.0
2000-06-30,8.23,328390.0,749.598,,,0.0
2000-07-31,9.08,216822.0,826.7625,,,0.0
2000-08-31,7.06,376142.0,643.0375,,,1.0
2000-09-30,6.31,761362.0,575.0592,,,1.0
2000-10-31,6.05,247194.0,551.1675,,,1.0
2000-11-30,7.83,1993100.0,712.8433,,,1.0
2000-12-31,9.1,2069188.0,828.5885,,,1.0
2001-01-31,11.06,2780698.0,1006.7993,,,1.0
2001-02-28,11.18,4904126.0,1017.8226,,,1.0
2001-03-31,8.23,1823084.0,749.5878,,,1.0
2001-04-30,7.95,658782.0,723.8666,,,1.0
2001-05-31,8.13,629138.0,740.4017,,,1.0
2001-06-30,7.2,211822.0,655.8893,,,1.0
2001-07-31,6.29,79240.0,573.2142,,,1.0
2001-08-31,6.23,116586.0,567.7025,,,0.5
2001-09-30,5.99,133978.0,545.6558,,,0.5
2001-10-31,6.13,118888.0,558.5164,,,0.5
2001-11-30,6.96,527154.0,633.8426,,,0.5
2001-12-31,6.96,736874.0,633.8426,,,0.5
2002-01-31,9.62,2624254.0,876.3444,,,0.5
2002-02-28,18.1,15783378.0,1647.9684,,,0.5
2002-03-31,18.9,6210830.0,1721.4564,,,0.5
2002-04-30,21.16,7699046.0,1927.2228,,,0.5
2002-05-31,38.88,52649676.0,3540.2844,,,0.5
2002-06-30,40.89,25382212.0,3724.0043,,,0.5
2002-07-31,28.61,18297482.0,2605.1496,,,0.5
2002-08-31,26.87,6505496.0,2447.1504,,,0.5
2002-09-30,18.5,3689120.0,1684.7124,,,0.6
2002-10-31,24.96,19137368.0,2272.6164,,,0.6
2002-11-30,26.19,7739946.0,2384.6856,,,0.6
2002-12-31,31.89,26239084.0,2904.6132,,,0.6
2003-01-31,30.18,16591756.0,2748.4512,,,0.6
2003-02-28,28.28,6770388.0,2575.7544,,,0.6
2003-03-31,22.76,3105238.0,2072.3616,,,0.6
2003-04-30,28.2,4155296.0,2568.4056,,,0.6
2003-05-31,36.82,6926784.0,3352.89,,,0.6
2003-06-30,38.09,12102720.0,3468.6336,,,0.6
2003-07-31,32.48,5154356.0,2957.892,,,0.6
2003-08-31,38.43,11857116.0,3499.866,,,0.6
2003-09-30,75.35,38920888.0,6861.9419,,,1.0
2003-10-31,92.07,34785632.0,8384.9807,,,1.0
2003-11-30,86.22,18649072.0,7852.1927,,,1.0
2003-12-31,96.87,17329538.0,8822.2343,,,1.0
2004-01-31,75.21,6344052.0,6849.0815,,,1.0
2004-02-29,68.03,3738292.0,6195.0383,,,1.0
2004-03-31,68.97,6454628.0,6281.3867,,,1.0
2004-04-30,68.93,5507166.0,6277.7123,,,1.0
2004-05-31,48.9,4193908.0,4453.3727,,,1.0
2004-06-30,51.32,1954388.0,4673.8367,,,1.0
2004-07-31,68.99,6358526.0,6283.2239,,,1.0
2004-08-31,72.87,2807276.0,6635.9663,,,1.0
2004-09-30,94.31,10146312.0,8588.9099,,,1.0
2004-10-31,97.66,2764628.0,8894.006,,,1.0
2004-11-30,112.65,3960560.0,10259.0642,,,1.0
2004-12-31,137.67,3814810.0,12537.2231,,,1.0
2005-01-31,131.78,4986750.0,12000.7534,,,1.5
2005-02-28,136.13,8121780.0,12397.594,,,1.5
2005-03-31,145.03,4810036.0,13207.8102,,,1.5
2005-04-30,245.66,60802028.0,22371.8883,,,1.5
2005-05-31,269.89,36696090.0,24578.3955,,,1.5
2005-06-30,264.6,15195274.0,24097.0426,,,1.5
2005-07-31,264.76,7465130.0,24111.7404,,,1.5
2005-08-31,325.85,18590306.0,29674.8576,,,1.5
2005-09-30,375.13,11832592.0,34163.1981,,,5.0
2005-10-31,315.3,6989686.0,28713.9889,,,5.0
2005-11-30,361.62,5522710.0,32932.2574,,,5.0
2005-12-31,435.31,8917508.0,39643.6402,,,5.0
2006-01-31,533.03,7624186.0,48543.1579,,,5.75
2006-02-28,597.21,4725506.0,54387.3705,,,5.75
2006-03-31,598.74,7777760.0,54526.9996,,,5.75
2006-04-30,642.52,7702756.0,58677.2908,,,5.75
2006-05-31,474.85,3548534.0,43244.6011,,,5.75
2006-06-30,399.32,4455274.0,36366.0309,,,5.75
2006-07-31,371.74,3853808.0,33854.5443,,,5.75
2006-08-31,385.24,6958004.0,35083.6478,,,5.75
2006-09-30,377.8,7205156.0,34405.7118,,,5.0
2006-10-31,434.12,6596578.0,39535.2439,,,5.0
2006-11-30,415.34,5986022.0,37824.7875,,,5.0
2006-12-31,409.49,4129076.0,37291.9922,,,5.0
2007-01-31,440.46,6779268.0,40112.1326,,,5.0
2007-02-28,445.8,6278012.0,40598.9972,,,5.5
2007-03-31,436.85,2637960.0,39783.2693,15.5919,3.0982,5.5
2007-04-30,398.74,7685426.0,36312.7513,14.2317,2.828,5.5
2007-05-31,421.21,5165654.0,38359.4199,15.0339,2.9873,5.5
2007-06-30,468.64,12540402.0,42678.7358,16.7267,3.3237,5.5
2007-07-31,504.04,15003230.0,52024.3925,17.9904,3.5748,6.0
2007-08-31,494.24,4088022.0,51012.4312,17.6404,3.5053,6.0
2007-09-30,520.45,4197546.0,53717.8861,18.5758,3.6911,6.0
2007-10-31,627.75,8209672.0,64793.374,22.4057,4.4522,6.0
2007-11-30,677.88,3115612.0,69967.7653,24.195,4.8077,6.0
2007-12-31,681.41,2240194.0,70332.159,24.321,4.8328,6.0
2008-01-31,510.88,2653776.0,52730.8996,18.2345,3.6233,6.0
2008-02-29,484.76,3283078.0,50034.3858,17.302,3.438,6.0
2008-03-31,399.85,1681554.0,41270.1955,14.1714,1.9482,6.75
2008-04-30,444.61,3646848.0,45890.7057,15.758,2.1663,6.75
2008-05-31,434.59,1099642.0,44855.83,15.4026,2.1174,6.75
2008-06-30,297.06,973760.0,30661.1316,10.5285,1.4474,6.75
2008-07-31,283.89,3814000.0,29301.4223,10.0616,1.3832,6.75
2008-08-31,299.46,1393154.0,30908.9193,10.6135,1.4591,6.75
2008-09-30,276.28,1652186.0,28516.4141,9.792,1.3461,6.0
2008-10-31,170.67,1319666.0,17615.8352,6.0489,0.8316,6.0
2008-11-30,118.78,2114492.0,12260.2881,4.21,0.5787,6.0
2008-12-31,135.83,4162316.0,14019.7894,4.8141,0.6618,6.0
2009-01-31,136.8,3666002.0,14119.7374,4.8485,0.6665,6.0
2009-02-28,145.82,8289922.0,15050.5032,5.1681,0.7105,6.0
2009-03-31,154.03,7966500.0,15897.9789,4.7495,0.6681,6.0
2009-04-30,208.56,7575792.0,21526.3007,6.431,0.9047,6.0
2009-05-31,304.61,4875640.0,31439.8931,9.3927,1.3213,3.25
2009-06-30,431.58,13917532.0,44545.5747,13.308,1.872,3.25
2009-07-31,430.21,16034066.0,44403.9817,13.2657,1.8661,3.25
2009-08-31,448.4,3849810.0,46282.1713,13.8268,1.945,3.25
2009-09-30,434.95,5322842.0,44893.3105,13.4119,1.8867,6.0
2009-10-31,379.07,3960946.0,39125.4779,11.6888,1.6443,6.0
2009-11-30,404.65,2546618.0,41765.771,12.4776,1.7552,6.0
2009-12-31,454.26,5028672.0,46886.0238,14.0073,1.9704,6.0
2010-01-31,431.3,7126712.0,44516.4206,13.2993,1.8708,6.0
2010-02-28,408.94,4975152.0,42209.2902,12.6101,1.7739,6.0
2010-03-31,423.49,2699292.0,43710.5925,15.711,1.7262,6.0
2010-04-30,422.86,3013932.0,43646.0453,15.6878,1.7237,6.0
2010-05-31,391.6,1528654.0,40418.5552,14.5277,1.5962,6.0
2010-06-30,403.72,1361220.0,41669.9875,14.9775,1.6457,6.0
2010-07-31,409.91,2731656.0,42309.2382,15.2073,1.6709,6.0
2010-08-31,407.11,3517418.0,42019.8055,15.1033,1.6595,5.0
2010-09-30,435.41,6921112.0,44941.2022,16.1533,1.7748,5.0
2010-10-31,453.37,2592336.0,46794.4048,16.8194,1.848,5.0
2010-11-30,396.58,1634530.0,40932.8709,14.7126,1.6165,5.0
2010-12-31,416.49,1387968.0,42988.0517,15.4513,1.6977,5.0
2011-01-31,351.07,1375092.0,36235.3149,13.0241,1.431,5.0
2011-02-28,250.34,18559346.0,25838.6405,9.2872,1.0204,5.0
2011-03-31,275.15,4427322.0,28399.8081,15.5982,1.0697,5.0
2011-04-30,280.36,2316660.0,28937.0286,15.8932,1.0899,5.0
2011-05-31,263.51,1746762.0,27198.3498,14.9383,1.0244,5.0
2011-06-30,234.1,4379030.0,24162.4293,13.2708,0.9101,5.0
2011-07-31,221.63,3675072.0,22875.5988,12.5641,0.8616,5.0
2011-08-31,186.97,5229104.0,19298.2932,10.5993,0.7269,5.0
2011-09-30,184.71,4270462.0,19065.0812,10.4712,0.7181,5.0
2011-10-31,213.44,4068950.0,22030.2052,12.0998,0.8298,5.0
2011-11-30,203.53,4028112.0,21007.8205,11.5382,0.7913,5.0
2011-12-31,183.64,2938344.0,18954.722,10.4106,0.7139,5.0
2012-01-31,213.96,3940400.0,22084.3437,12.1295,0.8318,5.0
2012-02-29,268.55,6223990.0,27718.9123,15.2242,1.044,5.0
2012-03-31,263.73,6188730.0,27220.9279,38.5857,1.0098,5.0
2012-04-30,215.3,4237908.0,22221.5056,31.499,0.8243,5.0
2012-05-31,173.66,7017644.0,17923.7931,25.407,0.6649,5.0
2012-06-30,152.25,11439810.0,15714.5524,22.2754,0.5829,5.0
2012-07-31,128.51,10860718.0,13263.7735,18.8014,0.492,5.0
2012-08-31,111.3,9714876.0,11487.6355,16.2837,0.4261,5.0
2012-09-30,124.39,12497374.0,12838.9996,18.1993,0.4763,2.5
2012-10-31,116.71,6393174.0,12045.6718,17.0747,0.4468,2.5
2012-11-30,114.47,2669652.0,11814.5449,16.7471,0.4383,2.5
2012-12-31,112.69,14305582.0,11631.3091,16.4874,0.4315,2.5
2013-01-31,107.1,5673840.0,11054.5327,15.6698,0.4101,2.5
2013-02-28,90.56,3968154.0,9347.1082,13.2495,0.3467,2.5
2013-03-31,59.29,7899420.0,6119.6594,8.288,0.2374,2.5
2013-04-30,64.82,7850262.0,6690.189,,0.2596,2.5
2013-05-31,70.81,11091508.0,7308.6099,,0.2836,2.5
2013-06-30,62.6,4097692.0,6461.1443,,0.2507,2.5
2013-07-31,57.88,7185372.0,5973.9036,,0.2318,2.5
2013-08-31,56.31,6105170.0,5811.4901,,0.2255,2.5
2013-09-30,56.55,6225370.0,5836.4768,,0.2265,1.25
2013-10-31,75.71,16688940.0,7814.5906,,0.3032,1.25
2013-11-30,73.82,7263968.0,7618.8614,,0.2956,1.25
2013-12-31,95.24,23695406.0,9830.1844,,0.3814,1.25
2014-01-31,76.44,11605674.0,7889.5507,,0.3061,1.25
2014-02-28,83.5,12761890.0,8618.3294,,0.3344,1.25
2014-03-31,117.88,25837778.0,12166.4409,160.3754,0.4718,1.25
2014-04-30,156.35,41162990.0,16137.244,212.7177,0.6258,1.25
2014-05-31,263.41,65777282.0,27187.6123,358.3813,1.0542,1.25
2014-06-30,321.29,52334636.0,33161.5159,437.1281,1.2859,1.25
2014-07-31,254.39,3970608.0,26256.8577,346.1123,1.0182,1.25
2014-08-31,229.3,8650546.0,23666.5698,311.9677,0.9177,0.5
2014-09-30,248.12,14852114.0,25609.2857,337.5762,0.993,0.5
2014-10-31,273.34,17896100.0,28212.067,371.8855,1.094,0.5
2014-11-30,286.59,16997852.0,29580.0889,389.9185,1.147,0.5
2014-12-31,320.28,36174394.0,33057.4047,435.7557,1.2819,0.5
2015-01-31,365.17,46163402.0,37690.3554,496.8263,1.4615,0.5
2015-02-28,393.79,36821938.0,40645.5204,535.7742,1.5761,0.5
2015-03-31,442.61,25506574.0,45684.0173,623.4012,1.7751,0.5
2015-04-30,395.61,11425184.0,40832.433,557.1967,1.5866,0.5
2015-05-31,418.47,14156700.0,43191.5939,589.3897,1.6783,0.5
2015-06-30,488.61,22854684.0,50431.4904,688.1849,1.9596,0.5
2015-07-31,613.12,16144356.0,63282.9833,863.5555,2.459,0.5
2015-08-31,523.27,8919968.0,54008.753,737.0,2.0986,0.5
2015-09-30,501.36,7307024.0,51747.4566,706.1425,2.0107,0.5
2015-10-31,470.27,6040084.0,48538.7504,662.3567,1.8861,0.5
2015-11-30,457.0,6449120.0,47168.6438,643.6603,1.8328,0.5
2015-12-31,516.9,15655352.0,53350.7699,728.0212,2.073,0.5
2016-01-31,423.41,9299542.0,43701.7391,596.3511,1.6981,0.5
2016-02-29,381.47,15303740.0,39372.7932,537.2786,1.5299,0.5
2016-03-31,421.27,11407414.0,43481.0232,66.0817,1.6631,0.5
2016-04-30,371.58,15516154.0,38352.5029,58.2875,1.4669,0.5
2016-05-31,351.17,12184478.0,36245.2912,55.085,1.3863,0.5
2016-06-30,344.61,16801978.0,35568.5681,54.0565,1.3605,0.5
2016-07-31,409.01,19428488.0,42215.0304,64.1577,1.6147,0.5
2016-08-31,430.05,13828918.0,44386.7911,67.4583,1.6978,0.5
2016-09-30,353.47,19488444.0,36482.6649,55.4457,1.3954,2.0
2016-10-31,379.03,8676248.0,39120.844,59.4552,1.4963,2.0
2016-11-30,340.15,9988184.0,35108.3963,53.3571,1.3429,2.0
2016-12-31,403.72,20036168.0,41669.4874,63.3286,1.5938,2.0
2017-01-31,485.71,54843032.0,50131.6526,76.1892,1.9175,2.0
2017-02-28,540.32,27070150.0,55768.2332,84.7556,2.1331,2.0
2017-03-31,549.54,14456050.0,56719.81,53.982,2.0973,2.0
2017-04-30,566.04,12328792.0,58423.0701,55.603,2.1602,2.0
2017-05-31,492.95,14634152.0,50879.1688,48.4232,1.8813,2.0
2017-06-30,618.63,33290134.0,63851.4307,60.7693,2.361,2.0
2017-07-31,696.46,32015064.0,71884.6549,68.4148,2.658,2.0
2017-08-31,711.47,59111338.0,73433.8304,69.8892,2.7153,2.0
2017-09-30,639.9,43310428.0,66046.0959,62.8581,2.4421,4.0
2017-10-31,691.4,39702928.0,71362.0165,67.9174,2.6387,4.0
2017-11-30,673.69,23235104.0,69533.8233,66.1774,2.5711,4.0
2017-12-31,652.93,24106804.0,67391.2137,64.1383,2.4919,4.0
2018-01-31,586.9,18445564.0,60576.0912,57.6521,2.2399,4.0
2018-02-28,498.34,22806936.0,51435.122,48.9524,1.9019,4.0
2018-03-31,421.27,48660584.0,43481.0224,27.0566,1.5941,4.0
2018-04-30,430.21,19135132.0,44403.4481,27.6306,1.6279,4.0
2018-05-31,373.28,79753686.0,38527.4092,23.9741,1.4125,4.0
2018-06-30,326.53,56126902.0,33702.8939,20.972,1.2356,4.0
2018-07-31,362.26,48990320.0,37390.5143,23.2667,1.3708,4.0
2018-08-31,339.08,53807538.0,34998.0378,21.7779,1.2831,4.0
2018-09-30,245.92,38628222.0,25382.3228,15.7944,0.9305,4.0
2018-10-31,236.94,48429990.0,24455.7326,15.2179,0.8966,4.0
2018-11-30,303.76,72494102.0,31352.0618,19.5092,1.1494,4.0
2018-12-31,365.23,148505212.0,37696.6014,23.4572,1.382,4.0
2019-01-31,320.42,104265448.0,33071.9797,20.5794,1.2125,4.0
2019-02-28,337.02,76501152.0,34785.6509,21.6458,1.2753,4.0
2019-03-31,408.54,108227738.0,42167.1385,53.8617,1.5556,4.5
2019-04-30,352.72,53129480.0,36405.6219,46.5023,1.3431,4.5
2019-05-31,392.97,70337962.0,40559.6608,51.8084,1.4963,4.5
