ELEQ IN Equity,price,volume,mc,pe,bm,div
1995-01-31,4.31,,,,,0.0
1995-02-28,4.38,,,,,0.0
1995-03-31,4.5,,,,,0.0
1995-04-30,4.0,,,,,0.0
1995-05-31,4.44,,,,,0.0
1995-06-30,4.25,,,,,0.0
1995-07-31,4.06,,,,,0.0
1995-08-31,3.94,,,,,0.0
1995-09-30,4.13,,,,,0.0
1995-10-31,3.44,,,,,0.0
1995-11-30,3.06,,,,,0.0
1995-12-31,3.63,,,,,0.0
1996-01-31,3.13,,,,,0.075
1996-02-29,3.81,,,,,0.075
1996-03-31,4.38,,,,,0.075
1996-04-30,4.63,,,,,0.075
1996-05-31,4.81,488000.0,,,,0.075
1996-06-30,5.0,14000000.0,1200.0,,,0.075
1996-07-31,4.63,2684000.0,1110.0,,,0.075
1996-08-31,4.69,2281200.0,1125.0,,,0.0437
1996-09-30,4.56,306320.0,1095.0,,,0.0437
1996-10-31,4.5,1153280.0,1080.0,,,0.0437
1996-11-30,4.54,2134000.0,1090.5,,,0.0437
1996-12-31,4.5,4104640.0,1080.0,,,0.0437
1997-01-31,4.38,385840.0,1051.5,,,0.0437
1997-02-28,4.14,186000.0,993.0,,,0.0437
1997-03-31,4.25,302320.0,1020.0,,,0.0437
1997-04-30,4.25,321360.0,1020.0,,,0.0437
1997-05-31,4.93,2391840.0,1182.75,,,0.0437
1997-06-30,5.01,32747200.0,1203.0,,,0.0437
1997-07-31,5.75,831280.0,1380.0,,,0.05
1997-08-31,5.34,1899520.0,1281.0,,,0.05
1997-09-30,5.21,698560.0,1251.0,,,0.05
1997-10-31,4.6,222480.0,1110.0,,,0.05
1997-11-30,3.65,196320.0,876.0,,,0.05
1997-12-31,2.74,45721440.0,657.0,,,0.05
1998-01-31,2.63,2743600.0,630.0,,,0.05
1998-02-28,2.38,17423920.0,570.0,,,0.05
1998-03-31,2.42,5732000.0,582.0,,,0.05
1998-04-30,2.73,5484960.0,654.0,,,0.05
1998-05-31,2.53,5849920.0,607.8,,,0.05
1998-06-30,2.13,709600.0,510.0,,,0.05
1998-07-31,2.25,197440.0,539.7,,,0.05
1998-08-31,2.0,149760.0,480.0,,,0.05
1998-09-30,1.98,497600.0,474.0,,,0.05
1998-10-31,2.36,779680.0,566.7,,,0.05
1998-11-30,2.34,1687840.0,562.5,,,0.05
1998-12-31,2.38,10783120.0,570.0,,,0.05
1999-01-31,2.63,3389040.0,630.0,,,0.05
1999-02-28,2.36,11427440.0,567.6,,,0.05
