CAMS IN Equity,price,volume,mc,pe,bm,div
2020-09-30,246.0,,,34.9035,10.9272,0.0
2020-10-31,259.37,99152710.0,63269.1629,36.8005,11.5211,0.0
2020-11-30,289.03,24517540.0,70504.2455,41.0088,12.8386,1.35
2020-12-31,361.14,46441915.0,88094.3266,51.2401,16.0417,1.35
2021-01-31,355.35,11582535.0,86681.9487,50.4186,15.7845,1.35
2021-02-28,365.1,17174420.0,89060.3052,51.8019,16.2176,2.87
2021-03-31,369.28,11540750.0,90087.7707,43.8783,17.4632,2.87
2021-04-30,464.65,19183470.0,113433.887,55.2103,21.9733,2.87
2021-05-31,500.38,24937135.0,122156.566,59.4558,23.6629,2.87
2021-06-30,558.48,24174985.0,136340.3793,66.3593,26.4105,2.87
2021-07-31,668.15,56889610.0,163113.8559,79.3904,31.5967,5.238
2021-08-31,763.35,41451470.0,186354.8035,90.7022,36.0987,6.538
2021-09-30,606.91,52533570.0,148163.4817,72.1138,28.7007,6.538
2021-10-31,602.42,36794630.0,147067.3488,71.5803,28.4884,6.538
2021-11-30,615.5,22440250.0,150500.4289,73.1345,29.1069,7.6
2021-12-31,533.22,55774585.0,130381.5414,63.3579,25.2159,7.6
2022-01-31,539.47,18534655.0,131909.7748,64.1005,25.5115,7.6
2022-02-28,498.86,30630590.0,121979.9252,59.2752,23.591,8.1
2022-03-31,463.17,24900230.0,113253.101,39.4321,17.5193,8.1
2022-04-30,495.68,16057360.0,121202.36,42.1999,18.749,8.1
2022-05-31,465.14,17807000.0,113799.8523,39.5999,17.5938,8.1
2022-06-30,451.55,23341100.0,110474.9609,38.4429,17.0798,8.6
2022-07-31,491.53,10111185.0,120256.356,41.8466,18.592,8.6
2022-08-31,460.78,33347810.0,112733.1469,39.2287,17.4289,7.8
2022-09-30,505.48,24876310.0,123669.324,43.0342,19.1197,7.8
2022-10-31,509.83,13863055.0,124892.0252,43.4046,19.2842,7.8
2022-11-30,459.75,16438940.0,112624.0288,39.141,17.39,7.6
2022-12-31,444.33,19870835.0,108846.6226,37.8282,16.8067,7.6
2023-01-31,455.95,8599980.0,111693.1505,38.8175,17.2462,7.6
2023-02-28,452.01,6922690.0,110727.9766,38.482,17.0972,7.55
2023-03-31,406.19,7444330.0,99503.5438,34.8601,12.7287,7.55
2023-04-30,412.25,8196960.0,100988.0498,35.3802,12.9186,7.55
2023-05-31,443.38,10865110.0,108656.2103,38.0518,13.8941,7.55
2023-06-30,439.71,7133290.0,107756.8276,37.7369,13.7791,7.55
2023-07-31,471.39,14496675.0,115520.4361,40.4557,14.7719,7.55
2023-08-31,475.09,19566485.0,116427.1707,40.7733,14.8878,7.8
2023-09-30,502.11,16560515.0,123048.7838,43.0922,15.7346,7.8
2023-10-31,449.38,14675870.0,110373.2554,38.5668,14.0822,7.8
2023-11-30,560.23,42320335.0,137599.3788,48.0802,17.5559,8.1
2023-12-31,530.28,98938760.0,130243.2904,45.5098,16.6173,8.1
2024-01-31,579.4,33752195.0,142367.6157,49.7254,18.1566,8.1
2024-02-29,614.42,45465965.0,150972.5759,52.7309,19.254,8.4
2024-03-31,583.13,25165795.0,143284.1349,40.4614,15.6675,8.4
2024-04-30,640.54,46440405.0,157390.6672,44.4449,17.21,8.4
2024-05-31,696.02,35770845.0,171195.8668,48.2945,18.7006,8.4
2024-06-30,722.55,24978990.0,177721.2918,50.1353,19.4134,8.4
2024-07-31,906.84,61400160.0,223175.9901,62.9226,24.3649,10.1
2024-08-31,852.25,59407325.0,209741.2306,59.1347,22.8982,9.9
2024-09-30,881.82,33603040.0,217293.4681,61.1865,23.6926,9.9
2024-10-31,888.74,45812590.0,218998.6582,61.6667,23.8786,9.9
2024-11-30,985.68,37060620.0,242886.1056,68.393,26.4831,12.9
2024-12-31,1015.08,46624335.0,250550.9732,70.433,27.273,12.9
2025-01-31,720.7,62202430.0,177889.5126,50.0069,19.3637,12.9
2025-02-28,628.62,59972715.0,155286.6125,43.6178,16.8897,14.0
2025-03-31,744.67,60010415.0,184044.6283,39.0247,16.4538,14.0
2025-04-30,781.26,39715185.0,193087.8191,40.9422,17.2623,14.0
2025-05-31,792.22,57947915.0,195837.1009,41.5166,17.5044,14.0
2025-06-30,858.04,73248420.0,212107.8312,44.9659,18.9588,14.0
2025-07-31,747.36,41639640.0,184877.3093,39.1657,16.5132,14.5
2025-08-31,741.04,40051815.0,183313.9067,38.8345,16.3736,14.5
2025-09-30,751.72,29646755.0,186037.1127,39.3942,16.6096,14.5
2025-10-31,788.26,45061880.0,195213.0895,41.3091,17.4169,14.5
2025-11-30,774.06,30854665.0,191696.4505,40.5649,17.1032,12.3
2025-12-31,740.9,29460256.0,183484.3555,38.8272,16.3705,12.3
2026-01-31,695.05,26817036.0,172294.7567,36.4244,15.3574,12.3
2026-02-28,677.6,19090998.0,167969.106,35.5099,14.9719,12.3
2026-03-31,653.95,11085788.0,162106.5509,34.2705,14.4493,12.3
