PCBL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,8.25,,,,,0.25
1995-02-28,7.0,,,,,0.25
1995-03-31,6.5,,,,,0.25
1995-04-30,5.75,,,,,0.25
1995-05-31,5.6,,,,,0.25
1995-06-30,4.7,,,,,0.25
1995-07-31,5.0,,,,,0.25
1995-08-31,4.4,,,,,0.25
1995-09-30,3.9,,,,,0.0
1995-10-31,4.28,,,,,0.0
1995-11-30,3.7,,,,,0.0
1995-12-31,3.7,,,,,0.0
1996-01-31,3.0,,,,,0.0
1996-02-29,4.5,,,,,0.0
1996-03-31,4.5,,,,,0.25
1996-04-30,5.63,,,,,0.25
1996-05-31,6.63,269500.0,,,,0.25
1996-06-30,6.81,566500.0,,,,0.25
1996-07-31,6.62,519500.0,,,,0.25
1996-08-31,5.9,596600.0,,,,0.25
1996-09-30,4.5,62030.0,,,,0.25
1996-10-31,4.2,77370.0,,,,0.25
1996-11-30,4.39,26610.0,,,,0.25
1996-12-31,5.58,157990.0,,,,0.25
1997-01-31,5.5,419000.0,,,,0.25
1997-02-28,5.83,126520.0,,,,0.3
1997-03-31,4.4,149070.0,,,,0.3
1997-04-30,4.4,104210.0,,,,0.3
1997-05-31,4.55,225010.0,,,,0.3
1997-06-30,3.63,291610.0,,,,0.3
1997-07-31,4.33,87280.0,,,,0.3
1997-08-31,4.25,400670.0,,,,0.3
1997-09-30,3.78,1260540.0,,,,0.3
1997-10-31,2.98,368100.0,,,,0.3
1997-11-30,2.48,236000.0,,,,0.3
1997-12-31,2.15,327340.0,208.851,,,0.3
1998-01-31,2.15,165740.0,208.851,,,0.3
1998-02-28,2.3,69620.0,223.422,,,0.3
1998-03-31,2.4,163800.0,233.136,,,0.3
1998-04-30,2.82,371330.0,273.4491,,,0.6
1998-05-31,2.23,223570.0,216.6222,,,0.6
1998-06-30,1.95,58000.0,189.423,,,0.6
1998-07-31,1.85,34500.0,179.709,,,0.6
1998-08-31,1.5,35000.0,145.71,,,0.6
1998-09-30,1.5,50000.0,145.71,,,0.6
1998-10-31,1.6,34370.0,155.424,,,0.6
1998-11-30,1.55,64660.0,150.0813,,,0.6
1998-12-31,1.72,60340.0,166.5951,,,0.6
1999-01-31,1.56,90880.0,151.5384,,,0.6
1999-02-28,1.6,115720.0,155.424,,,0.1
1999-03-31,2.4,190200.0,232.6503,,,0.1
1999-04-30,2.1,14500.0,203.994,,,0.1
1999-05-31,1.8,73330.0,174.852,,,0.1
1999-06-30,1.7,100260.0,165.138,,,0.1
1999-07-31,1.97,239710.0,191.3658,,,0.1
1999-08-31,3.2,429500.0,310.848,,,0.1
1999-09-30,2.95,184970.0,286.563,,,0.1
1999-10-31,2.5,114040.0,242.85,,,0.1
1999-11-30,2.1,44370.0,203.994,,,0.1
1999-12-31,2.29,201250.0,406.5437,,,0.1
2000-01-31,1.81,184950.0,321.3293,,,0.1
2000-02-29,1.8,350340.0,319.554,,,0.1
2000-03-31,1.66,164530.0,294.6998,,,0.1
2000-04-30,1.73,85860.0,307.1269,,,0.1
2000-05-31,1.58,60970.0,152.9955,,,0.1
2000-06-30,1.5,110150.0,145.71,,,0.1
2000-07-31,1.4,53150.0,135.996,,,0.1
2000-08-31,1.18,164660.0,114.6252,,,0.1
2000-09-30,1.3,9000.0,126.282,,,0.1
2000-11-30,1.15,560.0,111.711,,,0.1
2000-12-31,1.2,2720.0,213.0384,,,0.1
2001-03-31,1.2,2100.0,213.0384,,,0.1
2001-04-30,1.2,700.0,213.0384,,,0.1
2001-05-31,0.81,82910.0,143.8009,,,0.1
2001-06-30,0.77,97390.0,135.812,,,0.1
2001-07-31,0.81,193680.0,142.9133,,,0.1
2001-08-31,0.82,163750.0,145.5762,,,0.1
2001-09-30,0.77,51170.0,135.812,,,0.1
2001-10-31,0.91,81570.0,161.5541,,,0.1
2001-11-30,1.2,107180.0,213.0384,,,0.1
2001-12-31,1.18,204590.0,208.6001,,,0.1
2002-01-31,1.03,100650.0,183.7456,,,0.1
2002-02-28,1.11,90130.0,197.0605,,,0.1
2002-03-31,0.95,123300.0,167.7677,,,0.1
2002-04-30,1.02,91590.0,181.0806,,,0.1
2002-05-31,1.0,169840.0,177.53,,,0.1
2002-06-30,2.57,2032030.0,455.3645,,,0.1
2002-07-31,1.43,567040.0,253.8679,,,0.1
2002-08-31,1.48,108980.0,262.7444,,,0.1
2002-09-30,1.3,92420.0,230.789,,,0.1
2002-10-31,1.25,163460.0,221.9125,,,0.1
2002-11-30,1.39,348810.0,214.8113,,,0.1
2002-12-31,1.98,959760.0,,,,0.1
2003-01-31,1.58,897820.0,,,,0.1
2003-02-28,1.46,327060.0,,,,0.1
2003-03-31,1.51,646530.0,268.0703,,,0.15
2003-04-30,1.56,269020.0,276.0592,,,0.15
2003-05-31,2.4,1341870.0,426.072,,,0.15
2003-06-30,4.1,1599230.0,728.7607,,,0.15
2003-07-31,4.47,2211980.0,792.6715,,,0.15
2003-08-31,4.53,6229740.0,803.3233,,,0.15
2003-09-30,6.17,4723580.0,1095.3601,,,0.15
2003-10-31,6.4,5175980.0,1136.192,,,0.15
2003-11-30,8.24,3871590.0,1462.8472,,,0.15
2003-12-31,12.18,6917960.0,2161.4278,,,0.15
2004-01-31,8.84,2659490.0,1569.3652,,,0.15
2004-02-29,6.9,1098930.0,1224.957,,,0.25
2004-03-31,7.3,2096210.0,1295.969,,,0.25
2004-04-30,6.19,592740.0,1098.9107,,,0.25
2004-05-31,4.5,587680.0,798.885,,,0.25
2004-06-30,4.6,236890.0,817.5257,,,0.25
2004-07-31,4.95,249100.0,877.8859,,,0.25
2004-08-31,6.44,2013650.0,1142.4056,,,0.25
2004-09-30,6.68,4129310.0,1185.9004,,,0.25
2004-10-31,5.76,936590.0,1021.6852,,,0.25
2004-11-30,7.12,4221550.0,1263.126,,,0.25
2004-12-31,9.27,16736710.0,1644.8155,,,0.25
2005-01-31,8.0,7142150.0,1419.3524,,,0.25
2005-02-28,7.35,13020380.0,1304.8455,,,0.25
2005-03-31,6.09,13607750.0,1081.1577,,,0.25
2005-04-30,7.03,15014580.0,1248.9236,,,0.0
2005-05-31,8.97,71973370.0,1592.4441,,,0.0
2005-06-30,8.42,54820730.0,1494.8026,,,0.0
2005-07-31,10.68,87968380.0,1896.9081,,,0.15
2005-08-31,9.73,22339220.0,1727.3669,,,0.15
2005-09-30,9.88,59315230.0,1753.1088,,,0.15
2005-10-31,8.77,9252560.0,1556.9381,,,0.15
2005-11-30,8.14,8251510.0,1444.2066,,,0.15
2005-12-31,7.3,7262450.0,1295.969,,,0.15
2006-01-31,6.49,14677780.0,1151.2821,,,0.15
2006-02-28,6.28,24880690.0,1114.8884,,,0.15
2006-03-31,5.42,11412000.0,962.2126,,,0.15
2006-04-30,5.28,5216660.0,933.8078,,,0.15
2006-05-31,4.88,5379250.0,866.3562,,,0.15
2006-06-30,4.47,2381410.0,793.5681,,,0.15
2006-07-31,4.89,2067470.0,868.1315,,,0.15
2006-08-31,6.1,4103050.0,1082.0576,,,0.0
2006-09-30,7.49,10653650.0,1328.8271,,,0.0
2006-10-31,9.43,23950960.0,1673.2392,,,0.0
2006-11-30,12.41,31966400.0,2203.1722,,,0.0
2006-12-31,11.7,45582250.0,2076.2368,,,0.0
2007-01-31,14.37,35234590.0,3053.0223,,,0.0
2007-02-28,13.12,19132010.0,2788.4199,,,0.0
2007-03-31,12.31,8271320.0,3107.4063,,,0.0
2007-04-30,15.27,14899460.0,3856.1637,,,0.0
2007-05-31,18.3,79406930.0,4621.3357,,,0.0
2007-06-30,17.21,10118390.0,4344.8132,,,0.0
2007-07-31,17.06,10025660.0,4306.9334,,,0.2
2007-08-31,16.28,10014470.0,4111.221,,,0.2
2007-09-30,17.99,9053150.0,4541.7521,,,0.2
2007-10-31,20.23,35336210.0,5108.682,,,0.2
2007-11-30,23.72,42134840.0,5988.749,,,0.2
2007-12-31,28.36,23299720.0,7160.4882,,,0.2
2008-01-31,22.63,11516550.0,5714.754,,,0.2
2008-02-29,18.41,3444670.0,4649.0773,,,0.2
2008-03-31,15.86,13166010.0,4005.1258,,,0.2
2008-04-30,20.22,8737480.0,5104.894,,,0.2
2008-05-31,17.37,3559040.0,4385.1835,,,0.2
2008-06-30,15.85,5475610.0,4001.3379,,,0.2
2008-07-31,15.93,4188290.0,4024.0656,,,0.4
2008-08-31,16.13,7803400.0,4073.3089,,,0.4
2008-09-30,13.18,2054440.0,3328.3454,,,0.4
2008-10-31,5.42,5274390.0,1367.45,,,0.4
2008-11-30,3.6,8540030.0,1018.5279,,,0.4
2008-12-31,3.63,12939460.0,1025.5912,,,0.4
2009-01-31,3.38,14855600.0,953.5388,,,0.4
2009-02-28,3.02,3924390.0,853.2406,,,0.4
2009-03-31,3.32,15689970.0,937.9996,,0.4299,0.4
2009-04-30,4.6,23542210.0,1301.0507,,0.5963,0.4
2009-05-31,7.82,42950910.0,2207.972,,1.012,0.4
2009-06-30,6.01,14071290.0,1698.0053,,0.7782,0.4
2009-07-31,10.35,9447020.0,2924.1855,,1.3402,0.4
2009-08-31,14.12,15122570.0,3989.3236,,1.8284,0.0
2009-09-30,17.98,13680660.0,5079.8894,,2.3283,0.0
2009-10-31,16.05,8219090.0,4534.6065,,2.0783,0.0
2009-11-30,16.11,3467370.0,4551.5583,,2.0861,0.0
2009-12-31,15.97,6745310.0,4510.5915,,2.0673,0.0
2010-01-31,18.42,36694900.0,5202.79,,2.3846,0.0
2010-02-28,18.46,18449930.0,5214.0912,,2.3898,0.0
2010-03-31,19.71,28421380.0,5567.2537,4.555,1.7185,0.0
2010-04-30,22.18,51216380.0,6265.1028,5.126,1.9339,0.0
2010-05-31,18.51,16674980.0,6146.9172,4.2776,1.6138,0.0
2010-06-30,18.42,26569690.0,6117.0214,4.2568,1.606,0.0
2010-07-31,19.27,77043580.0,6401.0319,4.4545,1.6806,0.5
2010-08-31,20.21,36808460.0,6711.6164,4.6706,1.7621,0.5
2010-09-30,21.91,57344770.0,7277.9765,5.0647,1.9108,0.5
2010-10-31,20.0,16098930.0,6643.5204,4.6232,1.7442,0.5
2010-11-30,17.46,7503500.0,5799.7933,4.0361,1.5227,0.5
2010-12-31,17.12,10063680.0,5685.1925,3.9563,1.4926,0.5
2011-01-31,13.37,5056960.0,4441.1934,3.0906,1.166,0.5
2011-02-28,13.54,52978550.0,4497.6633,3.1299,1.1808,0.5
2011-03-31,14.64,15633280.0,4861.396,4.263,0.9432,0.5
2011-04-30,14.71,7408060.0,4886.3092,4.2849,0.948,0.5
2011-05-31,14.41,7253600.0,4784.9955,4.196,0.9284,0.5
2011-06-30,13.92,4492650.0,4623.8902,4.0548,0.8971,0.5
2011-07-31,14.5,9836190.0,4816.5523,4.2237,0.9345,0.5
2011-08-31,14.69,8638270.0,4879.6657,4.2791,0.9467,0.5
2011-09-30,14.04,15512760.0,4662.0904,4.0883,0.9045,0.5
2011-10-31,14.22,4816190.0,4723.543,4.1421,0.9164,0.5
2011-11-30,10.6,5340920.0,3519.4049,3.0862,0.6828,0.5
2011-12-31,8.72,8558830.0,2896.5749,2.5401,0.562,0.5
2012-01-31,9.12,8115140.0,3141.7219,2.6551,0.5874,0.5
2012-02-29,10.76,25706260.0,3708.714,3.1343,0.6935,0.5
2012-03-31,11.2,8869840.0,3858.648,4.4127,0.6354,0.5
2012-04-30,10.88,13040160.0,3748.3517,4.2866,0.6173,0.5
2012-05-31,10.33,5517980.0,3558.7799,4.0698,0.5861,0.5
2012-06-30,10.05,7013060.0,3462.2706,3.9594,0.5702,0.5
2012-07-31,8.87,34577340.0,3055.5529,3.4943,0.5032,0.4
2012-08-31,9.21,30388710.0,3172.7427,3.6283,0.5225,0.4
2012-09-30,9.75,20763860.0,3360.5912,3.8431,0.5534,0.4
2012-10-31,10.54,54258770.0,3632.8852,4.1545,0.5983,0.4
2012-11-30,9.5,16325250.0,3276.1455,3.7466,0.5395,0.4
2012-12-31,9.33,6434820.0,3217.5506,3.6795,0.5299,0.4
2013-01-31,8.78,8866260.0,3024.5321,3.4588,0.4981,0.4
2013-02-28,7.36,4654210.0,2536.8155,2.9011,0.4178,0.4
2013-03-31,6.47,5504120.0,2228.3305,2.5266,0.3808,0.4
2013-04-30,7.3,4543140.0,2516.1349,,0.43,0.4
2013-05-31,6.64,8329460.0,2286.9254,,0.3908,0.4
2013-06-30,5.62,4781920.0,1937.0775,,0.331,0.4
2013-07-31,3.23,22833660.0,1111.5792,,0.19,0.05
2013-08-31,3.48,13312690.0,1197.7481,,0.2047,0.05
2013-09-30,3.74,7949610.0,1287.3638,,0.22,0.05
2013-10-31,4.35,26197160.0,1499.3393,,0.2562,0.05
2013-11-30,5.44,25337250.0,1873.3125,,0.3201,0.05
2013-12-31,6.15,49703100.0,2121.479,,0.3626,0.05
2014-01-31,5.26,15981470.0,1811.2709,,0.3095,0.05
2014-02-28,4.64,9404350.0,1597.5719,,0.273,0.05
2014-03-31,5.66,27475190.0,1950.8645,,0.3892,0.05
2014-04-30,6.07,29326140.0,2092.1816,,0.4174,0.05
2014-05-31,7.07,20616350.0,2436.8573,,0.4861,0.05
2014-06-30,8.48,33451410.0,2922.85,,0.5831,0.05
2014-07-31,8.84,91846470.0,3046.9333,,0.6078,0.05
2014-08-31,8.79,35791130.0,3027.9761,,0.604,0.05
2014-09-30,11.12,131340480.0,3831.0705,,0.7642,0.0
2014-10-31,11.68,28025930.0,4024.0889,,0.8028,0.0
2014-11-30,14.47,164934440.0,4985.7342,,0.9946,0.0
2014-12-31,15.02,115663550.0,5177.0292,,1.0327,0.0
2015-01-31,14.81,100564470.0,5104.6473,,1.0183,0.0
2015-02-28,12.04,44402990.0,4149.947,,0.8278,0.0
2015-03-31,13.16,65499520.0,4535.9324,42.589,0.8944,0.0
2015-04-30,13.16,41996620.0,4535.9324,42.589,0.8944,0.0
2015-05-31,10.88,45759470.0,3748.3484,35.1942,0.7391,0.0
2015-06-30,11.56,26953790.0,3982.7279,37.3948,0.7853,0.0
2015-07-31,13.29,69321460.0,4582.4636,43.0259,0.9035,0.1
2015-08-31,11.41,26193760.0,3932.7499,36.9256,0.7754,0.1
