IH IN Equity,price,volume,mc,pe,bm,div
1995-01-31,54.33,,25946.6995,,,0.2926
1995-02-28,51.82,,24749.1595,,,0.2926
1995-03-31,47.64,,22753.2596,,,0.2926
1995-04-30,47.02,,22453.8746,,,0.2926
1995-05-31,44.64,,21316.2116,,,0.2926
1995-06-30,42.3,,20199.5191,,,0.2926
1995-07-31,40.12,,19161.5991,,,0.4597
1995-08-31,41.29,,19720.4791,,,0.4597
1995-09-30,45.64,,21796.319,,,0.4597
1995-10-31,45.97,,21955.999,,,0.4597
1995-11-30,45.47,,21716.479,,,0.4597
1995-12-31,47.98,,22914.0789,,,0.4597
1996-01-31,53.5,,25548.7988,,,0.4597
1996-02-29,59.35,,28343.1987,,,0.4597
1996-03-31,59.35,,28343.1987,,,0.4597
1996-04-30,64.78,,30937.9986,,,0.4597
1996-05-31,63.42,220726.0,30289.2986,,,0.4597
1996-06-30,69.04,1765811.0,37264.9914,,,0.6269
1996-07-31,63.53,2266483.0,34287.4013,,,0.6269
1996-08-31,64.36,2838433.0,34738.5513,,,0.6269
1996-09-30,58.22,1538708.0,31422.5987,,,0.6269
1996-10-31,54.54,2106435.0,29437.5386,,,0.6269
1996-11-30,54.62,1234058.0,29482.6536,,,0.6269
1996-12-31,59.22,2447658.0,31963.9787,,,0.6269
1997-01-31,60.54,4323114.0,32674.54,,,0.6269
1997-02-28,56.3,3890431.0,30384.9536,,,0.6269
1997-03-31,53.58,3636362.0,28918.7161,,,0.6269
1997-04-30,56.0,1531159.0,30227.0511,,,0.6269
1997-05-31,50.55,1370334.0,27283.2973,,,0.6269
1997-06-30,54.5,2743886.0,29414.9811,,,0.7105
1997-07-31,52.1,2464096.0,28117.9248,,,0.7105
1997-08-31,51.49,2778054.0,27790.841,,,0.7105
1997-09-30,49.48,3831223.0,26708.081,,,0.7105
1997-10-31,49.19,2201377.0,27069.001,,,0.7105
1997-11-30,51.32,2077268.0,27700.611,,,0.7105
1997-12-31,52.08,945032.0,28106.646,,,0.7105
1998-01-31,42.42,3234568.0,22895.8634,,,0.7105
1998-02-28,47.08,1479824.0,25411.0247,,,0.7105
1998-03-31,49.69,1050813.0,26820.8685,,,0.7105
1998-04-30,44.28,1592149.0,23899.6721,,,0.7105
1998-05-31,43.3,3947544.0,23369.5709,,,0.7105
1998-06-30,35.92,5567460.0,19388.172,,,0.7105
1998-07-31,26.58,10184541.0,14346.5705,,,0.7105
1998-08-31,27.56,15982311.0,14876.6718,,,0.7105
1998-09-30,33.66,7733845.0,18170.0669,,,0.7105
1998-10-31,34.23,14239183.0,18474.5932,,,0.7105
1998-11-30,34.75,9821856.0,18756.5619,,,0.7105
1998-12-31,29.97,3279324.0,16173.7281,,,0.7105
1999-01-31,30.53,4304977.0,16478.2544,,,0.7105
1999-02-28,31.2,3862388.0,16839.1744,,,0.7105
1999-03-31,26.66,4826370.0,14391.6855,,,0.7105
1999-04-30,23.95,7998381.0,12925.448,,,0.7105
1999-05-31,28.09,15253148.0,15158.6406,,,0.7105
1999-06-30,29.09,11792458.0,15700.0206,,,0.7105
