IEX IN Equity,price,volume,mc,pe,bm,div
2017-10-31,51.81,139686630.0,47138.265,39.7827,16.2845,0.0
2017-11-30,51.14,26756580.0,46525.6272,39.2656,16.0729,0.0
2017-12-31,53.67,42053880.0,48830.6027,41.2109,16.8692,0.0
2018-01-31,53.38,39697620.0,48563.7108,40.9857,16.777,0.0
2018-02-28,48.64,9205800.0,44252.4953,37.3472,15.2876,0.0
2018-03-31,53.43,14199360.0,48613.7514,39.5113,16.1735,0.0
2018-04-30,53.79,16813500.0,48942.817,,,0.0
2018-05-31,52.61,9252870.0,47867.6673,,,0.0
2018-06-30,55.33,57134670.0,50337.9337,,,0.0
2018-07-31,53.32,6843870.0,48513.667,,,0.0
2018-08-31,58.07,16372050.0,52838.5287,,,0.0
2018-09-30,53.56,21440550.0,48729.0002,,,0.7333
2018-10-31,52.97,34532715.0,48192.1835,,,0.7333
2018-11-30,54.23,7681491.0,49344.6712,,,0.7333
2018-12-31,55.27,5856225.0,50284.8586,,,0.7333
2019-01-31,52.9,12316716.0,48131.5263,,,0.7333
2019-02-28,51.07,11077494.0,46463.452,,,0.7333
2019-03-31,55.0,24498057.0,50042.2296,30.1645,13.4542,0.7333
2019-04-30,53.03,56475216.0,48252.8408,29.0859,12.9731,0.7333
2019-05-31,52.1,14859054.0,47403.6393,28.574,12.7448,0.7333
2019-06-30,48.03,6057372.0,43703.5472,26.3437,11.75,0.7333
2019-07-31,47.17,13961709.0,42915.003,25.8684,11.538,0.7333
2019-08-31,44.87,28173309.0,40320.3064,24.6069,10.9753,0.7333
2019-09-30,40.22,136033719.0,36141.4931,22.0567,9.8379,0.7333
2019-10-31,48.32,18473577.0,43420.7163,26.4991,11.8193,0.7333
2019-11-30,46.62,52334118.0,41892.9781,25.5667,11.4034,0.0
2019-12-31,47.6,14733921.0,42776.6698,26.106,11.644,0.0
2020-01-31,54.92,35004558.0,49351.9352,30.1188,13.4338,0.0
2020-02-29,58.73,96846126.0,52781.8572,32.2121,14.3674,0.0
2020-03-31,42.65,64854381.0,38328.2556,21.7233,9.839,0.8333
2020-04-30,49.97,34041201.0,44903.521,25.4499,11.5269,0.8333
2020-05-31,54.6,67807326.0,49067.3565,27.8098,12.5958,0.8333
2020-06-30,59.92,48341376.0,53845.2829,30.5178,13.8223,0.8333
2020-07-31,59.73,52694988.0,53680.5268,30.4244,13.78,0.8333
2020-08-31,64.28,82271361.0,57769.4731,32.7419,14.8297,0.8333
2020-09-30,69.28,183138027.0,62262.8208,35.2886,15.9831,0.8333
2020-10-31,63.77,79292997.0,57305.1621,32.4788,14.7105,0.8333
2020-11-30,72.57,49812741.0,65213.4542,36.961,16.7406,0.8333
2020-12-31,75.97,61733505.0,68268.9307,38.6927,17.5249,0.8333
2021-01-31,82.08,91870374.0,73765.7928,41.8081,18.936,1.6667
2021-02-28,97.78,199367148.0,87874.9048,49.8048,22.5579,1.6667
2021-03-31,110.93,244947972.0,99692.4095,48.1621,18.8825,0.8333
2021-04-30,123.45,145506918.0,110940.7568,53.5962,21.013,0.8333
2021-05-31,119.15,284932398.0,107076.4777,51.7294,20.2811,0.8333
2021-06-30,125.05,174851397.0,112378.6281,54.2909,21.2853,0.8333
2021-07-31,143.67,235892316.0,129108.8562,62.3734,24.4541,0.8333
