KEII IN Equity,price,volume,mc,pe,bm,div
2002-04-30,1.48,5150.0,,2.775,0.2977,0.0
2002-05-31,1.66,4525.0,,3.1124,0.3339,0.0
2002-06-30,1.8,13720.0,,3.3749,0.362,0.0
2002-07-31,1.5,12175.0,,2.8125,0.3017,0.0
2002-08-31,1.89,270.0,,3.5437,0.3801,0.0
2002-09-30,1.15,4010.0,,2.1562,0.2313,0.0
2002-10-31,1.89,4040.0,,3.5437,0.3801,0.0
2002-11-30,2.16,10.0,,4.0499,0.4345,0.0
2002-12-31,1.91,285.0,,3.5812,0.3842,0.0
2003-01-31,1.13,2470.0,,2.1187,0.2273,0.0
2003-02-28,0.71,2000.0,,1.3312,0.1428,0.0
2003-03-31,0.45,2500.0,,2.3889,0.0874,0.0
2003-04-30,0.5,500.0,,2.6544,0.0971,0.0
2003-05-31,0.51,4495.0,,2.7075,0.0991,0.0
2003-06-30,0.82,18755.0,,4.3638,0.1596,0.0
2003-07-31,1.4,73905.0,,7.4322,0.2719,0.0
2003-08-31,1.44,25295.0,,7.6446,0.2797,0.0
2003-09-30,0.8,12000.0,,4.2576,0.1558,0.0
2003-10-31,0.44,37200.0,,2.3146,0.0847,0.0
2003-11-30,1.27,18300.0,,6.7421,0.2467,0.0
2003-12-31,1.47,83940.0,,7.7826,0.2847,0.0
2004-01-31,1.0,83150.0,,5.3087,0.1942,0.0
2004-02-29,1.38,28260.0,,7.3261,0.268,0.0
2004-03-31,0.87,33800.0,,4.6292,0.1694,0.0
2004-04-30,1.34,27245.0,,7.1137,0.2603,0.0
2004-05-31,1.3,16660.0,,6.9014,0.2525,0.0
2004-06-30,0.75,1500.0,,3.9816,0.1457,0.0
2004-07-31,1.32,17775.0,,6.9863,0.2556,0.0
2004-08-31,1.7,122405.0,,9.0249,0.3302,0.0
2004-09-30,3.24,763710.0,,17.211,0.6297,0.0
2004-10-31,5.46,1644660.0,,28.9858,1.0604,0.0
2004-11-30,12.16,6551030.0,,64.5544,2.3617,0.0
2004-12-31,14.06,4398965.0,,74.641,2.7307,0.0
2005-01-31,14.76,3026075.0,,78.3571,2.8667,0.0
2005-02-28,15.89,2919990.0,,84.356,3.0862,0.0
2005-03-31,15.6,4423700.0,,82.8164,3.0298,0.0
2005-04-30,17.35,7475630.0,,92.1067,3.3697,0.0
2005-05-31,28.19,20031495.0,,149.6535,5.4751,0.0
2005-06-30,28.35,8894735.0,,150.5029,5.5061,0.2
2005-07-31,36.19,9115265.0,,192.1235,7.0288,0.2
2005-08-31,45.5,9673650.0,,241.5479,8.837,0.2
2005-09-30,34.58,10019355.0,,183.5764,6.7161,0.2
2005-10-31,38.16,3716625.0,,202.5817,7.4114,0.2
2005-11-30,38.98,10924415.0,,206.9349,7.5707,0.2
2005-12-31,52.91,49471735.0,,280.8857,10.2762,0.2
2006-01-31,57.22,24837830.0,,303.7664,11.1132,0.2
2006-02-28,62.33,20202080.0,,330.8941,12.1057,0.2
2006-03-31,73.8,6406020.0,3724.649,12.9021,14.3373,0.2
2006-04-30,92.5,15040940.0,4379.7431,16.1713,,0.2
2006-05-31,73.34,7696005.0,3701.433,12.8217,,0.2
2006-06-30,59.04,10519710.0,2979.7192,10.3217,,0.4
2006-07-31,47.76,6932215.0,2410.4233,8.3497,,0.4
2006-08-31,60.23,14151230.0,3039.7779,10.5297,,0.4
2006-09-30,63.84,15429470.0,3221.9728,11.1608,,0.4
2006-10-31,69.9,14906215.0,3527.818,12.2203,,0.4
2006-11-30,85.57,19025275.0,4318.675,14.9598,,0.4
2006-12-31,86.3,23758450.0,4355.5351,15.0874,,0.4
2007-01-31,112.55,22440227.0,5680.3647,19.6766,,0.4
2007-02-28,77.15,9425554.0,3893.7373,13.4878,,0.4
2007-03-31,67.2,5033051.0,3962.7638,11.4161,,0.4
2007-04-30,71.0,3008242.0,4186.8487,,,0.4
2007-05-31,92.65,16730521.0,5463.5427,,,0.4
2007-06-30,84.45,5647871.0,4979.9912,,,0.4
2007-07-31,85.1,7347239.0,5029.3673,,,0.4
2007-08-31,72.0,2686415.0,4255.1639,,,0.0
2007-09-30,84.95,13506735.0,5020.5449,,,0.5
2007-10-31,84.0,11880927.0,4964.3999,,,0.5
2007-11-30,81.5,4199534.0,4816.6499,,,0.5
2007-12-31,100.75,20757621.0,5954.3248,,,0.5
2008-01-31,85.05,51557730.0,5026.4549,,,0.5
2008-02-29,83.9,8701883.0,5101.8164,,,0.5
2008-03-31,58.4,7076511.0,3551.2047,,,0.5
2008-04-30,69.5,4789318.0,4226.1559,,,0.5
2008-05-31,57.6,3181663.0,3502.5407,,,0.5
2008-06-30,40.5,3122240.0,2462.7239,,,0.5
2008-07-31,39.8,3378620.0,2420.1583,,,0.5
2008-08-31,37.25,3807390.0,2265.0979,,,0.5
2008-09-30,25.35,4169752.0,1541.4828,,,0.5
2008-10-31,17.8,3404595.0,1084.6786,,,0.5
2008-11-30,10.85,4781122.0,661.1665,,,0.5
2008-12-31,13.7,5846080.0,834.8369,,,0.5
2009-01-31,10.75,6192602.0,655.0728,,,0.5
2009-02-28,9.05,3242280.0,551.4799,,,0.5
2009-03-31,9.9,2704011.0,603.2763,49.5,0.3069,0.5
2009-04-30,12.65,4759370.0,770.8531,63.25,0.3921,0.5
2009-05-31,22.55,1994841.0,1374.1294,112.75,0.699,0.5
2009-06-30,26.05,8484797.0,1587.4089,130.25,0.8075,0.5
2009-07-31,25.3,3527476.0,1541.7061,126.5,0.7843,0.2
2009-08-31,33.9,4066627.0,2065.7643,169.5,1.0509,0.2
2009-09-30,34.65,9966714.0,2111.4671,173.25,1.0741,0.2
2009-10-31,30.1,5073639.0,1834.2037,150.5,0.9331,0.2
2009-11-30,29.4,3284933.0,1791.5478,147.0,0.9114,0.2
2009-12-31,32.1,3796884.0,1956.0777,160.5,0.9951,0.2
2010-01-31,33.9,23627454.0,2065.7643,169.5,1.0509,0.2
2010-02-28,30.35,3190926.0,1849.438,151.75,0.9408,0.2
2010-03-31,32.95,7521222.0,2007.8742,14.1416,0.9464,0.2
2010-04-30,36.15,8585576.0,2202.8726,15.515,1.0383,0.2
2010-05-31,30.55,5179239.0,1953.2876,13.1116,0.8774,0.2
2010-06-30,32.85,4421020.0,2100.3436,14.0987,0.9435,0.2
2010-07-31,30.8,4928871.0,1969.2719,13.2189,0.8846,0.2
2010-08-31,31.25,13383496.0,1998.0438,13.412,0.8975,0.2
2010-09-30,36.75,21313856.0,2349.6995,15.7725,1.0555,0.2
2010-10-31,35.15,9755993.0,2247.3996,15.0858,1.0095,0.2
2010-11-30,33.3,15950938.0,2129.1154,14.2918,0.9564,0.2
2010-12-31,31.15,6956171.0,1991.65,13.3691,0.8947,0.2
2011-01-31,23.45,4562548.0,1499.332,10.0644,0.6735,0.2
2011-02-28,21.6,3307384.0,1381.0479,9.2704,0.6204,0.2
2011-03-31,20.8,3721072.0,1329.8979,12.6829,0.5852,0.2
2011-04-30,25.3,8205191.0,1693.5162,15.4268,0.7118,0.2
2011-05-31,23.5,2753433.0,1573.0289,14.3293,0.6612,0.2
2011-06-30,21.3,1331993.0,1425.7666,12.9878,0.5993,0.2
2011-07-31,21.85,1704295.0,1462.5822,13.3232,0.6147,0.2
2011-08-31,17.15,1476919.0,1147.9764,10.4573,0.4825,0.2
2011-09-30,15.75,1083100.0,1054.2641,9.6037,0.4431,0.2
2011-10-31,16.95,1452895.0,1134.5889,10.3354,0.4769,0.2
2011-11-30,14.95,1386290.0,1000.7141,9.1159,0.4206,0.2
2011-12-31,13.05,1221016.0,873.5331,7.9573,0.3672,0.2
2012-01-31,17.0,2999599.0,1137.9358,10.3659,0.4783,0.2
2012-02-29,19.1,4217799.0,1278.5044,11.6463,0.5374,0.2
2012-03-31,16.7,1356385.0,1117.8546,4.6006,0.4923,0.2
2012-04-30,16.25,809695.0,1087.7328,4.4766,0.479,0.2
2012-05-31,17.2,1767793.0,1151.3233,4.7383,0.507,0.2
2012-06-30,17.1,1122678.0,1144.6296,4.7107,0.504,0.2
2012-07-31,16.65,1188882.0,1114.5077,4.5868,0.4908,0.2
2012-08-31,16.0,1139228.0,1070.9984,4.4077,0.4716,0.2
2012-09-30,16.8,2499424.0,1124.5483,4.6281,0.4952,0.2
2012-10-31,18.1,3039027.0,1271.2969,4.9862,0.5335,0.2
2012-11-30,17.95,3953496.0,1260.7613,4.9449,0.5291,0.2
2012-12-31,16.75,1460212.0,1176.4764,4.6143,0.4937,0.2
2013-01-31,14.6,1302148.0,1025.466,4.022,0.4304,0.2
2013-02-28,12.9,869019.0,906.0624,3.5537,0.3802,0.2
2013-03-31,10.85,1305396.0,762.0757,2.8255,0.2982,0.2
2013-04-30,11.05,703017.0,776.1232,2.8776,0.3037,0.2
2013-05-31,10.9,1021729.0,765.5876,2.8385,0.2996,0.2
2013-06-30,9.95,727964.0,698.8625,2.5911,0.2735,0.2
2013-07-31,7.75,956842.0,544.3402,2.0182,0.213,0.2
2013-08-31,7.05,651604.0,519.849,1.8359,0.1938,0.2
2013-09-30,7.4,591270.0,545.6571,1.9271,0.2034,0.2
2013-10-31,8.6,2321947.0,634.142,2.2396,0.2364,0.2
2013-11-30,9.35,998969.0,689.4451,2.4349,0.257,0.2
2013-12-31,11.65,1959789.0,859.0412,3.0339,0.3202,0.2
2014-01-31,11.9,2251590.0,877.4756,3.099,0.327,0.2
2014-02-28,11.95,1471152.0,881.1624,3.112,0.3284,0.2
2014-03-31,12.55,1139331.0,925.4049,7.8931,0.3389,0.2
2014-04-30,19.65,6976702.0,1448.9407,12.3585,0.5306,0.2
2014-05-31,25.55,8393944.0,1883.9916,16.0692,0.6899,0.2
2014-06-30,30.0,5438708.0,2212.1233,18.8679,0.8101,0.2
2014-07-31,31.95,7659426.0,2467.7363,20.0943,0.8627,0.2
2014-08-31,31.15,3055059.0,2405.9463,19.5912,0.8411,0.0
2014-09-30,33.3,6981054.0,2572.0068,20.9434,0.8992,0.2
2014-10-31,34.85,2139475.0,2691.7249,21.9182,0.941,0.2
2014-11-30,46.1,9991152.0,3560.6461,28.9937,1.2448,0.2
2014-12-31,48.3,8344354.0,3730.5684,30.3774,1.3042,0.2
2015-01-31,57.4,11923661.0,4433.4292,36.1006,1.5499,0.2
2015-02-28,56.1,6816518.0,4332.9957,35.283,1.5148,0.2
2015-03-31,62.25,10999241.0,4808.0308,13.9574,1.5824,0.2
2015-04-30,71.6,28041936.0,5530.2008,16.0538,1.82,0.2
2015-05-31,73.7,9508976.0,5692.3995,16.5247,1.8734,0.2
2015-06-30,70.0,8925645.0,5406.6209,15.6951,1.7794,0.2
2015-07-31,107.2,49502269.0,8279.8538,24.0359,2.725,0.2
2015-08-31,104.5,23227618.0,8071.3127,23.4305,2.6563,0.2
2015-09-30,96.55,6607140.0,7457.275,21.648,2.4543,0.4
2015-10-31,102.9,11302089.0,7947.7328,23.0717,2.6157,0.4
2015-11-30,112.65,11630997.0,8700.7978,25.2578,2.8635,0.4
2015-12-31,120.25,17123942.0,9287.8024,26.9619,3.0567,0.4
2016-01-31,110.05,12585150.0,8499.9805,24.6749,2.7974,0.4
2016-02-29,90.2,5874535.0,6966.8173,20.2242,2.2928,0.4
2016-03-31,98.0,3251416.0,7569.2693,12.0988,2.0626,0.4
2016-04-30,102.4,3716030.0,7909.1141,12.642,2.1552,0.4
2016-05-31,107.1,5928744.0,8272.13,13.2222,2.2542,0.4
2016-06-30,112.15,3461786.0,8662.1791,13.8457,2.3604,0.4
2016-07-31,116.95,5580252.0,9032.9188,14.4383,2.4615,0.4
2016-08-31,116.3,3848848.0,8982.7145,14.358,2.4478,0.5
2016-09-30,114.1,2846981.0,8812.7921,14.0864,2.4015,0.5
2016-10-31,122.35,3758440.0,9450.001,15.1049,2.5751,0.5
2016-11-30,127.0,8812415.0,9809.1551,15.679,2.673,0.5
2016-12-31,123.85,7881799.0,9635.2129,15.2901,2.6067,0.5
2017-01-31,137.45,6247081.0,10693.2581,16.9691,2.8929,0.5
2017-02-28,178.6,18867307.0,13894.6227,22.0494,3.759,0.5
2017-03-31,182.7,6667642.0,14213.5922,15.1242,3.0827,0.5
2017-04-30,216.8,9559347.0,16866.4849,17.947,3.6581,0.5
2017-05-31,217.65,7673141.0,16932.6127,18.0174,3.6724,0.5
2017-06-30,232.35,4653376.0,18076.2351,19.2343,3.9204,0.5
2017-07-31,231.25,8582242.0,17990.6579,19.1432,3.9019,0.6
2017-08-31,255.9,9030359.0,19908.3648,21.1838,4.3178,0.6
2017-09-30,325.1,23226250.0,25291.9476,26.9123,5.4854,0.6
2017-10-31,334.7,11361097.0,26038.803,27.707,5.6474,0.6
2017-11-30,396.95,15054329.0,31105.5728,32.8601,6.6977,0.6
2017-12-31,376.55,12233195.0,29506.9995,31.1714,6.3535,0.6
2018-01-31,386.8,9634854.0,30310.2042,32.0199,6.5265,0.6
2018-02-28,387.9,5734070.0,30396.4018,32.1109,6.545,0.6
2018-03-31,385.0,3033100.0,30169.1536,20.7659,4.9892,0.6
2018-04-30,436.55,6940144.0,34208.6858,23.5464,5.6572,0.6
2018-05-31,482.25,6257469.0,37789.8035,26.0113,6.2494,0.6
2018-06-30,408.6,7428569.0,32018.4836,22.0388,5.295,0.6
2018-07-31,447.5,2974313.0,35066.7435,24.137,5.7991,0.6
2018-08-31,418.6,4756815.0,32802.0979,22.5782,5.4246,0.6
2018-09-30,359.0,4036997.0,28131.7562,19.3635,4.6522,1.0
2018-10-31,308.25,6142941.0,24328.7663,16.6262,3.9946,1.0
2018-11-30,358.8,4812033.0,28318.4472,19.3528,4.6496,1.0
2018-12-31,359.2,4255311.0,28350.0173,19.3743,4.6548,1.0
2019-01-31,360.6,4433302.0,28460.5129,19.4498,4.673,1.0
2019-02-28,342.1,3725132.0,27000.3923,18.452,4.4332,1.0
2019-03-31,425.45,5222547.0,33578.8276,18.5139,4.3158,1.0
2019-04-30,407.95,1991226.0,32197.6324,17.7524,4.1383,1.0
2019-05-31,525.7,7191936.0,41491.1028,22.8764,5.3327,1.0
2019-06-30,480.1,2836880.0,37892.1028,20.8921,4.8702,1.0
2019-07-31,438.55,1659556.0,34612.7508,19.084,4.4487,1.0
2019-08-31,470.5,2643872.0,37134.4186,20.4743,4.7728,1.0
2019-09-30,543.4,3172400.0,42888.083,23.6466,5.5123,1.2
2019-10-31,590.45,3046745.0,46943.3954,25.6941,5.9896,1.2
2019-11-30,519.05,3242139.0,41266.7785,22.587,5.2653,1.2
2019-12-31,458.25,5215466.0,36432.9087,19.9413,4.6485,1.2
2020-01-31,566.85,7562797.0,50735.5907,24.6671,5.7502,1.2
2020-02-29,490.5,4015425.0,43901.9268,21.3446,4.9757,1.2
2020-03-31,268.35,6548969.0,24018.5159,8.4787,1.5936,1.5
2020-04-30,290.5,3613461.0,26001.0392,9.1785,1.7251,1.5
2020-05-31,279.1,2319324.0,24980.6886,8.8183,1.6574,1.5
2020-06-30,348.8,6225109.0,31219.148,11.0205,2.0713,1.5
2020-07-31,348.15,8562205.0,31160.9701,11.0,2.0675,1.5
2020-08-31,396.5,9519908.0,35488.5097,12.5276,2.3546,1.5
2020-09-30,348.8,4731534.0,31341.5768,11.0205,2.0713,1.5
2020-10-31,341.35,3820302.0,30672.1538,10.7852,2.0271,1.5
2020-11-30,424.9,6476680.0,38179.5756,13.425,2.5232,1.5
2020-12-31,476.75,5973756.0,42838.5801,15.0632,2.8311,1.5
2021-01-31,464.05,6202350.0,41697.416,14.6619,2.7557,1.5
2021-02-28,500.2,4453088.0,44945.6901,15.8041,2.9704,1.5
2021-03-31,522.7,10326383.0,46967.4374,17.3943,2.655,2.0
2021-04-30,520.9,3257519.0,46805.6977,17.3344,2.6458,2.0
2021-05-31,616.3,12913816.0,55377.9064,20.5092,3.1304,2.0
2021-06-30,693.45,13947209.0,62310.2535,23.0765,3.5223,2.0
2021-07-31,708.8,10239373.0,63689.5345,23.5874,3.6002,2.0
2021-08-31,762.1,12292264.0,68666.3059,25.3611,3.871,2.0
2021-09-30,927.1,24111386.0,83533.0432,30.8519,4.709,2.0
2021-10-31,913.05,15091374.0,82270.7702,30.3844,4.6377,2.0
2021-11-30,1104.9,9337324.0,99557.4984,36.7687,5.6122,2.0
2021-12-31,1168.05,9623069.0,105247.6569,38.8702,5.9329,2.0
2022-01-31,1076.2,6337550.0,96971.4724,35.8136,5.4664,2.0
2022-02-28,988.1,4117789.0,89033.1833,32.8819,5.0189,2.5
2022-03-31,1261.0,7644622.0,113622.9573,30.4286,5.3206,2.5
2022-04-30,1207.2,4630156.0,108775.2848,29.1304,5.0936,2.5
2022-05-31,1236.3,4396347.0,111397.353,29.8326,5.2164,2.5
2022-06-30,1152.55,6647935.0,103851.0226,27.8116,4.863,2.5
2022-07-31,1238.0,6071780.0,111550.5322,29.8736,5.2235,2.5
2022-08-31,1472.0,6797394.0,132635.2047,35.5201,6.2109,2.5
2022-09-30,1445.3,5108408.0,130355.1306,34.8758,6.0982,2.5
2022-10-31,1615.2,4629840.0,145678.8259,38.9756,6.8151,2.5
2022-11-30,1527.3,4558710.0,137750.9106,36.8545,6.4442,2.5
2022-12-31,1464.7,5173428.0,132104.8639,35.344,6.1801,2.5
2023-01-31,1615.65,4363155.0,145719.4125,38.9865,6.817,2.5
2023-02-28,1625.25,3300319.0,146585.2599,39.2181,6.8575,3.0
2023-03-31,1698.65,3583966.0,153205.3848,32.4696,5.9171,3.0
2023-04-30,1895.05,4353153.0,170919.1796,36.2238,6.6013,3.0
2023-05-31,1997.15,6014582.0,180127.8276,38.1754,6.9569,3.0
2023-06-30,2315.6,6058891.0,208849.6094,44.2626,8.0662,3.0
2023-07-31,2429.55,7076387.0,219127.0377,46.4407,8.4632,3.0
2023-08-31,2707.5,9299080.0,244196.0259,51.7537,9.4314,3.0
2023-09-30,2653.2,5978902.0,239298.5765,50.7158,9.2422,3.0
2023-10-31,2402.4,5458317.0,216796.0307,45.9218,8.3686,3.0
2023-11-30,2880.55,7224539.0,259944.9742,55.0616,10.0342,3.0
2023-12-31,3249.45,5907002.0,293235.0407,62.1131,11.3192,3.0
2024-01-31,3193.1,9941406.0,288149.9357,61.0359,11.1229,3.0
2024-02-29,3210.75,3495997.0,289742.6971,61.3733,11.1844,3.0
2024-03-31,3459.8,5333587.0,312217.3272,53.7367,9.9171,3.5
2024-04-30,3995.6,6530098.0,360568.6897,62.0586,11.4529,3.5
2024-05-31,4099.8,5321162.0,369971.8475,63.677,11.7516,3.5
2024-06-30,4419.9,7457298.0,398858.1318,68.6487,12.6691,3.5
2024-07-31,4329.85,6022727.0,390731.8903,67.2501,12.411,3.5
2024-08-31,4609.8,4824218.0,415994.9809,71.5982,13.2135,3.5
2024-09-30,4297.3,5224399.0,387794.5315,66.7445,12.3177,3.5
2024-10-31,4051.75,10767179.0,365830.2304,62.9307,11.6139,3.5
2024-11-30,4313.25,5420321.0,389440.9185,66.9923,12.3634,3.5
2024-12-31,4436.65,6505240.0,423933.4206,68.9089,12.7172,3.5
2025-01-31,4023.6,7200741.0,384465.4212,62.4935,11.5332,4.0
2025-02-28,3070.15,19127806.0,293360.7995,47.6848,8.8002,4.0
2025-03-31,2892.85,24749472.0,276419.3244,38.2384,4.7777,4.0
2025-04-30,3063.6,11812663.0,292734.93,40.4955,5.0597,4.0
2025-05-31,3610.2,9563147.0,344963.9785,47.7206,5.9625,4.0
2025-06-30,3792.6,8182479.0,362392.7718,50.1316,6.2637,4.0
2025-07-31,3844.2,8590198.0,367323.2857,50.8136,6.3489,4.0
2025-08-31,3810.6,4314480.0,364112.7185,50.3695,6.2934,4.0
2025-09-30,4062.3,5559502.0,388163.3067,53.6965,6.7091,4.0
2025-10-31,4032.0,7451366.0,385461.599,53.296,6.6591,4.0
2025-11-30,4145.6,2806713.0,396321.8266,54.7976,6.8467,4.0
2025-12-31,4460.2,4875144.0,426397.7738,58.9561,7.3663,4.0
2026-01-31,4021.1,6483974.0,384419.5526,53.1519,6.6411,4.5
2026-02-28,5080.4,6352763.0,485689.2628,67.154,8.3906,4.5
2026-03-31,4931.5,2833117.0,471454.3342,65.1858,8.1447,4.5
